"execution_time","solo"
352234,426238.13520442
280253,313469.389697927
262328,212846.143535686
273684,235611.35765616
291694,143643.808018861
243505,264038.196744321
289963,222421.0404455
288499,231272.58121867
399887,425575.87829451
303187,210049.341031061
402954,408015.289219833
501539,549979.305262087
308478,321516.044825784
291300,320837.747319046
311672,291317.046614732
320353,306952.632703935
258771,287340.134655759
338295,281756.2087929
281266,278747.611313029
282247,245193.462288865
260022,227576.257652481
287028,231319.293215224
312993,279490.944905256
313831,289103.705564134
308569,240022.361368112
288206,243306.565728949
323825,196376.880487868
412038,385464.311981953
574128,375878.002494623
325926,409425.615976076
261973,195418.544356454
244434,196963.686739717
367959,334715.518835236
290882,286681.800043422
432150,511974.222094924
252520,254355.98649026
257768,268509.951041767
243643,304813.682775888
287093,210645.473407608
274546,313774.230376014
359632,289817.117001395
284121,327570.849151876
252560,267084.280835625
337726,212258.782149065
344921,291234.625454998
252599,174069.011966286
278339,306505.258969834
320520,282610.695537772
254795,333853.55821428
255993,282314.589823102
262910,200827.31158219
254179,230834.024226971
349378,275351.814637454
382160,256497.998401162
372674,293569.914181857
296855,217011.5533982
263785,216888.035055774
275662,281677.602568466
248456,206161.466067441
299749,254311.973311946
276204,246288.401074468
260418,188391.209148176
299249,273052.503119273
284378,306925.593546475
297319,344373.010557636
257983,277930.236814318
300613,295200.303855333
287905,313019.916308378
299881,213972.889046023
241866,176992.0913218
281112,269945.460833893
398759,329184.050493573
390009,373861.884265182
258902,250391.716145159
361666,321074.503535726
291854,286761.017423405
300248,347329.787476297
278698,207622.422469113
248869,235961.380371637
268155,253706.949546498
295195,283405.395214552
246364,325761.746127124
368800,407177.643833592
231750,132350.263790471
291775,241276.457291798
370183,334483.071492216
268065,219478.018490303
325969,353899.19197823
265807,218249.856739085
271356,325963.918249531
288572,321912.91521021
386434,249694.845300947
411694,401552.064016572
274104,154808.806110591
306105,339040.998573113
307561,388483.637008408
272197,197567.686460554
371754,475593.219706341
265006,214462.474739356
283786,355618.258751311
288386,289466.635957066
356337,486965.282108945
264087,277734.527299483
260288,132599.163648025
270169,312260.534866863
244879,216930.337899943
349852,288329.850424964
281166,259699.010073771
386808,395072.112185974
291760,175576.114389933
330861,286692.131290138
293639,329083.567636439
232556,153561.937520794
305705,393467.820225665
364113,396658.689397503
229518,221865.377178133
552026,574385.247201564
271404,308968.623738703
300871,205900.695729398
285446,338219.669058394
269461,331847.397505815
274789,300900.457258256
275519,280286.379289872
253447,284112.483557416
248281,173991.793102966
284492,335765.849442849
272200,221376.975637834
264369,285538.146481096
296112,200504.890016683
238799,91482.5458371081
248328,325879.906079134
323630,270856.453906878
290808,245696.638911492
260283,232856.140099073
417973,290378.555966106
256312,289393.815541511
298928,334128.878848479
326481,223552.544865137
565266,538986.680357108
296356,399368.814192737
329390,284185.731238727
278415,268855.931544183
251757,310185.185883789
351044,329653.971172247
425228,480474.631025865
256222,248230.691220763
270042,306877.768816364
288072,244241.759728261
316759,194690.081158608
270009,163945.80247387
302057,324386.361512975
293252,235192.893942652
278514,246423.844470578
317199,318777.207983467
315577,430806.359030256
250896,176862.161230625
633737,463761.473487949
260302,295630.766326653
298691,270879.321451751
399268,369523.720184032
339803,215798.187336452
246181,218720.072848225
315231,335390.034839633
301501,341176.855827014
303257,341297.855585315
365540,213632.681696761
261248,275227.437478832
312572,284612.702430911
340664,348841.706928722
294519,325396.665785991
273817,355434.782850012
262226,292604.388019065
321072,202827.121396611
250070,238798.419573119
285648,252254.422510046
339794,248521.866016917
279023,199033.214048171
392222,486459.17062295
591515,483754.444390365
387931,379611.940989766
264300,285898.038499797
254751,245587.997382056
339791,213173.094479964
314496,272367.520384347
290266,279409.365158228
287429,275075.310414718
265894,262681.441287246
504320,596813.497907543
287005,341570.390308863
316040,387333.756640157
308564,340021.835524207
494511,450952.919465425
293550,311435.719236826
345122,360662.595034415
287989,211060.825612003
228562,232729.904758091
337740,314416.449836274
287039,305229.788157653
405960,396767.982739565
497721,370079.426422982
293731,262968.408996038
305306,196555.825513238
274061,185268.775042387
274154,353346.758494031
278317,270355.455994547
281368,186982.864782614
420445,326792.076836882
278080,265553.890439504
269469,292508.79796415
284729,194888.007293025
294531,159911.338651563
271187,210306.521177126
314008,261624.011815589
335856,350653.926981631
250847,247067.406974123
329882,360571.29061182
265915,306163.857589399
417835,457083.539885951
475451,356066.254484908
511374,731093.723636526
337904,195703.706247152
349372,387589.153866323
271994,243867.930095322
410888,408201.781022049
333996,264513.996832133
302857,251533.174417057
308017,277958.13118522
289249,336633.552131024
343517,399365.548001418
343429,269135.625406543
282179,321901.167311552
353984,335163.933940508
275388,83246.0986238893
283586,181746.179191651
250244,212862.810767426
225379,172418.804137069
244035,297643.34840663
255160,264165.061670829
268389,260504.841789147
324610,349496.659305315
292507,156180.568484858
365606,331651.99994488
354224,259547.805278108
253743,250463.448677125
588390,557153.006484019
349127,367693.825672803
277343,226047.281205682
300037,250290.410451954
242526,166255.621518289
314939,287943.098803461
317500,252106.935773609
258654,236175.221129684
250203,285193.82888149
336197,300147.901565386
298113,170590.039524528
336518,294939.206678368
610632,603568.574651658
302152,288509.061693314
265176,178410.76251715
249624,242821.864987183
416106,367798.849222971
328331,422253.362723551
256178,300562.026379382
301872,320592.984412851
270840,324083.06419725
314401,364871.293902686
295060,194005.664866288
290631,247174.848551418
323435,276882.489777467
339341,264700.411360873
457792,509838.86538522
284417,247159.167980932
298370,308422.844575456
373244,310187.843566024
319625,296136.793825403
283989,306608.958425299
299227,199774.932462336
249631,208550.910806369
344091,468327.257920818
261213,250787.568273814
360918,419260.497856169
227134,261019.04113976
305715,282593.939701368
282251,125587.203210864
313265,287135.976104929
296280,323399.916697282
307561,331679.638216145
295133,183381.03694223
337103,263728.951653298
307008,234636.10255646
498214,341412.255958446
273445,174429.663198317
301526,307440.882424205
251081,168224.428144147
308902,256758.507131201
267705,240587.345504705
337572,368578.793203154
361436,380054.477874137
281820,239020.611271482
290116,245192.070492728
266842,259249.252950137
350895,200263.192202862
286354,234967.435536801
257152,327564.713688685
267848,273898.837566849
347253,315185.976544861
413573,358372.192312371
278013,172880.263687047
281559,205688.713498017
254538,139841.239719375
328492,369309.865888087
317852,213479.590459559
418839,537405.044128313
349721,406894.014898253
324376,354135.03825511
389599,355482.902183209
374754,375415.893451514
254491,281023.520897478
291162,319300.095262843
256006,263445.350623038
262789,159395.15775955
318856,374243.702828379
301422,312555.040492031
248015,115983.358608441
234413,175698.669173584
283146,299276.898603488
299927,344647.280225231
373127,301262.663583762
340500,245422.719734292
251791,231327.085655852
359313,408211.944412494
287930,273815.749370698
366316,263152.817691498
578963,700619.848391626
287980,180401.569784654
254709,210573.622654819
254209,211261.923837314
285735,299634.294657639
337722,344295.722261572
517410,443576.839526082
310409,304704.255995859
331245,414790.145946928
266441,223688.947069607
276531,270560.400880178
568276,748990.023487972
319921,353518.293327771
322010,347116.573544898
566432,538292.057476243
261066,261335.542084098
336604,284986.877020041
247151,192281.570097275
335307,345175.015176976
324825,248456.810620806
384900,145256.495891043
450407,504862.591013
315362,327763.877682033
303019,305897.618028308
332103,383519.56881721
444934,400180.919842931
298541,287532.642377498
438966,562041.928292342
328538,211158.314558608
293288,303419.720552191
292151,174680.437216987
313933,296980.27768071
304074,340030.81066543
295689,254840.648589623
324801,371114.576931905
286969,254658.845630919
326800,253449.272858513
298805,252277.653527959
388253,460749.55914908
355489,254737.490515973
303718,336410.313497065
399961,323949.544004648
690092,659139.738393885
358069,272567.304421954
273632,310228.139825513
578714,330683.572594077
424086,426583.490726648
466530,477712.557247166
443334,513717.659371749
295764,360354.832200415
480772,555156.95301006
495790,419926.3150093
368448,298628.405877761
385026,312715.32903997
380418,318342.341023672
533170,505924.803836473
302955,395329.47697937
306390,342696.294047139
314787,383301.315439803
346836,303684.809422495
442345,427822.909179783
297867,415497.8800066
442775,344334.463491134
277545,326490.275518085
440002,481276.635203866
506433,423661.313352323
520261,616638.44831551
466843,529558.847681397
543094,507181.31440938
439898,462944.733506947
314032,262898.262405402
340165,319220.46066268
591529,449713.840080257
299114,318964.035077776
619995,515173.053218395
444635,399799.126754053
401587,409466.890223976
301578,242950.369656775
293594,245090.07165816
452982,467492.750749036
319381,377381.06114396
325808,475340.864399536
298905,296923.729551953
334095,283010.279125185
298905,309262.624978996
329430,337951.085849472
359732,293148.709381794
301006,313011.993377008
520245,510817.696065404
409727,306551.91594777
326544,324449.355800763
338139,322339.839387296
313972,281723.703324308
1408207,1217664.87957552
415077,376683.890663578
626387,604240.653802503
414795,410885.345092595
395353,399014.789172276
640257,555670.592593632
377948,432351.521870664
428692,384065.682687621
334435,337948.143164479
291325,232569.214719933
370290,436697.459904773
335027,332221.862267813
296940,189546.392217404
320243,256714.38976296
368673,182602.724229488
416728,402667.79839513
297738,235352.892965619
371509,359438.850096229
375420,191775.938492955
392105,226653.146147406
280131,189426.403699681
271987,152164.773176863
252238,245870.00709936
309243,307416.46625463
277969,180334.614630838
433409,425839.529260811
267208,297053.21613213
348327,337320.724102722
277486,197330.001830059
358653,204660.336191983
244398,200276.847979743
311949,353337.222793513
237850,223223.216887771
536520,481160.941351616
367222,394889.358938029
321769,326614.3180597
269504,284247.56267133
287420,308783.258208469
497263,456837.36852881
499243,457118.319176569
420730,359069.734592063
291388,283233.763374545
457951,323786.526734493
417701,400023.431039333
332808,382039.409729362
263410,251282.1563719
