start,execution_time
1704535802064866812,209134446
1704535802332616192,190996905
1704535802565934586,173173770
1704535802847235217,167950364
1704535803076517795,206895948
1704535803344001413,188200973
1704535803589707162,141764017
1704535803835663382,140310026
1704535804044610246,139462211
1704535804254821694,141421322
1704535804480730757,134742325
1704535804731721692,120612618
1704535804934837210,179372592
1704535805169729310,138138490
1704535805399893230,139391975
1704535805622523046,126858135
1704535805870122592,161525568
1704535806099660712,137169028
1704535806334409335,128054384
1704535806571930088,141048909
1704535806802360222,141403796
1704535807023629826,180041591
1704535807270843273,139012584
1704535807509814583,148220724
1704535807736629847,197149432
1704535808019158435,141550123
1704535808257947541,139865644
1704535808483815944,140152006
1704535808744977941,181970744
1704535808971256209,143810778
1704535809215241576,165145015
1704535809445517719,145228670
1704535809665330561,161634315
1704535809891119122,137378886
1704535810124105941,129294295
1704535810397058796,153602978
1704535810622185602,134587586
1704535810835557843,156923435
1704535811100894273,227198322
1704535811357451185,204225608
1704535811643504791,213133735
1704535811908133867,197840420
1704535812171628477,186650021
1704535812508135590,211989315
1704535812794986386,190579265
1704535813077851753,192385374
1704535813316672261,199121113
1704535813657117711,226038109
1704535813977009243,261171474
1704535814264996463,174513874
1704535814492472451,210619476
1704535814746003355,205892148
1704535814976003541,187885281
1704535815280421784,202466230
1704535815538781536,296809459
1704535815864145422,235086813
1704535816152236732,188783518
1704535816404611107,242427906
1704535816687704669,305273893
1704535816993399665,197909550
1704535817207387825,277415998
1704535817485108101,222323380
1704535817738581026,235454406
1704535817992935997,184480057
1704535818281375355,230490636
1704535818577053607,218978956
1704535818848346446,211161065
1704535819097772113,180887478
1704535819380164527,153091537
1704535819637823385,182061799
1704535819924110896,258585096
1704535820237894345,185933075
1704535820497874087,202849952
1704535820789648895,176294986
1704535821058446921,234554514
1704535821341596919,242945758
1704535821597266194,217614557
1704535821880025094,301985510
1704535822182468562,196972204
1704535822436545562,223963552
1704535822698044352,229403096
1704535822960574465,242979829
1704535823245631789,220857498
1704535823564228481,196300983
1704535823820819373,230146099
1704535824092880967,222940314
1704535824366618285,231375283
1704535824673045824,201899464
1704535824931769881,205653353
1704535825170936547,199478759
1704535825432376262,268178770
1704535825715773192,193044680
1704535825963113200,212909789
1704535826237202858,192210711
1704535826540360808,270525054
1704535826811131274,259885294
1704535827074176719,199367129
1704535827352889510,231106096
1704535827643883535,193764740
1704535827916136608,201886432
1704535828188094692,222166320
1704535828459406212,234801320
1704535828739547505,240931076
1704535829030016890,247237398
1704535829305438027,204593263
1704535829596710104,224535224
1704535829871337901,283530389
1704535830172255330,175393638
1704535830438518254,228115842
1704535830713476819,253349081
1704535831013397274,255642711
1704535831280002375,191070986
1704535831562793007,245936573
1704535831811344784,223503960
1704535832061681906,215356229
1704535832349588681,247487966
1704535832597385438,229619505
1704535832882461633,245482885
1704535833141063843,174254797
1704535833396221340,174485423
1704535833680101776,205013590
1704535833942853911,245207278
