"start","execution_time","solo"
1704535803219926784,93966667,54549996.4972569
1704535803265202688,76230948,51389713.8335215
1704535803513066240,43339169,29059830.5010109
1704535803664187136,60572934,44549746.1321534
1704535803987246080,130198359,105312995.566685
1704535804088481536,53752534,22507068.1946938
1704535804268219136,72637057,43742662.0652934
1704535804488839680,89179440,71224049.4260135
1704535804517416960,94608784,27983613.6562053
1704535804895432192,51510213,34359573.0275406
1704535804996543744,56070142,46794896.2916515
1704535805061557760,29957407,16184868.9882181
1704535805178246144,72750493,21983101.608961
1704535805313568768,34874795,14847599.3248483
1704535805418813440,70101483,39663941.9053332
1704535805627699200,87867123,62976668.1846367
1704535805636515328,119995348,35271221.0250659
1704535805874443776,79883053,37611435.337083
1704535805973370880,45865134,16348211.2171196
1704535806159014912,49200658,21563472.2921346
1704535806268177408,138205145,92650379.6604562
1704535806406648320,34248385,16879541.9717975
1704535806585851392,65448214,10556152.6944733
1704535806677871104,39016248,30728948.2703373
1704535806829487616,55283385,20095899.8823097
1704535806972278784,40736014,25815839.4123666
1704535807030873344,83560663,65537201.1032619
1704535807117200640,39253987,23004759.5784726
1704535807284014592,78394479,41295445.891048
1704535807289661952,109237551,53810641.8007191
1704535807700408320,61224625,51453616.8512778
1704535807790923776,69541781,38013628.8326908
1704535807875261696,47319499,33578657.8296768
1704535808113246208,40462771,41363459.6648047
1704535808185745920,152813936,105173323.41275
1704535808353965568,47192332,21318350.9075353
1704535808490929664,71566352,42396474.2785101
1704535808577306624,37665716,26650121.3540079
1704535808742414848,86107246,24483568.7449141
1704535808747092992,120309725,111595701.657205
1704535808976921856,69735133,47209635.9669591
1704535809223123456,65864931,43712214.8162152
1704535809454577664,71645493,32199556.7072259
1704535809696296960,48247237,49105206.6580767
1704535809836534016,126866422,74382616.1915962
1704535809891060736,102452186,41033010.3828182
1704535810050587904,149801625,46607407.1835641
1704535810124364800,113390548,76030225.6066795
1704535810334168064,132580916,114695555.676154
1704535810400781312,99478591,77028083.545444
1704535810547502080,151885189,30323085.4675612
1704535810783976448,38121545,28031743.6952412
1704535810837521920,66328223,45870345.2296305
1704535810933888256,35977384,18761334.5127998
1704535811104514048,98787605,81122666.7701642
1704535811260204032,58701262,52306420.6916545
1704535811266691840,179596872,82507264.6772901
1704535811349903360,138672940,64443214.7777441
1704535811653746944,89081415,45297652.526791
1704535811991494656,49438932,43033156.4056713
1704535812181121536,87021534,38878761.2169077
1704535812498470912,136446546,91550443.3909621
1704535813079437312,89146772,73994311.2551187
1704535813327780096,87072403,49377763.9109958
1704535813734788608,89511498,31971077.735741
1704535813837471232,66811110,45818346.9647522
1704535814137760768,93728788,56213315.0443065
1704535814217027584,93428419,38764683.9811441
1704535814319706880,30983770,17374777.8031245
1704535814814851584,62644069,51076400.1225881
1704535814928504064,140624607,14888506.8797601
1704535815114242560,38920506,17081467.2151917
1704535815207838208,141470858,86507053.7831583
1704535815638076416,76326612,37832622.1427072
1704535815879651840,114223090,75018390.9432084
1704535816478674944,54116616,56252251.8369441
1704535816661079552,57687484,61764719.3888725
1704535816718976000,34803138,24526111.0694577
1704535816839705344,29683702,17483809.8627919
1704535817022430464,34612544,15339291.2293875
1704535817107085312,55113723,23328768.2165122
1704535817122187520,163164593,47334889.429194
1704535817207017984,135076530,67269453.6027616
1704535817483926528,72217616,51694956.5334168
1704535817730839552,116314536,86832102.6765425
1704535817828465920,63613043,41454337.1975727
1704535817986683392,94861129,85183522.0917366
1704535818284370176,92616361,64981346.0585779
1704535818569829376,80769097,69702428.7071723
1704535818946076672,56331646,25757199.9906542
1704535819030011904,39584384,20976590.31373
1704535819194313984,65805090,68297181.9266226
1704535819261756928,38010356,21834022.975581
1704535819324494080,133550621,87974906.2006562
1704535819709546240,53886035,24116824.8575345
1704535820115654656,40268130,41334269.3801765
1704535820393543680,41586457,19640972.3387525
1704535820458310400,140491811,82411063.1814153
1704535820519783680,116403482,87524007.9478321
1704535820757174272,125103512,84915061.1607765
1704535820971706368,38760230,20481752.1392654
1704535820985821184,179322683,132757800.756825
1704535821068095488,131197099,93064906.2656734
1704535821476169984,84268652,47298593.6444787
1704535821517166592,71730741,50519241.8706659
1704535821560609280,112302719,13916219.6951762
1704535821589284864,164461446,32402136.0035764
1704535822053025280,35256054,22644032.8807441
1704535822115517952,125218792,50134026.3667167
1704535822160595968,128807475,74600889.329531
1704535822606292480,39011590,25607688.6573561
1704535822702174208,114122795,65644543.3384567
1704535822953182720,36243075,29940194.4801543
1704535823134441216,31798356,10928452.9086722
1704535823135038464,57624989,28067651.8721031
1704535823181325056,165471556,65109284.3098723
1704535823419289600,48632636,39206553.5275677
1704535823569766656,66751002,61721558.8434905
1704535823823336448,75344697,36987625.015787
1704535823925021440,25722876,11648549.2730979
1704535824071083008,95101568,51062857.6794704
1704535824094519040,98073790,52917759.5796586
1704535824373031680,93702125,63111379.5793926
1704535824763143168,59344340,29215578.9365799
1704535824875589632,116245201,97275860.8295073
1704535825025044992,59071536,33544043.421904
1704535825277974528,50467337,33480475.7615467
1704535825377878784,62065368,45670513.3963077
1704535825522597120,29541189,7792794.01570068
1704535826053140992,54413363,38136396.1696651
1704535826161844736,30041165,23323954.1583767
1704535826383520768,33384768,22279766.212931
1704535826417013248,26010083,23948038.3059361
1704535826537789184,85989441,78392786.62396
1704535826809561600,161444625,93166406.0235284
1704535826897251840,114678334,79680820.6580764
1704535827051842560,90457681,48406786.8237172
1704535827089035264,114094555,21217865.5410393
1704535827364494080,93409711,62108635.4304557
1704535827807795712,40789295,29542091.6407371
1704535827889055744,102470760,88575881.7600974
1704535827921056256,97397244,42419264.2797658
1704535828352876544,34436032,28568381.4600338
1704535828441028608,95303751,58194555.4142404
1704535828504577280,62069120,53634685.2043808
1704535828747651584,75624994,39148979.4289593
1704535828813132800,48978498,33927991.2047487
1704535829189402880,40271935,17822111.3219023
1704535829322763520,75831544,51330733.4992969
1704535829586352640,98541525,66615171.8258322
1704535829957018880,51597239,33516438.2888728
1704535830065038336,32566844,18873492.3630036
1704535830201136384,69723369,37603856.9409984
1704535830289075712,31184720,10684073.9653385
1704535830650129920,33661815,19191711.9721785
1704535830786331136,36863279,27295724.2821286
1704535830794188544,75155477,41624867.7769693
1704535831020050432,80191646,55957505.6999417
1704535831237514240,122807478,63676130.0241375
1704535831453740544,35626759,16945116.9554022
1704535831740418304,38283809,31000451.4912879
1704535831894185216,41479533,33206976.4681387
1704535832061548032,85315335,55229533.0688212
1704535832078807552,98931595,61267603.3099231
1704535832534468864,160911560,84517677.6605508
1704535832695927808,23777059,19351766.7310796
1704535832910175232,88605196,45357390.7625868
1704535833141666816,62384746,35285073.1507845
1704535833303427584,37564038,5414662.24823218
1704535833321101056,180268396,99075506.7633296
1704535833485093120,61792239,59456649.4958522
1704535833743589888,57378184,27232934.6640768
1704535833859218944,50271354,25921536.5031837
1704535833925669888,105606634,40215256.6510176
1704535833980756736,82297560,50476527.1025764
1704535834231660800,87521588,78133098.9267087
1704535834302202368,42616612,29809205.6935659
1704535834591454208,33284034,25729550.0940756
1704535834708462336,52882618,40074159.4317178
1704535834782704128,105484354,67826725.7333376
1704535834988669952,58793696,48582984.5873077
1704535835285158400,22486041,12801475.3214029
1704535835375067648,56316900,15251227.7672125
1704535835517903872,24710417,27272039.2891466
1704535835577579520,108379480,88805098.5354887
1704535835820051456,35766227,15585970.3076664
1704535835953136896,50329406,27409535.4392137
1704535836067817472,57592862,23998470.4956635
1704535836248269056,37445478,27814926.4097078
1704535836419811584,27581108,11014069.4594635
1704535836580858368,100766781,54589146.1305708
1704535836646134784,60642268,25137447.5712219
1704535836681827328,134183977,40432758.2997036
1704535836795242496,48157543,74161168.6501352
1704535837202204416,77891010,36580331.3398104
1704535837360386304,58597623,57107642.634572
1704535837373906432,68380946,34731130.9102823
1704535837728107264,26136202,16110292.3174322
1704535837745457152,49237699,41957630.9179197
1704535837894860288,26162434,5947199.57629988
1704535837908488192,35372240,40057712.3189352
1704535838086563584,185757334,111139627.428409
1704535838102595840,206150435,75849844.4896951
1704535838564671744,32157259,16116935.6052166
1704535838643459840,119382702,26603235.1506697
1704535838730758144,60018138,39694505.2842872
1704535838947237120,120877917,97202052.5105152
1704535838964108288,145915545,100017286.032233
1704535839237947136,86988575,52302347.4691099
1704535839578161920,47510550,37499495.8914709
1704535839680620544,68015309,36058461.1070326
1704535839788979456,72542387,48235976.8833128
1704535840056497664,96627957,70048877.2213731
1704535840219411456,53026036,42398306.6598797
1704535840272611840,145790228,115186229.71276
1704535840353966080,89002985,41739719.9071843
1704535840755082752,78636490,35041152.075387
1704535840847810304,73791484,19427568.3013407
1704535840926386688,51186471,43384254.7640803
1704535841196661760,53497035,33700771.2780901
1704535841279495936,87815260,61115380.6895961
1704535841298027008,190202198,177490139.778175
1704535841620649984,48633182,22498172.1930708
1704535841672057344,63109304,17096461.9637438
1704535841891337984,34027905,5450654.54821914
1704535841931227136,82238424,65845071.239624
1704535842040298240,54485242,18167524.2674099
1704535842175333888,97007483,56560792.8482941
1704535842355445504,33513963,20288396.2321324
1704535842486682880,73097513,31826947.869816
1704535842719976960,35468839,13415311.1181119
1704535842762184960,94156810,97461858.3670959
1704535842940044288,29630538,24949220.1888361
1704535843031042048,95405107,53430249.739065
1704535843330079744,71423100,71166970.867061
1704535843416558080,32593432,17053270.4701665
1704535843613546496,54500113,57957164.8816503
1704535843619936256,90668607,58663306.8563837
1704535843959267584,63924733,23986341.6772329
1704535844244910080,39641586,25036607.9671892
1704535844388782080,29021398,26733805.3553967
1704535844553027584,38020341,18315582.9724621
1704535844805694720,49462689,37920808.5716155
1704535845077039616,60831544,16148703.4234621
1704535845427985408,57975815,38464465.9330732
1704535845461181184,53604782,40623223.1898137
1704535845486144000,169497444,116814333.347671
1704535845621742080,66012391,58713156.4271622
1704535845907199488,61625818,39534189.5708723
1704535846106861568,62135627,30685176.2689534
1704535846468480256,45413999,24835063.2491661
1704535846600721920,58040749,43580045.2797872
1704535846654144000,103706498,49380375.5022954
1704535846725757440,57812884,17640391.5216979
1704535846990722816,43696861,23856464.0366436
1704535847217660416,108153390,49443329.0788092
1704535847668313856,40246513,29466928.2570006
1704535847797859584,60223976,16755743.4617973
1704535848009851392,128511979,79061658.7066168
1704535848061176320,101180719,62525903.7130781
1704535848502028800,39546639,16561031.4667348
1704535848618024960,98781806,64099971.6490236
1704535848636037120,106268565,94118450.0778683
1704535848889080064,97601839,44983886.8793295
1704535848899083520,138744129,72708936.2535222
1704535849361529344,41767205,27663005.066455
1704535849444292096,114539723,103772221.777682
1704535849488688384,94517771,91860925.6667501
1704535849768726784,78116921,54047611.914953
1704535850052362752,77128866,24521183.3725339
1704535850154969856,56704406,28159530.7916465
1704535850264935680,126241304,77980827.2193645
1704535850315168768,99818166,51432954.0174904
1704535850647186432,34087443,28777796.416761
1704535850751619584,40546887,30323525.0700368
1704535850861136640,87775719,70816459.9741162
1704535850876817408,99395391,101567631.227052
1704535851226568960,54066027,41456997.125198
1704535851310173440,31136289,19590038.3574372
1704535851414273280,78653268,61067468.8249154
1704535851705568000,190703672,159164383.25084
1704535852177383936,66060184,46481756.7582635
1704535852268694016,89045214,89617801.38134
1704535852337082880,76584777,12144141.7612164
1704535852701494784,29299899,2036229.81660476
1704535852792480256,89186831,60135668.1254911
1704535852801020160,128174588,95275092.3807838
1704535853112546560,45761240,30411980.7119028
1704535853252691968,53932442,48435789.9817434
1704535853411145216,67609884,46326304.361092
1704535853768317952,37862372,34037584.5611413
1704535853869683456,189816849,85251677.7305876
1704535854060536832,57152449,34147953.534017
1704535854184373248,82312785,54954974.7163732
1704535854440360448,35957115,13078894.1647618
1704535854508313600,54803229,28380382.9172114
1704535854632618496,36505615,28565618.9355597
1704535854743795456,83904701,46948946.1561791
1704535855017721600,69026926,57898946.2054935
1704535855318520576,84125664,44233636.5998648
1704535855748572416,59035711,34849637.2706171
1704535855752203520,88451893,64729803.6860623
1704535855917062144,27707574,24157891.7571848
1704535855919986944,54960029,27776255.2595251
1704535856563622144,34566418,17396874.2677895
1704535856626603520,98392503,35981536.6575189
1704535856930087680,78233793,55797113.8518635
1704535857473831936,50869412,21633271.6056466
1704535857520821248,34289570,10501800.7731864
1704535857756454656,72699951,46336234.1364284
1704535858204698112,36863726,23760121.382184
1704535858415800064,43498192,29108277.759235
1704535858613688320,74061651,43759857.2039288
1704535858916615936,71980743,43010845.4438307
1704535859068613632,61902395,33075724.2009498
1704535859225931520,50260588,37240365.5614217
1704535859593025536,51445107,29947510.0600721
1704535859625873920,47604311,35518036.2387865
1704535859725974016,74206610,31868131.0826528
1704535859798290432,25397360,9469404.6200948
1704535859995592192,49550001,46163879.217911
1704535860405010944,29091203,10197040.8329949
1704535860405010432,191531546,147722756.65456
1704535860509014784,116893963,96299020.8195083
1704535860954251776,44131140,35066881.7642653
1704535860975606272,155103185,103603435.153429
1704535861054940160,113555716,94633396.960664
1704535861501052160,37045089,27711477.7112386
1704535861589017088,73412278,29638021.9005567
1704535861692543744,37954581,24582751.0565554
1704535861904262144,65624463,44116282.7367819
1704535862023859200,38037118,22493045.3507024
1704535862151359744,65530206,46914061.0024846
1704535862395736320,95438323,32945976.1556288
1704535862401724160,113203663,105081297.312129
1704535862730894848,44209697,40807284.456332
1704535862820906240,33446194,11909583.1987916
1704535863021199360,22142322,14670065.5737875
1704535863182463744,89437527,69056866.2116103
1704535863437039360,53097793,25102167.6659894
1704535863464262144,95868701,42944264.7144459
1704535863490316288,95729293,44424648.2691032
1704535863743318528,62813037,44283186.2694544
1704535863989583872,126640088,78010639.5923363
1704535864405035008,29811897,21106684.9761838
1704535864491796736,40663205,27879805.8144345
1704535864578516480,136888626,123407963.238495
1704535864641884672,104207425,66696568.8425263
1704535864973758720,59772750,21134707.9686643
1704535865134404096,93353785,62186809.6207813
1704535865402126336,27197457,8427271.5361342
1704535865533792000,40821895,22781499.9029951
1704535865630864896,48096544,39389050.8579425
1704535866011236096,45829518,36882782.4463458
1704535866114211584,48404031,31380813.1545772
1704535866216014080,31147497,23806165.0313207
1704535866335538176,78178810,50919451.3630059
1704535866950446592,34770670,16649433.7577485
1704535867220069120,48653254,39446948.6196839
1704535867574151936,58204025,52111225.3639336
1704535867725096448,85511726,43907481.3781006
1704535868187333120,61568704,19157061.587576
1704535868246309888,47750127,25093671.563241
1704535868287584256,92317733,71849863.2971164
1704535868527133440,46072158,20568219.0876798
1704535868675578368,53780981,16663155.2731551
1704535868737441280,30241127,18482946.8637876
1704535869204041216,32377223,11701272.7838419
1704535869312516864,39964974,12585459.3942734
1704535869315111680,170843232,119818278.625026
1704535869420021248,93207584,47740474.5123469
1704535869788398336,51911668,32434197.627207
1704535869890801152,34064024,18999192.8356667
1704535869989022720,75421646,43370752.519641
1704535870041917440,51281039,40203346.3842732
1704535870495131136,43672443,20920939.026941
1704535870786375168,54015427,36351833.5735303
1704535870951362560,40980353,34094505.5811247
1704535871253099776,95114687,73360901.4180443
1704535871453942784,35654428,24288689.8323766
1704535871489751040,64150299,59743233.6516612
1704535871595186688,43547569,39420229.4964331
1704535871761840384,35140283,18456049.9252078
1704535872008836864,39203978,23355071.6514959
1704535872048207360,32854127,21246476.8254971
1704535872073992960,62509847,55721542.6641246
1704535872490068224,56045775,31712636.9107717
1704535872616396544,35119645,16196317.4303153
1704535872638140160,39380448,31051292.7969477
1704535872993226752,46688141,43066154.7975176
1704535872997053952,66500457,69722423.226247
1704535873136130816,52727291,34819462.4966087
1704535873187154176,37663174,21570051.6789705
1704535873608448000,51239707,35410549.7306253
