,ts_start,ts_end,type,component,execution_time,ts_cam,ts_lidar,ts_radar,lat_cam,lat_lidar,lat_radar,is_finish
0,1656481741009322671,1656481741009363548,Timing,RTKLocalizationComponent::Proc,40877,0,0,0,1656481741009363548,1656481741009363548,1656481741009363548,0
1,1656481741087432856,1656481741087592419,Timing,RTKLocalizationComponent::Proc,159563,0,0,0,1656481741087592419,1656481741087592419,1656481741087592419,1
2,1656481741167356638,1656481741167405629,Timing,RTKLocalizationComponent::Proc,48991,0,0,0,1656481741167405629,1656481741167405629,1656481741167405629,1
3,1656481741247706818,1656481741247752859,Timing,RTKLocalizationComponent::Proc,46041,0,0,0,1656481741247752859,1656481741247752859,1656481741247752859,1
4,1656481741327492871,1656481741327564212,Timing,RTKLocalizationComponent::Proc,71341,0,0,0,1656481741327564212,1656481741327564212,1656481741327564212,1
5,1656481741407520284,1656481741407601642,Timing,RTKLocalizationComponent::Proc,81358,0,0,0,1656481741407601642,1656481741407601642,1656481741407601642,1
6,1656481741487377423,1656481741487432599,Timing,RTKLocalizationComponent::Proc,55176,0,0,0,1656481741487432599,1656481741487432599,1656481741487432599,1
7,1656481741567840172,1656481741567908358,Timing,RTKLocalizationComponent::Proc,68186,0,0,0,1656481741567908358,1656481741567908358,1656481741567908358,1
8,1656481741647497565,1656481741647558458,Timing,RTKLocalizationComponent::Proc,60893,0,0,0,1656481741647558458,1656481741647558458,1656481741647558458,1
9,1656481741729606681,1656481741729652111,Timing,RTKLocalizationComponent::Proc,45430,0,0,0,1656481741729652111,1656481741729652111,1656481741729652111,1
10,1656481741807429395,1656481741807497286,Timing,RTKLocalizationComponent::Proc,67891,0,0,0,1656481741807497286,1656481741807497286,1656481741807497286,1
11,1656481741887500482,1656481741887575968,Timing,RTKLocalizationComponent::Proc,75486,0,0,0,1656481741887575968,1656481741887575968,1656481741887575968,1
12,1656481741967522115,1656481741967587531,Timing,RTKLocalizationComponent::Proc,65416,0,0,0,1656481741967587531,1656481741967587531,1656481741967587531,1
13,1656481742050407786,1656481742050460975,Timing,RTKLocalizationComponent::Proc,53189,0,0,0,1656481742050460975,1656481742050460975,1656481742050460975,1
14,1656481742130549157,1656481742130639125,Timing,RTKLocalizationComponent::Proc,89968,0,0,0,1656481742130639125,1656481742130639125,1656481742130639125,1
15,1656481742207410523,1656481742207462255,Timing,RTKLocalizationComponent::Proc,51732,0,0,0,1656481742207462255,1656481742207462255,1656481742207462255,1
16,1656481742287596338,1656481742287643712,Timing,RTKLocalizationComponent::Proc,47374,0,0,0,1656481742287643712,1656481742287643712,1656481742287643712,1
17,1656481742367375312,1656481742367429224,Timing,RTKLocalizationComponent::Proc,53912,0,0,0,1656481742367429224,1656481742367429224,1656481742367429224,1
18,1656481742448284246,1656481742448375515,Timing,RTKLocalizationComponent::Proc,91269,0,0,0,1656481742448375515,1656481742448375515,1656481742448375515,1
19,1656481742528028544,1656481742528078433,Timing,RTKLocalizationComponent::Proc,49889,0,0,0,1656481742528078433,1656481742528078433,1656481742528078433,1
20,1656481742607423148,1656481742607472298,Timing,RTKLocalizationComponent::Proc,49150,0,0,0,1656481742607472298,1656481742607472298,1656481742607472298,1
21,1656481742687515244,1656481742687564751,Timing,RTKLocalizationComponent::Proc,49507,0,0,0,1656481742687564751,1656481742687564751,1656481742687564751,1
22,1656481742767411389,1656481742767461712,Timing,RTKLocalizationComponent::Proc,50323,0,0,0,1656481742767461712,1656481742767461712,1656481742767461712,1
23,1656481742847515977,1656481742847565309,Timing,RTKLocalizationComponent::Proc,49332,0,0,0,1656481742847565309,1656481742847565309,1656481742847565309,1
24,1656481742927521363,1656481742927570221,Timing,RTKLocalizationComponent::Proc,48858,0,0,0,1656481742927570221,1656481742927570221,1656481742927570221,1
25,1656481743011579890,1656481743011633734,Timing,RTKLocalizationComponent::Proc,53844,0,0,0,1656481743011633734,1656481743011633734,1656481743011633734,1
26,1656481743092699667,1656481743092956365,Timing,RTKLocalizationComponent::Proc,256698,0,0,0,1656481743092956365,1656481743092956365,1656481743092956365,1
27,1656481743170770314,1656481743170847102,Timing,RTKLocalizationComponent::Proc,76788,0,0,0,1656481743170847102,1656481743170847102,1656481743170847102,1
28,1656481743253336024,1656481743253411888,Timing,RTKLocalizationComponent::Proc,75864,0,0,0,1656481743253411888,1656481743253411888,1656481743253411888,1
29,1656481743330683326,1656481743330747713,Timing,RTKLocalizationComponent::Proc,64387,0,0,0,1656481743330747713,1656481743330747713,1656481743330747713,1
30,1656481743410790329,1656481743410872344,Timing,RTKLocalizationComponent::Proc,82015,0,0,0,1656481743410872344,1656481743410872344,1656481743410872344,1
31,1656481743490762574,1656481743490831980,Timing,RTKLocalizationComponent::Proc,69406,0,0,0,1656481743490831980,1656481743490831980,1656481743490831980,1
32,1656481743574645099,1656481743574936227,Timing,RTKLocalizationComponent::Proc,291128,0,0,0,1656481743574936227,1656481743574936227,1656481743574936227,1
33,1656481743650809152,1656481743650876808,Timing,RTKLocalizationComponent::Proc,67656,0,0,0,1656481743650876808,1656481743650876808,1656481743650876808,1
34,1656481743730864540,1656481743731000441,Timing,RTKLocalizationComponent::Proc,135901,0,0,0,1656481743731000441,1656481743731000441,1656481743731000441,1
35,1656481743816243507,1656481743816315972,Timing,RTKLocalizationComponent::Proc,72465,0,0,0,1656481743816315972,1656481743816315972,1656481743816315972,1
36,1656481743890748258,1656481743890823236,Timing,RTKLocalizationComponent::Proc,74978,0,0,0,1656481743890823236,1656481743890823236,1656481743890823236,1
37,1656481743976314594,1656481743976406741,Timing,RTKLocalizationComponent::Proc,92147,0,0,0,1656481743976406741,1656481743976406741,1656481743976406741,1
38,1656481744054791929,1656481744054873540,Timing,RTKLocalizationComponent::Proc,81611,0,0,0,1656481744054873540,1656481744054873540,1656481744054873540,1
39,1656481744134511316,1656481744134632898,Timing,RTKLocalizationComponent::Proc,121582,0,0,0,1656481744134632898,1656481744134632898,1656481744134632898,1
40,1656481744214473055,1656481744214536894,Timing,RTKLocalizationComponent::Proc,63839,0,0,0,1656481744214536894,1656481744214536894,1656481744214536894,1
41,1656481744294563930,1656481744294630669,Timing,RTKLocalizationComponent::Proc,66739,0,0,0,1656481744294630669,1656481744294630669,1656481744294630669,1
42,1656481744374583496,1656481744374678886,Timing,RTKLocalizationComponent::Proc,95390,0,0,0,1656481744374678886,1656481744374678886,1656481744374678886,1
43,1656481744454514646,1656481744454587874,Timing,RTKLocalizationComponent::Proc,73228,0,0,0,1656481744454587874,1656481744454587874,1656481744454587874,1
44,1656481744534496485,1656481744534570514,Timing,RTKLocalizationComponent::Proc,74029,0,0,0,1656481744534570514,1656481744534570514,1656481744534570514,1
45,1656481744614579343,1656481744614654254,Timing,RTKLocalizationComponent::Proc,74911,0,0,0,1656481744614654254,1656481744614654254,1656481744614654254,1
46,1656481744694563901,1656481744694633916,Timing,RTKLocalizationComponent::Proc,70015,0,0,0,1656481744694633916,1656481744694633916,1656481744694633916,1
47,1656481744775293592,1656481744775494806,Timing,RTKLocalizationComponent::Proc,201214,0,0,0,1656481744775494806,1656481744775494806,1656481744775494806,1
48,1656481744857296878,1656481744857411896,Timing,RTKLocalizationComponent::Proc,115018,0,0,0,1656481744857411896,1656481744857411896,1656481744857411896,1
49,1656481744934660636,1656481744934728696,Timing,RTKLocalizationComponent::Proc,68060,0,0,0,1656481744934728696,1656481744934728696,1656481744934728696,1
50,1656481745027628901,1656481745027717622,Timing,RTKLocalizationComponent::Proc,88721,0,0,0,1656481745027717622,1656481745027717622,1656481745027717622,1
51,1656481745094489704,1656481745094568196,Timing,RTKLocalizationComponent::Proc,78492,0,0,0,1656481745094568196,1656481745094568196,1656481745094568196,1
52,1656481745174674426,1656481745174816401,Timing,RTKLocalizationComponent::Proc,141975,0,0,0,1656481745174816401,1656481745174816401,1656481745174816401,1
53,1656481745254565546,1656481745254646002,Timing,RTKLocalizationComponent::Proc,80456,0,0,0,1656481745254646002,1656481745254646002,1656481745254646002,1
54,1656481745334630236,1656481745334706224,Timing,RTKLocalizationComponent::Proc,75988,0,0,0,1656481745334706224,1656481745334706224,1656481745334706224,1
55,1656481745414684309,1656481745414754823,Timing,RTKLocalizationComponent::Proc,70514,0,0,0,1656481745414754823,1656481745414754823,1656481745414754823,1
56,1656481745494578846,1656481745494653586,Timing,RTKLocalizationComponent::Proc,74740,0,0,0,1656481745494653586,1656481745494653586,1656481745494653586,1
57,1656481745574584833,1656481745574664632,Timing,RTKLocalizationComponent::Proc,79799,0,0,0,1656481745574664632,1656481745574664632,1656481745574664632,1
58,1656481745654505057,1656481745654572267,Timing,RTKLocalizationComponent::Proc,67210,0,0,0,1656481745654572267,1656481745654572267,1656481745654572267,1
59,1656481745736617899,1656481745736905825,Timing,RTKLocalizationComponent::Proc,287926,0,0,0,1656481745736905825,1656481745736905825,1656481745736905825,1
60,1656481745814532994,1656481745814609067,Timing,RTKLocalizationComponent::Proc,76073,0,0,0,1656481745814609067,1656481745814609067,1656481745814609067,1
61,1656481745894690965,1656481745894775407,Timing,RTKLocalizationComponent::Proc,84442,0,0,0,1656481745894775407,1656481745894775407,1656481745894775407,1
62,1656481745974493624,1656481745974563646,Timing,RTKLocalizationComponent::Proc,70022,0,0,0,1656481745974563646,1656481745974563646,1656481745974563646,1
63,1656481746054477459,1656481746054562223,Timing,RTKLocalizationComponent::Proc,84764,0,0,0,1656481746054562223,1656481746054562223,1656481746054562223,1
64,1656481746140607434,1656481746140686505,Timing,RTKLocalizationComponent::Proc,79071,0,0,0,1656481746140686505,1656481746140686505,1656481746140686505,1
65,1656481746220157245,1656481746220322316,Timing,RTKLocalizationComponent::Proc,165071,0,0,0,1656481746220322316,1656481746220322316,1656481746220322316,1
66,1656481746301199746,1656481746301285886,Timing,RTKLocalizationComponent::Proc,86140,0,0,0,1656481746301285886,1656481746301285886,1656481746301285886,1
67,1656481746380531166,1656481746380595504,Timing,RTKLocalizationComponent::Proc,64338,0,0,0,1656481746380595504,1656481746380595504,1656481746380595504,1
68,1656481746460090496,1656481746460159461,Timing,RTKLocalizationComponent::Proc,68965,0,0,0,1656481746460159461,1656481746460159461,1656481746460159461,1
69,1656481746540121017,1656481746540192145,Timing,RTKLocalizationComponent::Proc,71128,0,0,0,1656481746540192145,1656481746540192145,1656481746540192145,1
70,1656481746620721002,1656481746620787576,Timing,RTKLocalizationComponent::Proc,66574,0,0,0,1656481746620787576,1656481746620787576,1656481746620787576,1
71,1656481746700194638,1656481746700262862,Timing,RTKLocalizationComponent::Proc,68224,0,0,0,1656481746700262862,1656481746700262862,1656481746700262862,1
72,1656481746780144169,1656481746780219779,Timing,RTKLocalizationComponent::Proc,75610,0,0,0,1656481746780219779,1656481746780219779,1656481746780219779,1
73,1656481746860550919,1656481746860620820,Timing,RTKLocalizationComponent::Proc,69901,0,0,0,1656481746860620820,1656481746860620820,1656481746860620820,1
74,1656481746940257183,1656481746940323233,Timing,RTKLocalizationComponent::Proc,66050,0,0,0,1656481746940323233,1656481746940323233,1656481746940323233,1
75,1656481747020145707,1656481747020216493,Timing,RTKLocalizationComponent::Proc,70786,0,0,0,1656481747020216493,1656481747020216493,1656481747020216493,1
76,1656481747108661988,1656481747108729995,Timing,RTKLocalizationComponent::Proc,68007,0,0,0,1656481747108729995,1656481747108729995,1656481747108729995,1
77,1656481747180211940,1656481747180285125,Timing,RTKLocalizationComponent::Proc,73185,0,0,0,1656481747180285125,1656481747180285125,1656481747180285125,1
78,1656481747260951521,1656481747261081683,Timing,RTKLocalizationComponent::Proc,130162,0,0,0,1656481747261081683,1656481747261081683,1656481747261081683,1
79,1656481747340341947,1656481747340433168,Timing,RTKLocalizationComponent::Proc,91221,0,0,0,1656481747340433168,1656481747340433168,1656481747340433168,1
80,1656481747420208127,1656481747420276100,Timing,RTKLocalizationComponent::Proc,67973,0,0,0,1656481747420276100,1656481747420276100,1656481747420276100,1
81,1656481747500119294,1656481747500186764,Timing,RTKLocalizationComponent::Proc,67470,0,0,0,1656481747500186764,1656481747500186764,1656481747500186764,1
82,1656481747580189647,1656481747580266777,Timing,RTKLocalizationComponent::Proc,77130,0,0,0,1656481747580266777,1656481747580266777,1656481747580266777,1
83,1656481747660140119,1656481747660222233,Timing,RTKLocalizationComponent::Proc,82114,0,0,0,1656481747660222233,1656481747660222233,1656481747660222233,1
84,1656481747740428874,1656481747740500366,Timing,RTKLocalizationComponent::Proc,71492,0,0,0,1656481747740500366,1656481747740500366,1656481747740500366,1
85,1656481747820025581,1656481747820103631,Timing,RTKLocalizationComponent::Proc,78050,0,0,0,1656481747820103631,1656481747820103631,1656481747820103631,1
86,1656481747908223902,1656481747908304397,Timing,RTKLocalizationComponent::Proc,80495,0,0,0,1656481747908304397,1656481747908304397,1656481747908304397,1
87,1656481747980144908,1656481747980219404,Timing,RTKLocalizationComponent::Proc,74496,0,0,0,1656481747980219404,1656481747980219404,1656481747980219404,1
88,1656481748060140592,1656481748060223875,Timing,RTKLocalizationComponent::Proc,83283,0,0,0,1656481748060223875,1656481748060223875,1656481748060223875,1
89,1656481748140199484,1656481748140270090,Timing,RTKLocalizationComponent::Proc,70606,0,0,0,1656481748140270090,1656481748140270090,1656481748140270090,1
90,1656481748220479913,1656481748220553659,Timing,RTKLocalizationComponent::Proc,73746,0,0,0,1656481748220553659,1656481748220553659,1656481748220553659,1
91,1656481748300318273,1656481748300425744,Timing,RTKLocalizationComponent::Proc,107471,0,0,0,1656481748300425744,1656481748300425744,1656481748300425744,1
92,1656481748380169567,1656481748380240284,Timing,RTKLocalizationComponent::Proc,70717,0,0,0,1656481748380240284,1656481748380240284,1656481748380240284,1
93,1656481748460135641,1656481748460203258,Timing,RTKLocalizationComponent::Proc,67617,0,0,0,1656481748460203258,1656481748460203258,1656481748460203258,1
94,1656481748540039315,1656481748540133608,Timing,RTKLocalizationComponent::Proc,94293,0,0,0,1656481748540133608,1656481748540133608,1656481748540133608,1
95,1656481748620038091,1656481748620108133,Timing,RTKLocalizationComponent::Proc,70042,0,0,0,1656481748620108133,1656481748620108133,1656481748620108133,1
96,1656481748700122807,1656481748700199328,Timing,RTKLocalizationComponent::Proc,76521,0,0,0,1656481748700199328,1656481748700199328,1656481748700199328,1
97,1656481748780359124,1656481748780459165,Timing,RTKLocalizationComponent::Proc,100041,0,0,0,1656481748780459165,1656481748780459165,1656481748780459165,1
98,1656481748860431238,1656481748860521983,Timing,RTKLocalizationComponent::Proc,90745,0,0,0,1656481748860521983,1656481748860521983,1656481748860521983,1
99,1656481748949313026,1656481748949385170,Timing,RTKLocalizationComponent::Proc,72144,0,0,0,1656481748949385170,1656481748949385170,1656481748949385170,1
100,1656481749026571362,1656481749026659418,Timing,RTKLocalizationComponent::Proc,88056,0,0,0,1656481749026659418,1656481749026659418,1656481749026659418,1
101,1656481749100093653,1656481749100158012,Timing,RTKLocalizationComponent::Proc,64359,0,0,0,1656481749100158012,1656481749100158012,1656481749100158012,1
102,1656481749181246752,1656481749181310870,Timing,RTKLocalizationComponent::Proc,64118,0,0,0,1656481749181310870,1656481749181310870,1656481749181310870,1
103,1656481749272267594,1656481749272349279,Timing,RTKLocalizationComponent::Proc,81685,0,0,0,1656481749272349279,1656481749272349279,1656481749272349279,1
104,1656481749340063418,1656481749340179426,Timing,RTKLocalizationComponent::Proc,116008,0,0,0,1656481749340179426,1656481749340179426,1656481749340179426,1
105,1656481749420134435,1656481749420208485,Timing,RTKLocalizationComponent::Proc,74050,0,0,0,1656481749420208485,1656481749420208485,1656481749420208485,1
106,1656481749500241551,1656481749500304669,Timing,RTKLocalizationComponent::Proc,63118,0,0,0,1656481749500304669,1656481749500304669,1656481749500304669,1
107,1656481749580033201,1656481749580105233,Timing,RTKLocalizationComponent::Proc,72032,0,0,0,1656481749580105233,1656481749580105233,1656481749580105233,1
108,1656481749660049840,1656481749660124338,Timing,RTKLocalizationComponent::Proc,74498,0,0,0,1656481749660124338,1656481749660124338,1656481749660124338,1
109,1656481749740252247,1656481749740393430,Timing,RTKLocalizationComponent::Proc,141183,0,0,0,1656481749740393430,1656481749740393430,1656481749740393430,1
110,1656481749823109082,1656481749823181851,Timing,RTKLocalizationComponent::Proc,72769,0,0,0,1656481749823181851,1656481749823181851,1656481749823181851,1
111,1656481749899929279,1656481749899993609,Timing,RTKLocalizationComponent::Proc,64330,0,0,0,1656481749899993609,1656481749899993609,1656481749899993609,1
112,1656481749980644472,1656481749980709752,Timing,RTKLocalizationComponent::Proc,65280,0,0,0,1656481749980709752,1656481749980709752,1656481749980709752,1
113,1656481750060122106,1656481750060201028,Timing,RTKLocalizationComponent::Proc,78922,0,0,0,1656481750060201028,1656481750060201028,1656481750060201028,1
114,1656481750140091737,1656481750140160353,Timing,RTKLocalizationComponent::Proc,68616,0,0,0,1656481750140160353,1656481750140160353,1656481750140160353,1
115,1656481750220090132,1656481750220163513,Timing,RTKLocalizationComponent::Proc,73381,0,0,0,1656481750220163513,1656481750220163513,1656481750220163513,1
116,1656481750300018064,1656481750300096727,Timing,RTKLocalizationComponent::Proc,78663,0,0,0,1656481750300096727,1656481750300096727,1656481750300096727,1
117,1656481750380119460,1656481750380221098,Timing,RTKLocalizationComponent::Proc,101638,0,0,0,1656481750380221098,1656481750380221098,1656481750380221098,1
