,ts_start,ts_end,type,component,execution_time,ts_cam,ts_lidar,ts_radar,lat_cam,lat_lidar,lat_radar,is_finish
0,1656410854272749107,1656410854272859008,Timing,PlanningComponent::Proc,109901,0,0,0,1656410854272859008,1656410854272859008,1656410854272859008,0
1,1656410854325955163,1656410854326061727,Timing,PlanningComponent::Proc,106564,0,0,0,1656410854326061727,1656410854326061727,1656410854326061727,0
2,1656410854409931554,1656410854410083216,Timing,PlanningComponent::Proc,151662,0,0,0,1656410854410083216,1656410854410083216,1656410854410083216,0
3,1656410854512380100,1656410854514343364,Timing,PlanningComponent::Proc,1963264,1656406911409687007,1656406911481217953,1656406911472462025,3943104656357,3943033125411,3943041881339,1
4,1656410854595241771,1656410854595405322,Timing,PlanningComponent::Proc,163551,1656406911518756121,1656406911562716711,1656406911553172246,3943076649201,3943032688611,3943042233076,1
5,1656410854823494914,1656410854824034670,Timing,PlanningComponent::Proc,539756,1656406911726555163,1656406911779345357,1656406911763512893,3943097479507,3943044689313,3943060521777,1
6,1656410854925301731,1656410854925458671,Timing,PlanningComponent::Proc,156940,1656406911816623922,1656406911896227701,1656406911887343694,3943108834749,3943029230970,3943038114977,1
7,1656410855003203953,1656410855003408732,Timing,PlanningComponent::Proc,204779,1656406911941418581,1656406911969520624,1656406911961150353,3943061990151,3943033888108,3943042258379,1
8,1656410855094377237,1656410855094548504,Timing,PlanningComponent::Proc,171267,1656406912003617301,1656406912066039446,1656406912057599728,3943090931203,3943028509058,3943036948776,1
9,1656410855179635147,1656410855179873620,Timing,PlanningComponent::Proc,238473,1656406912105754758,1656406912146767759,1656406912137888202,3943074118862,3943033105861,3943041985418,1
10,1656410855291856287,1656410855292063861,Timing,PlanningComponent::Proc,207574,1656406912186332510,1656406912263442738,1656406912253939441,3943105731351,3943028621123,3943038124420,1
11,1656410855369601311,1656410855369768863,Timing,PlanningComponent::Proc,167552,1656406912299366693,1656406912342376869,1656406912332943926,3943070402170,3943027391994,3943036824937,1
12,1656410855466107334,1656410855466285635,Timing,PlanningComponent::Proc,178301,1656406912384875949,1656406912437485256,1656406912432225393,3943081409686,3943028800379,3943034060242,1
13,1656410855542457147,1656410855542635986,Timing,PlanningComponent::Proc,178839,1656406912474322059,1656406912509776885,1656406912500975763,3943068313927,3943032859101,3943041660223,1
14,1656410855638150455,1656410855638356598,Timing,PlanningComponent::Proc,206143,1656406912546861607,1656406912609834218,1656406912600845842,3943091494991,3943028522380,3943037510756,1
15,1656410855836806574,1656410855837006579,Timing,PlanningComponent::Proc,200005,1656406912740536926,1656406912804786977,1656406912795021879,3943096469653,3943032219602,3943041984700,1
16,1656410855908101144,1656410855908277004,Timing,PlanningComponent::Proc,175860,1656406912839822540,1656406912872608568,1656406912795021879,3943068454464,3943035668436,3943113255125,1
17,1656410855987187562,1656410855987364049,Timing,PlanningComponent::Proc,176487,1656406912909223735,1656406912958293213,1656406912942598836,3943078140314,3943029070836,3943044765213,1
18,1656410856099963827,1656410856100160333,Timing,PlanningComponent::Proc,196506,1656406912994981627,1656406913073128117,1656406913063834387,3943105178706,3943027032216,3943036325946,1
19,1656410856182144571,1656410856182629978,Timing,PlanningComponent::Proc,485407,1656406913109844815,1656406913146768594,1656406913138409900,3943072785163,3943035861384,3943044220078,1
20,1656410856266423908,1656410856266597118,Timing,PlanningComponent::Proc,173210,1656406913195836522,1656406913217271833,1656406913138409900,3943070760596,3943049325285,3943128187218,1
21,1656410856325812495,1656410856325985885,Timing,PlanningComponent::Proc,173390,1656406913261125011,1656406913297384901,1656406913288054812,3943064860874,3943028600984,3943037931073,1
22,1656410856439880636,1656410856440053885,Timing,PlanningComponent::Proc,173249,1656406913333604810,1656406913412496021,1656406913403763750,3943106449075,3943027557864,3943036290135,1
23,1656410856602502728,1656410856602671666,Timing,PlanningComponent::Proc,168938,1656406913527796780,1656406913572322223,1656406913556522584,3943074874886,3943030349443,3943046149082,1
24,1656410856689075561,1656410856689416112,Timing,PlanningComponent::Proc,340551,1656406913605277070,1656406913661344867,1656406913650671059,3943084139042,3943028071245,3943038745053,1
25,1656410856789164007,1656410856789364548,Timing,PlanningComponent::Proc,200541,1656406913694826310,1656406913761531802,1656406913752636532,3943094538238,3943027832746,3943036728016,1
26,1656410856870064928,1656410856870244542,Timing,PlanningComponent::Proc,179614,1656406913794835997,1656406913832823440,1656406913827638788,3943075408545,3943037421102,3943042605754,1
27,1656410856943918227,1656410856944135580,Timing,PlanningComponent::Proc,217353,1656406913878607395,1656406913908159319,1656406913900049733,3943065528185,3943035976261,3943044085847,1
28,1656410857050548385,1656410857050777016,Timing,PlanningComponent::Proc,228631,1656406913945239498,1656406914023016400,1656406914014317688,3943105537518,3943027760616,3943036459328,1
29,1656410857213416478,1656410857213552223,Timing,PlanningComponent::Proc,135745,1656406914129667346,1656406914184005176,1656406914168508383,3943083884877,3943029547047,3943045043840,1
30,1656410857302564512,1656410857302839188,Timing,PlanningComponent::Proc,274676,1656406914221229700,1656406914273925647,1656406914265821074,3943081609488,3943028913541,3943037018114,1
31,1656410857407413748,1656410857407605417,Timing,PlanningComponent::Proc,191669,1656406914313664202,1656406914377965198,1656406914369866675,3943093941215,3943029640219,3943037738742,1
