ts_start,ts_end,type,component,execution_time,ts_cam,ts_lidar,ts_radar,lat_cam,lat_lidar,lat_radar,is_finish
1656410324777572376,1656410324777754916,Timing,RecognitionComponent::Proc,182540,0,1656410324731454632,0,1656410324777754916,46300284,1656410324777754916,1
1656410324836495556,1656410324836730769,Timing,RecognitionComponent::Proc,235213,0,1656410324799963870,0,1656410324836730769,36766899,1656410324836730769,1
1656410324928156578,1656410324928458083,Timing,RecognitionComponent::Proc,301505,0,1656410324892164080,0,1656410324928458083,36294003,1656410324928458083,1
1656410325019984751,1656410325020263327,Timing,RecognitionComponent::Proc,278576,0,1656410324985361198,0,1656410325020263327,34902129,1656410325020263327,1
1656410325150292113,1656410325150512635,Timing,RecognitionComponent::Proc,220522,0,1656410325132110747,0,1656410325150512635,18401888,1656410325150512635,1
1656410325255574013,1656410325255734531,Timing,RecognitionComponent::Proc,160518,0,1656410325242872686,0,1656410325255734531,12861845,1656410325255734531,1
1656410325337117300,1656410325337312019,Timing,RecognitionComponent::Proc,194719,0,1656410325318887694,0,1656410325337312019,18424325,1656410325337312019,1
1656410325414060742,1656410325414258905,Timing,RecognitionComponent::Proc,198163,0,1656410325389519196,0,1656410325414258905,24739709,1656410325414258905,1
1656410325482464912,1656410325482705686,Timing,RecognitionComponent::Proc,240774,0,1656410325462887047,0,1656410325482705686,19818639,1656410325482705686,1
1656410325674396250,1656410325674667967,Timing,RecognitionComponent::Proc,271717,0,1656410325654433416,0,1656410325674667967,20234551,1656410325674667967,1
1656410325746492829,1656410325746790778,Timing,RecognitionComponent::Proc,297949,0,1656410325730329979,0,1656410325746790778,16460799,1656410325746790778,1
1656410325821259607,1656410325821525123,Timing,RecognitionComponent::Proc,265516,0,1656410325800003668,0,1656410325821525123,21521455,1656410325821525123,1
1656410325930608004,1656410325930825609,Timing,RecognitionComponent::Proc,217605,0,1656410325916292318,0,1656410325930825609,14533291,1656410325930825609,1
1656410326020526500,1656410326020919214,Timing,RecognitionComponent::Proc,392714,0,1656410325997962522,0,1656410326020919214,22956692,1656410326020919214,1
1656410326235881604,1656410326240477847,Timing,RecognitionComponent::Proc,4596243,0,1656410326214584961,0,1656410326240477847,25892886,1656410326240477847,1
1656410326345298913,1656410326345553256,Timing,RecognitionComponent::Proc,254343,0,1656410326331281584,0,1656410326345553256,14271672,1656410326345553256,1
1656410326421700137,1656410326421990878,Timing,RecognitionComponent::Proc,290741,0,1656410326404643180,0,1656410326421990878,17347698,1656410326421990878,1
1656410326515925684,1656410326516103358,Timing,RecognitionComponent::Proc,177674,0,1656410326501055712,0,1656410326516103358,15047646,1656410326516103358,1
1656410326600897819,1656410326601144574,Timing,RecognitionComponent::Proc,246755,0,1656410326581790711,0,1656410326601144574,19353863,1656410326601144574,1
1656410326714051617,1656410326714410544,Timing,RecognitionComponent::Proc,358927,0,1656410326698574125,0,1656410326714410544,15836419,1656410326714410544,1
1656410326811587460,1656410326811784464,Timing,RecognitionComponent::Proc,197004,0,1656410326777614668,0,1656410326811784464,34169796,1656410326811784464,1
1656410326887139649,1656410326887357857,Timing,RecognitionComponent::Proc,218208,0,1656410326872391664,0,1656410326887357857,14966193,1656410326887357857,1
1656410326963321453,1656410326963735608,Timing,RecognitionComponent::Proc,414155,0,1656410326944734294,0,1656410326963735608,19001314,1656410326963735608,1
1656410327064205566,1656410327064411199,Timing,RecognitionComponent::Proc,205633,0,1656410327044911796,0,1656410327064411199,19499403,1656410327064411199,1
1656410327254601145,1656410327254847083,Timing,RecognitionComponent::Proc,245938,0,1656410327239945045,0,1656410327254847083,14902038,1656410327254847083,1
1656410327325134580,1656410327325290191,Timing,RecognitionComponent::Proc,155611,0,1656410327307374039,0,1656410327325290191,17916152,1656410327325290191,1
1656410327413313732,1656410327413570451,Timing,RecognitionComponent::Proc,256719,0,1656410327393317509,0,1656410327413570451,20252942,1656410327413570451,1
1656410327520803749,1656410327520958395,Timing,RecognitionComponent::Proc,154646,0,1656410327508141372,0,1656410327520958395,12817023,1656410327520958395,1
1656410327600411663,1656410327600654207,Timing,RecognitionComponent::Proc,242544,0,1656410327581609980,0,1656410327600654207,19044227,1656410327600654207,1
1656410327670179870,1656410327670327328,Timing,RecognitionComponent::Proc,147458,0,1656410327652119322,0,1656410327670327328,18208006,1656410327670327328,1
1656410327751674351,1656410327751862674,Timing,RecognitionComponent::Proc,188323,0,1656410327732425706,0,1656410327751862674,19436968,1656410327751862674,1
1656410327861538022,1656410327861669792,Timing,RecognitionComponent::Proc,131770,0,1656410327847630398,0,1656410327861669792,14039394,1656410327861669792,1
1656410328028421372,1656410328028638883,Timing,RecognitionComponent::Proc,217511,0,1656410328007680678,0,1656410328028638883,20958205,1656410328028638883,1
1656410328115785821,1656410328115947830,Timing,RecognitionComponent::Proc,162009,0,1656410328096560800,0,1656410328115947830,19387030,1656410328115947830,1
1656410328211089685,1656410328211332021,Timing,RecognitionComponent::Proc,242336,0,1656410328196913960,0,1656410328211332021,14418061,1656410328211332021,1
1656410328285932888,1656410328286163616,Timing,RecognitionComponent::Proc,230728,0,1656410328268069099,0,1656410328286163616,18094517,1656410328286163616,1
1656410328367732075,1656410328368034782,Timing,RecognitionComponent::Proc,302707,0,1656410328343623633,0,1656410328368034782,24411149,1656410328368034782,1
1656410328472893529,1656410328473085931,Timing,RecognitionComponent::Proc,192402,0,1656410328458178554,0,1656410328473085931,14907377,1656410328473085931,1
1656410328635548961,1656410328635757716,Timing,RecognitionComponent::Proc,208755,0,1656410328619205900,0,1656410328635757716,16551816,1656410328635757716,1
1656410328730133695,1656410328730359190,Timing,RecognitionComponent::Proc,225495,0,1656410328709128355,0,1656410328730359190,21230835,1656410328730359190,1
1656410328829605070,1656410328829821862,Timing,RecognitionComponent::Proc,216792,0,1656410328813133804,0,1656410328829821862,16688058,1656410328829821862,1
1656410328902229952,1656410328902526333,Timing,RecognitionComponent::Proc,296381,0,1656410328884290525,0,1656410328902526333,18235808,1656410328902526333,1
1656410328984864544,1656410328985117157,Timing,RecognitionComponent::Proc,252613,0,1656410328963639353,0,1656410328985117157,21477804,1656410328985117157,1
1656410329088592323,1656410329088790450,Timing,RecognitionComponent::Proc,198127,0,1656410329075876787,0,1656410329088790450,12913663,1656410329088790450,1
1656410329232986646,1656410329233257879,Timing,RecognitionComponent::Proc,271233,0,1656410329213480294,0,1656410329233257879,19777585,1656410329233257879,1
1656410329316033634,1656410329316498998,Timing,RecognitionComponent::Proc,465364,0,1656410329291242762,0,1656410329316498998,25256236,1656410329316498998,1
1656410329421222916,1656410329421456887,Timing,RecognitionComponent::Proc,233971,0,1656410329408322085,0,1656410329421456887,13134802,1656410329421456887,1
1656410329508054014,1656410329508234327,Timing,RecognitionComponent::Proc,180313,0,1656410329481699602,0,1656410329508234327,26534725,1656410329508234327,1
1656410329677469819,1656410329677626407,Timing,RecognitionComponent::Proc,156588,0,1656410329662783150,0,1656410329677626407,14843257,1656410329677626407,1
1656410329779804353,1656410329780127576,Timing,RecognitionComponent::Proc,323223,0,1656410329760666810,0,1656410329780127576,19460766,1656410329780127576,1
