,ts_start,ts_end,type,component,execution_time,ts_cam,ts_lidar,ts_radar,lat_cam,lat_lidar,lat_radar,is_finish
0,1656406804207870086,1656406804207933746,Timing,ControlComponent::Proc,63660,0,0,0,1656406804207933746,1656406804207933746,1656406804207933746,0
1,1656406804217558740,1656406804217637392,Timing,ControlComponent::Proc,78652,0,0,0,1656406804217637392,1656406804217637392,1656406804217637392,0
2,1656406804227569361,1656406804227643223,Timing,ControlComponent::Proc,73862,0,0,0,1656406804227643223,1656406804227643223,1656406804227643223,0
3,1656406804237552841,1656406804237625111,Timing,ControlComponent::Proc,72270,0,0,0,1656406804237625111,1656406804237625111,1656406804237625111,0
4,1656406804247556175,1656406804247629466,Timing,ControlComponent::Proc,73291,0,0,0,1656406804247629466,1656406804247629466,1656406804247629466,0
5,1656406804257584528,1656406804257721487,Timing,ControlComponent::Proc,136959,0,0,0,1656406804257721487,1656406804257721487,1656406804257721487,0
6,1656406804267532735,1656406804267603913,Timing,ControlComponent::Proc,71178,0,0,0,1656406804267603913,1656406804267603913,1656406804267603913,0
7,1656406804277525420,1656406804277570199,Timing,ControlComponent::Proc,44779,0,0,0,1656406804277570199,1656406804277570199,1656406804277570199,0
8,1656406804287553907,1656406804287619135,Timing,ControlComponent::Proc,65228,0,0,0,1656406804287619135,1656406804287619135,1656406804287619135,0
9,1656406804297554188,1656406804297623207,Timing,ControlComponent::Proc,69019,0,0,0,1656406804297623207,1656406804297623207,1656406804297623207,0
10,1656406804307543158,1656406804307614788,Timing,ControlComponent::Proc,71630,0,0,0,1656406804307614788,1656406804307614788,1656406804307614788,0
11,1656406804317548815,1656406804317609253,Timing,ControlComponent::Proc,60438,0,0,0,1656406804317609253,1656406804317609253,1656406804317609253,0
12,1656406804327552422,1656406804327613948,Timing,ControlComponent::Proc,61526,0,0,0,1656406804327613948,1656406804327613948,1656406804327613948,0
13,1656406804337548339,1656406804337615272,Timing,ControlComponent::Proc,66933,0,0,0,1656406804337615272,1656406804337615272,1656406804337615272,0
14,1656406804347531908,1656406804347629211,Timing,ControlComponent::Proc,97303,0,0,0,1656406804347629211,1656406804347629211,1656406804347629211,0
15,1656406804357525892,1656406804357579672,Timing,ControlComponent::Proc,53780,0,0,0,1656406804357579672,1656406804357579672,1656406804357579672,0
16,1656406804367552672,1656406804367610282,Timing,ControlComponent::Proc,57610,0,0,0,1656406804367610282,1656406804367610282,1656406804367610282,0
17,1656406804377555011,1656406804377640940,Timing,ControlComponent::Proc,85929,0,0,0,1656406804377640940,1656406804377640940,1656406804377640940,0
18,1656406804387559161,1656406804387630668,Timing,ControlComponent::Proc,71507,0,0,0,1656406804387630668,1656406804387630668,1656406804387630668,0
19,1656406804397559088,1656406804397647431,Timing,ControlComponent::Proc,88343,0,0,0,1656406804397647431,1656406804397647431,1656406804397647431,0
20,1656406804407533470,1656406804407585107,Timing,ControlComponent::Proc,51637,0,0,0,1656406804407585107,1656406804407585107,1656406804407585107,0
21,1656406804417562418,1656406804417645748,Timing,ControlComponent::Proc,83330,0,0,0,1656406804417645748,1656406804417645748,1656406804417645748,0
22,1656406804427510005,1656406804427590824,Timing,ControlComponent::Proc,80819,0,0,0,1656406804427590824,1656406804427590824,1656406804427590824,0
23,1656406804437551695,1656406804437615624,Timing,ControlComponent::Proc,63929,0,0,0,1656406804437615624,1656406804437615624,1656406804437615624,0
24,1656406804447551256,1656406804447606744,Timing,ControlComponent::Proc,55488,0,0,0,1656406804447606744,1656406804447606744,1656406804447606744,0
25,1656406804457540917,1656406804457613506,Timing,ControlComponent::Proc,72589,0,0,0,1656406804457613506,1656406804457613506,1656406804457613506,0
