ts_start,ts_end,type,component,execution_time,ts_cam,ts_lidar,ts_radar,lat_cam,lat_lidar,lat_radar,is_finish
1656406881829402077,1656406881863699565,Timing,FusionCameraDetectionComponent::OnReceiveImage,34297488,1656406881842583220,0,0,21116345,1656406881863699565,1656406881863699565,1
1656406881842587189,1656406881891019378,Timing,FusionCameraDetectionComponent::OnReceiveImage,48432189,1656406881842583220,0,0,48436158,1656406881891019378,1656406881891019378,1
1656406881949259288,1656406881977454663,Timing,FusionCameraDetectionComponent::OnReceiveImage,28195375,1656406881958408884,0,0,19045779,1656406881977454663,1656406881977454663,1
1656406881958410494,1656406881999187557,Timing,FusionCameraDetectionComponent::OnReceiveImage,40777063,1656406881958408884,0,0,40778673,1656406881999187557,1656406881999187557,1
1656406882030162123,1656406882066003307,Timing,FusionCameraDetectionComponent::OnReceiveImage,35841184,1656406882032435776,0,0,33567531,1656406882066003307,1656406882066003307,1
1656406882032437027,1656406882089207555,Timing,FusionCameraDetectionComponent::OnReceiveImage,56770528,1656406882032435776,0,0,56771779,1656406882089207555,1656406882089207555,1
1656406882107388004,1656406882142580725,Timing,FusionCameraDetectionComponent::OnReceiveImage,35192721,1656406882121706169,0,0,20874556,1656406882142580725,1656406882142580725,1
1656406882121707901,1656406882165012355,Timing,FusionCameraDetectionComponent::OnReceiveImage,43304454,1656406882121706169,0,0,43306186,1656406882165012355,1656406882165012355,1
1656406882181305518,1656406882214793584,Timing,FusionCameraDetectionComponent::OnReceiveImage,33488066,1656406882194049476,0,0,20744108,1656406882214793584,1656406882214793584,1
1656406882194051847,1656406882239541922,Timing,FusionCameraDetectionComponent::OnReceiveImage,45490075,1656406882194049476,0,0,45492446,1656406882239541922,1656406882239541922,1
1656406882292338694,1656406882321810914,Timing,FusionCameraDetectionComponent::OnReceiveImage,29472220,1656406882302663237,0,0,19147677,1656406882321810914,1656406882321810914,1
1656406882302665156,1656406882342587171,Timing,FusionCameraDetectionComponent::OnReceiveImage,39922015,1656406882302663237,0,0,39923934,1656406882342587171,1656406882342587171,1
1656406882367143890,1656406882399355361,Timing,FusionCameraDetectionComponent::OnReceiveImage,32211471,1656406882382568272,0,0,16787089,1656406882399355361,1656406882399355361,1
1656406882382571378,1656406882416927077,Timing,FusionCameraDetectionComponent::OnReceiveImage,34355699,1656406882382568272,0,0,34358805,1656406882416927077,1656406882416927077,1
1656406882446680992,1656406882476290690,Timing,FusionCameraDetectionComponent::OnReceiveImage,29609698,1656406882455792346,0,0,20498344,1656406882476290690,1656406882476290690,1
1656406882455794217,1656406882495901899,Timing,FusionCameraDetectionComponent::OnReceiveImage,40107682,1656406882455792346,0,0,40109553,1656406882495901899,1656406882495901899,1
1656406882525792357,1656406882551952648,Timing,FusionCameraDetectionComponent::OnReceiveImage,26160291,1656406882533866762,0,0,18085886,1656406882551952648,1656406882551952648,1
1656406882533867750,1656406882570443401,Timing,FusionCameraDetectionComponent::OnReceiveImage,36575651,1656406882533866762,0,0,36576639,1656406882570443401,1656406882570443401,1
1656406882648879106,1656406882674410070,Timing,FusionCameraDetectionComponent::OnReceiveImage,25530964,1656406882663097033,0,0,11313037,1656406882674410070,1656406882674410070,1
1656406882663099260,1656406882693073552,Timing,FusionCameraDetectionComponent::OnReceiveImage,29974292,1656406882663097033,0,0,29976519,1656406882693073552,1656406882693073552,1
1656406882756546053,1656406882783175873,Timing,FusionCameraDetectionComponent::OnReceiveImage,26629820,1656406882766212902,0,0,16962971,1656406882783175873,1656406882783175873,1
