ts_start,ts_end,type,component,execution_time,ts_cam,ts_lidar,ts_radar,lat_cam,lat_lidar,lat_radar,is_finish
1656406861343933089,1656406861345604314,Timing,LaneDetectionComponent::OnReceiveImage,1671225,1656406861343928353,0,0,1675961,1656406861345604314,1656406861345604314,1
1656406861349364368,1656406861374368529,Timing,LaneDetectionComponent::OnReceiveImage,25004161,1656406861349362776,0,0,25005753,1656406861374368529,1656406861374368529,1
1656406861460286826,1656406861477864067,Timing,LaneDetectionComponent::OnReceiveImage,17577241,1656406861465508025,0,0,12356042,1656406861477864067,1656406861477864067,1
1656406861465509229,1656406861478616368,Timing,LaneDetectionComponent::OnReceiveImage,13107139,1656406861465508025,0,0,13108343,1656406861478616368,1656406861478616368,1
1656406861533753306,1656406861551882187,Timing,LaneDetectionComponent::OnReceiveImage,18128881,1656406861540076766,0,0,11805421,1656406861551882187,1656406861551882187,1
1656406861540078133,1656406861552689771,Timing,LaneDetectionComponent::OnReceiveImage,12611638,1656406861540076766,0,0,12613005,1656406861552689771,1656406861552689771,1
1656406861626341564,1656406861643625092,Timing,LaneDetectionComponent::OnReceiveImage,17283528,1656406861630355105,0,0,13269987,1656406861643625092,1656406861643625092,1
1656406861630359407,1656406861644412117,Timing,LaneDetectionComponent::OnReceiveImage,14052710,1656406861630355105,0,0,14057012,1656406861644412117,1656406861644412117,1
1656406861707278744,1656406861729543746,Timing,LaneDetectionComponent::OnReceiveImage,22265002,1656406861709467435,0,0,20076311,1656406861729543746,1656406861729543746,1
1656406861709468544,1656406861730249063,Timing,LaneDetectionComponent::OnReceiveImage,20780519,1656406861709467435,0,0,20781628,1656406861730249063,1656406861730249063,1
1656406861813557231,1656406861832997289,Timing,LaneDetectionComponent::OnReceiveImage,19440058,1656406861830022171,0,0,2975118,1656406861832997289,1656406861832997289,1
1656406861830023246,1656406861833790148,Timing,LaneDetectionComponent::OnReceiveImage,3766902,1656406861830022171,0,0,3767977,1656406861833790148,1656406861833790148,1
1656406861899768026,1656406861900883380,Timing,LaneDetectionComponent::OnReceiveImage,1115354,1656406861899760794,0,0,1122586,1656406861900883380,1656406861900883380,1
1656406861901738612,1656406861917383232,Timing,LaneDetectionComponent::OnReceiveImage,15644620,1656406861901737169,0,0,15646063,1656406861917383232,1656406861917383232,1
1656406861990642951,1656406862004491483,Timing,LaneDetectionComponent::OnReceiveImage,13848532,1656406861998001976,0,0,6489507,1656406862004491483,1656406862004491483,1
1656406861998003485,1656406862005236565,Timing,LaneDetectionComponent::OnReceiveImage,7233080,1656406861998001976,0,0,7234589,1656406862005236565,1656406862005236565,1
1656406862073743268,1656406862086777205,Timing,LaneDetectionComponent::OnReceiveImage,13033937,1656406862075738505,0,0,11038700,1656406862086777205,1656406862086777205,1
1656406862075739639,1656406862087538187,Timing,LaneDetectionComponent::OnReceiveImage,11798548,1656406862075738505,0,0,11799682,1656406862087538187,1656406862087538187,1
1656406862148710721,1656406862163625977,Timing,LaneDetectionComponent::OnReceiveImage,14915256,1656406862157307220,0,0,6318757,1656406862163625977,1656406862163625977,1
1656406862157308875,1656406862164324987,Timing,LaneDetectionComponent::OnReceiveImage,7016112,1656406862157307220,0,0,7017767,1656406862164324987,1656406862164324987,1
