ts_start,ts_end,type,component,execution_time,ts_cam,ts_lidar,ts_radar,lat_cam,lat_lidar,lat_radar,is_finish
1656406840965996451,1656406840966042046,Timing,RTKLocalizationComponent::Proc,45595,0,0,0,1656406840966042046,1656406840966042046,1656406840966042046,0
1656406841017803056,1656406841017933008,Timing,RTKLocalizationComponent::Proc,129952,0,0,0,1656406841017933008,1656406841017933008,1656406841017933008,1
1656406841097783640,1656406841097848520,Timing,RTKLocalizationComponent::Proc,64880,0,0,0,1656406841097848520,1656406841097848520,1656406841097848520,1
1656406841177751752,1656406841177831477,Timing,RTKLocalizationComponent::Proc,79725,0,0,0,1656406841177831477,1656406841177831477,1656406841177831477,1
1656406841257874061,1656406841257927389,Timing,RTKLocalizationComponent::Proc,53328,0,0,0,1656406841257927389,1656406841257927389,1656406841257927389,1
1656406841337743255,1656406841337820676,Timing,RTKLocalizationComponent::Proc,77421,0,0,0,1656406841337820676,1656406841337820676,1656406841337820676,1
1656406841417781622,1656406841417841187,Timing,RTKLocalizationComponent::Proc,59565,0,0,0,1656406841417841187,1656406841417841187,1656406841417841187,1
1656406841497810130,1656406841497869632,Timing,RTKLocalizationComponent::Proc,59502,0,0,0,1656406841497869632,1656406841497869632,1656406841497869632,1
1656406841577843692,1656406841577915991,Timing,RTKLocalizationComponent::Proc,72299,0,0,0,1656406841577915991,1656406841577915991,1656406841577915991,1
1656406841657831219,1656406841657984581,Timing,RTKLocalizationComponent::Proc,153362,0,0,0,1656406841657984581,1656406841657984581,1656406841657984581,1
1656406841737753602,1656406841737807232,Timing,RTKLocalizationComponent::Proc,53630,0,0,0,1656406841737807232,1656406841737807232,1656406841737807232,1
1656406841817802186,1656406841817868376,Timing,RTKLocalizationComponent::Proc,66190,0,0,0,1656406841817868376,1656406841817868376,1656406841817868376,1
1656406841897764257,1656406841897821711,Timing,RTKLocalizationComponent::Proc,57454,0,0,0,1656406841897821711,1656406841897821711,1656406841897821711,1
1656406841977765781,1656406841977835626,Timing,RTKLocalizationComponent::Proc,69845,0,0,0,1656406841977835626,1656406841977835626,1656406841977835626,1
1656406842057850799,1656406842057905552,Timing,RTKLocalizationComponent::Proc,54753,0,0,0,1656406842057905552,1656406842057905552,1656406842057905552,1
1656406842137924881,1656406842138001665,Timing,RTKLocalizationComponent::Proc,76784,0,0,0,1656406842138001665,1656406842138001665,1656406842138001665,1
1656406842217831709,1656406842217917647,Timing,RTKLocalizationComponent::Proc,85938,0,0,0,1656406842217917647,1656406842217917647,1656406842217917647,1
1656406842297790707,1656406842297847578,Timing,RTKLocalizationComponent::Proc,56871,0,0,0,1656406842297847578,1656406842297847578,1656406842297847578,1
1656406842377773353,1656406842377851822,Timing,RTKLocalizationComponent::Proc,78469,0,0,0,1656406842377851822,1656406842377851822,1656406842377851822,1
1656406842461204982,1656406842461272749,Timing,RTKLocalizationComponent::Proc,67767,0,0,0,1656406842461272749,1656406842461272749,1656406842461272749,1
1656406842539109178,1656406842539174239,Timing,RTKLocalizationComponent::Proc,65061,0,0,0,1656406842539174239,1656406842539174239,1656406842539174239,1
1656406842617767108,1656406842617850773,Timing,RTKLocalizationComponent::Proc,83665,0,0,0,1656406842617850773,1656406842617850773,1656406842617850773,1
1656406842697792130,1656406842697870307,Timing,RTKLocalizationComponent::Proc,78177,0,0,0,1656406842697870307,1656406842697870307,1656406842697870307,1
1656406842777759305,1656406842777824909,Timing,RTKLocalizationComponent::Proc,65604,0,0,0,1656406842777824909,1656406842777824909,1656406842777824909,1
1656406842857809323,1656406842857860324,Timing,RTKLocalizationComponent::Proc,51001,0,0,0,1656406842857860324,1656406842857860324,1656406842857860324,1
1656406842938012113,1656406842938065066,Timing,RTKLocalizationComponent::Proc,52953,0,0,0,1656406842938065066,1656406842938065066,1656406842938065066,1
1656406843017824016,1656406843018048429,Timing,RTKLocalizationComponent::Proc,224413,0,0,0,1656406843018048429,1656406843018048429,1656406843018048429,1
1656406843097841731,1656406843097923409,Timing,RTKLocalizationComponent::Proc,81678,0,0,0,1656406843097923409,1656406843097923409,1656406843097923409,1
1656406843177783525,1656406843177891201,Timing,RTKLocalizationComponent::Proc,107676,0,0,0,1656406843177891201,1656406843177891201,1656406843177891201,1
1656406843257915427,1656406843258030682,Timing,RTKLocalizationComponent::Proc,115255,0,0,0,1656406843258030682,1656406843258030682,1656406843258030682,1
1656406843339230750,1656406843339344268,Timing,RTKLocalizationComponent::Proc,113518,0,0,0,1656406843339344268,1656406843339344268,1656406843339344268,1
1656406843417865040,1656406843417977275,Timing,RTKLocalizationComponent::Proc,112235,0,0,0,1656406843417977275,1656406843417977275,1656406843417977275,1
1656406843499932221,1656406843500031245,Timing,RTKLocalizationComponent::Proc,99024,0,0,0,1656406843500031245,1656406843500031245,1656406843500031245,1
1656406843577812679,1656406843577929973,Timing,RTKLocalizationComponent::Proc,117294,0,0,0,1656406843577929973,1656406843577929973,1656406843577929973,1
1656406843658689214,1656406843658773084,Timing,RTKLocalizationComponent::Proc,83870,0,0,0,1656406843658773084,1656406843658773084,1656406843658773084,1
1656406843737768670,1656406843737852364,Timing,RTKLocalizationComponent::Proc,83694,0,0,0,1656406843737852364,1656406843737852364,1656406843737852364,1
1656406843817846688,1656406843817959158,Timing,RTKLocalizationComponent::Proc,112470,0,0,0,1656406843817959158,1656406843817959158,1656406843817959158,1
1656406843913792843,1656406843913870061,Timing,RTKLocalizationComponent::Proc,77218,0,0,0,1656406843913870061,1656406843913870061,1656406843913870061,1
1656406843986343312,1656406843986420758,Timing,RTKLocalizationComponent::Proc,77446,0,0,0,1656406843986420758,1656406843986420758,1656406843986420758,1
1656406844057838237,1656406844057944818,Timing,RTKLocalizationComponent::Proc,106581,0,0,0,1656406844057944818,1656406844057944818,1656406844057944818,1
1656406844137821745,1656406844137920096,Timing,RTKLocalizationComponent::Proc,98351,0,0,0,1656406844137920096,1656406844137920096,1656406844137920096,1
1656406844217823118,1656406844217938967,Timing,RTKLocalizationComponent::Proc,115849,0,0,0,1656406844217938967,1656406844217938967,1656406844217938967,1
1656406844297772418,1656406844297866000,Timing,RTKLocalizationComponent::Proc,93582,0,0,0,1656406844297866000,1656406844297866000,1656406844297866000,1
1656406844378083736,1656406844378195672,Timing,RTKLocalizationComponent::Proc,111936,0,0,0,1656406844378195672,1656406844378195672,1656406844378195672,1
1656406844458253006,1656406844458334008,Timing,RTKLocalizationComponent::Proc,81002,0,0,0,1656406844458334008,1656406844458334008,1656406844458334008,1
1656406844539726009,1656406844539828309,Timing,RTKLocalizationComponent::Proc,102300,0,0,0,1656406844539828309,1656406844539828309,1656406844539828309,1
1656406844617736041,1656406844617836614,Timing,RTKLocalizationComponent::Proc,100573,0,0,0,1656406844617836614,1656406844617836614,1656406844617836614,1
1656406844697754464,1656406844697827465,Timing,RTKLocalizationComponent::Proc,73001,0,0,0,1656406844697827465,1656406844697827465,1656406844697827465,1
1656406844777745284,1656406844777825394,Timing,RTKLocalizationComponent::Proc,80110,0,0,0,1656406844777825394,1656406844777825394,1656406844777825394,1
1656406844857833384,1656406844857909769,Timing,RTKLocalizationComponent::Proc,76385,0,0,0,1656406844857909769,1656406844857909769,1656406844857909769,1
1656406844937799229,1656406844937898598,Timing,RTKLocalizationComponent::Proc,99369,0,0,0,1656406844937898598,1656406844937898598,1656406844937898598,1
1656406845017743132,1656406845017819613,Timing,RTKLocalizationComponent::Proc,76481,0,0,0,1656406845017819613,1656406845017819613,1656406845017819613,1
1656406845104018240,1656406845104136241,Timing,RTKLocalizationComponent::Proc,118001,0,0,0,1656406845104136241,1656406845104136241,1656406845104136241,1
1656406845178210380,1656406845178299868,Timing,RTKLocalizationComponent::Proc,89488,0,0,0,1656406845178299868,1656406845178299868,1656406845178299868,1
1656406845257816273,1656406845257914231,Timing,RTKLocalizationComponent::Proc,97958,0,0,0,1656406845257914231,1656406845257914231,1656406845257914231,1
1656406845337752751,1656406845337835426,Timing,RTKLocalizationComponent::Proc,82675,0,0,0,1656406845337835426,1656406845337835426,1656406845337835426,1
1656406845417839709,1656406845417937786,Timing,RTKLocalizationComponent::Proc,98077,0,0,0,1656406845417937786,1656406845417937786,1656406845417937786,1
1656406845497810116,1656406845497912514,Timing,RTKLocalizationComponent::Proc,102398,0,0,0,1656406845497912514,1656406845497912514,1656406845497912514,1
1656406845577804515,1656406845577975000,Timing,RTKLocalizationComponent::Proc,170485,0,0,0,1656406845577975000,1656406845577975000,1656406845577975000,1
1656406845657820165,1656406845657898128,Timing,RTKLocalizationComponent::Proc,77963,0,0,0,1656406845657898128,1656406845657898128,1656406845657898128,1
1656406845738868990,1656406845738964803,Timing,RTKLocalizationComponent::Proc,95813,0,0,0,1656406845738964803,1656406845738964803,1656406845738964803,1
1656406845817758485,1656406845817858128,Timing,RTKLocalizationComponent::Proc,99643,0,0,0,1656406845817858128,1656406845817858128,1656406845817858128,1
1656406845897876180,1656406845897974846,Timing,RTKLocalizationComponent::Proc,98666,0,0,0,1656406845897974846,1656406845897974846,1656406845897974846,1
1656406845981181111,1656406845981260055,Timing,RTKLocalizationComponent::Proc,78944,0,0,0,1656406845981260055,1656406845981260055,1656406845981260055,1
1656406846057726094,1656406846057800603,Timing,RTKLocalizationComponent::Proc,74509,0,0,0,1656406846057800603,1656406846057800603,1656406846057800603,1
1656406846137866321,1656406846137980615,Timing,RTKLocalizationComponent::Proc,114294,0,0,0,1656406846137980615,1656406846137980615,1656406846137980615,1
1656406846217772083,1656406846217875480,Timing,RTKLocalizationComponent::Proc,103397,0,0,0,1656406846217875480,1656406846217875480,1656406846217875480,1
1656406846297775186,1656406846297865500,Timing,RTKLocalizationComponent::Proc,90314,0,0,0,1656406846297865500,1656406846297865500,1656406846297865500,1
1656406846377828858,1656406846377903266,Timing,RTKLocalizationComponent::Proc,74408,0,0,0,1656406846377903266,1656406846377903266,1656406846377903266,1
1656406846457769616,1656406846457875791,Timing,RTKLocalizationComponent::Proc,106175,0,0,0,1656406846457875791,1656406846457875791,1656406846457875791,1
1656406846540554079,1656406846540653803,Timing,RTKLocalizationComponent::Proc,99724,0,0,0,1656406846540653803,1656406846540653803,1656406846540653803,1
1656406846617778388,1656406846617869999,Timing,RTKLocalizationComponent::Proc,91611,0,0,0,1656406846617869999,1656406846617869999,1656406846617869999,1
1656406846697774594,1656406846697878348,Timing,RTKLocalizationComponent::Proc,103754,0,0,0,1656406846697878348,1656406846697878348,1656406846697878348,1
1656406846777742787,1656406846777825879,Timing,RTKLocalizationComponent::Proc,83092,0,0,0,1656406846777825879,1656406846777825879,1656406846777825879,1
1656406846857756129,1656406846857857186,Timing,RTKLocalizationComponent::Proc,101057,0,0,0,1656406846857857186,1656406846857857186,1656406846857857186,1
1656406846937778947,1656406846937861822,Timing,RTKLocalizationComponent::Proc,82875,0,0,0,1656406846937861822,1656406846937861822,1656406846937861822,1
1656406847017902148,1656406847017975744,Timing,RTKLocalizationComponent::Proc,73596,0,0,0,1656406847017975744,1656406847017975744,1656406847017975744,1
1656406847097788974,1656406847097899809,Timing,RTKLocalizationComponent::Proc,110835,0,0,0,1656406847097899809,1656406847097899809,1656406847097899809,1
1656406847177775476,1656406847177906779,Timing,RTKLocalizationComponent::Proc,131303,0,0,0,1656406847177906779,1656406847177906779,1656406847177906779,1
1656406847257776178,1656406847257865035,Timing,RTKLocalizationComponent::Proc,88857,0,0,0,1656406847257865035,1656406847257865035,1656406847257865035,1
1656406847337941523,1656406847338034049,Timing,RTKLocalizationComponent::Proc,92526,0,0,0,1656406847338034049,1656406847338034049,1656406847338034049,1
1656406847417805642,1656406847417893609,Timing,RTKLocalizationComponent::Proc,87967,0,0,0,1656406847417893609,1656406847417893609,1656406847417893609,1
1656406847497828528,1656406847497935444,Timing,RTKLocalizationComponent::Proc,106916,0,0,0,1656406847497935444,1656406847497935444,1656406847497935444,1
1656406847581845992,1656406847581920249,Timing,RTKLocalizationComponent::Proc,74257,0,0,0,1656406847581920249,1656406847581920249,1656406847581920249,1
1656406847657800939,1656406847657883272,Timing,RTKLocalizationComponent::Proc,82333,0,0,0,1656406847657883272,1656406847657883272,1656406847657883272,1
1656406847738033325,1656406847738137008,Timing,RTKLocalizationComponent::Proc,103683,0,0,0,1656406847738137008,1656406847738137008,1656406847738137008,1
1656406847817823266,1656406847817910284,Timing,RTKLocalizationComponent::Proc,87018,0,0,0,1656406847817910284,1656406847817910284,1656406847817910284,1
1656406847897807818,1656406847897897144,Timing,RTKLocalizationComponent::Proc,89326,0,0,0,1656406847897897144,1656406847897897144,1656406847897897144,1
1656406847977814430,1656406847977896441,Timing,RTKLocalizationComponent::Proc,82011,0,0,0,1656406847977896441,1656406847977896441,1656406847977896441,1
1656406848057790892,1656406848057895768,Timing,RTKLocalizationComponent::Proc,104876,0,0,0,1656406848057895768,1656406848057895768,1656406848057895768,1
1656406848142818635,1656406848142902483,Timing,RTKLocalizationComponent::Proc,83848,0,0,0,1656406848142902483,1656406848142902483,1656406848142902483,1
