,ts_start,ts_end,type,component,execution_time,ts_cam,ts_lidar,ts_radar,lat_cam,lat_lidar,lat_radar,is_finish
0,1656415315705363232,1656415315705400848,Timing,ControlComponent::Proc,37616,0,0,0,1656415315705400848,1656415315705400848,1656415315705400848,0
1,1656415315715153902,1656415315715187357,Timing,ControlComponent::Proc,33455,0,0,0,1656415315715187357,1656415315715187357,1656415315715187357,0
2,1656415315725203810,1656415315725241841,Timing,ControlComponent::Proc,38031,0,0,0,1656415315725241841,1656415315725241841,1656415315725241841,0
3,1656415315735204041,1656415315735243668,Timing,ControlComponent::Proc,39627,0,0,0,1656415315735243668,1656415315735243668,1656415315735243668,0
4,1656415315745226012,1656415315745263998,Timing,ControlComponent::Proc,37986,0,0,0,1656415315745263998,1656415315745263998,1656415315745263998,0
5,1656415315755201787,1656415315755241329,Timing,ControlComponent::Proc,39542,0,0,0,1656415315755241329,1656415315755241329,1656415315755241329,0
6,1656415315765212078,1656415315765254419,Timing,ControlComponent::Proc,42341,0,0,0,1656415315765254419,1656415315765254419,1656415315765254419,0
7,1656415315775200124,1656415315775229969,Timing,ControlComponent::Proc,29845,0,0,0,1656415315775229969,1656415315775229969,1656415315775229969,0
8,1656415315785224494,1656415315785270186,Timing,ControlComponent::Proc,45692,0,0,0,1656415315785270186,1656415315785270186,1656415315785270186,0
9,1656415315795207847,1656415315795244014,Timing,ControlComponent::Proc,36167,0,0,0,1656415315795244014,1656415315795244014,1656415315795244014,0
10,1656415315805206871,1656415315805256033,Timing,ControlComponent::Proc,49162,0,0,0,1656415315805256033,1656415315805256033,1656415315805256033,0
11,1656415315815232305,1656415315815265007,Timing,ControlComponent::Proc,32702,0,0,0,1656415315815265007,1656415315815265007,1656415315815265007,0
12,1656415315825205424,1656415315825243357,Timing,ControlComponent::Proc,37933,0,0,0,1656415315825243357,1656415315825243357,1656415315825243357,0
13,1656415315835204836,1656415315835256314,Timing,ControlComponent::Proc,51478,0,0,0,1656415315835256314,1656415315835256314,1656415315835256314,0
14,1656415315845201219,1656415315845242507,Timing,ControlComponent::Proc,41288,0,0,0,1656415315845242507,1656415315845242507,1656415315845242507,0
15,1656415315855205773,1656415315855239786,Timing,ControlComponent::Proc,34013,0,0,0,1656415315855239786,1656415315855239786,1656415315855239786,0
16,1656415315865212415,1656415315865250836,Timing,ControlComponent::Proc,38421,0,0,0,1656415315865250836,1656415315865250836,1656415315865250836,0
17,1656415315875222960,1656415315875257457,Timing,ControlComponent::Proc,34497,0,0,0,1656415315875257457,1656415315875257457,1656415315875257457,0
18,1656415315885187335,1656415315885219694,Timing,ControlComponent::Proc,32359,0,0,0,1656415315885219694,1656415315885219694,1656415315885219694,0
19,1656415315895188227,1656415315895216764,Timing,ControlComponent::Proc,28537,0,0,0,1656415315895216764,1656415315895216764,1656415315895216764,0
20,1656415315905206212,1656415315905248124,Timing,ControlComponent::Proc,41912,0,0,0,1656415315905248124,1656415315905248124,1656415315905248124,0
21,1656415315915202954,1656415315915238478,Timing,ControlComponent::Proc,35524,0,0,0,1656415315915238478,1656415315915238478,1656415315915238478,0
22,1656415315925200830,1656415315925229510,Timing,ControlComponent::Proc,28680,0,0,0,1656415315925229510,1656415315925229510,1656415315925229510,0
23,1656415315935199000,1656415315935232431,Timing,ControlComponent::Proc,33431,0,0,0,1656415315935232431,1656415315935232431,1656415315935232431,0
24,1656415315945218639,1656415315945250801,Timing,ControlComponent::Proc,32162,0,0,0,1656415315945250801,1656415315945250801,1656415315945250801,0
25,1656415315955203578,1656415315955248358,Timing,ControlComponent::Proc,44780,0,0,0,1656415315955248358,1656415315955248358,1656415315955248358,0
26,1656415315965210548,1656415315965247880,Timing,ControlComponent::Proc,37332,0,0,0,1656415315965247880,1656415315965247880,1656415315965247880,0
27,1656415315975197988,1656415315975225575,Timing,ControlComponent::Proc,27587,0,0,0,1656415315975225575,1656415315975225575,1656415315975225575,0
28,1656415315985212943,1656415315985249433,Timing,ControlComponent::Proc,36490,0,0,0,1656415315985249433,1656415315985249433,1656415315985249433,0
29,1656415315995215983,1656415315995245219,Timing,ControlComponent::Proc,29236,0,0,0,1656415315995245219,1656415315995245219,1656415315995245219,0
30,1656415316005225818,1656415316005259345,Timing,ControlComponent::Proc,33527,0,0,0,1656415316005259345,1656415316005259345,1656415316005259345,0
31,1656415316015211998,1656415316015248415,Timing,ControlComponent::Proc,36417,0,0,0,1656415316015248415,1656415316015248415,1656415316015248415,0
32,1656415316025202662,1656415316025238740,Timing,ControlComponent::Proc,36078,0,0,0,1656415316025238740,1656415316025238740,1656415316025238740,0
33,1656415316035203468,1656415316035239574,Timing,ControlComponent::Proc,36106,0,0,0,1656415316035239574,1656415316035239574,1656415316035239574,0
34,1656415316045200450,1656415316045230090,Timing,ControlComponent::Proc,29640,0,0,0,1656415316045230090,1656415316045230090,1656415316045230090,0
35,1656415316055198966,1656415316055231250,Timing,ControlComponent::Proc,32284,0,0,0,1656415316055231250,1656415316055231250,1656415316055231250,0
36,1656415316065204833,1656415316065235631,Timing,ControlComponent::Proc,30798,0,0,0,1656415316065235631,1656415316065235631,1656415316065235631,0
37,1656415316075200001,1656415316075227426,Timing,ControlComponent::Proc,27425,0,0,0,1656415316075227426,1656415316075227426,1656415316075227426,0
38,1656415316085197462,1656415316085234919,Timing,ControlComponent::Proc,37457,0,0,0,1656415316085234919,1656415316085234919,1656415316085234919,0
39,1656415316095218018,1656415316095244012,Timing,ControlComponent::Proc,25994,0,0,0,1656415316095244012,1656415316095244012,1656415316095244012,0
40,1656415316105204524,1656415316105244079,Timing,ControlComponent::Proc,39555,0,0,0,1656415316105244079,1656415316105244079,1656415316105244079,0
41,1656415316115204468,1656415316115243878,Timing,ControlComponent::Proc,39410,0,0,0,1656415316115243878,1656415316115243878,1656415316115243878,0
42,1656415316125219375,1656415316125252930,Timing,ControlComponent::Proc,33555,0,0,0,1656415316125252930,1656415316125252930,1656415316125252930,0
43,1656415316135199223,1656415316135235196,Timing,ControlComponent::Proc,35973,0,0,0,1656415316135235196,1656415316135235196,1656415316135235196,0
44,1656415316145219570,1656415316145245988,Timing,ControlComponent::Proc,26418,0,0,0,1656415316145245988,1656415316145245988,1656415316145245988,0
45,1656415316155201729,1656415316155232510,Timing,ControlComponent::Proc,30781,0,0,0,1656415316155232510,1656415316155232510,1656415316155232510,0
46,1656415316165207098,1656415316165248959,Timing,ControlComponent::Proc,41861,0,0,0,1656415316165248959,1656415316165248959,1656415316165248959,0
47,1656415316175213991,1656415316175242567,Timing,ControlComponent::Proc,28576,0,0,0,1656415316175242567,1656415316175242567,1656415316175242567,0
48,1656415316185213850,1656415316185240780,Timing,ControlComponent::Proc,26930,0,0,0,1656415316185240780,1656415316185240780,1656415316185240780,0
49,1656415316195196201,1656415316195220312,Timing,ControlComponent::Proc,24111,0,0,0,1656415316195220312,1656415316195220312,1656415316195220312,0
50,1656415316205206477,1656415316205243669,Timing,ControlComponent::Proc,37192,0,0,0,1656415316205243669,1656415316205243669,1656415316205243669,0
51,1656415316215201689,1656415316215237075,Timing,ControlComponent::Proc,35386,0,0,0,1656415316215237075,1656415316215237075,1656415316215237075,0
52,1656415316225200486,1656415316225232571,Timing,ControlComponent::Proc,32085,0,0,0,1656415316225232571,1656415316225232571,1656415316225232571,0
53,1656415316235200437,1656415316235232962,Timing,ControlComponent::Proc,32525,0,0,0,1656415316235232962,1656415316235232962,1656415316235232962,0
54,1656415316245196073,1656415316245222460,Timing,ControlComponent::Proc,26387,0,0,0,1656415316245222460,1656415316245222460,1656415316245222460,0
55,1656415316255200441,1656415316255233243,Timing,ControlComponent::Proc,32802,0,0,0,1656415316255233243,1656415316255233243,1656415316255233243,0
56,1656415316265201132,1656415316265234012,Timing,ControlComponent::Proc,32880,0,0,0,1656415316265234012,1656415316265234012,1656415316265234012,0
57,1656415316275211161,1656415316275240525,Timing,ControlComponent::Proc,29364,0,0,0,1656415316275240525,1656415316275240525,1656415316275240525,0
58,1656415316285222951,1656415316285252081,Timing,ControlComponent::Proc,29130,0,0,0,1656415316285252081,1656415316285252081,1656415316285252081,0
59,1656415316295196118,1656415316295219926,Timing,ControlComponent::Proc,23808,0,0,0,1656415316295219926,1656415316295219926,1656415316295219926,0
60,1656415316305203429,1656415316305244344,Timing,ControlComponent::Proc,40915,0,0,0,1656415316305244344,1656415316305244344,1656415316305244344,0
61,1656415316315226686,1656415316315256920,Timing,ControlComponent::Proc,30234,0,0,0,1656415316315256920,1656415316315256920,1656415316315256920,0
62,1656415316325203348,1656415316325242182,Timing,ControlComponent::Proc,38834,0,0,0,1656415316325242182,1656415316325242182,1656415316325242182,0
63,1656415316335199844,1656415316335229554,Timing,ControlComponent::Proc,29710,0,0,0,1656415316335229554,1656415316335229554,1656415316335229554,0
64,1656415316345194232,1656415316345221382,Timing,ControlComponent::Proc,27150,0,0,0,1656415316345221382,1656415316345221382,1656415316345221382,0
65,1656415316355201304,1656415316355228701,Timing,ControlComponent::Proc,27397,0,0,0,1656415316355228701,1656415316355228701,1656415316355228701,0
66,1656415316365200723,1656415316365228065,Timing,ControlComponent::Proc,27342,0,0,0,1656415316365228065,1656415316365228065,1656415316365228065,0
67,1656415316375199522,1656415316375230536,Timing,ControlComponent::Proc,31014,0,0,0,1656415316375230536,1656415316375230536,1656415316375230536,0
68,1656415316385198406,1656415316385222500,Timing,ControlComponent::Proc,24094,0,0,0,1656415316385222500,1656415316385222500,1656415316385222500,0
69,1656415316395157286,1656415316395187781,Timing,ControlComponent::Proc,30495,0,0,0,1656415316395187781,1656415316395187781,1656415316395187781,0
70,1656415316405208462,1656415316405248975,Timing,ControlComponent::Proc,40513,0,0,0,1656415316405248975,1656415316405248975,1656415316405248975,0
71,1656415316415169475,1656415316415213810,Timing,ControlComponent::Proc,44335,0,0,0,1656415316415213810,1656415316415213810,1656415316415213810,0
72,1656415316425204566,1656415316425234812,Timing,ControlComponent::Proc,30246,0,0,0,1656415316425234812,1656415316425234812,1656415316425234812,0
73,1656415316435195891,1656415316435233652,Timing,ControlComponent::Proc,37761,0,0,0,1656415316435233652,1656415316435233652,1656415316435233652,0
74,1656415316445166632,1656415316445190278,Timing,ControlComponent::Proc,23646,0,0,0,1656415316445190278,1656415316445190278,1656415316445190278,0
75,1656415316455203682,1656415316455237713,Timing,ControlComponent::Proc,34031,0,0,0,1656415316455237713,1656415316455237713,1656415316455237713,0
76,1656415316465205585,1656415316465237757,Timing,ControlComponent::Proc,32172,0,0,0,1656415316465237757,1656415316465237757,1656415316465237757,0
77,1656415316475198245,1656415316475231613,Timing,ControlComponent::Proc,33368,0,0,0,1656415316475231613,1656415316475231613,1656415316475231613,0
78,1656415316485203971,1656415316485244262,Timing,ControlComponent::Proc,40291,0,0,0,1656415316485244262,1656415316485244262,1656415316485244262,0
79,1656415316495196497,1656415316495224184,Timing,ControlComponent::Proc,27687,0,0,0,1656415316495224184,1656415316495224184,1656415316495224184,0
80,1656415316505240516,1656415316505283683,Timing,ControlComponent::Proc,43167,0,0,0,1656415316505283683,1656415316505283683,1656415316505283683,0
81,1656415316515166042,1656415316515198286,Timing,ControlComponent::Proc,32244,0,0,0,1656415316515198286,1656415316515198286,1656415316515198286,0
82,1656415316525204147,1656415316525245258,Timing,ControlComponent::Proc,41111,0,0,0,1656415316525245258,1656415316525245258,1656415316525245258,0
83,1656415316535203317,1656415316535239157,Timing,ControlComponent::Proc,35840,0,0,0,1656415316535239157,1656415316535239157,1656415316535239157,0
84,1656415316545210843,1656415316545258835,Timing,ControlComponent::Proc,47992,0,0,0,1656415316545258835,1656415316545258835,1656415316545258835,0
85,1656415316555218494,1656415316555268810,Timing,ControlComponent::Proc,50316,0,0,0,1656415316555268810,1656415316555268810,1656415316555268810,0
86,1656415316565222211,1656415316565282223,Timing,ControlComponent::Proc,60012,0,0,0,1656415316565282223,1656415316565282223,1656415316565282223,0
87,1656415316575184698,1656415316575242859,Timing,ControlComponent::Proc,58161,0,0,0,1656415316575242859,1656415316575242859,1656415316575242859,0
88,1656415316585202083,1656415316585251329,Timing,ControlComponent::Proc,49246,0,0,0,1656415316585251329,1656415316585251329,1656415316585251329,0
89,1656415316595205529,1656415316595240552,Timing,ControlComponent::Proc,35023,0,0,0,1656415316595240552,1656415316595240552,1656415316595240552,0
90,1656415316605209968,1656415316605257344,Timing,ControlComponent::Proc,47376,0,0,0,1656415316605257344,1656415316605257344,1656415316605257344,0
91,1656415316615204202,1656415316615238330,Timing,ControlComponent::Proc,34128,0,0,0,1656415316615238330,1656415316615238330,1656415316615238330,0
92,1656415316625214535,1656415316625261180,Timing,ControlComponent::Proc,46645,0,0,0,1656415316625261180,1656415316625261180,1656415316625261180,0
