,ts_start,ts_end,type,component,execution_time,ts_cam,ts_lidar,ts_radar,lat_cam,lat_lidar,lat_radar,is_finish
0,1656414589530202710,1656414589551195839,Timing,LaneDetectionComponent::OnReceiveImage,20993129,1656414589533236511,0,0,17959328,1656414589551195839,1656414589551195839,1
1,1656414589533237935,1656414589552044062,Timing,LaneDetectionComponent::OnReceiveImage,18806127,1656414589551236512,0,0,807550,1656414589552044062,1656414589552044062,1
2,1656414589551236956,1656414589563657137,Timing,LaneDetectionComponent::OnReceiveImage,12420181,1656414589552060789,0,0,11596348,1656414589563657137,1656414589563657137,1
3,1656414589552061089,1656414589564412291,Timing,LaneDetectionComponent::OnReceiveImage,12351202,1656414589552060789,0,0,12351502,1656414589564412291,1656414589564412291,1
4,1656414589594080871,1656414589611038202,Timing,LaneDetectionComponent::OnReceiveImage,16957331,1656414589595808532,0,0,15229670,1656414589611038202,1656414589611038202,1
5,1656414589595810617,1656414589611871018,Timing,LaneDetectionComponent::OnReceiveImage,16060401,1656414589611063727,0,0,807291,1656414589611871018,1656414589611871018,1
6,1656414589611886749,1656414589612569807,Timing,LaneDetectionComponent::OnReceiveImage,683058,1656414589611886430,0,0,683377,1656414589612569807,1656414589612569807,1
7,1656414589611064144,1656414589626412806,Timing,LaneDetectionComponent::OnReceiveImage,15348662,1656414589611886430,0,0,14526376,1656414589626412806,1656414589626412806,1
8,1656414589650079360,1656414589651984345,Timing,LaneDetectionComponent::OnReceiveImage,1904985,1656414589650077586,0,0,1906759,1656414589651984345,1656414589651984345,1
9,1656414589652493677,1656414589668369137,Timing,LaneDetectionComponent::OnReceiveImage,15875460,1656414589655978282,0,0,12390855,1656414589668369137,1656414589668369137,1
10,1656414589655979317,1656414589669137953,Timing,LaneDetectionComponent::OnReceiveImage,13158636,1656414589668395266,0,0,742687,1656414589669137953,1656414589669137953,1
11,1656414589668395702,1656414589680980011,Timing,LaneDetectionComponent::OnReceiveImage,12584309,1656414589668395266,0,0,12584745,1656414589680980011,1656414589680980011,1
12,1656414589698160576,1656414589714781968,Timing,LaneDetectionComponent::OnReceiveImage,16621392,1656414589699901811,0,0,14880157,1656414589714781968,1656414589714781968,1
