ts_start,ts_end,type,component,execution_time,ts_cam,ts_lidar,ts_radar,lat_cam,lat_lidar,lat_radar,is_finish
1656414030069843260,1656414030082247053,Timing,FusionCameraDetectionComponent::OnReceiveImage,12403793,0,0,0,1656414030082247053,1656414030082247053,1656414030082247053,0
1656414030076606411,1656414030088967621,Timing,RadarDetectionComponent::Proc,12361210,0,0,1656414030076605548,1656414030088967621,1656414030088967621,12362073,1
1656414030089001719,1656414030089025753,Timing,FusionComponent::Proc,24034,0,0,0,1656414030089025753,1656414030089025753,1656414030089025753,0
1656414030115682668,1656414030190045511,Timing,FusionCameraDetectionComponent::OnReceiveImage,74362843,1656414030123663502,0,0,66382009,1656414030190045511,1656414030190045511,1
1656414030190098613,1656414030190139821,Timing,FusionComponent::Proc,41208,0,0,0,1656414030190139821,1656414030190139821,1656414030190139821,0
1656414030147578835,1656414030190878306,Timing,DetectionComponent::Proc,43299471,0,1656414030147577760,0,1656414030190878306,43300546,1656414030190878306,1
1656414030190923151,1656414030191068861,Timing,RecognitionComponent::Proc,145710,0,1656414030147577760,0,1656414030191068861,43491101,1656414030191068861,1
1656414030191077112,1656414030191347432,Timing,FusionComponent::Proc,270320,1656414030123663502,1656414030147577760,1656414030076605548,67683930,43769672,114741884,1
1656414030207530674,1656414030207760630,Timing,RadarDetectionComponent::Proc,229956,0,0,1656414030207529288,1656414030207760630,1656414030207760630,231342,1
1656414030207800292,1656414030207831848,Timing,FusionComponent::Proc,31556,0,0,0,1656414030207831848,1656414030207831848,1656414030207831848,0
1656414030123664883,1656414030225941902,Timing,FusionCameraDetectionComponent::OnReceiveImage,102277019,1656414030190113589,0,0,35828313,1656414030225941902,1656414030225941902,1
1656414030225983875,1656414030226007938,Timing,FusionComponent::Proc,24063,0,0,0,1656414030226007938,1656414030226007938,1656414030226007938,0
1656414030222727620,1656414030252472455,Timing,DetectionComponent::Proc,29744835,0,1656414030222725572,0,1656414030252472455,29746883,1656414030252472455,1
1656414030252552256,1656414030252720597,Timing,RecognitionComponent::Proc,168341,0,1656414030222725572,0,1656414030252720597,29995025,1656414030252720597,1
1656414030252730289,1656414030253304120,Timing,FusionComponent::Proc,573831,1656414030190113589,1656414030222725572,1656414030207529288,63190531,30578548,45774832,1
1656414030190114214,1656414030268338131,Timing,FusionCameraDetectionComponent::OnReceiveImage,78223917,1656414030225997631,0,0,42340500,1656414030268338131,1656414030268338131,1
1656414030268374864,1656414030268405645,Timing,FusionComponent::Proc,30781,0,0,0,1656414030268405645,1656414030268405645,1656414030268405645,0
1656414030225998229,1656414030300135816,Timing,FusionCameraDetectionComponent::OnReceiveImage,74137587,1656414030268386932,0,0,31748884,1656414030300135816,1656414030300135816,1
1656414030300173976,1656414030300201242,Timing,FusionComponent::Proc,27266,0,0,0,1656414030300201242,1656414030300201242,1656414030300201242,0
1656414030289127575,1656414030317914337,Timing,DetectionComponent::Proc,28786762,0,1656414030289125685,0,1656414030317914337,28788652,1656414030317914337,1
