,ts_start,ts_end,type,component,execution_time,ts_cam,ts_lidar,ts_radar,lat_cam,lat_lidar,lat_radar,is_finish
0,1656407181956069718,1656407181957617659,Timing,PlanningComponent::Proc,1547941,1656407181910476695,1656407181925577813,1656407181914453891,47140964,32039846,43163768,1
1,1656407182077554740,1656407182077778664,Timing,PlanningComponent::Proc,223924,1656407181980614040,1656407182056830004,1656407181998165685,97164624,20948660,79612979,1
2,1656407182129696146,1656407182129969321,Timing,PlanningComponent::Proc,273175,1656407182079275856,1656407182110900856,1656407182105832703,50693465,19068465,24136618,1
3,1656407182236810737,1656407182236999304,Timing,PlanningComponent::Proc,188567,1656407182193136900,1656407182213442019,1656407182211399981,43862404,23557285,25599323,1
4,1656407182356026487,1656407182356299386,Timing,PlanningComponent::Proc,272899,1656407182315967373,1656407182332162363,1656407182323518035,40332013,24137023,32781351,1
5,1656407182433431907,1656407182433690491,Timing,PlanningComponent::Proc,258584,1656407182396453836,1656407182398910897,1656407182395060396,37236655,34779594,38630095,1
6,1656407182495748214,1656407182496032036,Timing,PlanningComponent::Proc,283822,1656407182447501920,1656407182461714528,1656407182395060396,48530116,34317508,100971640,1
7,1656407182642178660,1656407182642392377,Timing,PlanningComponent::Proc,213717,1656407182590582017,1656407182616111095,1656407182552391906,51810360,26281282,90000471,1
8,1656407182761323965,1656407182761804316,Timing,PlanningComponent::Proc,480351,1656407182710793875,1656407182735176468,1656407182668051092,51010441,26627848,93753224,1
9,1656407182890112250,1656407182890361523,Timing,PlanningComponent::Proc,249273,1656407182829164002,1656407182870585299,1656407182790409251,61197521,19776224,99952272,1
10,1656407182945875125,1656407182946256143,Timing,PlanningComponent::Proc,381018,1656407182898868394,1656407182910394015,1656407182905277088,47387749,35862128,40979055,1
11,1656407183043935257,1656407183044119633,Timing,PlanningComponent::Proc,184376,1656407183001950105,1656407183021449052,1656407183013345914,42169528,22670581,30773719,1
12,1656407183169784444,1656407183169985590,Timing,PlanningComponent::Proc,201146,1656407183115526690,1656407183142943976,1656407183134083762,54458900,27041614,35901828,1
13,1656407183234698607,1656407183234892024,Timing,PlanningComponent::Proc,193417,1656407183180033700,1656407183212663859,1656407183134083762,54858324,22228165,100808262,1
14,1656407183359673521,1656407183359913133,Timing,PlanningComponent::Proc,239612,1656407183298603241,1656407183336377740,1656407183257326395,61309892,23535393,102586738,1
15,1656407183492939827,1656407183493177340,Timing,PlanningComponent::Proc,237513,1656407183429476662,1656407183472292669,1656407183394865286,63700678,20884671,98312054,1
16,1656407183555300303,1656407183555548809,Timing,PlanningComponent::Proc,248506,1656407183501629840,1656407183532102855,1656407183523516371,53918969,23445954,32032438,1
17,1656407183651853656,1656407183652066558,Timing,PlanningComponent::Proc,212902,1656407183615796964,1656407183620779792,1656407183604027193,36269594,31286766,48039365,1
18,1656407183767612279,1656407183767857765,Timing,PlanningComponent::Proc,245486,1656407183668519089,1656407183737145534,1656407183723850277,99338676,30712231,44007488,1
19,1656407183819015535,1656407183819397147,Timing,PlanningComponent::Proc,381612,1656407183762183608,1656407183793889775,1656407183723850277,57213539,25507372,95546870,1
20,1656407183943326178,1656407183943585644,Timing,PlanningComponent::Proc,259466,1656407183877979229,1656407183926724143,1656407183917254085,65606415,16861501,26331559,1
21,1656407184067539223,1656407184067799390,Timing,PlanningComponent::Proc,260167,1656407183959559935,1656407184048766023,1656407184038842701,108239455,19033367,28956689,1
22,1656407184120283397,1656407184120883128,Timing,PlanningComponent::Proc,599731,1656407184079642209,1656407184086907732,1656407184038842701,41240919,33975396,82040427,1
23,1656407184235884694,1656407184236165717,Timing,PlanningComponent::Proc,281023,1656407184177993601,1656407184214201685,1656407184141070084,58172116,21964032,95095633,1
24,1656407184354585703,1656407184354787816,Timing,PlanningComponent::Proc,202113,1656407184300152393,1656407184332488553,1656407184263439946,54635423,22299263,91347870,1
25,1656407184488601281,1656407184488903549,Timing,PlanningComponent::Proc,302268,1656407184432178871,1656407184461313459,1656407184397632925,56724678,27590090,91270624,1
26,1656407184544952596,1656407184545553573,Timing,PlanningComponent::Proc,600977,1656407184496844218,1656407184517788117,1656407184512067912,48709355,27765456,33485661,1
27,1656407184633758143,1656407184634075929,Timing,PlanningComponent::Proc,317786,1656407184594066975,1656407184591754060,1656407184588103981,40008954,42321869,45971948,1
28,1656407184743671294,1656407184743869849,Timing,PlanningComponent::Proc,198555,1656407184655704359,1656407184719001199,1656407184713476369,88165490,24868650,30393480,1
29,1656407184910123626,1656407184910327610,Timing,PlanningComponent::Proc,203984,1656407184858226091,1656407184883741681,1656407184813708965,52101519,26585929,96618645,1
30,1656407185043132682,1656407185043488609,Timing,PlanningComponent::Proc,355927,1656407184978226593,1656407185021307238,1656407184937538481,65262016,22181371,105950128,1
31,1656407185121380000,1656407185121568700,Timing,PlanningComponent::Proc,188700,1656407185057120156,1656407185104619241,1656407185094622332,64448544,16949459,26946368,1
32,1656407185201095631,1656407185201344796,Timing,PlanningComponent::Proc,249165,1656407185143036961,1656407185183454216,1656407185094622332,58307835,17890580,106722464,1
33,1656407185384972257,1656407185385214458,Timing,PlanningComponent::Proc,242201,1656407185315190966,1656407185367308103,1656407185356974465,70023492,17906355,28239993,1
34,1656407185476150361,1656407185476332763,Timing,PlanningComponent::Proc,182402,1656407185405275655,1656407185459841991,1656407185448243045,71057108,16490772,28089718,1
35,1656407185575474796,1656407185575738515,Timing,PlanningComponent::Proc,263719,1656407185497317924,1656407185556208666,1656407185550982342,78420591,19529849,24756173,1
36,1656407185688082574,1656407185688384236,Timing,PlanningComponent::Proc,301662,1656407185594454843,1656407185667330689,1656407185657381451,93929393,21053547,31002785,1
37,1656407185810549673,1656407185810732868,Timing,PlanningComponent::Proc,183195,1656407185698322970,1656407185786875807,1656407185768795908,112409898,23857061,41936960,1
38,1656407186025163114,1656407186025380397,Timing,PlanningComponent::Proc,217283,1656407185909999341,1656407186008441052,1656407185999065826,115381056,16939345,26314571,1
39,1656407186124661044,1656407186124930880,Timing,PlanningComponent::Proc,269836,1656407186045564645,1656407186107980915,1656407186099383912,79366235,16949965,25546968,1
40,1656407186241860965,1656407186242080051,Timing,PlanningComponent::Proc,219086,1656407186139052599,1656407186225781734,1656407186209099512,103027452,16298317,32980539,1
41,1656407186334821285,1656407186335092002,Timing,PlanningComponent::Proc,270717,1656407186261513161,1656407186316871462,1656407186306775050,73578841,18220540,28316952,1
42,1656407186461586392,1656407186461860179,Timing,PlanningComponent::Proc,273787,1656407186362863874,1656407186443708106,1656407186434069914,98996305,18152073,27790265,1
43,1656407186548371620,1656407186548549106,Timing,PlanningComponent::Proc,177486,1656407186476770086,1656407186531064294,1656407186521330045,71779020,17484812,27219061,1
44,1656407186674256112,1656407186674485067,Timing,PlanningComponent::Proc,228955,1656407186576344849,1656407186655455199,1656407186646552199,98140218,19029868,27932868,1
45,1656407186746727730,1656407186747157099,Timing,PlanningComponent::Proc,429369,1656407186683842575,1656407186718882328,1656407186710736191,63314524,28274771,36420908,1
46,1656407186831761761,1656407186831998130,Timing,PlanningComponent::Proc,236369,1656407186762772473,1656407186814630883,1656407186804564938,69225657,17367247,27433192,1
47,1656407186916994979,1656407186917191845,Timing,PlanningComponent::Proc,196866,1656407186849130725,1656407186890403815,1656407186804564938,68061120,26788030,112626907,1
48,1656407187002542406,1656407187002869298,Timing,PlanningComponent::Proc,326892,1656407186920904407,1656407186983231075,1656407186975268577,81964891,19638223,27600721,1
49,1656407187065590257,1656407187065878998,Timing,PlanningComponent::Proc,288741,1656407187013851810,1656407187044112858,1656407186975268577,52027188,21766140,90610421,1
50,1656407187130111342,1656407187130434159,Timing,PlanningComponent::Proc,322817,1656407187080444990,1656407187107530316,1656407187099362317,49989169,22903843,31071842,1
51,1656407187199955407,1656407187200203012,Timing,PlanningComponent::Proc,247605,1656407187139935198,1656407187182124236,1656407187099362317,60267814,18078776,100840695,1
52,1656407187370299615,1656407187370683878,Timing,PlanningComponent::Proc,384263,1656407187301325972,1656407187333477551,1656407187262653398,69357906,37206327,108030480,1
53,1656407187426468995,1656407187426783087,Timing,PlanningComponent::Proc,314092,1656407187368328953,1656407187409274883,1656407187400385607,58454134,17508204,26397480,1
54,1656407187502215922,1656407187502490622,Timing,PlanningComponent::Proc,274700,1656407187441488655,1656407187483146419,1656407187467109539,61001967,19344203,35381083,1
55,1656407187656077987,1656407187656339830,Timing,PlanningComponent::Proc,261843,1656407187580291866,1656407187628474964,1656407187541201216,76047964,27864866,115138614,1
56,1656407187731459198,1656407187731631179,Timing,PlanningComponent::Proc,171981,1656407187666306273,1656407187694105444,1656407187687045449,65324906,37525735,44585730,1
57,1656407187899237522,1656407187899466533,Timing,PlanningComponent::Proc,229011,1656407187857499144,1656407187836078304,1656407187819345873,41967389,63388229,80120660,1
58,1656407190218124957,1656407190218366441,Timing,PlanningComponent::Proc,241484,1656407190162593299,1656407187902120639,1656407187819345873,55773142,2316245802,2399020568,1
59,1656407190232789325,1656407190233015351,Timing,PlanningComponent::Proc,226026,1656407190162593299,1656407190107655728,1656407190043998828,70422052,125359623,189016523,1
60,1656407190280509649,1656407190280701740,Timing,PlanningComponent::Proc,192091,1656407190178889658,1656407190242331759,1656407190237108035,101812082,38369981,43593705,1
61,1656407190446233534,1656407190446535219,Timing,PlanningComponent::Proc,301685,1656407190345762923,1656407190377168273,1656407190365662393,100772296,69366946,80872826,1
62,1656407190524922317,1656407190525119490,Timing,PlanningComponent::Proc,197173,1656407190438662532,1656407190461524384,1656407190452708278,86456958,63595106,72411212,1
63,1656407190558145064,1656407190558375349,Timing,PlanningComponent::Proc,230285,1656407190493371019,1656407190517284243,1656407190452708278,65004330,41091106,105667071,1
64,1656407190664740938,1656407190664972500,Timing,PlanningComponent::Proc,231562,1656407190607839795,1656407190616297870,1656407190567654610,57132705,48674630,97317890,1
65,1656407190816561440,1656407190816826639,Timing,PlanningComponent::Proc,265199,1656407190712719699,1656407190763197352,1656407190743149235,104106940,53629287,73677404,1
66,1656407190851727920,1656407190851950400,Timing,PlanningComponent::Proc,222480,1656407190786764482,1656407190800563431,1656407190743149235,65185918,51386969,108801165,1
67,1656407190930546788,1656407190930738798,Timing,PlanningComponent::Proc,192010,1656407190850288089,1656407190905987469,1656407190851047165,80450709,24751329,79691633,1
68,1656407191046788039,1656407191047004326,Timing,PlanningComponent::Proc,216287,1656407190993145716,1656407191002869254,1656407190947428436,53858610,44135072,99575890,1
69,1656407191134970946,1656407191135471296,Timing,PlanningComponent::Proc,500350,1656407191048570711,1656407191108666235,1656407191056394113,86900585,26805061,79077183,1
70,1656407191264809765,1656407191265110151,Timing,PlanningComponent::Proc,300386,1656407191203146423,1656407191223803127,1656407191162933314,61963728,41307024,102176837,1
71,1656407191404822296,1656407191405136568,Timing,PlanningComponent::Proc,314272,1656407191322853272,1656407191361042373,1656407191346262016,82283296,44094195,58874552,1
72,1656407191426632787,1656407191426859044,Timing,PlanningComponent::Proc,226257,1656407191382621121,1656407191394649360,1656407191346262016,44237923,32209684,80597028,1
