ts_start,ts_end,type,component,execution_time,ts_cam,ts_lidar,ts_radar,lat_cam,lat_lidar,lat_radar,is_finish
1656415614675757545,1656415614675784195,Timing,FusionComponent::Proc,26650,0,0,0,1656415614675784195,1656415614675784195,1656415614675784195,0
1656415614684999917,1656415614685018020,Timing,FusionComponent::Proc,18103,0,0,0,1656415614685018020,1656415614685018020,1656415614685018020,0
1656415614721818166,1656415614722446688,Timing,FusionComponent::Proc,628522,1656415614621689073,1656415614679777377,1656415614672315506,100757615,42669311,50131182,1
1656415614729444743,1656415614729479685,Timing,FusionComponent::Proc,34942,0,0,0,1656415614729479685,1656415614729479685,1656415614729479685,0
1656415614762647917,1656415614762678719,Timing,FusionComponent::Proc,30802,0,0,0,1656415614762678719,1656415614762678719,1656415614762678719,0
1656415614769674907,1656415614769688210,Timing,FusionComponent::Proc,13303,0,0,0,1656415614769688210,1656415614769688210,1656415614769688210,0
1656415614794705868,1656415614794735363,Timing,FusionComponent::Proc,29495,0,0,0,1656415614794735363,1656415614794735363,1656415614794735363,0
1656415614812898763,1656415614812924581,Timing,FusionComponent::Proc,25818,0,0,0,1656415614812924581,1656415614812924581,1656415614812924581,0
1656415614837212636,1656415614837262040,Timing,FusionComponent::Proc,49404,0,0,0,1656415614837262040,1656415614837262040,1656415614837262040,0
1656415614852065729,1656415614853005767,Timing,FusionComponent::Proc,940038,1656415614794715304,1656415614815694051,1656415614757074221,58290463,37311716,95931546,1
1656415614877262778,1656415614877290390,Timing,FusionComponent::Proc,27612,0,0,0,1656415614877290390,1656415614877290390,1656415614877290390,0
1656415614894864532,1656415614894892237,Timing,FusionComponent::Proc,27705,0,0,0,1656415614894892237,1656415614894892237,1656415614894892237,0
1656415614908665970,1656415614908688756,Timing,FusionComponent::Proc,22786,0,0,0,1656415614908688756,1656415614908688756,1656415614908688756,0
1656415614912198994,1656415614912219290,Timing,FusionComponent::Proc,20296,0,0,0,1656415614912219290,1656415614912219290,1656415614912219290,0
1656415614929374025,1656415614929395487,Timing,FusionComponent::Proc,21462,0,0,0,1656415614929395487,1656415614929395487,1656415614929395487,0
1656415614951440379,1656415614951461617,Timing,FusionComponent::Proc,21238,0,0,0,1656415614951461617,1656415614951461617,1656415614951461617,0
1656415614973618738,1656415614973646857,Timing,FusionComponent::Proc,28119,0,0,0,1656415614973646857,1656415614973646857,1656415614973646857,0
1656415615000080020,1656415615000102336,Timing,FusionComponent::Proc,22316,0,0,0,1656415615000102336,1656415615000102336,1656415615000102336,0
1656415615001075766,1656415615001406574,Timing,FusionComponent::Proc,330808,1656415614973623228,1656415614963575028,1656415614896093373,27783346,37831546,105313201,1
1656415615020127630,1656415615020151815,Timing,FusionComponent::Proc,24185,0,0,0,1656415615020151815,1656415615020151815,1656415615020151815,0
1656415615024935183,1656415615024968754,Timing,FusionComponent::Proc,33571,0,0,0,1656415615024968754,1656415615024968754,1656415615024968754,0
1656415615037031618,1656415615037053667,Timing,FusionComponent::Proc,22049,0,0,0,1656415615037053667,1656415615037053667,1656415615037053667,0
1656415615056563054,1656415615056588334,Timing,FusionComponent::Proc,25280,0,0,0,1656415615056588334,1656415615056588334,1656415615056588334,0
1656415615073063366,1656415615073088260,Timing,FusionComponent::Proc,24894,0,0,0,1656415615073088260,1656415615073088260,1656415615073088260,0
1656415615101173557,1656415615101204196,Timing,FusionComponent::Proc,30639,0,0,0,1656415615101204196,1656415615101204196,1656415615101204196,0
1656415615101419166,1656415615101933015,Timing,FusionComponent::Proc,513849,1656415615073084454,1656415615081531940,1656415615015345899,28848561,20401075,86587116,1
1656415615121607480,1656415615121635982,Timing,FusionComponent::Proc,28502,0,0,0,1656415615121635982,1656415615121635982,1656415615121635982,0
1656415615141725505,1656415615141751989,Timing,FusionComponent::Proc,26484,0,0,0,1656415615141751989,1656415615141751989,1656415615141751989,0
1656415615154110644,1656415615154174376,Timing,FusionComponent::Proc,63732,0,0,0,1656415615154174376,1656415615154174376,1656415615154174376,0
1656415615154698669,1656415615155118087,Timing,FusionComponent::Proc,419418,1656415615121612256,1656415615132147599,1656415615128984642,33505831,22970488,26133445,1
