ts_start,ts_end,type,component,execution_time,ts_cam,ts_lidar,ts_radar,lat_cam,lat_lidar,lat_radar,is_finish
1656415613680465613,1656415613692993306,Timing,FusionCameraDetectionComponent::OnReceiveImage,12527693,0,0,0,1656415613692993306,1656415613692993306,1656415613692993306,0
1656415613686972467,1656415613705327131,Timing,FusionCameraDetectionComponent::OnReceiveImage,18354664,0,0,0,1656415613705327131,1656415613705327131,1656415613705327131,0
1656415613735995449,1656415613748395336,Timing,FusionCameraDetectionComponent::OnReceiveImage,12399887,0,0,0,1656415613748395336,1656415613748395336,1656415613748395336,0
1656415613746444094,1656415613760691229,Timing,FusionCameraDetectionComponent::OnReceiveImage,14247135,0,0,0,1656415613760691229,1656415613760691229,1656415613760691229,0
1656415613795088924,1656415613807469336,Timing,FusionCameraDetectionComponent::OnReceiveImage,12380412,0,0,0,1656415613807469336,1656415613807469336,1656415613807469336,0
1656415613807606422,1656415613819951006,Timing,FusionCameraDetectionComponent::OnReceiveImage,12344584,0,0,0,1656415613819951006,1656415613819951006,1656415613819951006,0
1656415613853814692,1656415613866173537,Timing,FusionCameraDetectionComponent::OnReceiveImage,12358845,0,0,0,1656415613866173537,1656415613866173537,1656415613866173537,0
1656415613862092498,1656415613878505902,Timing,FusionCameraDetectionComponent::OnReceiveImage,16413404,0,0,0,1656415613878505902,1656415613878505902,1656415613878505902,0
1656415613903174522,1656415613915561053,Timing,FusionCameraDetectionComponent::OnReceiveImage,12386531,0,0,0,1656415613915561053,1656415613915561053,1656415613915561053,0
1656415613915542347,1656415613927881156,Timing,FusionCameraDetectionComponent::OnReceiveImage,12338809,0,0,0,1656415613927881156,1656415613927881156,1656415613927881156,0
1656415613953185810,1656415613965552913,Timing,FusionCameraDetectionComponent::OnReceiveImage,12367103,0,0,0,1656415613965552913,1656415613965552913,1656415613965552913,0
1656415613960724995,1656415613977904285,Timing,FusionCameraDetectionComponent::OnReceiveImage,17179290,0,0,0,1656415613977904285,1656415613977904285,1656415613977904285,0
1656415614003155363,1656415614015543325,Timing,FusionCameraDetectionComponent::OnReceiveImage,12387962,0,0,0,1656415614015543325,1656415614015543325,1656415614015543325,0
1656415614006789159,1656415614027905846,Timing,FusionCameraDetectionComponent::OnReceiveImage,21116687,0,0,0,1656415614027905846,1656415614027905846,1656415614027905846,0
1656415614100855679,1656415614113202444,Timing,FusionCameraDetectionComponent::OnReceiveImage,12346765,0,0,0,1656415614113202444,1656415614113202444,1656415614113202444,0
1656415614117420675,1656415614129797499,Timing,FusionCameraDetectionComponent::OnReceiveImage,12376824,0,0,0,1656415614129797499,1656415614129797499,1656415614129797499,0
1656415614138308492,1656415614150707677,Timing,FusionCameraDetectionComponent::OnReceiveImage,12399185,0,0,0,1656415614150707677,1656415614150707677,1656415614150707677,0
1656415614143168579,1656415614163051807,Timing,FusionCameraDetectionComponent::OnReceiveImage,19883228,0,0,0,1656415614163051807,1656415614163051807,1656415614163051807,0
1656415614210656164,1656415614223027319,Timing,FusionCameraDetectionComponent::OnReceiveImage,12371155,0,0,0,1656415614223027319,1656415614223027319,1656415614223027319,0
1656415614216774517,1656415614235368961,Timing,FusionCameraDetectionComponent::OnReceiveImage,18594444,0,0,0,1656415614235368961,1656415614235368961,1656415614235368961,0
1656415614281455933,1656415614293835083,Timing,FusionCameraDetectionComponent::OnReceiveImage,12379150,0,0,0,1656415614293835083,1656415614293835083,1656415614293835083,0
1656415614294699944,1656415614306986264,Timing,FusionCameraDetectionComponent::OnReceiveImage,12286320,0,0,0,1656415614306986264,1656415614306986264,1656415614306986264,0
1656415614387094999,1656415614399483401,Timing,FusionCameraDetectionComponent::OnReceiveImage,12388402,0,0,0,1656415614399483401,1656415614399483401,1656415614399483401,0
1656415614391179241,1656415614411865179,Timing,FusionCameraDetectionComponent::OnReceiveImage,20685938,0,0,0,1656415614411865179,1656415614411865179,1656415614411865179,0
1656415614431601805,1656415614443919556,Timing,FusionCameraDetectionComponent::OnReceiveImage,12317751,0,0,0,1656415614443919556,1656415614443919556,1656415614443919556,0
1656415614437660628,1656415614456242037,Timing,FusionCameraDetectionComponent::OnReceiveImage,18581409,0,0,0,1656415614456242037,1656415614456242037,1656415614456242037,0
1656415614471195059,1656415614483541225,Timing,FusionCameraDetectionComponent::OnReceiveImage,12346166,0,0,0,1656415614483541225,1656415614483541225,1656415614483541225,0
1656415614478248357,1656415614495902296,Timing,FusionCameraDetectionComponent::OnReceiveImage,17653939,0,0,0,1656415614495902296,1656415614495902296,1656415614495902296,0
1656415614560959932,1656415614573325866,Timing,FusionCameraDetectionComponent::OnReceiveImage,12365934,0,0,0,1656415614573325866,1656415614573325866,1656415614573325866,0
1656415614575438341,1656415614587744811,Timing,FusionCameraDetectionComponent::OnReceiveImage,12306470,0,0,0,1656415614587744811,1656415614587744811,1656415614587744811,0
1656415614609274947,1656415614621675697,Timing,FusionCameraDetectionComponent::OnReceiveImage,12400750,0,0,0,1656415614621675697,1656415614621675697,1656415614621675697,0
1656415614618828355,1656415614675719184,Timing,FusionCameraDetectionComponent::OnReceiveImage,56890829,1656415614621689073,0,0,54030111,1656415614675719184,1656415614675719184,1
1656415614621689339,1656415614729394319,Timing,FusionCameraDetectionComponent::OnReceiveImage,107704980,1656415614675761730,0,0,53632589,1656415614729394319,1656415614729394319,1
1656415614675762550,1656415614762607136,Timing,FusionCameraDetectionComponent::OnReceiveImage,86844586,1656415614729455271,0,0,33151865,1656415614762607136,1656415614762607136,1
1656415614729455863,1656415614794667745,Timing,FusionCameraDetectionComponent::OnReceiveImage,65211882,1656415614762655745,0,0,32012000,1656415614794667745,1656415614794667745,1
1656415614762656284,1656415614812855342,Timing,FusionCameraDetectionComponent::OnReceiveImage,50199058,1656415614794715304,0,0,18140038,1656415614812855342,1656415614812855342,1
1656415614794715880,1656415614837120164,Timing,FusionCameraDetectionComponent::OnReceiveImage,42404284,1656415614794715304,0,0,42404860,1656415614837120164,1656415614837120164,1
1656415614852794329,1656415614877221369,Timing,FusionCameraDetectionComponent::OnReceiveImage,24427040,1656415614855498167,0,0,21723202,1656415614877221369,1656415614877221369,1
1656415614855499829,1656415614894813181,Timing,FusionCameraDetectionComponent::OnReceiveImage,39313352,1656415614877268970,0,0,17544211,1656415614894813181,1656415614894813181,1
1656415614877269481,1656415614912148712,Timing,FusionCameraDetectionComponent::OnReceiveImage,34879231,1656415614894874625,0,0,17274087,1656415614912148712,1656415614912148712,1
1656415614894875639,1656415614929328192,Timing,FusionCameraDetectionComponent::OnReceiveImage,34452553,1656415614894874625,0,0,34453567,1656415614929328192,1656415614929328192,1
1656415614933995390,1656415614951403514,Timing,FusionCameraDetectionComponent::OnReceiveImage,17408124,1656415614936929689,0,0,14473825,1656415614951403514,1656415614951403514,1
