ts_start,ts_end,type,component,execution_time,ts_cam,ts_lidar,ts_radar,lat_cam,lat_lidar,lat_radar,is_finish
1656407689522841160,1656407689522915507,Timing,ControlComponent::Proc,74347,0,0,0,1656407689522915507,1656407689522915507,1656407689522915507,0
1656407689531419615,1656407689531492872,Timing,ControlComponent::Proc,73257,0,0,0,1656407689531492872,1656407689531492872,1656407689531492872,0
1656407689543386201,1656407689543463393,Timing,ControlComponent::Proc,77192,0,0,0,1656407689543463393,1656407689543463393,1656407689543463393,0
1656407689553437220,1656407689553515254,Timing,ControlComponent::Proc,78034,0,0,0,1656407689553515254,1656407689553515254,1656407689553515254,0
1656407689563392636,1656407689563471164,Timing,ControlComponent::Proc,78528,0,0,0,1656407689563471164,1656407689563471164,1656407689563471164,0
1656407689573434960,1656407689573563342,Timing,ControlComponent::Proc,128382,0,0,0,1656407689573563342,1656407689573563342,1656407689573563342,0
1656407689583404089,1656407689583484361,Timing,ControlComponent::Proc,80272,0,0,0,1656407689583484361,1656407689583484361,1656407689583484361,0
1656407689593418145,1656407689593516822,Timing,ControlComponent::Proc,98677,0,0,0,1656407689593516822,1656407689593516822,1656407689593516822,0
1656407689603387515,1656407689603464572,Timing,ControlComponent::Proc,77057,0,0,0,1656407689603464572,1656407689603464572,1656407689603464572,0
1656407689613372502,1656407689613442438,Timing,ControlComponent::Proc,69936,0,0,0,1656407689613442438,1656407689613442438,1656407689613442438,0
1656407689623407646,1656407689623516239,Timing,ControlComponent::Proc,108593,0,0,0,1656407689623516239,1656407689623516239,1656407689623516239,0
1656407689633406495,1656407689633570550,Timing,ControlComponent::Proc,164055,0,0,0,1656407689633570550,1656407689633570550,1656407689633570550,0
1656407689643392901,1656407689643466396,Timing,ControlComponent::Proc,73495,0,0,0,1656407689643466396,1656407689643466396,1656407689643466396,0
1656407689653379680,1656407689653462875,Timing,ControlComponent::Proc,83195,0,0,0,1656407689653462875,1656407689653462875,1656407689653462875,0
1656407689663388814,1656407689663459747,Timing,ControlComponent::Proc,70933,0,0,0,1656407689663459747,1656407689663459747,1656407689663459747,0
1656407689673387115,1656407689673474478,Timing,ControlComponent::Proc,87363,0,0,0,1656407689673474478,1656407689673474478,1656407689673474478,0
1656407689683400908,1656407689683492305,Timing,ControlComponent::Proc,91397,0,0,0,1656407689683492305,1656407689683492305,1656407689683492305,0
1656407689693410887,1656407689693492012,Timing,ControlComponent::Proc,81125,0,0,0,1656407689693492012,1656407689693492012,1656407689693492012,0
1656407689703417038,1656407689703596936,Timing,ControlComponent::Proc,179898,0,0,0,1656407689703596936,1656407689703596936,1656407689703596936,0
1656407689713390904,1656407689713456597,Timing,ControlComponent::Proc,65693,0,0,0,1656407689713456597,1656407689713456597,1656407689713456597,0
1656407689723417129,1656407689723538781,Timing,ControlComponent::Proc,121652,0,0,0,1656407689723538781,1656407689723538781,1656407689723538781,0
1656407689733397436,1656407689733469774,Timing,ControlComponent::Proc,72338,0,0,0,1656407689733469774,1656407689733469774,1656407689733469774,0
1656407689743398693,1656407689743482237,Timing,ControlComponent::Proc,83544,0,0,0,1656407689743482237,1656407689743482237,1656407689743482237,0
1656407689753387608,1656407689753483096,Timing,ControlComponent::Proc,95488,0,0,0,1656407689753483096,1656407689753483096,1656407689753483096,0
1656407689763390360,1656407689763473307,Timing,ControlComponent::Proc,82947,0,0,0,1656407689763473307,1656407689763473307,1656407689763473307,0
1656407689773391807,1656407689773493014,Timing,ControlComponent::Proc,101207,0,0,0,1656407689773493014,1656407689773493014,1656407689773493014,0
1656407689783401520,1656407689783485097,Timing,ControlComponent::Proc,83577,0,0,0,1656407689783485097,1656407689783485097,1656407689783485097,0
1656407689793397774,1656407689793477654,Timing,ControlComponent::Proc,79880,0,0,0,1656407689793477654,1656407689793477654,1656407689793477654,0
1656407689803476588,1656407689803554699,Timing,ControlComponent::Proc,78111,0,0,0,1656407689803554699,1656407689803554699,1656407689803554699,0
1656407689813398691,1656407689813478653,Timing,ControlComponent::Proc,79962,0,0,0,1656407689813478653,1656407689813478653,1656407689813478653,0
1656407689823398262,1656407689823519745,Timing,ControlComponent::Proc,121483,0,0,0,1656407689823519745,1656407689823519745,1656407689823519745,0
1656407689833397946,1656407689833488300,Timing,ControlComponent::Proc,90354,0,0,0,1656407689833488300,1656407689833488300,1656407689833488300,0
1656407689843410310,1656407689843520333,Timing,ControlComponent::Proc,110023,0,0,0,1656407689843520333,1656407689843520333,1656407689843520333,0
1656407689853417063,1656407689853547860,Timing,ControlComponent::Proc,130797,0,0,0,1656407689853547860,1656407689853547860,1656407689853547860,0
1656407689863413617,1656407689863533957,Timing,ControlComponent::Proc,120340,0,0,0,1656407689863533957,1656407689863533957,1656407689863533957,0
1656407689873364285,1656407689873463995,Timing,ControlComponent::Proc,99710,0,0,0,1656407689873463995,1656407689873463995,1656407689873463995,0
1656407689883387883,1656407689883460468,Timing,ControlComponent::Proc,72585,0,0,0,1656407689883460468,1656407689883460468,1656407689883460468,0
1656407689893474068,1656407689893559764,Timing,ControlComponent::Proc,85696,0,0,0,1656407689893559764,1656407689893559764,1656407689893559764,0
1656407689906188813,1656407689906276149,Timing,ControlComponent::Proc,87336,0,0,0,1656407689906276149,1656407689906276149,1656407689906276149,0
1656407689914224419,1656407689914290763,Timing,ControlComponent::Proc,66344,0,0,0,1656407689914290763,1656407689914290763,1656407689914290763,0
1656407689924189285,1656407689924257693,Timing,ControlComponent::Proc,68408,0,0,0,1656407689924257693,1656407689924257693,1656407689924257693,0
1656407689934226903,1656407689934332612,Timing,ControlComponent::Proc,105709,0,0,0,1656407689934332612,1656407689934332612,1656407689934332612,0
1656407689944230861,1656407689944310541,Timing,ControlComponent::Proc,79680,0,0,0,1656407689944310541,1656407689944310541,1656407689944310541,0
1656407689954241461,1656407689954353479,Timing,ControlComponent::Proc,112018,0,0,0,1656407689954353479,1656407689954353479,1656407689954353479,0
1656407689964207946,1656407689964299190,Timing,ControlComponent::Proc,91244,0,0,0,1656407689964299190,1656407689964299190,1656407689964299190,0
1656407689974223972,1656407689974302709,Timing,ControlComponent::Proc,78737,0,0,0,1656407689974302709,1656407689974302709,1656407689974302709,0
1656407689984212876,1656407689984296390,Timing,ControlComponent::Proc,83514,0,0,0,1656407689984296390,1656407689984296390,1656407689984296390,0
1656407689994226832,1656407689994299930,Timing,ControlComponent::Proc,73098,0,0,0,1656407689994299930,1656407689994299930,1656407689994299930,0
1656407690004232528,1656407690004310919,Timing,ControlComponent::Proc,78391,0,0,0,1656407690004310919,1656407690004310919,1656407690004310919,0
1656407690014225539,1656407690014324612,Timing,ControlComponent::Proc,99073,0,0,0,1656407690014324612,1656407690014324612,1656407690014324612,0
1656407690024220782,1656407690024300396,Timing,ControlComponent::Proc,79614,0,0,0,1656407690024300396,1656407690024300396,1656407690024300396,0
1656407690034216831,1656407690034307344,Timing,ControlComponent::Proc,90513,0,0,0,1656407690034307344,1656407690034307344,1656407690034307344,0
1656407690044223797,1656407690044301336,Timing,ControlComponent::Proc,77539,0,0,0,1656407690044301336,1656407690044301336,1656407690044301336,0
1656407690058122860,1656407690058191439,Timing,ControlComponent::Proc,68579,0,0,0,1656407690058191439,1656407690058191439,1656407690058191439,0
1656407690064125573,1656407690064211724,Timing,ControlComponent::Proc,86151,0,0,0,1656407690064211724,1656407690064211724,1656407690064211724,0
1656407690074108053,1656407690074189761,Timing,ControlComponent::Proc,81708,0,0,0,1656407690074189761,1656407690074189761,1656407690074189761,0
1656407690084148463,1656407690084251774,Timing,ControlComponent::Proc,103311,0,0,0,1656407690084251774,1656407690084251774,1656407690084251774,0
1656407690094104165,1656407690094174749,Timing,ControlComponent::Proc,70584,0,0,0,1656407690094174749,1656407690094174749,1656407690094174749,0
1656407690104127953,1656407690104230266,Timing,ControlComponent::Proc,102313,0,0,0,1656407690104230266,1656407690104230266,1656407690104230266,0
1656407690114094552,1656407690114173769,Timing,ControlComponent::Proc,79217,0,0,0,1656407690114173769,1656407690114173769,1656407690114173769,0
1656407690124100710,1656407690124177578,Timing,ControlComponent::Proc,76868,0,0,0,1656407690124177578,1656407690124177578,1656407690124177578,0
1656407690134191619,1656407690134309186,Timing,ControlComponent::Proc,117567,0,0,0,1656407690134309186,1656407690134309186,1656407690134309186,0
1656407690144141072,1656407690144235517,Timing,ControlComponent::Proc,94445,0,0,0,1656407690144235517,1656407690144235517,1656407690144235517,0
1656407690154144785,1656407690154281028,Timing,ControlComponent::Proc,136243,0,0,0,1656407690154281028,1656407690154281028,1656407690154281028,0
1656407690164103163,1656407690164201550,Timing,ControlComponent::Proc,98387,0,0,0,1656407690164201550,1656407690164201550,1656407690164201550,0
1656407690177177881,1656407690177298413,Timing,ControlComponent::Proc,120532,0,0,0,1656407690177298413,1656407690177298413,1656407690177298413,0
1656407690182348283,1656407690182428009,Timing,ControlComponent::Proc,79726,0,0,0,1656407690182428009,1656407690182428009,1656407690182428009,0
1656407690192401915,1656407690192462647,Timing,ControlComponent::Proc,60732,0,0,0,1656407690192462647,1656407690192462647,1656407690192462647,0
1656407690202420933,1656407690202520565,Timing,ControlComponent::Proc,99632,0,0,0,1656407690202520565,1656407690202520565,1656407690202520565,0
1656407690212391880,1656407690212458945,Timing,ControlComponent::Proc,67065,0,0,0,1656407690212458945,1656407690212458945,1656407690212458945,0
1656407690222383775,1656407690222454189,Timing,ControlComponent::Proc,70414,0,0,0,1656407690222454189,1656407690222454189,1656407690222454189,0
1656407690232389752,1656407690232464836,Timing,ControlComponent::Proc,75084,0,0,0,1656407690232464836,1656407690232464836,1656407690232464836,0
1656407690242352380,1656407690242599154,Timing,ControlComponent::Proc,246774,0,0,0,1656407690242599154,1656407690242599154,1656407690242599154,0
1656407690254436342,1656407690254516860,Timing,ControlComponent::Proc,80518,0,0,0,1656407690254516860,1656407690254516860,1656407690254516860,0
1656407690262416384,1656407690262477974,Timing,ControlComponent::Proc,61590,0,0,0,1656407690262477974,1656407690262477974,1656407690262477974,0
1656407690272429003,1656407690272501380,Timing,ControlComponent::Proc,72377,0,0,0,1656407690272501380,1656407690272501380,1656407690272501380,0
1656407690282429105,1656407690282494453,Timing,ControlComponent::Proc,65348,0,0,0,1656407690282494453,1656407690282494453,1656407690282494453,0
1656407690292998493,1656407690293066104,Timing,ControlComponent::Proc,67611,0,0,0,1656407690293066104,1656407690293066104,1656407690293066104,0
1656407690303447137,1656407690303542698,Timing,ControlComponent::Proc,95561,0,0,0,1656407690303542698,1656407690303542698,1656407690303542698,0
1656407690312455447,1656407690312533077,Timing,ControlComponent::Proc,77630,0,0,0,1656407690312533077,1656407690312533077,1656407690312533077,0
1656407690322480606,1656407690322592366,Timing,ControlComponent::Proc,111760,0,0,0,1656407690322592366,1656407690322592366,1656407690322592366,0
1656407690332476252,1656407690332563155,Timing,ControlComponent::Proc,86903,0,0,0,1656407690332563155,1656407690332563155,1656407690332563155,0
1656407690342398006,1656407690342461344,Timing,ControlComponent::Proc,63338,0,0,0,1656407690342461344,1656407690342461344,1656407690342461344,0
1656407690352470800,1656407690352607985,Timing,ControlComponent::Proc,137185,0,0,0,1656407690352607985,1656407690352607985,1656407690352607985,0
1656407690362474069,1656407690362540851,Timing,ControlComponent::Proc,66782,0,0,0,1656407690362540851,1656407690362540851,1656407690362540851,0
1656407690372448467,1656407690372573696,Timing,ControlComponent::Proc,125229,0,0,0,1656407690372573696,1656407690372573696,1656407690372573696,0
1656407690382453069,1656407690382534220,Timing,ControlComponent::Proc,81151,0,0,0,1656407690382534220,1656407690382534220,1656407690382534220,0
1656407690392449166,1656407690392521931,Timing,ControlComponent::Proc,72765,0,0,0,1656407690392521931,1656407690392521931,1656407690392521931,0
1656407690402437051,1656407690402529852,Timing,ControlComponent::Proc,92801,0,0,0,1656407690402529852,1656407690402529852,1656407690402529852,0
1656407690412458828,1656407690412530758,Timing,ControlComponent::Proc,71930,0,0,0,1656407690412530758,1656407690412530758,1656407690412530758,0
1656407690422413705,1656407690422495202,Timing,ControlComponent::Proc,81497,0,0,0,1656407690422495202,1656407690422495202,1656407690422495202,0
1656407690432464305,1656407690432534326,Timing,ControlComponent::Proc,70021,0,0,0,1656407690432534326,1656407690432534326,1656407690432534326,0
1656407690442445137,1656407690442502500,Timing,ControlComponent::Proc,57363,0,0,0,1656407690442502500,1656407690442502500,1656407690442502500,0
1656407690452460967,1656407690452537726,Timing,ControlComponent::Proc,76759,0,0,0,1656407690452537726,1656407690452537726,1656407690452537726,0
1656407690462409818,1656407690462475844,Timing,ControlComponent::Proc,66026,0,0,0,1656407690462475844,1656407690462475844,1656407690462475844,0
1656407690472466578,1656407690472556983,Timing,ControlComponent::Proc,90405,0,0,0,1656407690472556983,1656407690472556983,1656407690472556983,0
1656407690491432725,1656407690491501269,Timing,ControlComponent::Proc,68544,0,0,0,1656407690491501269,1656407690491501269,1656407690491501269,0
1656407690493418439,1656407690493469609,Timing,ControlComponent::Proc,51170,0,0,0,1656407690493469609,1656407690493469609,1656407690493469609,0
1656407690509223056,1656407690509303030,Timing,ControlComponent::Proc,79974,0,0,0,1656407690509303030,1656407690509303030,1656407690509303030,0
1656407690511385770,1656407690511448851,Timing,ControlComponent::Proc,63081,0,0,0,1656407690511448851,1656407690511448851,1656407690511448851,0
1656407690523458491,1656407690523551717,Timing,ControlComponent::Proc,93226,0,0,0,1656407690523551717,1656407690523551717,1656407690523551717,0
1656407690533450620,1656407690533519428,Timing,ControlComponent::Proc,68808,0,0,0,1656407690533519428,1656407690533519428,1656407690533519428,0
1656407690543450721,1656407690543528988,Timing,ControlComponent::Proc,78267,0,0,0,1656407690543528988,1656407690543528988,1656407690543528988,0
1656407690553446686,1656407690553516329,Timing,ControlComponent::Proc,69643,0,0,0,1656407690553516329,1656407690553516329,1656407690553516329,0
1656407690563432428,1656407690563510454,Timing,ControlComponent::Proc,78026,0,0,0,1656407690563510454,1656407690563510454,1656407690563510454,0
1656407690573464916,1656407690573580485,Timing,ControlComponent::Proc,115569,0,0,0,1656407690573580485,1656407690573580485,1656407690573580485,0
1656407690583424358,1656407690583503776,Timing,ControlComponent::Proc,79418,0,0,0,1656407690583503776,1656407690583503776,1656407690583503776,0
1656407690593413217,1656407690593523588,Timing,ControlComponent::Proc,110371,0,0,0,1656407690593523588,1656407690593523588,1656407690593523588,0
1656407690603414253,1656407690603487456,Timing,ControlComponent::Proc,73203,0,0,0,1656407690603487456,1656407690603487456,1656407690603487456,0
1656407690613434917,1656407690613494204,Timing,ControlComponent::Proc,59287,0,0,0,1656407690613494204,1656407690613494204,1656407690613494204,0
1656407690623437198,1656407690623509754,Timing,ControlComponent::Proc,72556,0,0,0,1656407690623509754,1656407690623509754,1656407690623509754,0
1656407690633452928,1656407690633526044,Timing,ControlComponent::Proc,73116,0,0,0,1656407690633526044,1656407690633526044,1656407690633526044,0
1656407690651391668,1656407690651455501,Timing,ControlComponent::Proc,63833,0,0,0,1656407690651455501,1656407690651455501,1656407690651455501,0
1656407690653431138,1656407690653501923,Timing,ControlComponent::Proc,70785,0,0,0,1656407690653501923,1656407690653501923,1656407690653501923,0
1656407690663433437,1656407690663495242,Timing,ControlComponent::Proc,61805,0,0,0,1656407690663495242,1656407690663495242,1656407690663495242,0
1656407690673432112,1656407690673496403,Timing,ControlComponent::Proc,64291,0,0,0,1656407690673496403,1656407690673496403,1656407690673496403,0
1656407690683419581,1656407690683475122,Timing,ControlComponent::Proc,55541,0,0,0,1656407690683475122,1656407690683475122,1656407690683475122,0
1656407690693406720,1656407690693476357,Timing,ControlComponent::Proc,69637,0,0,0,1656407690693476357,1656407690693476357,1656407690693476357,0
1656407690703397430,1656407690703471529,Timing,ControlComponent::Proc,74099,0,0,0,1656407690703471529,1656407690703471529,1656407690703471529,0
1656407690713458999,1656407690713531427,Timing,ControlComponent::Proc,72428,0,0,0,1656407690713531427,1656407690713531427,1656407690713531427,0
1656407690723391728,1656407690723482677,Timing,ControlComponent::Proc,90949,0,0,0,1656407690723482677,1656407690723482677,1656407690723482677,0
1656407690733448171,1656407690733549315,Timing,ControlComponent::Proc,101144,0,0,0,1656407690733549315,1656407690733549315,1656407690733549315,0
1656407690743426575,1656407690743498040,Timing,ControlComponent::Proc,71465,0,0,0,1656407690743498040,1656407690743498040,1656407690743498040,0
1656407690753434093,1656407690753508877,Timing,ControlComponent::Proc,74784,0,0,0,1656407690753508877,1656407690753508877,1656407690753508877,0
1656407690763436710,1656407690763491767,Timing,ControlComponent::Proc,55057,0,0,0,1656407690763491767,1656407690763491767,1656407690763491767,0
1656407690773411657,1656407690773488277,Timing,ControlComponent::Proc,76620,0,0,0,1656407690773488277,1656407690773488277,1656407690773488277,0
1656407690783448731,1656407690783527340,Timing,ControlComponent::Proc,78609,0,0,0,1656407690783527340,1656407690783527340,1656407690783527340,0
1656407690793430710,1656407690793504195,Timing,ControlComponent::Proc,73485,0,0,0,1656407690793504195,1656407690793504195,1656407690793504195,0
1656407690803407350,1656407690803460743,Timing,ControlComponent::Proc,53393,0,0,0,1656407690803460743,1656407690803460743,1656407690803460743,0
