ts_start,ts_end,type,component,execution_time,ts_cam,ts_lidar,ts_radar,lat_cam,lat_lidar,lat_radar,is_finish
1656407801616750685,1656407801616824138,Timing,FusionComponent::Proc,73453,0,0,0,1656407801616824138,1656407801616824138,1656407801616824138,0
1656407801632221977,1656407801632258378,Timing,FusionComponent::Proc,36401,0,0,0,1656407801632258378,1656407801632258378,1656407801632258378,0
1656407801682520620,1656407801682583388,Timing,FusionComponent::Proc,62768,0,0,0,1656407801682583388,1656407801682583388,1656407801682583388,0
1656407801686196084,1656407801686778405,Timing,FusionComponent::Proc,582321,1656407801645927271,1656407801655960107,1656407801603435472,40851134,30818298,83342933,1
1656407801695348069,1656407801695386925,Timing,FusionComponent::Proc,38856,0,0,0,1656407801695386925,1656407801695386925,1656407801695386925,0
1656407801702579871,1656407801702620332,Timing,FusionComponent::Proc,40461,0,0,0,1656407801702620332,1656407801702620332,1656407801702620332,0
1656407801734745101,1656407801734780179,Timing,FusionComponent::Proc,35078,0,0,0,1656407801734780179,1656407801734780179,1656407801734780179,0
1656407801738689899,1656407801739299546,Timing,FusionComponent::Proc,609647,1656407801702589875,1656407801714596444,1656407801682508429,36709671,24703102,56791117,1
1656407801763609774,1656407801763646449,Timing,FusionComponent::Proc,36675,0,0,0,1656407801763646449,1656407801763646449,1656407801763646449,0
1656407801783359960,1656407801783395074,Timing,FusionComponent::Proc,35114,0,0,0,1656407801783395074,1656407801783395074,1656407801783395074,0
1656407801802427476,1656407801802456788,Timing,FusionComponent::Proc,29312,0,0,0,1656407801802456788,1656407801802456788,1656407801802456788,0
1656407801810916057,1656407801810945343,Timing,FusionComponent::Proc,29286,0,0,0,1656407801810945343,1656407801810945343,1656407801810945343,0
1656407801861374962,1656407801861412396,Timing,FusionComponent::Proc,37434,0,0,0,1656407801861412396,1656407801861412396,1656407801861412396,0
1656407801882830464,1656407801883375383,Timing,FusionComponent::Proc,544919,1656407801840786876,1656407801856876796,1656407801798263882,42588507,26498587,85111501,1
1656407801889213768,1656407801889251748,Timing,FusionComponent::Proc,37980,0,0,0,1656407801889251748,1656407801889251748,1656407801889251748,0
1656407801908806951,1656407801908845466,Timing,FusionComponent::Proc,38515,0,0,0,1656407801908845466,1656407801908845466,1656407801908845466,0
1656407801920509231,1656407801920551847,Timing,FusionComponent::Proc,42616,0,0,0,1656407801920551847,1656407801920551847,1656407801920551847,0
