,ts_start,ts_end,type,component,execution_time,ts_cam,ts_lidar,ts_radar,lat_cam,lat_lidar,lat_radar,is_finish
0,1656407752325305630,1656407752350750228,Timing,LaneDetectionComponent::OnReceiveImage,25444598,1656407752329101549,0,0,21648679,1656407752350750228,1656407752350750228,1
1,1656407752329103983,1656407752351646850,Timing,LaneDetectionComponent::OnReceiveImage,22542867,1656407752329101549,0,0,22545301,1656407752351646850,1656407752351646850,1
2,1656407752386243195,1656407752387402223,Timing,LaneDetectionComponent::OnReceiveImage,1159028,1656407752386242006,0,0,1160217,1656407752387402223,1656407752387402223,1
3,1656407752390554703,1656407752408240798,Timing,LaneDetectionComponent::OnReceiveImage,17686095,1656407752390552927,0,0,17687871,1656407752408240798,1656407752408240798,1
4,1656407752432925756,1656407752451981947,Timing,LaneDetectionComponent::OnReceiveImage,19056191,1656407752435147731,0,0,16834216,1656407752451981947,1656407752451981947,1
5,1656407752435154630,1656407752452759438,Timing,LaneDetectionComponent::OnReceiveImage,17604808,1656407752435147731,0,0,17611707,1656407752452759438,1656407752452759438,1
6,1656407752492092636,1656407752512026088,Timing,LaneDetectionComponent::OnReceiveImage,19933452,1656407752500793376,0,0,11232712,1656407752512026088,1656407752512026088,1
7,1656407752500796619,1656407752512836156,Timing,LaneDetectionComponent::OnReceiveImage,12039537,1656407752500793376,0,0,12042780,1656407752512836156,1656407752512836156,1
8,1656407752595604083,1656407752597013994,Timing,LaneDetectionComponent::OnReceiveImage,1409911,1656407752595598301,0,0,1415693,1656407752597013994,1656407752597013994,1
9,1656407752597778917,1656407752615167946,Timing,LaneDetectionComponent::OnReceiveImage,17389029,1656407752597777460,0,0,17390486,1656407752615167946,1656407752615167946,1
10,1656407752641085486,1656407752661173512,Timing,LaneDetectionComponent::OnReceiveImage,20088026,1656407752644096242,0,0,17077270,1656407752661173512,1656407752661173512,1
11,1656407752644098879,1656407752662003099,Timing,LaneDetectionComponent::OnReceiveImage,17904220,1656407752644096242,0,0,17906857,1656407752662003099,1656407752662003099,1
12,1656407752687995539,1656407752702827613,Timing,LaneDetectionComponent::OnReceiveImage,14832074,1656407752690097316,0,0,12730297,1656407752702827613,1656407752702827613,1
13,1656407752690098618,1656407752703745644,Timing,LaneDetectionComponent::OnReceiveImage,13647026,1656407752690097316,0,0,13648328,1656407752703745644,1656407752703745644,1
14,1656407752790835624,1656407752806255630,Timing,LaneDetectionComponent::OnReceiveImage,15420006,1656407752792929193,0,0,13326437,1656407752806255630,1656407752806255630,1
15,1656407752792930476,1656407752807163262,Timing,LaneDetectionComponent::OnReceiveImage,14232786,1656407752792929193,0,0,14234069,1656407752807163262,1656407752807163262,1
16,1656407752822149960,1656407752823037254,Timing,LaneDetectionComponent::OnReceiveImage,887294,1656407752822148752,0,0,888502,1656407752823037254,1656407752823037254,1
17,1656407752824514845,1656407752843143832,Timing,LaneDetectionComponent::OnReceiveImage,18628987,1656407752824512962,0,0,18630870,1656407752843143832,1656407752843143832,1
18,1656407752897013980,1656407752897909245,Timing,LaneDetectionComponent::OnReceiveImage,895265,1656407752897012305,0,0,896940,1656407752897909245,1656407752897909245,1
19,1656407752903509106,1656407752921576415,Timing,LaneDetectionComponent::OnReceiveImage,18067309,1656407752903506895,0,0,18069520,1656407752921576415,1656407752921576415,1
20,1656407752961640758,1656407752980572272,Timing,LaneDetectionComponent::OnReceiveImage,18931514,1656407752965042242,0,0,15530030,1656407752980572272,1656407752980572272,1
21,1656407752965043585,1656407752981400959,Timing,LaneDetectionComponent::OnReceiveImage,16357374,1656407752965042242,0,0,16358717,1656407752981400959,1656407752981400959,1
22,1656407753046936672,1656407753047776522,Timing,LaneDetectionComponent::OnReceiveImage,839850,1656407753046935216,0,0,841306,1656407753047776522,1656407753047776522,1
23,1656407753054275590,1656407753067350536,Timing,LaneDetectionComponent::OnReceiveImage,13074946,1656407753054273809,0,0,13076727,1656407753067350536,1656407753067350536,1
24,1656407753094523818,1656407753112669195,Timing,LaneDetectionComponent::OnReceiveImage,18145377,1656407753110656198,0,0,2012997,1656407753112669195,1656407753112669195,1
25,1656407753110657661,1656407753113592757,Timing,LaneDetectionComponent::OnReceiveImage,2935096,1656407753110656198,0,0,2936559,1656407753113592757,1656407753113592757,1
26,1656407753202044482,1656407753226433278,Timing,LaneDetectionComponent::OnReceiveImage,24388796,1656407753204348110,0,0,22085168,1656407753226433278,1656407753226433278,1
27,1656407753204349385,1656407753227389452,Timing,LaneDetectionComponent::OnReceiveImage,23040067,1656407753204348110,0,0,23041342,1656407753227389452,1656407753227389452,1
28,1656407753249745222,1656407753269790211,Timing,LaneDetectionComponent::OnReceiveImage,20044989,1656407753259558404,0,0,10231807,1656407753269790211,1656407753269790211,1
29,1656407753259559855,1656407753270705916,Timing,LaneDetectionComponent::OnReceiveImage,11146061,1656407753259558404,0,0,11147512,1656407753270705916,1656407753270705916,1
30,1656407753297742686,1656407753312913862,Timing,LaneDetectionComponent::OnReceiveImage,15171176,1656407753302375495,0,0,10538367,1656407753312913862,1656407753312913862,1
31,1656407753302377109,1656407753313912393,Timing,LaneDetectionComponent::OnReceiveImage,11535284,1656407753302375495,0,0,11536898,1656407753313912393,1656407753313912393,1
32,1656407753409403820,1656407753425556163,Timing,LaneDetectionComponent::OnReceiveImage,16152343,1656407753412522105,0,0,13034058,1656407753425556163,1656407753425556163,1
33,1656407753412523772,1656407753426454308,Timing,LaneDetectionComponent::OnReceiveImage,13930536,1656407753412522105,0,0,13932203,1656407753426454308,1656407753426454308,1
34,1656407753465145499,1656407753479167353,Timing,LaneDetectionComponent::OnReceiveImage,14021854,1656407753469838512,0,0,9328841,1656407753479167353,1656407753479167353,1
35,1656407753469839876,1656407753479982565,Timing,LaneDetectionComponent::OnReceiveImage,10142689,1656407753469838512,0,0,10144053,1656407753479982565,1656407753479982565,1
36,1656407753509019316,1656407753510482454,Timing,LaneDetectionComponent::OnReceiveImage,1463138,1656407753509016151,0,0,1466303,1656407753510482454,1656407753510482454,1
37,1656407753511437589,1656407753525180792,Timing,LaneDetectionComponent::OnReceiveImage,13743203,1656407753511436262,0,0,13744530,1656407753525180792,1656407753525180792,1
38,1656407753561087919,1656407753575956223,Timing,LaneDetectionComponent::OnReceiveImage,14868304,1656407753563873353,0,0,12082870,1656407753575956223,1656407753575956223,1
39,1656407753563875620,1656407753576851162,Timing,LaneDetectionComponent::OnReceiveImage,12975542,1656407753563873353,0,0,12977809,1656407753576851162,1656407753576851162,1
