,ts_start,ts_end,type,component,execution_time,ts_cam,ts_lidar,ts_radar,lat_cam,lat_lidar,lat_radar,is_finish
0,1656407688681042222,1656407688681249398,Timing,RTKLocalizationComponent::Proc,207176,0,0,0,1656407688681249398,1656407688681249398,1656407688681249398,1
1,1656407688760519631,1656407688760582769,Timing,RTKLocalizationComponent::Proc,63138,0,0,0,1656407688760582769,1656407688760582769,1656407688760582769,1
2,1656407688840849587,1656407688840951932,Timing,RTKLocalizationComponent::Proc,102345,0,0,0,1656407688840951932,1656407688840951932,1656407688840951932,1
3,1656407688920696573,1656407688920800825,Timing,RTKLocalizationComponent::Proc,104252,0,0,0,1656407688920800825,1656407688920800825,1656407688920800825,1
4,1656407689003357564,1656407689003448064,Timing,RTKLocalizationComponent::Proc,90500,0,0,0,1656407689003448064,1656407689003448064,1656407689003448064,1
5,1656407689080680789,1656407689080775860,Timing,RTKLocalizationComponent::Proc,95071,0,0,0,1656407689080775860,1656407689080775860,1656407689080775860,1
6,1656407689160847791,1656407689160944322,Timing,RTKLocalizationComponent::Proc,96531,0,0,0,1656407689160944322,1656407689160944322,1656407689160944322,1
7,1656407689240875448,1656407689241010318,Timing,RTKLocalizationComponent::Proc,134870,0,0,0,1656407689241010318,1656407689241010318,1656407689241010318,1
8,1656407689320673558,1656407689320770064,Timing,RTKLocalizationComponent::Proc,96506,0,0,0,1656407689320770064,1656407689320770064,1656407689320770064,1
9,1656407689403892996,1656407689403987560,Timing,RTKLocalizationComponent::Proc,94564,0,0,0,1656407689403987560,1656407689403987560,1656407689403987560,1
10,1656407689488020397,1656407689488183701,Timing,RTKLocalizationComponent::Proc,163304,0,0,0,1656407689488183701,1656407689488183701,1656407689488183701,1
11,1656407689560901084,1656407689561018758,Timing,RTKLocalizationComponent::Proc,117674,0,0,0,1656407689561018758,1656407689561018758,1656407689561018758,1
12,1656407689640634371,1656407689640725832,Timing,RTKLocalizationComponent::Proc,91461,0,0,0,1656407689640725832,1656407689640725832,1656407689640725832,1
13,1656407689727919296,1656407689728052574,Timing,RTKLocalizationComponent::Proc,133278,0,0,0,1656407689728052574,1656407689728052574,1656407689728052574,1
14,1656407689800598100,1656407689800691941,Timing,RTKLocalizationComponent::Proc,93841,0,0,0,1656407689800691941,1656407689800691941,1656407689800691941,1
15,1656407689887974011,1656407689888099803,Timing,RTKLocalizationComponent::Proc,125792,0,0,0,1656407689888099803,1656407689888099803,1656407689888099803,1
16,1656407689960895183,1656407689960987124,Timing,RTKLocalizationComponent::Proc,91941,0,0,0,1656407689960987124,1656407689960987124,1656407689960987124,1
17,1656407690040606799,1656407690040962803,Timing,RTKLocalizationComponent::Proc,356004,0,0,0,1656407690040962803,1656407690040962803,1656407690040962803,1
18,1656407690128044247,1656407690128117768,Timing,RTKLocalizationComponent::Proc,73521,0,0,0,1656407690128117768,1656407690128117768,1656407690128117768,1
19,1656407690200549897,1656407690200647946,Timing,RTKLocalizationComponent::Proc,98049,0,0,0,1656407690200647946,1656407690200647946,1656407690200647946,1
20,1656407690280790688,1656407690280903797,Timing,RTKLocalizationComponent::Proc,113109,0,0,0,1656407690280903797,1656407690280903797,1656407690280903797,1
21,1656407690360823282,1656407690360913829,Timing,RTKLocalizationComponent::Proc,90547,0,0,0,1656407690360913829,1656407690360913829,1656407690360913829,1
22,1656407690449446603,1656407690449522138,Timing,RTKLocalizationComponent::Proc,75535,0,0,0,1656407690449522138,1656407690449522138,1656407690449522138,1
23,1656407690520756883,1656407690520847790,Timing,RTKLocalizationComponent::Proc,90907,0,0,0,1656407690520847790,1656407690520847790,1656407690520847790,1
24,1656407690600554653,1656407690600651198,Timing,RTKLocalizationComponent::Proc,96545,0,0,0,1656407690600651198,1656407690600651198,1656407690600651198,1
25,1656407690680645764,1656407690680750271,Timing,RTKLocalizationComponent::Proc,104507,0,0,0,1656407690680750271,1656407690680750271,1656407690680750271,1
26,1656407690760659850,1656407690760944210,Timing,RTKLocalizationComponent::Proc,284360,0,0,0,1656407690760944210,1656407690760944210,1656407690760944210,1
27,1656407690840654907,1656407690840790253,Timing,RTKLocalizationComponent::Proc,135346,0,0,0,1656407690840790253,1656407690840790253,1656407690840790253,1
28,1656407690920541705,1656407690920674452,Timing,RTKLocalizationComponent::Proc,132747,0,0,0,1656407690920674452,1656407690920674452,1656407690920674452,1
29,1656407691000946323,1656407691001105287,Timing,RTKLocalizationComponent::Proc,158964,0,0,0,1656407691001105287,1656407691001105287,1656407691001105287,1
30,1656407691081235992,1656407691081368073,Timing,RTKLocalizationComponent::Proc,132081,0,0,0,1656407691081368073,1656407691081368073,1656407691081368073,1
31,1656407691160573772,1656407691160677621,Timing,RTKLocalizationComponent::Proc,103849,0,0,0,1656407691160677621,1656407691160677621,1656407691160677621,1
32,1656407691244208975,1656407691244339774,Timing,RTKLocalizationComponent::Proc,130799,0,0,0,1656407691244339774,1656407691244339774,1656407691244339774,1
33,1656407691320571958,1656407691320774980,Timing,RTKLocalizationComponent::Proc,203022,0,0,0,1656407691320774980,1656407691320774980,1656407691320774980,1
34,1656407691400654636,1656407691400847704,Timing,RTKLocalizationComponent::Proc,193068,0,0,0,1656407691400847704,1656407691400847704,1656407691400847704,1
35,1656407691483592259,1656407691483738289,Timing,RTKLocalizationComponent::Proc,146030,0,0,0,1656407691483738289,1656407691483738289,1656407691483738289,1
36,1656407691560873155,1656407691561097392,Timing,RTKLocalizationComponent::Proc,224237,0,0,0,1656407691561097392,1656407691561097392,1656407691561097392,1
37,1656407691640707754,1656407691640819967,Timing,RTKLocalizationComponent::Proc,112213,0,0,0,1656407691640819967,1656407691640819967,1656407691640819967,1
38,1656407691720870720,1656407691721057014,Timing,RTKLocalizationComponent::Proc,186294,0,0,0,1656407691721057014,1656407691721057014,1656407691721057014,1
39,1656407691800566332,1656407691800815580,Timing,RTKLocalizationComponent::Proc,249248,0,0,0,1656407691800815580,1656407691800815580,1656407691800815580,1
40,1656407691880744140,1656407691880884659,Timing,RTKLocalizationComponent::Proc,140519,0,0,0,1656407691880884659,1656407691880884659,1656407691880884659,1
41,1656407691960871050,1656407691960997091,Timing,RTKLocalizationComponent::Proc,126041,0,0,0,1656407691960997091,1656407691960997091,1656407691960997091,1
42,1656407692040887512,1656407692041031354,Timing,RTKLocalizationComponent::Proc,143842,0,0,0,1656407692041031354,1656407692041031354,1656407692041031354,1
43,1656407692120606344,1656407692120742548,Timing,RTKLocalizationComponent::Proc,136204,0,0,0,1656407692120742548,1656407692120742548,1656407692120742548,1
44,1656407692201501036,1656407692201736744,Timing,RTKLocalizationComponent::Proc,235708,0,0,0,1656407692201736744,1656407692201736744,1656407692201736744,1
45,1656407692288615326,1656407692288769331,Timing,RTKLocalizationComponent::Proc,154005,0,0,0,1656407692288769331,1656407692288769331,1656407692288769331,1
46,1656407692367807616,1656407692367947856,Timing,RTKLocalizationComponent::Proc,140240,0,0,0,1656407692367947856,1656407692367947856,1656407692367947856,1
47,1656407692440646077,1656407692440753491,Timing,RTKLocalizationComponent::Proc,107414,0,0,0,1656407692440753491,1656407692440753491,1656407692440753491,1
48,1656407692520932726,1656407692521072921,Timing,RTKLocalizationComponent::Proc,140195,0,0,0,1656407692521072921,1656407692521072921,1656407692521072921,1
49,1656407692600663258,1656407692600799861,Timing,RTKLocalizationComponent::Proc,136603,0,0,0,1656407692600799861,1656407692600799861,1656407692600799861,1
50,1656407692680699915,1656407692680828979,Timing,RTKLocalizationComponent::Proc,129064,0,0,0,1656407692680828979,1656407692680828979,1656407692680828979,1
51,1656407692760985180,1656407692761107886,Timing,RTKLocalizationComponent::Proc,122706,0,0,0,1656407692761107886,1656407692761107886,1656407692761107886,1
52,1656407692841386870,1656407692841564278,Timing,RTKLocalizationComponent::Proc,177408,0,0,0,1656407692841564278,1656407692841564278,1656407692841564278,1
53,1656407692920747600,1656407692920955117,Timing,RTKLocalizationComponent::Proc,207517,0,0,0,1656407692920955117,1656407692920955117,1656407692920955117,1
54,1656407693000719232,1656407693000836797,Timing,RTKLocalizationComponent::Proc,117565,0,0,0,1656407693000836797,1656407693000836797,1656407693000836797,1
