,ts_start,ts_end,type,component,execution_time,ts_cam,ts_lidar,ts_radar,lat_cam,lat_lidar,lat_radar,is_finish
0,1656407720236472534,1656407720252141357,Timing,TrafficLightsPerceptionComponent::OnReceiveImage,15668823,1656407720241627166,0,0,10514191,1656407720252141357,1656407720252141357,1
1,1656407720241629184,1656407720252928345,Timing,TrafficLightsPerceptionComponent::OnReceiveImage,11299161,0,0,0,1656407720252928345,1656407720252928345,1656407720252928345,0
2,1656407720307912979,1656407720307982429,Timing,TrafficLightsPerceptionComponent::OnReceiveImage,69450,0,0,0,1656407720307982429,1656407720307982429,1656407720307982429,0
3,1656407720313076672,1656407720313127393,Timing,TrafficLightsPerceptionComponent::OnReceiveImage,50721,0,0,0,1656407720313127393,1656407720313127393,1656407720313127393,0
4,1656407720377275971,1656407720377325938,Timing,TrafficLightsPerceptionComponent::OnReceiveImage,49967,0,0,0,1656407720377325938,1656407720377325938,1656407720377325938,0
5,1656407720379458455,1656407720395969344,Timing,TrafficLightsPerceptionComponent::OnReceiveImage,16510889,1656407720379457211,0,0,16512133,1656407720395969344,1656407720395969344,1
6,1656407720437241107,1656407720437552520,Timing,TrafficLightsPerceptionComponent::OnReceiveImage,311413,0,0,0,1656407720437552520,1656407720437552520,1656407720437552520,0
7,1656407720441229413,1656407720441272006,Timing,TrafficLightsPerceptionComponent::OnReceiveImage,42593,0,0,0,1656407720441272006,1656407720441272006,1656407720441272006,0
8,1656407720554287039,1656407720582057578,Timing,TrafficLightsPerceptionComponent::OnReceiveImage,27770539,1656407720556482670,0,0,25574908,1656407720582057578,1656407720582057578,1
9,1656407720556485352,1656407720582529097,Timing,TrafficLightsPerceptionComponent::OnReceiveImage,26043745,0,0,0,1656407720582529097,1656407720582529097,1656407720582529097,0
10,1656407720582182284,1656407720582553273,Timing,TrafficLightsPerceptionComponent::OnReceiveImage,370989,0,0,0,1656407720582553273,1656407720582553273,1656407720582553273,0
11,1656407720582546499,1656407720582575096,Timing,TrafficLightsPerceptionComponent::OnReceiveImage,28597,0,0,0,1656407720582575096,1656407720582575096,1656407720582575096,0
12,1656407720651916188,1656407720651964836,Timing,TrafficLightsPerceptionComponent::OnReceiveImage,48648,0,0,0,1656407720651964836,1656407720651964836,1656407720651964836,0
13,1656407720654014404,1656407720654048815,Timing,TrafficLightsPerceptionComponent::OnReceiveImage,34411,0,0,0,1656407720654048815,1656407720654048815,1656407720654048815,0
14,1656407720730569110,1656407720761500954,Timing,TrafficLightsPerceptionComponent::OnReceiveImage,30931844,1656407720732770522,0,0,28730432,1656407720761500954,1656407720761500954,1
15,1656407720732771648,1656407720761866124,Timing,TrafficLightsPerceptionComponent::OnReceiveImage,29094476,0,0,0,1656407720761866124,1656407720761866124,1656407720761866124,0
16,1656407720816319941,1656407720816369273,Timing,TrafficLightsPerceptionComponent::OnReceiveImage,49332,0,0,0,1656407720816369273,1656407720816369273,1656407720816369273,0
17,1656407720819219509,1656407720819261180,Timing,TrafficLightsPerceptionComponent::OnReceiveImage,41671,0,0,0,1656407720819261180,1656407720819261180,1656407720819261180,0
18,1656407720843154202,1656407720843199099,Timing,TrafficLightsPerceptionComponent::OnReceiveImage,44897,0,0,0,1656407720843199099,1656407720843199099,1656407720843199099,0
19,1656407720848793138,1656407720848844882,Timing,TrafficLightsPerceptionComponent::OnReceiveImage,51744,0,0,0,1656407720848844882,1656407720848844882,1656407720848844882,0
20,1656407720912451776,1656407720912502685,Timing,TrafficLightsPerceptionComponent::OnReceiveImage,50909,0,0,0,1656407720912502685,1656407720912502685,1656407720912502685,0
