ts_start,ts_end,type,component,execution_time,ts_cam,ts_lidar,ts_radar,lat_cam,lat_lidar,lat_radar,is_finish
1656417921522108131,1656417921522142402,Timing,ControlComponent::Proc,34271,0,0,0,1656417921522142402,1656417921522142402,1656417921522142402,0
1656417921531978388,1656417921532015518,Timing,ControlComponent::Proc,37130,0,0,0,1656417921532015518,1656417921532015518,1656417921532015518,0
1656417921541929854,1656417921541976545,Timing,ControlComponent::Proc,46691,0,0,0,1656417921541976545,1656417921541976545,1656417921541976545,0
1656417921551959202,1656417921552002967,Timing,ControlComponent::Proc,43765,0,0,0,1656417921552002967,1656417921552002967,1656417921552002967,0
1656417921561961229,1656417921561998801,Timing,ControlComponent::Proc,37572,0,0,0,1656417921561998801,1656417921561998801,1656417921561998801,0
1656417921571961871,1656417921572002107,Timing,ControlComponent::Proc,40236,0,0,0,1656417921572002107,1656417921572002107,1656417921572002107,0
1656417921581958929,1656417921581994766,Timing,ControlComponent::Proc,35837,0,0,0,1656417921581994766,1656417921581994766,1656417921581994766,0
1656417921591960272,1656417921591994573,Timing,ControlComponent::Proc,34301,0,0,0,1656417921591994573,1656417921591994573,1656417921591994573,0
1656417921601961908,1656417921601998836,Timing,ControlComponent::Proc,36928,0,0,0,1656417921601998836,1656417921601998836,1656417921601998836,0
1656417921611969106,1656417921612017867,Timing,ControlComponent::Proc,48761,0,0,0,1656417921612017867,1656417921612017867,1656417921612017867,0
1656417921621964874,1656417921622028807,Timing,ControlComponent::Proc,63933,0,0,0,1656417921622028807,1656417921622028807,1656417921622028807,0
1656417921631971442,1656417921632026407,Timing,ControlComponent::Proc,54965,0,0,0,1656417921632026407,1656417921632026407,1656417921632026407,0
1656417921641962784,1656417921641996481,Timing,ControlComponent::Proc,33697,0,0,0,1656417921641996481,1656417921641996481,1656417921641996481,0
1656417921651960812,1656417921651997306,Timing,ControlComponent::Proc,36494,0,0,0,1656417921651997306,1656417921651997306,1656417921651997306,0
1656417921661969704,1656417921662000734,Timing,ControlComponent::Proc,31030,0,0,0,1656417921662000734,1656417921662000734,1656417921662000734,0
1656417921671960174,1656417921672000133,Timing,ControlComponent::Proc,39959,0,0,0,1656417921672000133,1656417921672000133,1656417921672000133,0
1656417921681961084,1656417921682001293,Timing,ControlComponent::Proc,40209,0,0,0,1656417921682001293,1656417921682001293,1656417921682001293,0
1656417921691978622,1656417921692014580,Timing,ControlComponent::Proc,35958,0,0,0,1656417921692014580,1656417921692014580,1656417921692014580,0
1656417921701959218,1656417921701991230,Timing,ControlComponent::Proc,32012,0,0,0,1656417921701991230,1656417921701991230,1656417921701991230,0
1656417921711982066,1656417921712035511,Timing,ControlComponent::Proc,53445,0,0,0,1656417921712035511,1656417921712035511,1656417921712035511,0
1656417921721939011,1656417921721978719,Timing,ControlComponent::Proc,39708,0,0,0,1656417921721978719,1656417921721978719,1656417921721978719,0
1656417921731957613,1656417921731990184,Timing,ControlComponent::Proc,32571,0,0,0,1656417921731990184,1656417921731990184,1656417921731990184,0
1656417921741932450,1656417921741966885,Timing,ControlComponent::Proc,34435,0,0,0,1656417921741966885,1656417921741966885,1656417921741966885,0
