ts_start,ts_end,type,component,execution_time,ts_cam,ts_lidar,ts_radar,lat_cam,lat_lidar,lat_radar,is_finish
1656417754184574148,1656417754184798705,Timing,RTKLocalizationComponent::Proc,224557,0,0,0,1656417754184798705,1656417754184798705,1656417754184798705,1
1656417754267034746,1656417754267106402,Timing,RTKLocalizationComponent::Proc,71656,0,0,0,1656417754267106402,1656417754267106402,1656417754267106402,1
1656417754343498474,1656417754343551221,Timing,RTKLocalizationComponent::Proc,52747,0,0,0,1656417754343551221,1656417754343551221,1656417754343551221,1
1656417754423697296,1656417754423752087,Timing,RTKLocalizationComponent::Proc,54791,0,0,0,1656417754423752087,1656417754423752087,1656417754423752087,1
1656417754503490812,1656417754503544218,Timing,RTKLocalizationComponent::Proc,53406,0,0,0,1656417754503544218,1656417754503544218,1656417754503544218,1
1656417754583619244,1656417754583719246,Timing,RTKLocalizationComponent::Proc,100002,0,0,0,1656417754583719246,1656417754583719246,1656417754583719246,1
1656417754663694779,1656417754663762433,Timing,RTKLocalizationComponent::Proc,67654,0,0,0,1656417754663762433,1656417754663762433,1656417754663762433,1
1656417754743621963,1656417754743679389,Timing,RTKLocalizationComponent::Proc,57426,0,0,0,1656417754743679389,1656417754743679389,1656417754743679389,1
1656417754824073100,1656417754824131243,Timing,RTKLocalizationComponent::Proc,58143,0,0,0,1656417754824131243,1656417754824131243,1656417754824131243,1
1656417754905335248,1656417754905392243,Timing,RTKLocalizationComponent::Proc,56995,0,0,0,1656417754905392243,1656417754905392243,1656417754905392243,1
1656417754983620654,1656417754983688116,Timing,RTKLocalizationComponent::Proc,67462,0,0,0,1656417754983688116,1656417754983688116,1656417754983688116,1
1656417755063632218,1656417755063696792,Timing,RTKLocalizationComponent::Proc,64574,0,0,0,1656417755063696792,1656417755063696792,1656417755063696792,1
1656417755149508339,1656417755149659380,Timing,RTKLocalizationComponent::Proc,151041,0,0,0,1656417755149659380,1656417755149659380,1656417755149659380,1
1656417755225666943,1656417755225719665,Timing,RTKLocalizationComponent::Proc,52722,0,0,0,1656417755225719665,1656417755225719665,1656417755225719665,1
1656417755305540148,1656417755305591538,Timing,RTKLocalizationComponent::Proc,51390,0,0,0,1656417755305591538,1656417755305591538,1656417755305591538,1
1656417755385417673,1656417755385470179,Timing,RTKLocalizationComponent::Proc,52506,0,0,0,1656417755385470179,1656417755385470179,1656417755385470179,1
1656417755471032480,1656417755471122199,Timing,RTKLocalizationComponent::Proc,89719,0,0,0,1656417755471122199,1656417755471122199,1656417755471122199,1
1656417755545326054,1656417755545398854,Timing,RTKLocalizationComponent::Proc,72800,0,0,0,1656417755545398854,1656417755545398854,1656417755545398854,1
1656417755625363293,1656417755625487168,Timing,RTKLocalizationComponent::Proc,123875,0,0,0,1656417755625487168,1656417755625487168,1656417755625487168,1
1656417755705087441,1656417755705144064,Timing,RTKLocalizationComponent::Proc,56623,0,0,0,1656417755705144064,1656417755705144064,1656417755705144064,1
