ts_start,ts_end,type,component,execution_time,ts_cam,ts_lidar,ts_radar,lat_cam,lat_lidar,lat_radar,is_finish
1656417067681296818,1656417067681557717,Timing,PlanningComponent::Proc,260899,0,0,0,1656417067681557717,1656417067681557717,1656417067681557717,0
1656417067847432465,1656417067847560923,Timing,PlanningComponent::Proc,128458,0,0,0,1656417067847560923,1656417067847560923,1656417067847560923,0
1656417067915542559,1656417067915685283,Timing,PlanningComponent::Proc,142724,0,0,0,1656417067915685283,1656417067915685283,1656417067915685283,0
1656417068090500352,1656417068090614155,Timing,PlanningComponent::Proc,113803,0,0,0,1656417068090614155,1656417068090614155,1656417068090614155,0
1656417068108993374,1656417068109089723,Timing,PlanningComponent::Proc,96349,0,0,0,1656417068109089723,1656417068109089723,1656417068109089723,0
1656417068247628213,1656417068247788311,Timing,PlanningComponent::Proc,160098,0,0,0,1656417068247788311,1656417068247788311,1656417068247788311,0
1656417068320519695,1656417068320626743,Timing,PlanningComponent::Proc,107048,0,0,0,1656417068320626743,1656417068320626743,1656417068320626743,0
1656417068417919783,1656417068418017411,Timing,PlanningComponent::Proc,97628,0,0,0,1656417068418017411,1656417068418017411,1656417068418017411,0
1656417068496358565,1656417068496477627,Timing,PlanningComponent::Proc,119062,0,0,0,1656417068496477627,1656417068496477627,1656417068496477627,0
1656417068576046600,1656417068576152669,Timing,PlanningComponent::Proc,106069,0,0,0,1656417068576152669,1656417068576152669,1656417068576152669,0
1656417068668474954,1656417068668630256,Timing,PlanningComponent::Proc,155302,0,0,0,1656417068668630256,1656417068668630256,1656417068668630256,0
1656417068703832909,1656417068703925031,Timing,PlanningComponent::Proc,92122,0,0,0,1656417068703925031,1656417068703925031,1656417068703925031,0
1656417068845301789,1656417068846905072,Timing,PlanningComponent::Proc,1603283,1656408054336618200,1656408054351041155,1656408054331640834,9014510286872,9014495863917,9014515264238,1
1656417068910732817,1656417068910953962,Timing,PlanningComponent::Proc,221145,1656408054397297451,1656408054432811721,1656408054410113763,9014513656511,9014478142241,9014500840199,1
1656417069045517518,1656417069045701992,Timing,PlanningComponent::Proc,184474,1656408054550513897,1656408054557283415,1656408054512324626,9014495188095,9014488418577,9014533377366,1
