ts_start,ts_end,type,component,execution_time,ts_cam,ts_lidar,ts_radar,lat_cam,lat_lidar,lat_radar,is_finish
1656416833144711437,1656416833154181163,Timing,RadarDetectionComponent::Proc,9469726,0,0,1656416833144710174,1656416833154181163,1656416833154181163,9470989,1
1656416833239059209,1656416833251593278,Timing,RadarDetectionComponent::Proc,12534069,0,0,1656416833239057540,1656416833251593278,1656416833251593278,12535738,1
1656416833412268790,1656416833424827943,Timing,RadarDetectionComponent::Proc,12559153,0,0,1656416833412267791,1656416833424827943,1656416833424827943,12560152,1
1656416833526531855,1656416833538978229,Timing,RadarDetectionComponent::Proc,12446374,0,0,1656416833526530620,1656416833538978229,1656416833538978229,12447609,1
1656416833632131325,1656416833632298417,Timing,RadarDetectionComponent::Proc,167092,0,0,1656416833632130228,1656416833632298417,1656416833632298417,168189,1
1656416833740255779,1656416833752827909,Timing,RadarDetectionComponent::Proc,12572130,0,0,1656416833740254379,1656416833752827909,1656416833752827909,12573530,1
1656416833858265295,1656416833870790022,Timing,RadarDetectionComponent::Proc,12524727,0,0,1656416833858262489,1656416833870790022,1656416833870790022,12527533,1
1656416833930626258,1656416833943215628,Timing,RadarDetectionComponent::Proc,12589370,0,0,1656416833930623434,1656416833943215628,1656416833943215628,12592194,1
1656416834032302728,1656416834032452175,Timing,RadarDetectionComponent::Proc,149447,0,0,1656416834032302169,1656416834032452175,1656416834032452175,150006,1
1656416834145458725,1656416834158081243,Timing,RadarDetectionComponent::Proc,12622518,0,0,1656416834145456188,1656416834158081243,1656416834158081243,12625055,1
1656416834217988700,1656416834230518386,Timing,RadarDetectionComponent::Proc,12529686,0,0,1656416834217986777,1656416834230518386,1656416834230518386,12531609,1
1656416834319670525,1656416834319889326,Timing,RadarDetectionComponent::Proc,218801,0,0,1656416834319669643,1656416834319889326,1656416834319889326,219683,1
1656416834389729228,1656416834402377159,Timing,RadarDetectionComponent::Proc,12647931,0,0,1656416834389719035,1656416834402377159,1656416834402377159,12658124,1
1656416834460893765,1656416834473458924,Timing,RadarDetectionComponent::Proc,12565159,0,0,1656416834460891967,1656416834473458924,1656416834473458924,12566957,1
1656416834563091372,1656416834575628126,Timing,RadarDetectionComponent::Proc,12536754,0,0,1656416834563090651,1656416834575628126,1656416834575628126,12537475,1
1656416834654880276,1656416834667377618,Timing,RadarDetectionComponent::Proc,12497342,0,0,1656416834654878419,1656416834667377618,1656416834667377618,12499199,1
1656416834716553994,1656416834728980612,Timing,RadarDetectionComponent::Proc,12426618,0,0,1656416834716553203,1656416834728980612,1656416834728980612,12427409,1
1656416834825377811,1656416834837827630,Timing,RadarDetectionComponent::Proc,12449819,0,0,1656416834825376217,1656416834837827630,1656416834837827630,12451413,1
1656416834925459714,1656416834928724667,Timing,RadarDetectionComponent::Proc,3264953,0,0,1656416834925458625,1656416834928724667,1656416834928724667,3266042,1
1656416834995314966,1656416834998639703,Timing,RadarDetectionComponent::Proc,3324737,0,0,1656416834995313756,1656416834998639703,1656416834998639703,3325947,1
1656416835116348426,1656416835116533256,Timing,RadarDetectionComponent::Proc,184830,0,0,1656416835116347438,1656416835116533256,1656416835116533256,185818,1
1656416835192519808,1656416835205271707,Timing,RadarDetectionComponent::Proc,12751899,0,0,1656416835192518395,1656416835205271707,1656416835205271707,12753312,1
1656416835316453544,1656416835316784107,Timing,RadarDetectionComponent::Proc,330563,0,0,1656416835316451397,1656416835316784107,1656416835316784107,332710,1
1656416835395270213,1656416835398517772,Timing,RadarDetectionComponent::Proc,3247559,0,0,1656416835395269058,1656416835398517772,1656416835398517772,3248714,1
1656416835464813794,1656416835477290315,Timing,RadarDetectionComponent::Proc,12476521,0,0,1656416835464812094,1656416835477290315,1656416835477290315,12478221,1
1656416835561614434,1656416835561783104,Timing,RadarDetectionComponent::Proc,168670,0,0,1656416835561612747,1656416835561783104,1656416835561783104,170357,1
1656416835657538986,1656416835657698577,Timing,RadarDetectionComponent::Proc,159591,0,0,1656416835657538211,1656416835657698577,1656416835657698577,160366,1
1656416835720032780,1656416835732493664,Timing,RadarDetectionComponent::Proc,12460884,0,0,1656416835720031946,1656416835732493664,1656416835732493664,12461718,1
1656416835835995094,1656416835848817515,Timing,RadarDetectionComponent::Proc,12822421,0,0,1656416835835993351,1656416835848817515,1656416835848817515,12824164,1
1656416835925307509,1656416835938032276,Timing,RadarDetectionComponent::Proc,12724767,0,0,1656416835925306402,1656416835938032276,1656416835938032276,12725874,1
1656416836001941751,1656416836014409889,Timing,RadarDetectionComponent::Proc,12468138,0,0,1656416836001940389,1656416836014409889,1656416836014409889,12469500,1
1656416836138248202,1656416836150642221,Timing,RadarDetectionComponent::Proc,12394019,0,0,1656416836138247216,1656416836150642221,1656416836150642221,12395005,1
1656416836230928098,1656416836243655814,Timing,RadarDetectionComponent::Proc,12727716,0,0,1656416836230924446,1656416836243655814,1656416836243655814,12731368,1
1656416836319731082,1656416836333085135,Timing,RadarDetectionComponent::Proc,13354053,0,0,1656416836319729536,1656416836333085135,1656416836333085135,13355599,1
1656416836406068317,1656416836418541185,Timing,RadarDetectionComponent::Proc,12472868,0,0,1656416836406066690,1656416836418541185,1656416836418541185,12474495,1
1656416836527496541,1656416836527723051,Timing,RadarDetectionComponent::Proc,226510,0,0,1656416836527494818,1656416836527723051,1656416836527723051,228233,1
1656416836583328000,1656416836595863912,Timing,RadarDetectionComponent::Proc,12535912,0,0,1656416836583325639,1656416836595863912,1656416836595863912,12538273,1
1656416836702795466,1656416836715359404,Timing,RadarDetectionComponent::Proc,12563938,0,0,1656416836702794289,1656416836715359404,1656416836715359404,12565115,1
1656416836801640575,1656416836814311767,Timing,RadarDetectionComponent::Proc,12671192,0,0,1656416836801638127,1656416836814311767,1656416836814311767,12673640,1
1656416836899222113,1656416836912446445,Timing,RadarDetectionComponent::Proc,13224332,0,0,1656416836899220615,1656416836912446445,1656416836912446445,13225830,1
1656416836984754060,1656416836997418272,Timing,RadarDetectionComponent::Proc,12664212,0,0,1656416836984752162,1656416836997418272,1656416836997418272,12666110,1
1656416837088115047,1656416837088314717,Timing,RadarDetectionComponent::Proc,199670,0,0,1656416837088113619,1656416837088314717,1656416837088314717,201098,1
1656416837178468007,1656416837191426933,Timing,RadarDetectionComponent::Proc,12958926,0,0,1656416837178465745,1656416837191426933,1656416837191426933,12961188,1
1656416837283542381,1656416837296040915,Timing,RadarDetectionComponent::Proc,12498534,0,0,1656416837283541135,1656416837296040915,1656416837296040915,12499780,1
1656416837387538092,1656416837396858940,Timing,RadarDetectionComponent::Proc,9320848,0,0,1656416837387536285,1656416837396858940,1656416837396858940,9322655,1
1656416837454668731,1656416837467136119,Timing,RadarDetectionComponent::Proc,12467388,0,0,1656416837454667711,1656416837467136119,1656416837467136119,12468408,1
1656416837598314051,1656416837610782839,Timing,RadarDetectionComponent::Proc,12468788,0,0,1656416837598312676,1656416837610782839,1656416837610782839,12470163,1
1656416837694426770,1656416837707067945,Timing,RadarDetectionComponent::Proc,12641175,0,0,1656416837694425221,1656416837707067945,1656416837707067945,12642724,1
1656416837790200671,1656416837796578674,Timing,RadarDetectionComponent::Proc,6378003,0,0,1656416837790199660,1656416837796578674,1656416837796578674,6379014,1
1656416837912756318,1656416837925349513,Timing,RadarDetectionComponent::Proc,12593195,0,0,1656416837912755623,1656416837925349513,1656416837925349513,12593890,1
1656416838026319009,1656416838035678918,Timing,RadarDetectionComponent::Proc,9359909,0,0,1656416838026317908,1656416838035678918,1656416838035678918,9361010,1
1656416838173374807,1656416838185872260,Timing,RadarDetectionComponent::Proc,12497453,0,0,1656416838173373490,1656416838185872260,1656416838185872260,12498770,1
1656416838236462666,1656416838249053325,Timing,RadarDetectionComponent::Proc,12590659,0,0,1656416838236459573,1656416838249053325,1656416838249053325,12593752,1
1656416838375938649,1656416838376128304,Timing,RadarDetectionComponent::Proc,189655,0,0,1656416838375937127,1656416838376128304,1656416838376128304,191177,1
1656416838464017698,1656416838476504891,Timing,RadarDetectionComponent::Proc,12487193,0,0,1656416838464016468,1656416838476504891,1656416838476504891,12488423,1
1656416838594277747,1656416838597607567,Timing,RadarDetectionComponent::Proc,3329820,0,0,1656416838594276209,1656416838597607567,1656416838597607567,3331358,1
1656416838718995167,1656416838731590541,Timing,RadarDetectionComponent::Proc,12595374,0,0,1656416838718993545,1656416838731590541,1656416838731590541,12596996,1
1656416838843834457,1656416838844061115,Timing,RadarDetectionComponent::Proc,226658,0,0,1656416838843833211,1656416838844061115,1656416838844061115,227904,1
1656416838962678075,1656416838975228109,Timing,RadarDetectionComponent::Proc,12550034,0,0,1656416838962676943,1656416838975228109,1656416838975228109,12551166,1
1656416839104442914,1656416839116974792,Timing,RadarDetectionComponent::Proc,12531878,0,0,1656416839104440962,1656416839116974792,1656416839116974792,12533830,1
1656416839179876006,1656416839192294473,Timing,RadarDetectionComponent::Proc,12418467,0,0,1656416839179874840,1656416839192294473,1656416839192294473,12419633,1
1656416839306253366,1656416839318856683,Timing,RadarDetectionComponent::Proc,12603317,0,0,1656416839306251096,1656416839318856683,1656416839318856683,12605587,1
1656416839392168346,1656416839404681150,Timing,RadarDetectionComponent::Proc,12512804,0,0,1656416839392167657,1656416839404681150,1656416839404681150,12513493,1
1656416839508947151,1656416839521584786,Timing,RadarDetectionComponent::Proc,12637635,0,0,1656416839508946002,1656416839521584786,1656416839521584786,12638784,1
1656416839638641375,1656416839638807054,Timing,RadarDetectionComponent::Proc,165679,0,0,1656416839638640720,1656416839638807054,1656416839638807054,166334,1
1656416839761755831,1656416839774217661,Timing,RadarDetectionComponent::Proc,12461830,0,0,1656416839761754669,1656416839774217661,1656416839774217661,12462992,1
1656416839868936391,1656416839878398705,Timing,RadarDetectionComponent::Proc,9462314,0,0,1656416839868934846,1656416839878398705,1656416839878398705,9463859,1
1656416839968302917,1656416839968485565,Timing,RadarDetectionComponent::Proc,182648,0,0,1656416839968301531,1656416839968485565,1656416839968485565,184034,1
1656416840064774760,1656416840077353970,Timing,RadarDetectionComponent::Proc,12579210,0,0,1656416840064771869,1656416840077353970,1656416840077353970,12582101,1
1656416840193520596,1656416840196882994,Timing,RadarDetectionComponent::Proc,3362398,0,0,1656416840193519048,1656416840196882994,1656416840196882994,3363946,1
1656416840297380114,1656416840310013939,Timing,RadarDetectionComponent::Proc,12633825,0,0,1656416840297376592,1656416840310013939,1656416840310013939,12637347,1
1656416840385934963,1656416840398802322,Timing,RadarDetectionComponent::Proc,12867359,0,0,1656416840385931076,1656416840398802322,1656416840398802322,12871246,1
1656416840488618628,1656416840501253937,Timing,RadarDetectionComponent::Proc,12635309,0,0,1656416840488617422,1656416840501253937,1656416840501253937,12636515,1
1656416840582322825,1656416840594977428,Timing,RadarDetectionComponent::Proc,12654603,0,0,1656416840582321147,1656416840594977428,1656416840594977428,12656281,1
1656416840651737893,1656416840664322146,Timing,RadarDetectionComponent::Proc,12584253,0,0,1656416840651736721,1656416840664322146,1656416840664322146,12585425,1
1656416840756576838,1656416840756834837,Timing,RadarDetectionComponent::Proc,257999,0,0,1656416840756575470,1656416840756834837,1656416840756834837,259367,1
1656416840855486484,1656416840855676409,Timing,RadarDetectionComponent::Proc,189925,0,0,1656416840855484741,1656416840855676409,1656416840855676409,191668,1
1656416840948506842,1656416840961041391,Timing,RadarDetectionComponent::Proc,12534549,0,0,1656416840948505894,1656416840961041391,1656416840961041391,12535497,1
1656416841046355858,1656416841058868617,Timing,RadarDetectionComponent::Proc,12512759,0,0,1656416841046354630,1656416841058868617,1656416841058868617,12513987,1
1656416841131499479,1656416841143966840,Timing,RadarDetectionComponent::Proc,12467361,0,0,1656416841131498251,1656416841143966840,1656416841143966840,12468589,1
1656416841221723125,1656416841234252455,Timing,RadarDetectionComponent::Proc,12529330,0,0,1656416841221721857,1656416841234252455,1656416841234252455,12530598,1
1656416841320617542,1656416841320792512,Timing,RadarDetectionComponent::Proc,174970,0,0,1656416841320616502,1656416841320792512,1656416841320792512,176010,1
1656416841442093403,1656416841454518724,Timing,RadarDetectionComponent::Proc,12425321,0,0,1656416841442092470,1656416841454518724,1656416841454518724,12426254,1
1656416841556874535,1656416841560111658,Timing,RadarDetectionComponent::Proc,3237123,0,0,1656416841556873264,1656416841560111658,1656416841560111658,3238394,1
1656416841664321047,1656416841676871111,Timing,RadarDetectionComponent::Proc,12550064,0,0,1656416841664319987,1656416841676871111,1656416841676871111,12551124,1
1656416841774192665,1656416841786752623,Timing,RadarDetectionComponent::Proc,12559958,0,0,1656416841774191377,1656416841786752623,1656416841786752623,12561246,1
1656416841870983377,1656416841880387871,Timing,RadarDetectionComponent::Proc,9404494,0,0,1656416841870981970,1656416841880387871,1656416841880387871,9405901,1
1656416842004261261,1656416842016909422,Timing,RadarDetectionComponent::Proc,12648161,0,0,1656416842004260002,1656416842016909422,1656416842016909422,12649420,1
1656416842151943016,1656416842152147476,Timing,RadarDetectionComponent::Proc,204460,0,0,1656416842151942067,1656416842152147476,1656416842152147476,205409,1
1656416842247309423,1656416842259842129,Timing,RadarDetectionComponent::Proc,12532706,0,0,1656416842247308419,1656416842259842129,1656416842259842129,12533710,1
1656416842388632461,1656416842401176601,Timing,RadarDetectionComponent::Proc,12544140,0,0,1656416842388631223,1656416842401176601,1656416842401176601,12545378,1
1656416842517394867,1656416842529888705,Timing,RadarDetectionComponent::Proc,12493838,0,0,1656416842517393709,1656416842529888705,1656416842529888705,12494996,1
1656416842639695234,1656416842652224729,Timing,RadarDetectionComponent::Proc,12529495,0,0,1656416842639694080,1656416842652224729,1656416842652224729,12530649,1
1656416842754866004,1656416842767343000,Timing,RadarDetectionComponent::Proc,12476996,0,0,1656416842754864651,1656416842767343000,1656416842767343000,12478349,1
1656416842866319084,1656416842866540755,Timing,RadarDetectionComponent::Proc,221671,0,0,1656416842866317514,1656416842866540755,1656416842866540755,223241,1
1656416842961563592,1656416842974104315,Timing,RadarDetectionComponent::Proc,12540723,0,0,1656416842961562425,1656416842974104315,1656416842974104315,12541890,1
1656416843056612326,1656416843069148899,Timing,RadarDetectionComponent::Proc,12536573,0,0,1656416843056610670,1656416843069148899,1656416843069148899,12538229,1
1656416843162864195,1656416843175423317,Timing,RadarDetectionComponent::Proc,12559122,0,0,1656416843162863142,1656416843175423317,1656416843175423317,12560175,1
1656416843239335889,1656416843251877232,Timing,RadarDetectionComponent::Proc,12541343,0,0,1656416843239334257,1656416843251877232,1656416843251877232,12542975,1
1656416843360119704,1656416843372670518,Timing,RadarDetectionComponent::Proc,12550814,0,0,1656416843360118223,1656416843372670518,1656416843372670518,12552295,1
1656416843477194253,1656416843489683671,Timing,RadarDetectionComponent::Proc,12489418,0,0,1656416843477193185,1656416843489683671,1656416843489683671,12490486,1
1656416843593565851,1656416843606042240,Timing,RadarDetectionComponent::Proc,12476389,0,0,1656416843593564669,1656416843606042240,1656416843606042240,12477571,1
1656416843671381872,1656416843683911163,Timing,RadarDetectionComponent::Proc,12529291,0,0,1656416843671379002,1656416843683911163,1656416843683911163,12532161,1
1656416843780663201,1656416843793163000,Timing,RadarDetectionComponent::Proc,12499799,0,0,1656416843780662058,1656416843793163000,1656416843793163000,12500942,1
