ts_start,ts_end,type,component,execution_time,ts_cam,ts_lidar,ts_radar,lat_cam,lat_lidar,lat_radar,is_finish
1656418353311206480,1656418353383245152,Timing,DetectionComponent::Proc,72038672,0,1656418353311205598,0,1656418353383245152,72039554,1656418353383245152,1
1656418353383334008,1656418353409855465,Timing,DetectionComponent::Proc,26521457,0,1656418353383331434,0,1656418353409855465,26524031,1656418353409855465,1
1656418353454951204,1656418353484907372,Timing,DetectionComponent::Proc,29956168,0,1656418353454949157,0,1656418353484907372,29958215,1656418353484907372,1
1656418353608139534,1656418353647566709,Timing,DetectionComponent::Proc,39427175,0,1656418353608137375,0,1656418353647566709,39429334,1656418353647566709,1
1656418353747277009,1656418353770359812,Timing,DetectionComponent::Proc,23082803,0,1656418353747275245,0,1656418353770359812,23084567,1656418353770359812,1
1656418353814032883,1656418353835421454,Timing,DetectionComponent::Proc,21388571,0,1656418353814032184,0,1656418353835421454,21389270,1656418353835421454,1
1656418353941594636,1656418353962216901,Timing,DetectionComponent::Proc,20622265,0,1656418353941593725,0,1656418353962216901,20623176,1656418353962216901,1
1656418354014286714,1656418354040639171,Timing,DetectionComponent::Proc,26352457,0,1656418354014283960,0,1656418354040639171,26355211,1656418354040639171,1
1656418354134472812,1656418354154202181,Timing,DetectionComponent::Proc,19729369,0,1656418354134471421,0,1656418354154202181,19730760,1656418354154202181,1
1656418354205174198,1656418354221498429,Timing,DetectionComponent::Proc,16324231,0,1656418354205172615,0,1656418354221498429,16325814,1656418354221498429,1
1656418354343855762,1656418354364989540,Timing,DetectionComponent::Proc,21133778,0,1656418354343853948,0,1656418354364989540,21135592,1656418354364989540,1
1656418354414614412,1656418354449976957,Timing,DetectionComponent::Proc,35362545,0,1656418354414611954,0,1656418354449976957,35365003,1656418354449976957,1
1656418354552076512,1656418354578248027,Timing,DetectionComponent::Proc,26171515,0,1656418354552074628,0,1656418354578248027,26173399,1656418354578248027,1
1656418354622583336,1656418354647070767,Timing,DetectionComponent::Proc,24487431,0,1656418354622581358,0,1656418354647070767,24489409,1656418354647070767,1
1656418354748205927,1656418354769482738,Timing,DetectionComponent::Proc,21276811,0,1656418354748204904,0,1656418354769482738,21277834,1656418354769482738,1
1656418354815144157,1656418354834357728,Timing,DetectionComponent::Proc,19213571,0,1656418354815141178,0,1656418354834357728,19216550,1656418354834357728,1
1656418354937209117,1656418354959634330,Timing,DetectionComponent::Proc,22425213,0,1656418354937207660,0,1656418354959634330,22426670,1656418354959634330,1
1656418355002035613,1656418355024366183,Timing,DetectionComponent::Proc,22330570,0,1656418355002035097,0,1656418355024366183,22331086,1656418355024366183,1
1656418355127238079,1656418355153760735,Timing,DetectionComponent::Proc,26522656,0,1656418355127237006,0,1656418355153760735,26523729,1656418355153760735,1
1656418355188798345,1656418355208428612,Timing,DetectionComponent::Proc,19630267,0,1656418355188795257,0,1656418355208428612,19633355,1656418355208428612,1
1656418355308658216,1656418355331734980,Timing,DetectionComponent::Proc,23076764,0,1656418355308656844,0,1656418355331734980,23078136,1656418355331734980,1
1656418355353580840,1656418355388420919,Timing,DetectionComponent::Proc,34840079,0,1656418355353579320,0,1656418355388420919,34841599,1656418355388420919,1
1656418355461105453,1656418355478699183,Timing,DetectionComponent::Proc,17593730,0,1656418355461104736,0,1656418355478699183,17594447,1656418355478699183,1
1656418355611601033,1656418355633293287,Timing,DetectionComponent::Proc,21692254,0,1656418355611600117,0,1656418355633293287,21693170,1656418355633293287,1
1656418355722353846,1656418355741123791,Timing,DetectionComponent::Proc,18769945,0,1656418355722344725,0,1656418355741123791,18779066,1656418355741123791,1
1656418355781491614,1656418355801409544,Timing,DetectionComponent::Proc,19917930,0,1656418355781490633,0,1656418355801409544,19918911,1656418355801409544,1
1656418355887901757,1656418355906608575,Timing,DetectionComponent::Proc,18706818,0,1656418355887900142,0,1656418355906608575,18708433,1656418355906608575,1
1656418355975563579,1656418355994923467,Timing,DetectionComponent::Proc,19359888,0,1656418355975562329,0,1656418355994923467,19361138,1656418355994923467,1
1656418356035674631,1656418356048942062,Timing,DetectionComponent::Proc,13267431,0,1656418356035672902,0,1656418356048942062,13269160,1656418356048942062,1
1656418356167243304,1656418356185841470,Timing,DetectionComponent::Proc,18598166,0,1656418356167242484,0,1656418356185841470,18598986,1656418356185841470,1
1656418356269285245,1656418356292198166,Timing,DetectionComponent::Proc,22912921,0,1656418356269283469,0,1656418356292198166,22914697,1656418356292198166,1
1656418356322765115,1656418356350964787,Timing,DetectionComponent::Proc,28199672,0,1656418356322763813,0,1656418356350964787,28200974,1656418356350964787,1
1656418356445011984,1656418356465691546,Timing,DetectionComponent::Proc,20679562,0,1656418356445011066,0,1656418356465691546,20680480,1656418356465691546,1
1656418356512876510,1656418356539629140,Timing,DetectionComponent::Proc,26752630,0,1656418356512875534,0,1656418356539629140,26753606,1656418356539629140,1
1656418356596381578,1656418356620059577,Timing,DetectionComponent::Proc,23677999,0,1656418356596380160,0,1656418356620059577,23679417,1656418356620059577,1
