ts_start,ts_end,type,component,execution_time,ts_cam,ts_lidar,ts_radar,lat_cam,lat_lidar,lat_radar,is_finish
1656419304913484105,1656419304937072432,Timing,LaneDetectionComponent::OnReceiveImage,23588327,1656419304917015120,0,0,20057312,1656419304937072432,1656419304937072432,1
1656419304917016721,1656419304937961914,Timing,LaneDetectionComponent::OnReceiveImage,20945193,1656419304937106754,0,0,855160,1656419304937961914,1656419304937961914,1
1656419304937978507,1656419304938668885,Timing,LaneDetectionComponent::OnReceiveImage,690378,1656419304937978197,0,0,690688,1656419304938668885,1656419304938668885,1
1656419304937107194,1656419304950505893,Timing,LaneDetectionComponent::OnReceiveImage,13398699,1656419304937978197,0,0,12527696,1656419304950505893,1656419304950505893,1
1656419304971543389,1656419304988392118,Timing,LaneDetectionComponent::OnReceiveImage,16848729,1656419304974709962,0,0,13682156,1656419304988392118,1656419304988392118,1
1656419304974712325,1656419304989254180,Timing,LaneDetectionComponent::OnReceiveImage,14541855,1656419304988414848,0,0,839332,1656419304989254180,1656419304989254180,1
1656419304988415164,1656419305001420344,Timing,LaneDetectionComponent::OnReceiveImage,13005180,1656419304989268570,0,0,12151774,1656419305001420344,1656419305001420344,1
1656419304989268829,1656419305002206843,Timing,LaneDetectionComponent::OnReceiveImage,12938014,1656419304989268570,0,0,12938273,1656419305002206843,1656419305002206843,1
1656419305035030993,1656419305051317560,Timing,LaneDetectionComponent::OnReceiveImage,16286567,1656419305036563531,0,0,14754029,1656419305051317560,1656419305051317560,1
1656419305036565945,1656419305052093384,Timing,LaneDetectionComponent::OnReceiveImage,15527439,1656419305051340346,0,0,753038,1656419305052093384,1656419305052093384,1
1656419305052107676,1656419305052738725,Timing,LaneDetectionComponent::OnReceiveImage,631049,1656419305052107453,0,0,631272,1656419305052738725,1656419305052738725,1
1656419305051340894,1656419305065817101,Timing,LaneDetectionComponent::OnReceiveImage,14476207,1656419305052107453,0,0,13709648,1656419305065817101,1656419305065817101,1
1656419305155674118,1656419305172616393,Timing,LaneDetectionComponent::OnReceiveImage,16942275,1656419305164814994,0,0,7801399,1656419305172616393,1656419305172616393,1
1656419305164817104,1656419305173580855,Timing,LaneDetectionComponent::OnReceiveImage,8763751,1656419305172648974,0,0,931881,1656419305173580855,1656419305173580855,1
1656419305172649458,1656419305185558106,Timing,LaneDetectionComponent::OnReceiveImage,12908648,1656419305174176590,0,0,11381516,1656419305185558106,1656419305185558106,1
1656419305174176995,1656419305186357266,Timing,LaneDetectionComponent::OnReceiveImage,12180271,1656419305174176590,0,0,12180676,1656419305186357266,1656419305186357266,1
1656419305230585650,1656419305247533884,Timing,LaneDetectionComponent::OnReceiveImage,16948234,1656419305232934120,0,0,14599764,1656419305247533884,1656419305247533884,1
1656419305232938068,1656419305248540411,Timing,LaneDetectionComponent::OnReceiveImage,15602343,1656419305247557152,0,0,983259,1656419305248540411,1656419305248540411,1
1656419305247557659,1656419305260211116,Timing,LaneDetectionComponent::OnReceiveImage,12653457,1656419305248558040,0,0,11653076,1656419305260211116,1656419305260211116,1
