ts_start,ts_end,type,component,execution_time,ts_cam,ts_lidar,ts_radar,lat_cam,lat_lidar,lat_radar,is_finish
1656419599478309229,1656419599490682050,Timing,TrafficLightsPerceptionComponent::OnReceiveImage,12372821,0,0,0,1656419599490682050,1656419599490682050,1656419599490682050,0
1656419599481283079,1656419599503060799,Timing,TrafficLightsPerceptionComponent::OnReceiveImage,21777720,0,0,0,1656419599503060799,1656419599503060799,1656419599503060799,0
1656419599490720798,1656419599515601082,Timing,TrafficLightsPerceptionComponent::OnReceiveImage,24880284,0,0,0,1656419599515601082,1656419599515601082,1656419599515601082,0
1656419599511562981,1656419599528630045,Timing,TrafficLightsPerceptionComponent::OnReceiveImage,17067064,0,0,0,1656419599528630045,1656419599528630045,1656419599528630045,0
1656419599530424060,1656419599543006947,Timing,TrafficLightsPerceptionComponent::OnReceiveImage,12582887,0,0,0,1656419599543006947,1656419599543006947,1656419599543006947,0
1656419599531868520,1656419599555395977,Timing,TrafficLightsPerceptionComponent::OnReceiveImage,23527457,0,0,0,1656419599555395977,1656419599555395977,1656419599555395977,0
1656419599543022951,1656419599567863550,Timing,TrafficLightsPerceptionComponent::OnReceiveImage,24840599,0,0,0,1656419599567863550,1656419599567863550,1656419599567863550,0
1656419599555424298,1656419599580235698,Timing,TrafficLightsPerceptionComponent::OnReceiveImage,24811400,0,0,0,1656419599580235698,1656419599580235698,1656419599580235698,0
1656419599567881461,1656419599592560559,Timing,TrafficLightsPerceptionComponent::OnReceiveImage,24679098,0,0,0,1656419599592560559,1656419599592560559,1656419599592560559,0
1656419599580255826,1656419599604867092,Timing,TrafficLightsPerceptionComponent::OnReceiveImage,24611266,0,0,0,1656419599604867092,1656419599604867092,1656419599604867092,0
1656419599592582844,1656419599617129244,Timing,TrafficLightsPerceptionComponent::OnReceiveImage,24546400,0,0,0,1656419599617129244,1656419599617129244,1656419599617129244,0
1656419599680278504,1656419599711237891,Timing,TrafficLightsPerceptionComponent::OnReceiveImage,30959387,1656419599682066205,0,0,29171686,1656419599711237891,1656419599711237891,1
1656419599682067041,1656419599711422448,Timing,TrafficLightsPerceptionComponent::OnReceiveImage,29355407,0,0,0,1656419599711422448,1656419599711422448,1656419599711422448,0
1656419599711402160,1656419599711435180,Timing,TrafficLightsPerceptionComponent::OnReceiveImage,33020,0,0,0,1656419599711435180,1656419599711435180,1656419599711435180,0
1656419599711435766,1656419599711444390,Timing,TrafficLightsPerceptionComponent::OnReceiveImage,8624,0,0,0,1656419599711444390,1656419599711444390,1656419599711444390,0
1656419599768862078,1656419599768904695,Timing,TrafficLightsPerceptionComponent::OnReceiveImage,42617,0,0,0,1656419599768904695,1656419599768904695,1656419599768904695,0
1656419599772991818,1656419599773038883,Timing,TrafficLightsPerceptionComponent::OnReceiveImage,47065,0,0,0,1656419599773038883,1656419599773038883,1656419599773038883,0
1656419599776552468,1656419599776591315,Timing,TrafficLightsPerceptionComponent::OnReceiveImage,38847,0,0,0,1656419599776591315,1656419599776591315,1656419599776591315,0
1656419599781375048,1656419599781421077,Timing,TrafficLightsPerceptionComponent::OnReceiveImage,46029,0,0,0,1656419599781421077,1656419599781421077,1656419599781421077,0
1656419599831323405,1656419599842636168,Timing,TrafficLightsPerceptionComponent::OnReceiveImage,11312763,1656419599836334721,0,0,6301447,1656419599842636168,1656419599842636168,1
1656419599836336013,1656419599842785568,Timing,TrafficLightsPerceptionComponent::OnReceiveImage,6449555,0,0,0,1656419599842785568,1656419599842785568,1656419599842785568,0
1656419599842758186,1656419599842797453,Timing,TrafficLightsPerceptionComponent::OnReceiveImage,39267,0,0,0,1656419599842797453,1656419599842797453,1656419599842797453,0
1656419599848605960,1656419599848637344,Timing,TrafficLightsPerceptionComponent::OnReceiveImage,31384,0,0,0,1656419599848637344,1656419599848637344,1656419599848637344,0
1656419599910359607,1656419599910405354,Timing,TrafficLightsPerceptionComponent::OnReceiveImage,45747,0,0,0,1656419599910405354,1656419599910405354,1656419599910405354,0
1656419599912762755,1656419599912792855,Timing,TrafficLightsPerceptionComponent::OnReceiveImage,30100,0,0,0,1656419599912792855,1656419599912792855,1656419599912792855,0
1656419599918452600,1656419599918475776,Timing,TrafficLightsPerceptionComponent::OnReceiveImage,23176,0,0,0,1656419599918475776,1656419599918475776,1656419599918475776,0
1656419599922450408,1656419599922491473,Timing,TrafficLightsPerceptionComponent::OnReceiveImage,41065,0,0,0,1656419599922491473,1656419599922491473,1656419599922491473,0
1656419599970622695,1656419599981714182,Timing,TrafficLightsPerceptionComponent::OnReceiveImage,11091487,1656419599972898158,0,0,8816024,1656419599981714182,1656419599981714182,1
1656419599972899744,1656419599981965935,Timing,TrafficLightsPerceptionComponent::OnReceiveImage,9066191,0,0,0,1656419599981965935,1656419599981965935,1656419599981965935,0
1656419599981798505,1656419599982069040,Timing,TrafficLightsPerceptionComponent::OnReceiveImage,270535,0,0,0,1656419599982069040,1656419599982069040,1656419599982069040,0
1656419599990402899,1656419599990428284,Timing,TrafficLightsPerceptionComponent::OnReceiveImage,25385,0,0,0,1656419599990428284,1656419599990428284,1656419599990428284,0
1656419600038424144,1656419600038466107,Timing,TrafficLightsPerceptionComponent::OnReceiveImage,41963,0,0,0,1656419600038466107,1656419600038466107,1656419600038466107,0
1656419600045839185,1656419600045876292,Timing,TrafficLightsPerceptionComponent::OnReceiveImage,37107,0,0,0,1656419600045876292,1656419600045876292,1656419600045876292,0
1656419600048133528,1656419600048176092,Timing,TrafficLightsPerceptionComponent::OnReceiveImage,42564,0,0,0,1656419600048176092,1656419600048176092,1656419600048176092,0
1656419600052530294,1656419600052582549,Timing,TrafficLightsPerceptionComponent::OnReceiveImage,52255,0,0,0,1656419600052582549,1656419600052582549,1656419600052582549,0
1656419600098786175,1656419600110688884,Timing,TrafficLightsPerceptionComponent::OnReceiveImage,11902709,1656419600103712057,0,0,6976827,1656419600110688884,1656419600110688884,1
1656419600103713783,1656419600110805524,Timing,TrafficLightsPerceptionComponent::OnReceiveImage,7091741,0,0,0,1656419600110805524,1656419600110805524,1656419600110805524,0
1656419600110778998,1656419600110818994,Timing,TrafficLightsPerceptionComponent::OnReceiveImage,39996,0,0,0,1656419600110818994,1656419600110818994,1656419600110818994,0
1656419600112544680,1656419600112570034,Timing,TrafficLightsPerceptionComponent::OnReceiveImage,25354,0,0,0,1656419600112570034,1656419600112570034,1656419600112570034,0
1656419600163067557,1656419600163102587,Timing,TrafficLightsPerceptionComponent::OnReceiveImage,35030,0,0,0,1656419600163102587,1656419600163102587,1656419600163102587,0
1656419600175523068,1656419600175567225,Timing,TrafficLightsPerceptionComponent::OnReceiveImage,44157,0,0,0,1656419600175567225,1656419600175567225,1656419600175567225,0
1656419600184574497,1656419600184606465,Timing,TrafficLightsPerceptionComponent::OnReceiveImage,31968,0,0,0,1656419600184606465,1656419600184606465,1656419600184606465,0
1656419600188853561,1656419600188889679,Timing,TrafficLightsPerceptionComponent::OnReceiveImage,36118,0,0,0,1656419600188889679,1656419600188889679,1656419600188889679,0
1656419600235384950,1656419600246834188,Timing,TrafficLightsPerceptionComponent::OnReceiveImage,11449238,1656419600240242074,0,0,6592114,1656419600246834188,1656419600246834188,1
1656419600240243749,1656419600246992120,Timing,TrafficLightsPerceptionComponent::OnReceiveImage,6748371,0,0,0,1656419600246992120,1656419600246992120,1656419600246992120,0
1656419600247951480,1656419600247964809,Timing,TrafficLightsPerceptionComponent::OnReceiveImage,13329,0,0,0,1656419600247964809,1656419600247964809,1656419600247964809,0
1656419600254498449,1656419600254528567,Timing,TrafficLightsPerceptionComponent::OnReceiveImage,30118,0,0,0,1656419600254528567,1656419600254528567,1656419600254528567,0
1656419600295423321,1656419600295627287,Timing,TrafficLightsPerceptionComponent::OnReceiveImage,203966,0,0,0,1656419600295627287,1656419600295627287,1656419600295627287,0
1656419600296922536,1656419600296943467,Timing,TrafficLightsPerceptionComponent::OnReceiveImage,20931,0,0,0,1656419600296943467,1656419600296943467,1656419600296943467,0
