ts_start,ts_end,type,component,execution_time,ts_cam,ts_lidar,ts_radar,lat_cam,lat_lidar,lat_radar,is_finish
1656408516757263312,1656408516757336512,Timing,RecognitionComponent::Proc,73200,0,1656408516738226699,0,1656408516757336512,19109813,1656408516757336512,1
1656408516835931628,1656408516835981128,Timing,RecognitionComponent::Proc,49500,0,1656408516822193947,0,1656408516835981128,13787181,1656408516835981128,1
1656408517035175953,1656408517035262763,Timing,RecognitionComponent::Proc,86810,0,1656408517021587809,0,1656408517035262763,13674954,1656408517035262763,1
1656408517133741715,1656408517133818827,Timing,RecognitionComponent::Proc,77112,0,1656408517118898802,0,1656408517133818827,14920025,1656408517133818827,1
1656408517220999391,1656408517221057066,Timing,RecognitionComponent::Proc,57675,0,1656408517207064568,0,1656408517221057066,13992498,1656408517221057066,1
1656408517289976945,1656408517290053424,Timing,RecognitionComponent::Proc,76479,0,1656408517272334804,0,1656408517290053424,17718620,1656408517290053424,1
1656408517380227169,1656408517380275858,Timing,RecognitionComponent::Proc,48689,0,1656408517365836417,0,1656408517380275858,14439441,1656408517380275858,1
1656408517453464762,1656408517453511590,Timing,RecognitionComponent::Proc,46828,0,1656408517439744819,0,1656408517453511590,13766771,1656408517453511590,1
1656408517640335614,1656408517640394349,Timing,RecognitionComponent::Proc,58735,0,1656408517625959709,0,1656408517640394349,14434640,1656408517640394349,1
1656408517725298055,1656408517725346847,Timing,RecognitionComponent::Proc,48792,0,1656408517710685099,0,1656408517725346847,14661748,1656408517725346847,1
1656408517792145131,1656408517792216239,Timing,RecognitionComponent::Proc,71108,0,1656408517773745899,0,1656408517792216239,18470340,1656408517792216239,1
1656408517890920135,1656408517890973490,Timing,RecognitionComponent::Proc,53355,0,1656408517876635578,0,1656408517890973490,14337912,1656408517890973490,1
1656408517958183118,1656408517958235643,Timing,RecognitionComponent::Proc,52525,0,1656408517943663336,0,1656408517958235643,14572307,1656408517958235643,1
1656408518089638107,1656408518089717407,Timing,RecognitionComponent::Proc,79300,0,1656408518070777771,0,1656408518089717407,18939636,1656408518089717407,1
1656408518167434611,1656408518167513279,Timing,RecognitionComponent::Proc,78668,0,1656408518153424228,0,1656408518167513279,14089051,1656408518167513279,1
1656408518235585113,1656408518235661868,Timing,RecognitionComponent::Proc,76755,0,1656408518211846852,0,1656408518235661868,23815016,1656408518235661868,1
1656408518353006662,1656408518353069704,Timing,RecognitionComponent::Proc,63042,0,1656408518329726608,0,1656408518353069704,23343096,1656408518353069704,1
1656408518402655557,1656408518402799181,Timing,RecognitionComponent::Proc,143624,0,1656408518385192552,0,1656408518402799181,17606629,1656408518402799181,1
1656408518455874984,1656408518455945555,Timing,RecognitionComponent::Proc,70571,0,1656408518438683166,0,1656408518455945555,17262389,1656408518455945555,1
1656408518549395373,1656408518549495199,Timing,RecognitionComponent::Proc,99826,0,1656408518526544282,0,1656408518549495199,22950917,1656408518549495199,1
1656408518642403175,1656408518642591198,Timing,RecognitionComponent::Proc,188023,0,1656408518623728531,0,1656408518642591198,18862667,1656408518642591198,1
1656408518771275518,1656408518771441925,Timing,RecognitionComponent::Proc,166407,0,1656408518755695675,0,1656408518771441925,15746250,1656408518771441925,1
1656408518916212883,1656408518916286342,Timing,RecognitionComponent::Proc,73459,0,1656408518898438192,0,1656408518916286342,17848150,1656408518916286342,1
1656408518967995522,1656408518968124418,Timing,RecognitionComponent::Proc,128896,0,1656408518938435253,0,1656408518968124418,29689165,1656408518968124418,1
1656408519063028600,1656408519063153355,Timing,RecognitionComponent::Proc,124755,0,1656408519046803708,0,1656408519063153355,16349647,1656408519063153355,1
1656408519191764910,1656408519192082504,Timing,RecognitionComponent::Proc,317594,0,1656408519174974320,0,1656408519192082504,17108184,1656408519192082504,1
1656408519293031677,1656408519293218678,Timing,RecognitionComponent::Proc,187001,0,1656408519272589189,0,1656408519293218678,20629489,1656408519293218678,1
1656408519426204880,1656408519426383539,Timing,RecognitionComponent::Proc,178659,0,1656408519411439309,0,1656408519426383539,14944230,1656408519426383539,1
1656408519562884877,1656408519563070071,Timing,RecognitionComponent::Proc,185194,0,1656408519543156370,0,1656408519563070071,19913701,1656408519563070071,1
1656408519693079671,1656408519693243041,Timing,RecognitionComponent::Proc,163370,0,1656408519673246202,0,1656408519693243041,19996839,1656408519693243041,1
1656408519755239897,1656408519755705786,Timing,RecognitionComponent::Proc,465889,0,1656408519729621628,0,1656408519755705786,26084158,1656408519755705786,1
1656408519812092191,1656408519812354144,Timing,RecognitionComponent::Proc,261953,0,1656408519790535801,0,1656408519812354144,21818343,1656408519812354144,1
1656408519924707745,1656408519925124016,Timing,RecognitionComponent::Proc,416271,0,1656408519901697869,0,1656408519925124016,23426147,1656408519925124016,1
1656408519987801823,1656408519988013064,Timing,RecognitionComponent::Proc,211241,0,1656408519959888546,0,1656408519988013064,28124518,1656408519988013064,1
1656408520075281701,1656408520075476449,Timing,RecognitionComponent::Proc,194748,0,1656408520051982777,0,1656408520075476449,23493672,1656408520075476449,1
1656408520136950348,1656408520137276469,Timing,RecognitionComponent::Proc,326121,0,1656408520118079858,0,1656408520137276469,19196611,1656408520137276469,1
1656408520240696711,1656408520240957639,Timing,RecognitionComponent::Proc,260928,0,1656408520219504677,0,1656408520240957639,21452962,1656408520240957639,1
