ts_start,ts_end,type,component,execution_time,ts_cam,ts_lidar,ts_radar,lat_cam,lat_lidar,lat_radar,is_finish
1656420996473425058,1656420996485932152,Timing,LaneDetectionComponent::OnReceiveImage,12507094,0,0,0,1656420996485932152,1656420996485932152,1656420996485932152,0
1656420996501135611,1656420996513555086,Timing,LaneDetectionComponent::OnReceiveImage,12419475,0,0,0,1656420996513555086,1656420996513555086,1656420996513555086,0
1656420996584803042,1656420996615765241,Timing,LaneDetectionComponent::OnReceiveImage,30962199,1656420996587470876,0,0,28294365,1656420996615765241,1656420996615765241,1
1656420996587471612,1656420996628748006,Timing,LaneDetectionComponent::OnReceiveImage,41276394,1656420996587470876,0,0,41277130,1656420996628748006,1656420996628748006,1
1656420996647059668,1656420996673906096,Timing,LaneDetectionComponent::OnReceiveImage,26846428,1656420996656608240,0,0,17297856,1656420996673906096,1656420996673906096,1
1656420996656609609,1656420996686851221,Timing,LaneDetectionComponent::OnReceiveImage,30241612,1656420996656608240,0,0,30242981,1656420996686851221,1656420996686851221,1
1656420996703727754,1656420996718910482,Timing,LaneDetectionComponent::OnReceiveImage,15182728,1656420996705346988,0,0,13563494,1656420996718910482,1656420996718910482,1
1656420996705347950,1656420996719593216,Timing,LaneDetectionComponent::OnReceiveImage,14245266,1656420996705346988,0,0,14246228,1656420996719593216,1656420996719593216,1
1656420996827100854,1656420996827944177,Timing,LaneDetectionComponent::OnReceiveImage,843323,1656420996827099151,0,0,845026,1656420996827944177,1656420996827944177,1
1656420996828687591,1656420996843403822,Timing,LaneDetectionComponent::OnReceiveImage,14716231,1656420996828686860,0,0,14716962,1656420996843403822,1656420996843403822,1
1656420996870241416,1656420996885136286,Timing,LaneDetectionComponent::OnReceiveImage,14894870,1656420996871825142,0,0,13311144,1656420996885136286,1656420996885136286,1
1656420996871825685,1656420996885800847,Timing,LaneDetectionComponent::OnReceiveImage,13975162,1656420996871825142,0,0,13975705,1656420996885800847,1656420996885800847,1
1656420996937566023,1656420996952847109,Timing,LaneDetectionComponent::OnReceiveImage,15281086,1656420996942079834,0,0,10767275,1656420996952847109,1656420996952847109,1
1656420996942081137,1656420996953636930,Timing,LaneDetectionComponent::OnReceiveImage,11555793,1656420996942079834,0,0,11557096,1656420996953636930,1656420996953636930,1
1656420997002075493,1656420997016742358,Timing,LaneDetectionComponent::OnReceiveImage,14666865,1656420997003784007,0,0,12958351,1656420997016742358,1656420997016742358,1
1656420997003784923,1656420997017413779,Timing,LaneDetectionComponent::OnReceiveImage,13628856,1656420997003784007,0,0,13629772,1656420997017413779,1656420997017413779,1
1656420997065632074,1656420997066463290,Timing,LaneDetectionComponent::OnReceiveImage,831216,1656420997065630373,0,0,832917,1656420997066463290,1656420997066463290,1
1656420997068507470,1656420997082935940,Timing,LaneDetectionComponent::OnReceiveImage,14428470,1656420997068505992,0,0,14429948,1656420997082935940,1656420997082935940,1
1656420997103189148,1656420997104001779,Timing,LaneDetectionComponent::OnReceiveImage,812631,1656420997103187576,0,0,814203,1656420997104001779,1656420997104001779,1
1656420997113253032,1656420997128407485,Timing,LaneDetectionComponent::OnReceiveImage,15154453,1656420997113251399,0,0,15156086,1656420997128407485,1656420997128407485,1
1656420997159090959,1656420997159984881,Timing,LaneDetectionComponent::OnReceiveImage,893922,1656420997159087197,0,0,897684,1656420997159984881,1656420997159984881,1
1656420997160711709,1656420997172630118,Timing,LaneDetectionComponent::OnReceiveImage,11918409,1656420997160710975,0,0,11919143,1656420997172630118,1656420997172630118,1
1656420997264234930,1656420997279517839,Timing,LaneDetectionComponent::OnReceiveImage,15282909,1656420997273099898,0,0,6417941,1656420997279517839,1656420997279517839,1
1656420997273101348,1656420997280191728,Timing,LaneDetectionComponent::OnReceiveImage,7090380,1656420997273099898,0,0,7091830,1656420997280191728,1656420997280191728,1
1656420997351045285,1656420997362909522,Timing,LaneDetectionComponent::OnReceiveImage,11864237,1656420997355548136,0,0,7361386,1656420997362909522,1656420997362909522,1
1656420997355549290,1656420997363570250,Timing,LaneDetectionComponent::OnReceiveImage,8020960,1656420997355548136,0,0,8022114,1656420997363570250,1656420997363570250,1
1656420997417709993,1656420997431104830,Timing,LaneDetectionComponent::OnReceiveImage,13394837,1656420997420339741,0,0,10765089,1656420997431104830,1656420997431104830,1
1656420997420341323,1656420997432000692,Timing,LaneDetectionComponent::OnReceiveImage,11659369,1656420997431134636,0,0,866056,1656420997432000692,1656420997432000692,1
1656420997431135019,1656420997443869567,Timing,LaneDetectionComponent::OnReceiveImage,12734548,1656420997432021250,0,0,11848317,1656420997443869567,1656420997443869567,1
1656420997432021578,1656420997444691405,Timing,LaneDetectionComponent::OnReceiveImage,12669827,1656420997432021250,0,0,12670155,1656420997444691405,1656420997444691405,1
1656420997479546913,1656420997493932155,Timing,LaneDetectionComponent::OnReceiveImage,14385242,1656420997481338980,0,0,12593175,1656420997493932155,1656420997493932155,1
1656420997481339963,1656420997494712746,Timing,LaneDetectionComponent::OnReceiveImage,13372783,1656420997494139059,0,0,573687,1656420997494712746,1656420997494712746,1
1656420997494141088,1656420997509750704,Timing,LaneDetectionComponent::OnReceiveImage,15609616,1656420997494728348,0,0,15022356,1656420997509750704,1656420997509750704,1
1656420997494728617,1656420997510445930,Timing,LaneDetectionComponent::OnReceiveImage,15717313,1656420997494728348,0,0,15717582,1656420997510445930,1656420997510445930,1
