,ts_start,ts_end,type,component,execution_time,ts_cam,ts_lidar,ts_radar,lat_cam,lat_lidar,lat_radar,is_finish
0,1656420145018036767,1656420145030466864,Timing,DetectionComponent::Proc,12430097,0,0,0,1656420145030466864,1656420145030466864,1656420145030466864,0
1,1656420145062368284,1656420145079236410,Timing,FusionCameraDetectionComponent::OnReceiveImage,16868126,0,0,0,1656420145079236410,1656420145079236410,1656420145079236410,0
2,1656420145072315931,1656420145085505129,Timing,RadarDetectionComponent::Proc,13189198,0,0,1656420145072314568,1656420145085505129,1656420145085505129,13190561,1
3,1656420145085560062,1656420145085595658,Timing,FusionComponent::Proc,35596,0,0,0,1656420145085595658,1656420145085595658,1656420145085595658,0
4,1656420145079539191,1656420145091889616,Timing,FusionCameraDetectionComponent::OnReceiveImage,12350425,0,0,0,1656420145091889616,1656420145091889616,1656420145091889616,0
5,1656420145144329955,1656420145186090530,Timing,DetectionComponent::Proc,41760575,0,1656420145144327996,0,1656420145186090530,41762534,1656420145186090530,1
6,1656420145186137943,1656420145186251682,Timing,RecognitionComponent::Proc,113739,0,1656420145144327996,0,1656420145186251682,41923686,1656420145186251682,1
7,1656420145186257099,1656420145186388893,Timing,FusionComponent::Proc,131794,0,1656420145144327996,1656420145072314568,1656420145186388893,42060897,114074325,1
8,1656420145195331651,1656420145207842183,Timing,RadarDetectionComponent::Proc,12510532,0,0,1656420145195329901,1656420145207842183,1656420145207842183,12512282,1
9,1656420145207882222,1656420145207912833,Timing,FusionComponent::Proc,30611,0,0,0,1656420145207912833,1656420145207912833,1656420145207912833,0
10,1656420145176633651,1656420145214267966,Timing,FusionCameraDetectionComponent::OnReceiveImage,37634315,1656420145179701178,0,0,34566788,1656420145214267966,1656420145214267966,1
11,1656420145214313864,1656420145214345875,Timing,FusionComponent::Proc,32011,0,0,0,1656420145214345875,1656420145214345875,1656420145214345875,0
12,1656420145179702208,1656420145251445100,Timing,FusionCameraDetectionComponent::OnReceiveImage,71742892,1656420145243114526,0,0,8330574,1656420145251445100,1656420145251445100,1
13,1656420145251485498,1656420145251514575,Timing,FusionComponent::Proc,29077,0,0,0,1656420145251514575,1656420145251514575,1656420145251514575,0
14,1656420145261426145,1656420145289814147,Timing,DetectionComponent::Proc,28388002,0,1656420145261425226,0,1656420145289814147,28388921,1656420145289814147,1
15,1656420145289891422,1656420145289946930,Timing,RecognitionComponent::Proc,55508,0,1656420145261425226,0,1656420145289946930,28521704,1656420145289946930,1
16,1656420145289955796,1656420145290483168,Timing,FusionComponent::Proc,527372,1656420145243114526,1656420145261425226,1656420145195329901,47368642,29057942,95153267,1
17,1656420145243116151,1656420145292054499,Timing,FusionCameraDetectionComponent::OnReceiveImage,48938348,1656420145251488778,0,0,40565721,1656420145292054499,1656420145292054499,1
18,1656420145292096093,1656420145292124471,Timing,FusionComponent::Proc,28378,0,0,0,1656420145292124471,1656420145292124471,1656420145292124471,0
19,1656420145308302763,1656420145320769697,Timing,RadarDetectionComponent::Proc,12466934,0,0,1656420145308301190,1656420145320769697,1656420145320769697,12468507,1
20,1656420145320809518,1656420145320822627,Timing,FusionComponent::Proc,13109,0,0,0,1656420145320822627,1656420145320822627,1656420145320822627,0
21,1656420145251489300,1656420145323066197,Timing,FusionCameraDetectionComponent::OnReceiveImage,71576897,1656420145295507783,0,0,27558414,1656420145323066197,1656420145323066197,1
22,1656420145323094308,1656420145323112279,Timing,FusionComponent::Proc,17971,0,0,0,1656420145323112279,1656420145323112279,1656420145323112279,0
23,1656420145295510515,1656420145342470017,Timing,FusionCameraDetectionComponent::OnReceiveImage,46959502,1656420145323100747,0,0,19369270,1656420145342470017,1656420145342470017,1
24,1656420145342509746,1656420145342537701,Timing,FusionComponent::Proc,27955,0,0,0,1656420145342537701,1656420145342537701,1656420145342537701,0
25,1656420145323101257,1656420145359803792,Timing,FusionCameraDetectionComponent::OnReceiveImage,36702535,1656420145323100747,0,0,36703045,1656420145359803792,1656420145359803792,1
26,1656420145359846423,1656420145359878813,Timing,FusionComponent::Proc,32390,0,0,0,1656420145359878813,1656420145359878813,1656420145359878813,0
27,1656420145377157793,1656420145405580387,Timing,DetectionComponent::Proc,28422594,0,1656420145377156979,0,1656420145405580387,28423408,1656420145405580387,1
28,1656420145405653251,1656420145405725773,Timing,RecognitionComponent::Proc,72522,0,1656420145377156979,0,1656420145405725773,28568794,1656420145405725773,1
29,1656420145405737618,1656420145405899026,Timing,FusionComponent::Proc,161408,1656420145323100747,1656420145377156979,1656420145308301190,82798279,28742047,97597836,1
30,1656420145416723325,1656420145429216468,Timing,RadarDetectionComponent::Proc,12493143,0,0,1656420145416721978,1656420145429216468,1656420145429216468,12494490,1
31,1656420145429255487,1656420145429275602,Timing,FusionComponent::Proc,20115,0,0,0,1656420145429275602,1656420145429275602,1656420145429275602,0
32,1656420145412018393,1656420145434223681,Timing,FusionCameraDetectionComponent::OnReceiveImage,22205288,1656420145415006902,0,0,19216779,1656420145434223681,1656420145434223681,1
33,1656420145434259212,1656420145434281677,Timing,FusionComponent::Proc,22465,0,0,0,1656420145434281677,1656420145434281677,1656420145434281677,0
34,1656420145415008465,1656420145454942708,Timing,FusionCameraDetectionComponent::OnReceiveImage,39934243,1656420145415006902,0,0,39935806,1656420145454942708,1656420145454942708,1
35,1656420145454993127,1656420145455013506,Timing,FusionComponent::Proc,20379,0,0,0,1656420145455013506,1656420145455013506,1656420145455013506,0
36,1656420145455688151,1656420145474377126,Timing,FusionCameraDetectionComponent::OnReceiveImage,18688975,1656420145459738870,0,0,14638256,1656420145474377126,1656420145474377126,1
