,ts_start,ts_end,type,component,execution_time,ts_cam,ts_lidar,ts_radar,lat_cam,lat_lidar,lat_radar,is_finish
0,1656421240433242719,1656421240445545016,Timing,TrafficLightsPerceptionComponent::OnReceiveImage,12302297,0,0,0,1656421240445545016,1656421240445545016,1656421240445545016,0
1,1656421240444682323,1656421240459767173,Timing,TrafficLightsPerceptionComponent::OnReceiveImage,15084850,0,0,0,1656421240459767173,1656421240459767173,1656421240459767173,0
2,1656421240542135226,1656421240554414183,Timing,TrafficLightsPerceptionComponent::OnReceiveImage,12278957,0,0,0,1656421240554414183,1656421240554414183,1656421240554414183,0
3,1656421240544963353,1656421240566756906,Timing,TrafficLightsPerceptionComponent::OnReceiveImage,21793553,0,0,0,1656421240566756906,1656421240566756906,1656421240566756906,0
4,1656421240605661829,1656421240617972168,Timing,TrafficLightsPerceptionComponent::OnReceiveImage,12310339,0,0,0,1656421240617972168,1656421240617972168,1656421240617972168,0
5,1656421240615276640,1656421240630277021,Timing,TrafficLightsPerceptionComponent::OnReceiveImage,15000381,0,0,0,1656421240630277021,1656421240630277021,1656421240630277021,0
6,1656421240662283166,1656421240662504160,Timing,TrafficLightsPerceptionComponent::OnReceiveImage,220994,0,0,0,1656421240662504160,1656421240662504160,1656421240662504160,0
7,1656421240664056868,1656421240683790453,Timing,TrafficLightsPerceptionComponent::OnReceiveImage,19733585,1656421240664055897,0,0,19734556,1656421240683790453,1656421240683790453,1
8,1656421240785156868,1656421240785190200,Timing,TrafficLightsPerceptionComponent::OnReceiveImage,33332,0,0,0,1656421240785190200,1656421240785190200,1656421240785190200,0
9,1656421240786573100,1656421240786600956,Timing,TrafficLightsPerceptionComponent::OnReceiveImage,27856,0,0,0,1656421240786600956,1656421240786600956,1656421240786600956,0
10,1656421240828962639,1656421240829794198,Timing,TrafficLightsPerceptionComponent::OnReceiveImage,831559,1656421240828961122,0,0,833076,1656421240829794198,1656421240829794198,1
11,1656421240830633764,1656421240830654664,Timing,TrafficLightsPerceptionComponent::OnReceiveImage,20900,0,0,0,1656421240830654664,1656421240830654664,1656421240830654664,0
12,1656421240895666381,1656421240895772380,Timing,TrafficLightsPerceptionComponent::OnReceiveImage,105999,0,0,0,1656421240895772380,1656421240895772380,1656421240895772380,0
13,1656421240899491121,1656421240899522733,Timing,TrafficLightsPerceptionComponent::OnReceiveImage,31612,0,0,0,1656421240899522733,1656421240899522733,1656421240899522733,0
14,1656421240959912986,1656421240959954524,Timing,TrafficLightsPerceptionComponent::OnReceiveImage,41538,0,0,0,1656421240959954524,1656421240959954524,1656421240959954524,0
15,1656421240961318280,1656421240962012401,Timing,TrafficLightsPerceptionComponent::OnReceiveImage,694121,1656421240961317428,0,0,694973,1656421240962012401,1656421240962012401,1
16,1656421241022096087,1656421241022345246,Timing,TrafficLightsPerceptionComponent::OnReceiveImage,249159,0,0,0,1656421241022345246,1656421241022345246,1656421241022345246,0
17,1656421241024872149,1656421241024904686,Timing,TrafficLightsPerceptionComponent::OnReceiveImage,32537,0,0,0,1656421241024904686,1656421241024904686,1656421241024904686,0
18,1656421241060983396,1656421241061022739,Timing,TrafficLightsPerceptionComponent::OnReceiveImage,39343,0,0,0,1656421241061022739,1656421241061022739,1656421241061022739,0
19,1656421241071024864,1656421241071066753,Timing,TrafficLightsPerceptionComponent::OnReceiveImage,41889,0,0,0,1656421241071066753,1656421241071066753,1656421241071066753,0
20,1656421241112170137,1656421241112239356,Timing,TrafficLightsPerceptionComponent::OnReceiveImage,69219,0,0,0,1656421241112239356,1656421241112239356,1656421241112239356,0
21,1656421241113641720,1656421241114357296,Timing,TrafficLightsPerceptionComponent::OnReceiveImage,715576,1656421241113639228,0,0,718068,1656421241114357296,1656421241114357296,1
22,1656421241222274357,1656421241222310815,Timing,TrafficLightsPerceptionComponent::OnReceiveImage,36458,0,0,0,1656421241222310815,1656421241222310815,1656421241222310815,0
23,1656421241230826891,1656421241230862664,Timing,TrafficLightsPerceptionComponent::OnReceiveImage,35773,0,0,0,1656421241230862664,1656421241230862664,1656421241230862664,0
