ts_start,ts_end,type,component,execution_time,ts_cam,ts_lidar,ts_radar,lat_cam,lat_lidar,lat_radar,is_finish
1656408903986101691,1656408903998835918,Timing,RadarDetectionComponent::Proc,12734227,0,0,1656408903986098467,1656408903998835918,1656408903998835918,12737451,1
1656408904091524811,1656408904104099193,Timing,RadarDetectionComponent::Proc,12574382,0,0,1656408904091523721,1656408904104099193,1656408904104099193,12575472,1
1656408904186725866,1656408904196192618,Timing,RadarDetectionComponent::Proc,9466752,0,0,1656408904186723106,1656408904196192618,1656408904196192618,9469512,1
1656408904250319491,1656408904262912923,Timing,RadarDetectionComponent::Proc,12593432,0,0,1656408904250318003,1656408904262912923,1656408904262912923,12594920,1
1656408904362232212,1656408904362446106,Timing,RadarDetectionComponent::Proc,213894,0,0,1656408904362231699,1656408904362446106,1656408904362446106,214407,1
1656408904450987042,1656408904463882579,Timing,RadarDetectionComponent::Proc,12895537,0,0,1656408904450983479,1656408904463882579,1656408904463882579,12899100,1
1656408904566471390,1656408904578979508,Timing,RadarDetectionComponent::Proc,12508118,0,0,1656408904566470193,1656408904578979508,1656408904578979508,12509315,1
1656408904677153475,1656408904677361877,Timing,RadarDetectionComponent::Proc,208402,0,0,1656408904677152503,1656408904677361877,1656408904677361877,209374,1
1656408904769683523,1656408904770126972,Timing,RadarDetectionComponent::Proc,443449,0,0,1656408904769681053,1656408904770126972,1656408904770126972,445919,1
1656408904897302390,1656408904909843029,Timing,RadarDetectionComponent::Proc,12540639,0,0,1656408904897301184,1656408904909843029,1656408904909843029,12541845,1
1656408904976038346,1656408904988717713,Timing,RadarDetectionComponent::Proc,12679367,0,0,1656408904976035959,1656408904988717713,1656408904988717713,12681754,1
1656408905100707431,1656408905113197137,Timing,RadarDetectionComponent::Proc,12489706,0,0,1656408905100706116,1656408905113197137,1656408905113197137,12491021,1
1656408905186230095,1656408905198793779,Timing,RadarDetectionComponent::Proc,12563684,0,0,1656408905186227898,1656408905198793779,1656408905198793779,12565881,1
1656408905311139939,1656408905317576659,Timing,RadarDetectionComponent::Proc,6436720,0,0,1656408905311138244,1656408905317576659,1656408905317576659,6438415,1
1656408905431422958,1656408905443917197,Timing,RadarDetectionComponent::Proc,12494239,0,0,1656408905431420900,1656408905443917197,1656408905443917197,12496297,1
1656408905514561024,1656408905527137523,Timing,RadarDetectionComponent::Proc,12576499,0,0,1656408905514559558,1656408905527137523,1656408905527137523,12577965,1
1656408905650048842,1656408905662542735,Timing,RadarDetectionComponent::Proc,12493893,0,0,1656408905650047777,1656408905662542735,1656408905662542735,12494958,1
1656408905771111857,1656408905783639734,Timing,RadarDetectionComponent::Proc,12527877,0,0,1656408905771110753,1656408905783639734,1656408905783639734,12528981,1
1656408905857285458,1656408905870646650,Timing,RadarDetectionComponent::Proc,13361192,0,0,1656408905857282944,1656408905870646650,1656408905870646650,13363706,1
1656408905985989046,1656408905998692054,Timing,RadarDetectionComponent::Proc,12703008,0,0,1656408905985987205,1656408905998692054,1656408905998692054,12704849,1
1656408906080219516,1656408906092695869,Timing,RadarDetectionComponent::Proc,12476353,0,0,1656408906080218001,1656408906092695869,1656408906092695869,12477868,1
1656408906167031005,1656408906179512271,Timing,RadarDetectionComponent::Proc,12481266,0,0,1656408906167029743,1656408906179512271,1656408906179512271,12482528,1
1656408906236253174,1656408906248859252,Timing,RadarDetectionComponent::Proc,12606078,0,0,1656408906236251627,1656408906248859252,1656408906248859252,12607625,1
1656408906330408374,1656408906342889706,Timing,RadarDetectionComponent::Proc,12481332,0,0,1656408906330407206,1656408906342889706,1656408906342889706,12482500,1
1656408906498005131,1656408906510575510,Timing,RadarDetectionComponent::Proc,12570379,0,0,1656408906498003380,1656408906510575510,1656408906510575510,12572130,1
1656408906569620675,1656408906582202141,Timing,RadarDetectionComponent::Proc,12581466,0,0,1656408906569618584,1656408906582202141,1656408906582202141,12583557,1
1656408906689856750,1656408906690160765,Timing,RadarDetectionComponent::Proc,304015,0,0,1656408906689855651,1656408906690160765,1656408906690160765,305114,1
1656408906872925088,1656408906885426063,Timing,RadarDetectionComponent::Proc,12500975,0,0,1656408906872923248,1656408906885426063,1656408906885426063,12502815,1
1656408907001472877,1656408907001687094,Timing,RadarDetectionComponent::Proc,214217,0,0,1656408907001472027,1656408907001687094,1656408907001687094,215067,1
1656408907130289681,1656408907142824524,Timing,RadarDetectionComponent::Proc,12534843,0,0,1656408907130288697,1656408907142824524,1656408907142824524,12535827,1
1656408907252876282,1656408907265409956,Timing,RadarDetectionComponent::Proc,12533674,0,0,1656408907252874344,1656408907265409956,1656408907265409956,12535612,1
1656408907368748718,1656408907381306415,Timing,RadarDetectionComponent::Proc,12557697,0,0,1656408907368747603,1656408907381306415,1656408907381306415,12558812,1
1656408907474206112,1656408907483609323,Timing,RadarDetectionComponent::Proc,9403211,0,0,1656408907474204448,1656408907483609323,1656408907483609323,9404875,1
1656408907546444365,1656408907556345840,Timing,RadarDetectionComponent::Proc,9901475,0,0,1656408907546441732,1656408907556345840,1656408907556345840,9904108,1
1656408907636456808,1656408907636684310,Timing,RadarDetectionComponent::Proc,227502,0,0,1656408907636455190,1656408907636684310,1656408907636684310,229120,1
1656408907736185297,1656408907748685725,Timing,RadarDetectionComponent::Proc,12500428,0,0,1656408907736183511,1656408907748685725,1656408907748685725,12502214,1
1656408907805867072,1656408907818500977,Timing,RadarDetectionComponent::Proc,12633905,0,0,1656408907805865899,1656408907818500977,1656408907818500977,12635078,1
1656408907910628140,1656408907923193365,Timing,RadarDetectionComponent::Proc,12565225,0,0,1656408907910626475,1656408907923193365,1656408907923193365,12566890,1
1656408908012764516,1656408908025281855,Timing,RadarDetectionComponent::Proc,12517339,0,0,1656408908012762579,1656408908025281855,1656408908025281855,12519276,1
1656408908134846465,1656408908147414217,Timing,RadarDetectionComponent::Proc,12567752,0,0,1656408908134845219,1656408908147414217,1656408908147414217,12568998,1
1656408908240140844,1656408908252749497,Timing,RadarDetectionComponent::Proc,12608653,0,0,1656408908240139372,1656408908252749497,1656408908252749497,12610125,1
1656408908343927452,1656408908356567918,Timing,RadarDetectionComponent::Proc,12640466,0,0,1656408908343925869,1656408908356567918,1656408908356567918,12642049,1
