ts_start,ts_end,type,component,execution_time,ts_cam,ts_lidar,ts_radar,lat_cam,lat_lidar,lat_radar,is_finish
1656408831191901378,1656408831192942630,Timing,TrafficLightsPerceptionComponent::OnReceiveImage,1041252,1656408831191899747,0,0,1042883,1656408831192942630,1656408831192942630,1
1656408831196373015,1656408831196409403,Timing,TrafficLightsPerceptionComponent::OnReceiveImage,36388,0,0,0,1656408831196409403,1656408831196409403,1656408831196409403,0
1656408831233971513,1656408831234019536,Timing,TrafficLightsPerceptionComponent::OnReceiveImage,48023,0,0,0,1656408831234019536,1656408831234019536,1656408831234019536,0
1656408831242540273,1656408831242574774,Timing,TrafficLightsPerceptionComponent::OnReceiveImage,34501,0,0,0,1656408831242574774,1656408831242574774,1656408831242574774,0
1656408831354020626,1656408831354978385,Timing,TrafficLightsPerceptionComponent::OnReceiveImage,957759,1656408831354018987,0,0,959398,1656408831354978385,1656408831354978385,1
1656408831355901537,1656408831355936541,Timing,TrafficLightsPerceptionComponent::OnReceiveImage,35004,0,0,0,1656408831355936541,1656408831355936541,1656408831355936541,0
1656408831405641156,1656408831405696504,Timing,TrafficLightsPerceptionComponent::OnReceiveImage,55348,0,0,0,1656408831405696504,1656408831405696504,1656408831405696504,0
1656408831407518897,1656408831407546423,Timing,TrafficLightsPerceptionComponent::OnReceiveImage,27526,0,0,0,1656408831407546423,1656408831407546423,1656408831407546423,0
1656408831514364956,1656408831514589488,Timing,TrafficLightsPerceptionComponent::OnReceiveImage,224532,0,0,0,1656408831514589488,1656408831514589488,1656408831514589488,0
1656408831517021336,1656408831517814421,Timing,TrafficLightsPerceptionComponent::OnReceiveImage,793085,1656408831517019818,0,0,794603,1656408831517814421,1656408831517814421,1
1656408831566725509,1656408831566758325,Timing,TrafficLightsPerceptionComponent::OnReceiveImage,32816,0,0,0,1656408831566758325,1656408831566758325,1656408831566758325,0
1656408831568980316,1656408831569012052,Timing,TrafficLightsPerceptionComponent::OnReceiveImage,31736,0,0,0,1656408831569012052,1656408831569012052,1656408831569012052,0
1656408831628345313,1656408831628400628,Timing,TrafficLightsPerceptionComponent::OnReceiveImage,55315,0,0,0,1656408831628400628,1656408831628400628,1656408831628400628,0
1656408831629960697,1656408831629992724,Timing,TrafficLightsPerceptionComponent::OnReceiveImage,32027,0,0,0,1656408831629992724,1656408831629992724,1656408831629992724,0
1656408831674474181,1656408831674507597,Timing,TrafficLightsPerceptionComponent::OnReceiveImage,33416,0,0,0,1656408831674507597,1656408831674507597,1656408831674507597,0
1656408831677257576,1656408831677974542,Timing,TrafficLightsPerceptionComponent::OnReceiveImage,716966,1656408831677256389,0,0,718153,1656408831677974542,1656408831677974542,1
1656408831725778317,1656408831725809047,Timing,TrafficLightsPerceptionComponent::OnReceiveImage,30730,0,0,0,1656408831725809047,1656408831725809047,1656408831725809047,0
1656408831727446737,1656408831727477311,Timing,TrafficLightsPerceptionComponent::OnReceiveImage,30574,0,0,0,1656408831727477311,1656408831727477311,1656408831727477311,0
1656408831813005882,1656408831813861066,Timing,TrafficLightsPerceptionComponent::OnReceiveImage,855184,1656408831813004025,0,0,857041,1656408831813861066,1656408831813861066,1
1656408831814709693,1656408831814897505,Timing,TrafficLightsPerceptionComponent::OnReceiveImage,187812,0,0,0,1656408831814897505,1656408831814897505,1656408831814897505,0
1656408831863570572,1656408831863605236,Timing,TrafficLightsPerceptionComponent::OnReceiveImage,34664,0,0,0,1656408831863605236,1656408831863605236,1656408831863605236,0
1656408831865419070,1656408831865451423,Timing,TrafficLightsPerceptionComponent::OnReceiveImage,32353,0,0,0,1656408831865451423,1656408831865451423,1656408831865451423,0
1656408831918536282,1656408831918579852,Timing,TrafficLightsPerceptionComponent::OnReceiveImage,43570,0,0,0,1656408831918579852,1656408831918579852,1656408831918579852,0
1656408831920233138,1656408831920261901,Timing,TrafficLightsPerceptionComponent::OnReceiveImage,28763,0,0,0,1656408831920261901,1656408831920261901,1656408831920261901,0
