ts_start,ts_end,type,component,execution_time,ts_cam,ts_lidar,ts_radar,ts_TL,ts_lane,lat_cam,lat_lidar,lat_radar,lat_TL,lat_lane,is_finish,info
1656594961201689215,1656594961201742473,Timing,ControlComponent::Proc,53258,0,0,0,0,0,1656594961201742473,1656594961201742473,1656594961201742473,1656594961201742473,1656594961201742473,0,0
1656594961211477245,1656594961211556863,Timing,ControlComponent::Proc,79618,0,0,0,0,0,1656594961211556863,1656594961211556863,1656594961211556863,1656594961211556863,1656594961211556863,0,0
1656594961221469559,1656594961221530988,Timing,ControlComponent::Proc,61429,0,0,0,0,0,1656594961221530988,1656594961221530988,1656594961221530988,1656594961221530988,1656594961221530988,0,0
1656594961231478083,1656594961231557322,Timing,ControlComponent::Proc,79239,0,0,0,0,0,1656594961231557322,1656594961231557322,1656594961231557322,1656594961231557322,1656594961231557322,0,0
1656594961241479416,1656594961241527321,Timing,ControlComponent::Proc,47905,0,0,0,0,0,1656594961241527321,1656594961241527321,1656594961241527321,1656594961241527321,1656594961241527321,0,0
1656594961251434788,1656594961251518683,Timing,ControlComponent::Proc,83895,0,0,0,0,0,1656594961251518683,1656594961251518683,1656594961251518683,1656594961251518683,1656594961251518683,0,0
1656594961261445423,1656594961261514436,Timing,ControlComponent::Proc,69013,0,0,0,0,0,1656594961261514436,1656594961261514436,1656594961261514436,1656594961261514436,1656594961261514436,0,0
1656594961271474217,1656594961271534519,Timing,ControlComponent::Proc,60302,0,0,0,0,0,1656594961271534519,1656594961271534519,1656594961271534519,1656594961271534519,1656594961271534519,0,0
1656594961281456315,1656594961281512130,Timing,ControlComponent::Proc,55815,0,0,0,0,0,1656594961281512130,1656594961281512130,1656594961281512130,1656594961281512130,1656594961281512130,0,0
1656594961291438826,1656594961291503378,Timing,ControlComponent::Proc,64552,0,0,0,0,0,1656594961291503378,1656594961291503378,1656594961291503378,1656594961291503378,1656594961291503378,0,0
1656594961301495553,1656594961301600632,Timing,ControlComponent::Proc,105079,0,0,0,0,0,1656594961301600632,1656594961301600632,1656594961301600632,1656594961301600632,1656594961301600632,0,0
1656594961311486499,1656594961311570084,Timing,ControlComponent::Proc,83585,0,0,0,0,0,1656594961311570084,1656594961311570084,1656594961311570084,1656594961311570084,1656594961311570084,0,0
1656594961321484426,1656594961321554041,Timing,ControlComponent::Proc,69615,0,0,0,0,0,1656594961321554041,1656594961321554041,1656594961321554041,1656594961321554041,1656594961321554041,0,0
1656594961331432770,1656594961331497242,Timing,ControlComponent::Proc,64472,0,0,0,0,0,1656594961331497242,1656594961331497242,1656594961331497242,1656594961331497242,1656594961331497242,0,0
1656594961341460443,1656594961341525574,Timing,ControlComponent::Proc,65131,0,0,0,0,0,1656594961341525574,1656594961341525574,1656594961341525574,1656594961341525574,1656594961341525574,0,0
1656594961351486981,1656594961351555432,Timing,ControlComponent::Proc,68451,0,0,0,0,0,1656594961351555432,1656594961351555432,1656594961351555432,1656594961351555432,1656594961351555432,0,0
1656594961361472422,1656594961361609401,Timing,ControlComponent::Proc,136979,0,0,0,0,0,1656594961361609401,1656594961361609401,1656594961361609401,1656594961361609401,1656594961361609401,0,0
1656594961371473758,1656594961371545802,Timing,ControlComponent::Proc,72044,0,0,0,0,0,1656594961371545802,1656594961371545802,1656594961371545802,1656594961371545802,1656594961371545802,0,0
1656594961381450310,1656594961381508107,Timing,ControlComponent::Proc,57797,0,0,0,0,0,1656594961381508107,1656594961381508107,1656594961381508107,1656594961381508107,1656594961381508107,0,0
1656594961391474478,1656594961391538515,Timing,ControlComponent::Proc,64037,0,0,0,0,0,1656594961391538515,1656594961391538515,1656594961391538515,1656594961391538515,1656594961391538515,0,0
1656594961401430398,1656594961401490406,Timing,ControlComponent::Proc,60008,0,0,0,0,0,1656594961401490406,1656594961401490406,1656594961401490406,1656594961401490406,1656594961401490406,0,0
1656594961411474505,1656594961411540253,Timing,ControlComponent::Proc,65748,0,0,0,0,0,1656594961411540253,1656594961411540253,1656594961411540253,1656594961411540253,1656594961411540253,0,0
1656594961421423527,1656594961421476987,Timing,ControlComponent::Proc,53460,0,0,0,0,0,1656594961421476987,1656594961421476987,1656594961421476987,1656594961421476987,1656594961421476987,0,0
1656594961431471010,1656594961431529305,Timing,ControlComponent::Proc,58295,0,0,0,0,0,1656594961431529305,1656594961431529305,1656594961431529305,1656594961431529305,1656594961431529305,0,0
1656594961441454216,1656594961441520024,Timing,ControlComponent::Proc,65808,0,0,0,0,0,1656594961441520024,1656594961441520024,1656594961441520024,1656594961441520024,1656594961441520024,0,0
1656594961451428870,1656594961451483675,Timing,ControlComponent::Proc,54805,0,0,0,0,0,1656594961451483675,1656594961451483675,1656594961451483675,1656594961451483675,1656594961451483675,0,0
1656594961461443768,1656594961461531067,Timing,ControlComponent::Proc,87299,0,0,0,0,0,1656594961461531067,1656594961461531067,1656594961461531067,1656594961461531067,1656594961461531067,0,0
1656594961471471989,1656594961471528158,Timing,ControlComponent::Proc,56169,0,0,0,0,0,1656594961471528158,1656594961471528158,1656594961471528158,1656594961471528158,1656594961471528158,0,0
1656594961481427426,1656594961481484814,Timing,ControlComponent::Proc,57388,0,0,0,0,0,1656594961481484814,1656594961481484814,1656594961481484814,1656594961481484814,1656594961481484814,0,0
1656594961491496532,1656594961491563586,Timing,ControlComponent::Proc,67054,0,0,0,0,0,1656594961491563586,1656594961491563586,1656594961491563586,1656594961491563586,1656594961491563586,0,0
1656594961501475156,1656594961501530739,Timing,ControlComponent::Proc,55583,0,0,0,0,0,1656594961501530739,1656594961501530739,1656594961501530739,1656594961501530739,1656594961501530739,0,0
1656594961511438210,1656594961511506758,Timing,ControlComponent::Proc,68548,0,0,0,0,0,1656594961511506758,1656594961511506758,1656594961511506758,1656594961511506758,1656594961511506758,0,0
1656594961521472684,1656594961521533706,Timing,ControlComponent::Proc,61022,0,0,0,0,0,1656594961521533706,1656594961521533706,1656594961521533706,1656594961521533706,1656594961521533706,0,0
1656594961531472975,1656594961531536061,Timing,ControlComponent::Proc,63086,0,0,0,0,0,1656594961531536061,1656594961531536061,1656594961531536061,1656594961531536061,1656594961531536061,0,0
1656594961541484518,1656594961541578651,Timing,ControlComponent::Proc,94133,0,0,0,0,0,1656594961541578651,1656594961541578651,1656594961541578651,1656594961541578651,1656594961541578651,0,0
1656594961551479453,1656594961551552168,Timing,ControlComponent::Proc,72715,0,0,0,0,0,1656594961551552168,1656594961551552168,1656594961551552168,1656594961551552168,1656594961551552168,0,0
1656594961561499838,1656594961561568268,Timing,ControlComponent::Proc,68430,0,0,0,0,0,1656594961561568268,1656594961561568268,1656594961561568268,1656594961561568268,1656594961561568268,0,0
1656594961571473182,1656594961571533094,Timing,ControlComponent::Proc,59912,0,0,0,0,0,1656594961571533094,1656594961571533094,1656594961571533094,1656594961571533094,1656594961571533094,0,0
1656594961581482660,1656594961581555599,Timing,ControlComponent::Proc,72939,0,0,0,0,0,1656594961581555599,1656594961581555599,1656594961581555599,1656594961581555599,1656594961581555599,0,0
1656594961591446121,1656594961591496625,Timing,ControlComponent::Proc,50504,0,0,0,0,0,1656594961591496625,1656594961591496625,1656594961591496625,1656594961591496625,1656594961591496625,0,0
1656594961601420158,1656594961601478018,Timing,ControlComponent::Proc,57860,0,0,0,0,0,1656594961601478018,1656594961601478018,1656594961601478018,1656594961601478018,1656594961601478018,0,0
1656594961611471873,1656594961611538989,Timing,ControlComponent::Proc,67116,0,0,0,0,0,1656594961611538989,1656594961611538989,1656594961611538989,1656594961611538989,1656594961611538989,0,0
