ts_start,ts_end,type,component,execution_time,ts_cam,ts_lidar,ts_radar,ts_TL,ts_lane,lat_cam,lat_lidar,lat_radar,lat_TL,lat_lane,is_finish,info
1656595067477562010,1656595067503797542,Timing,DetectionComponent::Proc,26235532,0,1656595067477560083,0,0,0,1656595067503797542,26237459,1656595067503797542,1656595067503797542,1656595067503797542,1,9661
1656595067613132411,1656595067632298407,Timing,DetectionComponent::Proc,19165996,0,1656595067613131529,0,0,0,1656595067632298407,19166878,1656595067632298407,1656595067632298407,1656595067632298407,1,9662
1656595067675131174,1656595067694294799,Timing,DetectionComponent::Proc,19163625,0,1656595067675129112,0,0,0,1656595067694294799,19165687,1656595067694294799,1656595067694294799,1656595067694294799,1,9661
1656595067825631374,1656595067840817300,Timing,DetectionComponent::Proc,15185926,0,1656595067825630342,0,0,0,1656595067840817300,15186958,1656595067840817300,1656595067840817300,1656595067840817300,1,9661
1656595067893352953,1656595067926184489,Timing,DetectionComponent::Proc,32831536,0,1656595067893346992,0,0,0,1656595067926184489,32837497,1656595067926184489,1656595067926184489,1656595067926184489,1,9663
1656595068045579243,1656595068061983396,Timing,DetectionComponent::Proc,16404153,0,1656595068045576962,0,0,0,1656595068061983396,16406434,1656595068061983396,1656595068061983396,1656595068061983396,1,9665
1656595068143373440,1656595068166255805,Timing,DetectionComponent::Proc,22882365,0,1656595068143371703,0,0,0,1656595068166255805,22884102,1656595068166255805,1656595068166255805,1656595068166255805,1,9663
1656595068224774507,1656595068245734681,Timing,DetectionComponent::Proc,20960174,0,1656595068224773259,0,0,0,1656595068245734681,20961422,1656595068245734681,1656595068245734681,1656595068245734681,1,9665
1656595068327460453,1656595068344834907,Timing,DetectionComponent::Proc,17374454,0,1656595068327458838,0,0,0,1656595068344834907,17376069,1656595068344834907,1656595068344834907,1656595068344834907,1,9664
1656595068429156115,1656595068450694839,Timing,DetectionComponent::Proc,21538724,0,1656595068429154545,0,0,0,1656595068450694839,21540294,1656595068450694839,1656595068450694839,1656595068450694839,1,9663
1656595068539606315,1656595068559700519,Timing,DetectionComponent::Proc,20094204,0,1656595068539604797,0,0,0,1656595068559700519,20095722,1656595068559700519,1656595068559700519,1656595068559700519,1,9662
1656595068626817106,1656595068645253606,Timing,DetectionComponent::Proc,18436500,0,1656595068626816217,0,0,0,1656595068645253606,18437389,1656595068645253606,1656595068645253606,1656595068645253606,1,9664
1656595068699452473,1656595068728412164,Timing,DetectionComponent::Proc,28959691,0,1656595068699449159,0,0,0,1656595068728412164,28963005,1656595068728412164,1656595068728412164,1656595068728412164,1,9667
1656595068828650632,1656595068850032813,Timing,DetectionComponent::Proc,21382181,0,1656595068828648779,0,0,0,1656595068850032813,21384034,1656595068850032813,1656595068850032813,1656595068850032813,1,9662
1656595068933562921,1656595068954950314,Timing,DetectionComponent::Proc,21387393,0,1656595068933559282,0,0,0,1656595068954950314,21391032,1656595068954950314,1656595068954950314,1656595068954950314,1,9664
1656595069024668355,1656595069048133022,Timing,DetectionComponent::Proc,23464667,0,1656595069024666863,0,0,0,1656595069048133022,23466159,1656595069048133022,1656595069048133022,1656595069048133022,1,9657
1656595069093897265,1656595069109824179,Timing,DetectionComponent::Proc,15926914,0,1656595069093896229,0,0,0,1656595069109824179,15927950,1656595069109824179,1656595069109824179,1656595069109824179,1,9659
1656595069249116969,1656595069272632096,Timing,DetectionComponent::Proc,23515127,0,1656595069249115281,0,0,0,1656595069272632096,23516815,1656595069272632096,1656595069272632096,1656595069272632096,1,9660
1656595069307385104,1656595069331320447,Timing,DetectionComponent::Proc,23935343,0,1656595069307382356,0,0,0,1656595069331320447,23938091,1656595069331320447,1656595069331320447,1656595069331320447,1,9677
1656595069492053602,1656595069509561555,Timing,DetectionComponent::Proc,17507953,0,1656595069492052264,0,0,0,1656595069509561555,17509291,1656595069509561555,1656595069509561555,1656595069509561555,1,9683
1656595069590184156,1656595069609395595,Timing,DetectionComponent::Proc,19211439,0,1656595069590182933,0,0,0,1656595069609395595,19212662,1656595069609395595,1656595069609395595,1656595069609395595,1,9689
1656595069653209285,1656595069669991188,Timing,DetectionComponent::Proc,16781903,0,1656595069653207840,0,0,0,1656595069669991188,16783348,1656595069669991188,1656595069669991188,1656595069669991188,1,9672
1656595069772980537,1656595069801899132,Timing,DetectionComponent::Proc,28918595,0,1656595069772979327,0,0,0,1656595069801899132,28919805,1656595069801899132,1656595069801899132,1656595069801899132,1,9647
1656595069884591863,1656595069900967398,Timing,DetectionComponent::Proc,16375535,0,1656595069884590560,0,0,0,1656595069900967398,16376838,1656595069900967398,1656595069900967398,1656595069900967398,1,9645
1656595069977541500,1656595070001044937,Timing,DetectionComponent::Proc,23503437,0,1656595069977540573,0,0,0,1656595070001044937,23504364,1656595070001044937,1656595070001044937,1656595070001044937,1,9623
1656595070101174900,1656595070121450597,Timing,DetectionComponent::Proc,20275697,0,1656595070101173821,0,0,0,1656595070121450597,20276776,1656595070121450597,1656595070121450597,1656595070121450597,1,9572
1656595070225422068,1656595070246150708,Timing,DetectionComponent::Proc,20728640,0,1656595070225420023,0,0,0,1656595070246150708,20730685,1656595070246150708,1656595070246150708,1656595070246150708,1,9573
1656595070287614455,1656595070301681710,Timing,DetectionComponent::Proc,14067255,0,1656595070287612966,0,0,0,1656595070301681710,14068744,1656595070301681710,1656595070301681710,1656595070301681710,1,9543
1656595070383274120,1656595070406639379,Timing,DetectionComponent::Proc,23365259,0,1656595070383272538,0,0,0,1656595070406639379,23366841,1656595070406639379,1656595070406639379,1656595070406639379,1,9513
1656595070507660414,1656595070523171338,Timing,DetectionComponent::Proc,15510924,0,1656595070507658393,0,0,0,1656595070523171338,15512945,1656595070523171338,1656595070523171338,1656595070523171338,1,9488
