ts_start,ts_end,type,component,execution_time,ts_cam,ts_lidar,ts_radar,ts_TL,ts_lane,lat_cam,lat_lidar,lat_radar,lat_TL,lat_lane,is_finish,info
1656595067500455129,1656595067500704669,Timing,FusionComponent::Proc,249540,0,0,0,0,0,1656595067500704669,1656595067500704669,1656595067500704669,1656595067500704669,1656595067500704669,0,0
1656595067504279966,1656595067504804047,Timing,FusionComponent::Proc,524081,1656595067433971240,1656595067477560083,0,0,0,70832807,27243964,1656595067504804047,1656595067504804047,1656595067504804047,1,0
1656595067520458186,1656595067520474542,Timing,FusionComponent::Proc,16356,0,0,0,0,0,1656595067520474542,1656595067520474542,1656595067520474542,1656595067520474542,1656595067520474542,0,0
1656595067539262846,1656595067539315598,Timing,FusionComponent::Proc,52752,0,0,0,0,0,1656595067539315598,1656595067539315598,1656595067539315598,1656595067539315598,1656595067539315598,0,0
1656595067556743179,1656595067556773111,Timing,FusionComponent::Proc,29932,0,0,0,0,0,1656595067556773111,1656595067556773111,1656595067556773111,1656595067556773111,1656595067556773111,0,0
1656595067601040681,1656595067601073404,Timing,FusionComponent::Proc,32723,0,0,0,0,0,1656595067601073404,1656595067601073404,1656595067601073404,1656595067601073404,1656595067601073404,0,0
1656595067619143045,1656595067619168115,Timing,FusionComponent::Proc,25070,0,0,0,0,0,1656595067619168115,1656595067619168115,1656595067619168115,1656595067619168115,1656595067619168115,0,0
1656595067627707931,1656595067627741301,Timing,FusionComponent::Proc,33370,0,0,0,0,0,1656595067627741301,1656595067627741301,1656595067627741301,1656595067627741301,1656595067627741301,0,0
1656595067632747578,1656595067634058153,Timing,FusionComponent::Proc,1310575,1656595067579315953,1656595067613131529,1656595067606607336,0,0,54742200,20926624,27450817,1656595067634058153,1656595067634058153,1,0
1656595067666967904,1656595067666995435,Timing,FusionComponent::Proc,27531,0,0,0,0,0,1656595067666995435,1656595067666995435,1656595067666995435,1656595067666995435,1656595067666995435,0,0
1656595067683032743,1656595067683058358,Timing,FusionComponent::Proc,25615,0,0,0,0,0,1656595067683058358,1656595067683058358,1656595067683058358,1656595067683058358,1656595067683058358,0,0
1656595067692417260,1656595067692448262,Timing,FusionComponent::Proc,31002,0,0,0,0,0,1656595067692448262,1656595067692448262,1656595067692448262,1656595067692448262,1656595067692448262,0,0
1656595067694659785,1656595067695235794,Timing,FusionComponent::Proc,576009,1656595067642365181,1656595067675129112,1656595067682669129,0,0,52870613,20106682,12566665,1656595067695235794,1656595067695235794,1,0
1656595067727366232,1656595067727393013,Timing,FusionComponent::Proc,26781,0,0,0,0,0,1656595067727393013,1656595067727393013,1656595067727393013,1656595067727393013,1656595067727393013,0,0
1656595067744389916,1656595067744417175,Timing,FusionComponent::Proc,27259,0,0,0,0,0,1656595067744417175,1656595067744417175,1656595067744417175,1656595067744417175,1656595067744417175,0,0
1656595067782848237,1656595067782878645,Timing,FusionComponent::Proc,30408,0,0,0,0,0,1656595067782878645,1656595067782878645,1656595067782878645,1656595067782878645,1656595067782878645,0,0
1656595067800784325,1656595067800823424,Timing,FusionComponent::Proc,39099,0,0,0,0,0,1656595067800823424,1656595067800823424,1656595067800823424,1656595067800823424,1656595067800823424,0,0
1656595067805872671,1656595067805904037,Timing,FusionComponent::Proc,31366,0,0,0,0,0,1656595067805904037,1656595067805904037,1656595067805904037,1656595067805904037,1656595067805904037,0,0
1656595067841210727,1656595067841972769,Timing,FusionComponent::Proc,762042,1656595067769637555,1656595067825630342,1656595067800395702,0,0,72335214,16342427,41577067,1656595067841972769,1656595067841972769,1,5
1656595067878093281,1656595067878118970,Timing,FusionComponent::Proc,25689,0,0,0,0,0,1656595067878118970,1656595067878118970,1656595067878118970,1656595067878118970,1656595067878118970,0,0
1656595067895240537,1656595067895302730,Timing,FusionComponent::Proc,62193,0,0,0,0,0,1656595067895302730,1656595067895302730,1656595067895302730,1656595067895302730,1656595067895302730,0,0
