ts_start,ts_end,type,component,execution_time,ts_cam,ts_lidar,ts_radar,ts_TL,ts_lane,lat_cam,lat_lidar,lat_radar,lat_TL,lat_lane,is_finish,info
1656595041834404293,1656595041868069338,Timing,FusionCameraDetectionComponent::OnReceiveImage,33665045,1656595041843754263,0,0,0,0,24315075,1656595041868069338,1656595041868069338,1656595041868069338,1656595041868069338,1,0
1656595041843756481,1656595041895381589,Timing,FusionCameraDetectionComponent::OnReceiveImage,51625108,1656595041843754263,0,0,0,0,51627326,1656595041895381589,1656595041895381589,1656595041895381589,1656595041895381589,1,0
1656595041900459483,1656595041928581431,Timing,FusionCameraDetectionComponent::OnReceiveImage,28121948,1656595041904880008,0,0,0,0,23701423,1656595041928581431,1656595041928581431,1656595041928581431,1656595041928581431,1,0
1656595041904886260,1656595041957868945,Timing,FusionCameraDetectionComponent::OnReceiveImage,52982685,1656595041904880008,0,0,0,0,52988937,1656595041957868945,1656595041957868945,1656595041957868945,1656595041957868945,1,0
1656595041960474652,1656595041989086169,Timing,FusionCameraDetectionComponent::OnReceiveImage,28611517,1656595041963020481,0,0,0,0,26065688,1656595041989086169,1656595041989086169,1656595041989086169,1656595041989086169,1,0
1656595041963021698,1656595042011532888,Timing,FusionCameraDetectionComponent::OnReceiveImage,48511190,1656595041963020481,0,0,0,0,48512407,1656595042011532888,1656595042011532888,1656595042011532888,1656595042011532888,1,0
1656595042018152419,1656595042043144835,Timing,FusionCameraDetectionComponent::OnReceiveImage,24992416,1656595042021742539,0,0,0,0,21402296,1656595042043144835,1656595042043144835,1656595042043144835,1656595042043144835,1,0
1656595042021744353,1656595042065904307,Timing,FusionCameraDetectionComponent::OnReceiveImage,44159954,1656595042021742539,0,0,0,0,44161768,1656595042065904307,1656595042065904307,1656595042065904307,1656595042065904307,1,0
1656595042093142569,1656595042119726221,Timing,FusionCameraDetectionComponent::OnReceiveImage,26583652,1656595042105403185,0,0,0,0,14323036,1656595042119726221,1656595042119726221,1656595042119726221,1656595042119726221,1,0
1656595042105406420,1656595042143477695,Timing,FusionCameraDetectionComponent::OnReceiveImage,38071275,1656595042105403185,0,0,0,0,38074510,1656595042143477695,1656595042143477695,1656595042143477695,1656595042143477695,1,0
