,ts_start,ts_end,type,component,execution_time,ts_cam,ts_lidar,ts_radar,ts_TL,ts_lane,lat_cam,lat_lidar,lat_radar,lat_TL,lat_lane,is_finish,info
0,1656595020723310470,1656595020746151877,Timing,LaneDetectionComponent::OnReceiveImage,22841407,0,0,0,0,0,1656595020746151877,1656595020746151877,1656595020746151877,1656595020746151877,1656595020746151877,1,0
1,1656595020729328991,1656595020746881260,Timing,LaneDetectionComponent::OnReceiveImage,17552269,0,0,0,0,0,1656595020746881260,1656595020746881260,1656595020746881260,1656595020746881260,1656595020746881260,1,0
2,1656595020769316547,1656595020770269757,Timing,LaneDetectionComponent::OnReceiveImage,953210,0,0,0,0,0,1656595020770269757,1656595020770269757,1656595020770269757,1656595020770269757,1656595020770269757,1,0
3,1656595020772729493,1656595020791252016,Timing,LaneDetectionComponent::OnReceiveImage,18522523,0,0,0,0,0,1656595020791252016,1656595020791252016,1656595020791252016,1656595020791252016,1656595020791252016,1,0
4,1656595020857863333,1656595020877773882,Timing,LaneDetectionComponent::OnReceiveImage,19910549,0,0,0,0,0,1656595020877773882,1656595020877773882,1656595020877773882,1656595020877773882,1656595020877773882,1,0
5,1656595020860900262,1656595020878517293,Timing,LaneDetectionComponent::OnReceiveImage,17617031,0,0,0,0,0,1656595020878517293,1656595020878517293,1656595020878517293,1656595020878517293,1656595020878517293,1,0
6,1656595020916479007,1656595020937489553,Timing,LaneDetectionComponent::OnReceiveImage,21010546,0,0,0,0,0,1656595020937489553,1656595020937489553,1656595020937489553,1656595020937489553,1656595020937489553,1,0
7,1656595020925284562,1656595020938350175,Timing,LaneDetectionComponent::OnReceiveImage,13065613,0,0,0,0,0,1656595020938350175,1656595020938350175,1656595020938350175,1656595020938350175,1656595020938350175,1,0
8,1656595020957296574,1656595020974115129,Timing,LaneDetectionComponent::OnReceiveImage,16818555,0,0,0,0,0,1656595020974115129,1656595020974115129,1656595020974115129,1656595020974115129,1656595020974115129,1,0
9,1656595020961706826,1656595020974881135,Timing,LaneDetectionComponent::OnReceiveImage,13174309,0,0,0,0,0,1656595020974881135,1656595020974881135,1656595020974881135,1656595020974881135,1656595020974881135,1,0
10,1656595021033776535,1656595021035422081,Timing,LaneDetectionComponent::OnReceiveImage,1645546,0,0,0,0,0,1656595021035422081,1656595021035422081,1656595021035422081,1656595021035422081,1656595021035422081,1,0
11,1656595021036146493,1656595021065810629,Timing,LaneDetectionComponent::OnReceiveImage,29664136,0,0,0,0,0,1656595021065810629,1656595021065810629,1656595021065810629,1656595021065810629,1656595021065810629,1,0
12,1656595021102135083,1656595021119927958,Timing,LaneDetectionComponent::OnReceiveImage,17792875,0,0,0,0,0,1656595021119927958,1656595021119927958,1656595021119927958,1656595021119927958,1656595021119927958,1,0
13,1656595021106834267,1656595021120756725,Timing,LaneDetectionComponent::OnReceiveImage,13922458,0,0,0,0,0,1656595021120756725,1656595021120756725,1656595021120756725,1656595021120756725,1656595021120756725,1,0
14,1656595021190697794,1656595021205033496,Timing,LaneDetectionComponent::OnReceiveImage,14335702,0,0,0,0,0,1656595021205033496,1656595021205033496,1656595021205033496,1656595021205033496,1656595021205033496,1,0
15,1656595021193920276,1656595021205919334,Timing,LaneDetectionComponent::OnReceiveImage,11999058,0,0,0,0,0,1656595021205919334,1656595021205919334,1656595021205919334,1656595021205919334,1656595021205919334,1,0
16,1656595021249618600,1656595021263474765,Timing,LaneDetectionComponent::OnReceiveImage,13856165,0,0,0,0,0,1656595021263474765,1656595021263474765,1656595021263474765,1656595021263474765,1656595021263474765,1,0
17,1656595021258370197,1656595021264207285,Timing,LaneDetectionComponent::OnReceiveImage,5837088,0,0,0,0,0,1656595021264207285,1656595021264207285,1656595021264207285,1656595021264207285,1656595021264207285,1,0
18,1656595021316077184,1656595021329934962,Timing,LaneDetectionComponent::OnReceiveImage,13857778,0,0,0,0,0,1656595021329934962,1656595021329934962,1656595021329934962,1656595021329934962,1656595021329934962,1,0
