,ts_start,ts_end,type,component,execution_time,ts_cam,ts_lidar,ts_radar,ts_TL,ts_lane,lat_cam,lat_lidar,lat_radar,lat_TL,lat_lane,is_finish,info
0,1656595067635353726,1656595067638592394,Timing,PlanningComponent::Proc,3238668,1656595067579315953,1656595067613131529,1656595067606607336,1656595067508545469,0,59276441,25460865,31985058,130046925,1656595067638592394,1,0
1,1656595067696688270,1656595067923204877,Timing,PlanningComponent::Proc,226516607,1656595067642365181,1656595067675129112,1656595067682669129,1656595067768837794,0,280839696,248075765,240535748,154367083,1656595067923204877,1,0
2,1656595067923832154,1656595067949564865,Timing,PlanningComponent::Proc,25732711,1656595067769637555,1656595067825630342,1656595067800395702,1656595067899351070,0,179927310,123934523,149169163,50213795,1656595067949564865,1,5
3,1656595067949868326,1656595067976783283,Timing,PlanningComponent::Proc,26914957,1656595067893949920,1656595067893346992,1656595067883327630,1656595067899351070,0,82833363,83436291,93455653,77432213,1656595067976783283,1,7
4,1656595068065255331,1656595068090939805,Timing,PlanningComponent::Proc,25684474,1656595068002838415,1656595068045576962,1656595068009300042,1656595067899351070,0,88101390,45362843,81639763,191588735,1656595068090939805,1,5
5,1656595068169152289,1656595068196768987,Timing,PlanningComponent::Proc,27616698,1656595068124859627,1656595068143371703,1656595068161428838,1656595068071637022,0,71909360,53397284,35340149,125131965,1656595068196768987,1,5
6,1656595068249154694,1656595068262738428,Timing,PlanningComponent::Proc,13583734,1656595068197155970,1656595068224773259,1656595068161428838,1656595068071637022,0,65582458,37965169,101309590,191101406,1656595068262738428,1,5
7,1656595068362133572,1656595068363142294,Timing,PlanningComponent::Proc,1008722,1656595068255220640,1656595068327458838,1656595068287076218,1656595068252741588,0,107921654,35683456,76066076,110400706,1656595068363142294,1,5
8,1656595068455862441,1656595068544017629,Timing,PlanningComponent::Proc,88155188,1656595068403832819,1656595068429154545,1656595068365619443,1656595068403831691,0,140184810,114863084,178398186,140185938,1656595068544017629,1,4
9,1656595068562716356,1656595068563652744,Timing,PlanningComponent::Proc,936388,1656595068519162651,1656595068539604797,1656595068473127861,1656595068403831691,0,44490093,24047947,90524883,159821053,1656595068563652744,1,5
10,1656595068648370430,1656595068649509757,Timing,PlanningComponent::Proc,1139327,1656595068587805288,1656595068626816217,1656595068632947760,1656595068584445880,0,61704469,22693540,16561997,65063877,1656595068649509757,1,5
11,1656595068731658691,1656595068732822929,Timing,PlanningComponent::Proc,1164238,1656595068642911072,1656595068699449159,1656595068632947760,1656595068584445880,0,89911857,33373770,99875169,148377049,1656595068732822929,1,5
12,1656595068853129290,1656595068949470095,Timing,PlanningComponent::Proc,96340805,1656595068847306130,1656595068828648779,1656595068832757601,1656595068787470263,0,102163965,120821316,116712494,161999832,1656595068949470095,1,4
13,1656595068958382034,1656595069075147390,Timing,PlanningComponent::Proc,116765356,1656595068913817578,1656595068933559282,1656595068913954059,1656595068990796025,0,161329812,141588108,161193331,84351365,1656595069075147390,1,4
14,1656595069080472199,1656595069174364417,Timing,PlanningComponent::Proc,93892218,1656595068995639574,1656595069024666863,1656595069000903357,1656595068990796025,0,178724843,149697554,173461060,183568392,1656595069174364417,1,4
15,1656595069174930923,1656595069307907054,Timing,PlanningComponent::Proc,132976131,1656595069057090904,1656595069093896229,1656595069079907290,1656595069233467952,0,250816150,214010825,227999764,74439102,1656595069307907054,1,5
16,1656595069308531407,1656595069407907064,Timing,PlanningComponent::Proc,99375657,1656595069248114776,1656595069249115281,1656595069201715682,1656595069233467952,0,159792288,158791783,206191382,174439112,1656595069407907064,1,5
17,1656595069414207729,1656595069513453779,Timing,PlanningComponent::Proc,99246050,1656595069291698508,1656595069307382356,1656595069280417706,1656595069408100731,0,221755271,206071423,233036073,105353048,1656595069513453779,1,4
18,1656595069515643648,1656595069631776521,Timing,PlanningComponent::Proc,116132873,1656595069414760357,1656595069492052264,1656595069485177184,1656595069543381104,0,217016164,139724257,146599337,88395417,1656595069631776521,1,4
19,1656595069632395197,1656595069736167802,Timing,PlanningComponent::Proc,103772605,1656595069559350496,1656595069590182933,1656595069575350954,1656595069677765216,0,176817306,145984869,160816848,58402586,1656595069736167802,1,4
20,1656595069741421187,1656595069852892953,Timing,PlanningComponent::Proc,111471766,1656595069614213328,1656595069653207840,1656595069575350954,1656595069677765216,0,238679625,199685113,277541999,175127737,1656595069852892953,1,4
21,1656595069858197307,1656595069963135635,Timing,PlanningComponent::Proc,104938328,1656595069682861565,1656595069772979327,1656595069766206176,1656595069913813767,0,280274070,190156308,196929459,49321868,1656595069963135635,1,4
22,1656595069968890257,1656595070080442610,Timing,PlanningComponent::Proc,111552353,1656595069824917934,1656595069884590560,1656595069868902677,1656595069913813767,0,255524676,195852050,211539933,166628843,1656595070080442610,1,4
23,1656595070080951045,1656595070210242355,Timing,PlanningComponent::Proc,129291310,1656595069960215475,1656595069977540573,1656595069972524430,1656595070120982685,0,250026880,232701782,237717925,89259670,1656595070210242355,1,4
24,1656595070215541769,1656595070334000516,Timing,PlanningComponent::Proc,118458747,1656595070010001477,1656595070101173821,1656595070098597174,1656595070120982685,0,323999039,232826695,235403342,213017831,1656595070334000516,1,4
25,1656595071267542235,1656595071355822614,Timing,PlanningComponent::Proc,88280379,1656595070169153388,1656595070225420023,1656595070164629633,1656595071248792990,0,1186669226,1130402591,1191192981,107029624,1656595071355822614,1,5
26,1656595072312700482,1656595072389993273,Timing,PlanningComponent::Proc,77292791,1656595071157560471,1656595071225540171,1656595071170514696,1656595072255222504,0,1232432802,1164453102,1219478577,134770769,1656595072389993273,1,8
27,1656595072390550029,1656595072485264557,Timing,PlanningComponent::Proc,94714528,1656595072157287589,1656595072177383414,1656595072112540634,1656595072432848143,0,327976968,307881143,372723923,52416414,1656595072485264557,1,5
28,1656595072487128289,1656595072566421910,Timing,PlanningComponent::Proc,79293621,1656595072380411575,1656595072411364730,1656595072396914309,1656595072432848143,0,186010335,155057180,169507601,133573767,1656595072566421910,1,4
29,1656595072567248572,1656595072651503034,Timing,PlanningComponent::Proc,84254462,1656595072432842506,1656595072457693992,1656595072396914309,1656595072605263729,0,218660528,193809042,254588725,46239305,1656595072651503034,1,5
30,1656595072652127938,1656595072731938035,Timing,PlanningComponent::Proc,79810097,1656595072544089938,1656595072552898408,1656595072495542854,1656595072605263729,0,187848097,179039627,236395181,126674306,1656595072731938035,1,5
31,1656595072732460363,1656595072814621199,Timing,PlanningComponent::Proc,82160836,1656595072620296595,1656595072660552098,1656595072648059784,1656595072751640596,0,194324604,154069101,166561415,62980603,1656595072814621199,1,4
32,1656595072850389301,1656595072932099658,Timing,PlanningComponent::Proc,81710357,1656595072751624117,1656595072811186699,1656595072763525149,1656595072751640596,0,180475541,120912959,168574509,180459062,1656595072932099658,1,5
33,1656595072938425803,1656595073061344881,Timing,PlanningComponent::Proc,122919078,1656595072751624117,1656595072835697470,1656595072828935056,1656595072952710032,0,309720764,225647411,232409825,108634849,1656595073061344881,1,4
34,1656595073070764200,1656595073160127626,Timing,PlanningComponent::Proc,89363426,1656595072898326166,1656595072931681005,1656595072910890282,1656595072952710032,0,261801460,228446621,249237344,207417594,1656595073160127626,1,5
35,1656595073160662090,1656595073271064264,Timing,PlanningComponent::Proc,110402174,1656595073073564719,1656595073096599403,1656595073031503891,1656595073169936426,0,197499545,174464861,239560373,101127838,1656595073271064264,1,4
36,1656595073276903462,1656595073443898907,Timing,PlanningComponent::Proc,166995445,1656595073073564719,1656595073185416679,1656595073132712861,1656595073365013010,0,370334188,258482228,311186046,78885897,1656595073443898907,1,4
37,1656595073452959438,1656595073558571811,Timing,PlanningComponent::Proc,105612373,1656595073278281186,1656595073358604350,1656595073333826436,1656595073365013010,0,280290625,199967461,224745375,193558801,1656595073558571811,1,4
38,1656595073559216219,1656595073700135910,Timing,PlanningComponent::Proc,140919691,1656595073470456085,1656595073440176727,1656595073415863375,1656595073540272738,0,229679825,259959183,284272535,159863172,1656595073700135910,1,4
39,1656595073700948016,1656595073814009657,Timing,PlanningComponent::Proc,113061641,1656595073548938671,1656595073639233224,1656595073609461812,1656595073673770757,0,265070986,174776433,204547845,140238900,1656595073814009657,1,4
40,1656595073821837886,1656595073935640897,Timing,PlanningComponent::Proc,113803011,1656595073726348503,1656595073731073752,1656595073688633675,1656595073818190048,0,209292394,204567145,247007222,117450849,1656595073935640897,1,4
41,1656595073938433566,1656595074097231592,Timing,PlanningComponent::Proc,158798026,1656595073876179962,1656595073902714543,1656595073896254370,1656595073962018768,0,221051630,194517049,200977222,135212824,1656595074097231592,1,4
42,1656595074097701656,1656595074289953088,Timing,PlanningComponent::Proc,192251432,1656595073967935502,1656595073998352008,1656595073968734374,1656595074114307496,0,322017586,291601080,321218714,175645592,1656595074289953088,1,4
43,1656595074290561402,1656595074436366473,Timing,PlanningComponent::Proc,145805071,1656595074187298695,1656595074212142271,1656595074203072457,1656595074262252045,0,249067778,224224202,233294016,174114428,1656595074436366473,1,3
44,1656595074437077567,1656595074529363157,Timing,PlanningComponent::Proc,92285590,1656595074342528294,1656595074347197591,1656595074276256194,1656595074413588467,0,186834863,182165566,253106963,115774690,1656595074529363157,1,1
45,1656595074530000967,1656595074630901718,Timing,PlanningComponent::Proc,100900751,1656595074425507328,1656595074489460343,1656595074484112516,1656595074549912794,0,205394390,141441375,146789202,80988924,1656595074630901718,1,5
46,1656595074632289108,1656595074733940942,Timing,PlanningComponent::Proc,101651834,1656595074549741084,1656595074557604714,1656595074484112516,1656595074549912794,0,184199858,176336228,249828426,184028148,1656595074733940942,1,4
47,1656595074734782928,1656595074838771827,Timing,PlanningComponent::Proc,103988899,1656595074635842676,1656595074638483450,1656595074615514901,1656595074746731292,0,202929151,200288377,223256926,92040535,1656595074838771827,1,4
48,1656595074845188626,1656595074935253024,Timing,PlanningComponent::Proc,90064398,1656595074668682965,1656595074728464440,1656595074700024669,1656595074746731292,0,266570059,206788584,235228355,188521732,1656595074935253024,1,5
49,1656595074935956130,1656595075031999699,Timing,PlanningComponent::Proc,96043569,1656595074869902939,1656595074906991468,1656595074826302379,1656595074978259522,0,162096760,125008231,205697320,53740177,1656595075031999699,1,5
50,1656595075032736919,1656595075109975240,Timing,PlanningComponent::Proc,77238321,1656595074978446959,1656595074980573463,1656595074944256451,1656595074978259522,0,131528281,129401777,165718789,131715718,1656595075109975240,1,4
51,1656595075122382280,1656595075193685626,Timing,PlanningComponent::Proc,71303346,1656595075027484943,1656595075085496953,1656595075025492207,1656595075113670152,0,166200683,108188673,168193419,80015474,1656595075193685626,1,4
52,1656595075250449999,1656595075318755806,Timing,PlanningComponent::Proc,68305807,1656595075184948867,1656595075211519483,1656595075140272949,1656595075242630808,0,133806939,107236323,178482857,76124998,1656595075318755806,1,5
53,1656595075351722219,1656595075425158952,Timing,PlanningComponent::Proc,73436733,1656595075242622689,1656595075324676660,1656595075251630027,1656595075410022319,0,182536263,100482292,173528925,15136633,1656595075425158952,1,3
54,1656595075484044249,1656595075569819569,Timing,PlanningComponent::Proc,85775320,1656595075414366405,1656595075446684524,1656595075381836554,1656595075537272379,0,155453164,123135045,187983015,32547190,1656595075569819569,1,4
55,1656595075575543417,1656595075624862066,Timing,PlanningComponent::Proc,49318649,1656595075474353506,1656595075509969954,1656595075493937670,1656595075537272379,0,150508560,114892112,130924396,87589687,1656595075624862066,1,4
56,1656595075663658577,1656595075761126783,Timing,PlanningComponent::Proc,97468206,1656595075598582314,1656595075634124340,1656595075623801094,1656595075726950634,0,162544469,127002443,137325689,34176149,1656595075761126783,1,4
57,1656595075802616734,1656595075877310340,Timing,PlanningComponent::Proc,74693606,1656595075726833500,1656595075760681437,1656595075750353574,1656595075726950634,0,150476840,116628903,126956766,150359706,1656595075877310340,1,5
