ts_start,ts_end,type,component,execution_time,ts_cam,ts_lidar,ts_radar,ts_TL,ts_lane,lat_cam,lat_lidar,lat_radar,lat_TL,lat_lane,is_finish,info
1656594993833802475,1656594993833839028,Timing,RTKLocalizationComponent::Proc,36553,0,0,0,0,0,1656594993833839028,1656594993833839028,1656594993833839028,1656594993833839028,1656594993833839028,0,0
1656594993913590895,1656594993913767052,Timing,RTKLocalizationComponent::Proc,176157,0,0,0,0,0,1656594993913767052,1656594993913767052,1656594993913767052,1656594993913767052,1656594993913767052,1,0
1656594993995254116,1656594993995328872,Timing,RTKLocalizationComponent::Proc,74756,0,0,0,0,0,1656594993995328872,1656594993995328872,1656594993995328872,1656594993995328872,1656594993995328872,1,0
1656594994073478863,1656594994073592875,Timing,RTKLocalizationComponent::Proc,114012,0,0,0,0,0,1656594994073592875,1656594994073592875,1656594994073592875,1656594994073592875,1656594994073592875,1,0
1656594994153676999,1656594994153744318,Timing,RTKLocalizationComponent::Proc,67319,0,0,0,0,0,1656594994153744318,1656594994153744318,1656594994153744318,1656594994153744318,1656594994153744318,1,0
1656594994233435697,1656594994233510825,Timing,RTKLocalizationComponent::Proc,75128,0,0,0,0,0,1656594994233510825,1656594994233510825,1656594994233510825,1656594994233510825,1656594994233510825,1,0
1656594994313420580,1656594994313553134,Timing,RTKLocalizationComponent::Proc,132554,0,0,0,0,0,1656594994313553134,1656594994313553134,1656594994313553134,1656594994313553134,1656594994313553134,1,0
1656594994393528502,1656594994393638125,Timing,RTKLocalizationComponent::Proc,109623,0,0,0,0,0,1656594994393638125,1656594994393638125,1656594994393638125,1656594994393638125,1656594994393638125,1,0
1656594994473659641,1656594994473745056,Timing,RTKLocalizationComponent::Proc,85415,0,0,0,0,0,1656594994473745056,1656594994473745056,1656594994473745056,1656594994473745056,1656594994473745056,1,0
1656594994557707023,1656594994557790595,Timing,RTKLocalizationComponent::Proc,83572,0,0,0,0,0,1656594994557790595,1656594994557790595,1656594994557790595,1656594994557790595,1656594994557790595,1,0
1656594994633437642,1656594994633512341,Timing,RTKLocalizationComponent::Proc,74699,0,0,0,0,0,1656594994633512341,1656594994633512341,1656594994633512341,1656594994633512341,1656594994633512341,1,0
1656594994713717701,1656594994713790460,Timing,RTKLocalizationComponent::Proc,72759,0,0,0,0,0,1656594994713790460,1656594994713790460,1656594994713790460,1656594994713790460,1656594994713790460,1,0
1656594994793555268,1656594994793613956,Timing,RTKLocalizationComponent::Proc,58688,0,0,0,0,0,1656594994793613956,1656594994793613956,1656594994793613956,1656594994793613956,1656594994793613956,1,0
1656594994873453999,1656594994873540490,Timing,RTKLocalizationComponent::Proc,86491,0,0,0,0,0,1656594994873540490,1656594994873540490,1656594994873540490,1656594994873540490,1656594994873540490,1,0
1656594994953433135,1656594994953512350,Timing,RTKLocalizationComponent::Proc,79215,0,0,0,0,0,1656594994953512350,1656594994953512350,1656594994953512350,1656594994953512350,1656594994953512350,1,0
1656594995035093034,1656594995035173196,Timing,RTKLocalizationComponent::Proc,80162,0,0,0,0,0,1656594995035173196,1656594995035173196,1656594995035173196,1656594995035173196,1656594995035173196,1,0
1656594995113566246,1656594995113672898,Timing,RTKLocalizationComponent::Proc,106652,0,0,0,0,0,1656594995113672898,1656594995113672898,1656594995113672898,1656594995113672898,1656594995113672898,1,0
1656594995193503601,1656594995193613007,Timing,RTKLocalizationComponent::Proc,109406,0,0,0,0,0,1656594995193613007,1656594995193613007,1656594995193613007,1656594995193613007,1656594995193613007,1,0
1656594995273516022,1656594995273595836,Timing,RTKLocalizationComponent::Proc,79814,0,0,0,0,0,1656594995273595836,1656594995273595836,1656594995273595836,1656594995273595836,1656594995273595836,1,0
1656594995353443861,1656594995353513328,Timing,RTKLocalizationComponent::Proc,69467,0,0,0,0,0,1656594995353513328,1656594995353513328,1656594995353513328,1656594995353513328,1656594995353513328,1,0
1656594995433495858,1656594995433555408,Timing,RTKLocalizationComponent::Proc,59550,0,0,0,0,0,1656594995433555408,1656594995433555408,1656594995433555408,1656594995433555408,1656594995433555408,1,0
1656594995513383572,1656594995513451825,Timing,RTKLocalizationComponent::Proc,68253,0,0,0,0,0,1656594995513451825,1656594995513451825,1656594995513451825,1656594995513451825,1656594995513451825,1,0
1656594995593639958,1656594995593717602,Timing,RTKLocalizationComponent::Proc,77644,0,0,0,0,0,1656594995593717602,1656594995593717602,1656594995593717602,1656594995593717602,1656594995593717602,1,0
1656594995673462804,1656594995673521646,Timing,RTKLocalizationComponent::Proc,58842,0,0,0,0,0,1656594995673521646,1656594995673521646,1656594995673521646,1656594995673521646,1656594995673521646,1,0
1656594995753477281,1656594995753565308,Timing,RTKLocalizationComponent::Proc,88027,0,0,0,0,0,1656594995753565308,1656594995753565308,1656594995753565308,1656594995753565308,1656594995753565308,1,0
1656594995833499289,1656594995833570779,Timing,RTKLocalizationComponent::Proc,71490,0,0,0,0,0,1656594995833570779,1656594995833570779,1656594995833570779,1656594995833570779,1656594995833570779,1,0
1656594995913541002,1656594995913643258,Timing,RTKLocalizationComponent::Proc,102256,0,0,0,0,0,1656594995913643258,1656594995913643258,1656594995913643258,1656594995913643258,1656594995913643258,1,0
1656594995993381443,1656594995993625974,Timing,RTKLocalizationComponent::Proc,244531,0,0,0,0,0,1656594995993625974,1656594995993625974,1656594995993625974,1656594995993625974,1656594995993625974,1,0
1656594996073502877,1656594996073610644,Timing,RTKLocalizationComponent::Proc,107767,0,0,0,0,0,1656594996073610644,1656594996073610644,1656594996073610644,1656594996073610644,1656594996073610644,1,0
1656594996153505503,1656594996153587333,Timing,RTKLocalizationComponent::Proc,81830,0,0,0,0,0,1656594996153587333,1656594996153587333,1656594996153587333,1656594996153587333,1656594996153587333,1,0
1656594996233968669,1656594996234436327,Timing,RTKLocalizationComponent::Proc,467658,0,0,0,0,0,1656594996234436327,1656594996234436327,1656594996234436327,1656594996234436327,1656594996234436327,1,0
1656594996313489753,1656594996313604352,Timing,RTKLocalizationComponent::Proc,114599,0,0,0,0,0,1656594996313604352,1656594996313604352,1656594996313604352,1656594996313604352,1656594996313604352,1,0
1656594996393417398,1656594996393495541,Timing,RTKLocalizationComponent::Proc,78143,0,0,0,0,0,1656594996393495541,1656594996393495541,1656594996393495541,1656594996393495541,1656594996393495541,1,0
1656594996473465926,1656594996473556848,Timing,RTKLocalizationComponent::Proc,90922,0,0,0,0,0,1656594996473556848,1656594996473556848,1656594996473556848,1656594996473556848,1656594996473556848,1,0
1656594996553607302,1656594996553772336,Timing,RTKLocalizationComponent::Proc,165034,0,0,0,0,0,1656594996553772336,1656594996553772336,1656594996553772336,1656594996553772336,1656594996553772336,1,0
1656594996637294726,1656594996637384646,Timing,RTKLocalizationComponent::Proc,89920,0,0,0,0,0,1656594996637384646,1656594996637384646,1656594996637384646,1656594996637384646,1656594996637384646,1,0
1656594996715229453,1656594996715355323,Timing,RTKLocalizationComponent::Proc,125870,0,0,0,0,0,1656594996715355323,1656594996715355323,1656594996715355323,1656594996715355323,1656594996715355323,1,0
1656594996795054897,1656594996795157696,Timing,RTKLocalizationComponent::Proc,102799,0,0,0,0,0,1656594996795157696,1656594996795157696,1656594996795157696,1656594996795157696,1656594996795157696,1,0
1656594996875071381,1656594996875161710,Timing,RTKLocalizationComponent::Proc,90329,0,0,0,0,0,1656594996875161710,1656594996875161710,1656594996875161710,1656594996875161710,1656594996875161710,1,0
1656594996963032376,1656594996963121140,Timing,RTKLocalizationComponent::Proc,88764,0,0,0,0,0,1656594996963121140,1656594996963121140,1656594996963121140,1656594996963121140,1656594996963121140,1,0
1656594997042445081,1656594997042600890,Timing,RTKLocalizationComponent::Proc,155809,0,0,0,0,0,1656594997042600890,1656594997042600890,1656594997042600890,1656594997042600890,1656594997042600890,1,0
1656594997127192789,1656594997127311331,Timing,RTKLocalizationComponent::Proc,118542,0,0,0,0,0,1656594997127311331,1656594997127311331,1656594997127311331,1656594997127311331,1656594997127311331,1,0
1656594997202434113,1656594997202520421,Timing,RTKLocalizationComponent::Proc,86308,0,0,0,0,0,1656594997202520421,1656594997202520421,1656594997202520421,1656594997202520421,1656594997202520421,1,0
1656594997282384308,1656594997282481460,Timing,RTKLocalizationComponent::Proc,97152,0,0,0,0,0,1656594997282481460,1656594997282481460,1656594997282481460,1656594997282481460,1656594997282481460,1,0
1656594997363188050,1656594997363278324,Timing,RTKLocalizationComponent::Proc,90274,0,0,0,0,0,1656594997363278324,1656594997363278324,1656594997363278324,1656594997363278324,1656594997363278324,1,0
1656594997442434793,1656594997442519364,Timing,RTKLocalizationComponent::Proc,84571,0,0,0,0,0,1656594997442519364,1656594997442519364,1656594997442519364,1656594997442519364,1656594997442519364,1,0
1656594997522508051,1656594997522619169,Timing,RTKLocalizationComponent::Proc,111118,0,0,0,0,0,1656594997522619169,1656594997522619169,1656594997522619169,1656594997522619169,1656594997522619169,1,0
1656594997602614865,1656594997602705577,Timing,RTKLocalizationComponent::Proc,90712,0,0,0,0,0,1656594997602705577,1656594997602705577,1656594997602705577,1656594997602705577,1656594997602705577,1,0
1656594997682406604,1656594997682489620,Timing,RTKLocalizationComponent::Proc,83016,0,0,0,0,0,1656594997682489620,1656594997682489620,1656594997682489620,1656594997682489620,1656594997682489620,1,0
1656594997762470233,1656594997762546164,Timing,RTKLocalizationComponent::Proc,75931,0,0,0,0,0,1656594997762546164,1656594997762546164,1656594997762546164,1656594997762546164,1656594997762546164,1,0
1656594997842503306,1656594997842595253,Timing,RTKLocalizationComponent::Proc,91947,0,0,0,0,0,1656594997842595253,1656594997842595253,1656594997842595253,1656594997842595253,1656594997842595253,1,0
1656594997922438277,1656594997922538843,Timing,RTKLocalizationComponent::Proc,100566,0,0,0,0,0,1656594997922538843,1656594997922538843,1656594997922538843,1656594997922538843,1656594997922538843,1,0
1656594998002502824,1656594998002587173,Timing,RTKLocalizationComponent::Proc,84349,0,0,0,0,0,1656594998002587173,1656594998002587173,1656594998002587173,1656594998002587173,1656594998002587173,1,0
1656594998082431747,1656594998082541067,Timing,RTKLocalizationComponent::Proc,109320,0,0,0,0,0,1656594998082541067,1656594998082541067,1656594998082541067,1656594998082541067,1656594998082541067,1,0
1656594998175764273,1656594998175859658,Timing,RTKLocalizationComponent::Proc,95385,0,0,0,0,0,1656594998175859658,1656594998175859658,1656594998175859658,1656594998175859658,1656594998175859658,1,0
1656594998242833710,1656594998243060544,Timing,RTKLocalizationComponent::Proc,226834,0,0,0,0,0,1656594998243060544,1656594998243060544,1656594998243060544,1656594998243060544,1656594998243060544,1,0
1656594998322859035,1656594998322965010,Timing,RTKLocalizationComponent::Proc,105975,0,0,0,0,0,1656594998322965010,1656594998322965010,1656594998322965010,1656594998322965010,1656594998322965010,1,0
1656594998402420975,1656594998402501190,Timing,RTKLocalizationComponent::Proc,80215,0,0,0,0,0,1656594998402501190,1656594998402501190,1656594998402501190,1656594998402501190,1656594998402501190,1,0
1656594998487228499,1656594998487314086,Timing,RTKLocalizationComponent::Proc,85587,0,0,0,0,0,1656594998487314086,1656594998487314086,1656594998487314086,1656594998487314086,1656594998487314086,1,0
1656594998563127135,1656594998563226181,Timing,RTKLocalizationComponent::Proc,99046,0,0,0,0,0,1656594998563226181,1656594998563226181,1656594998563226181,1656594998563226181,1656594998563226181,1,0
1656594998642509148,1656594998642608838,Timing,RTKLocalizationComponent::Proc,99690,0,0,0,0,0,1656594998642608838,1656594998642608838,1656594998642608838,1656594998642608838,1656594998642608838,1,0
1656594998722635668,1656594998722932343,Timing,RTKLocalizationComponent::Proc,296675,0,0,0,0,0,1656594998722932343,1656594998722932343,1656594998722932343,1656594998722932343,1656594998722932343,1,0
1656594998802732401,1656594998802861356,Timing,RTKLocalizationComponent::Proc,128955,0,0,0,0,0,1656594998802861356,1656594998802861356,1656594998802861356,1656594998802861356,1656594998802861356,1,0
1656594998882492067,1656594998882586138,Timing,RTKLocalizationComponent::Proc,94071,0,0,0,0,0,1656594998882586138,1656594998882586138,1656594998882586138,1656594998882586138,1656594998882586138,1,0
1656594998962495598,1656594998962581170,Timing,RTKLocalizationComponent::Proc,85572,0,0,0,0,0,1656594998962581170,1656594998962581170,1656594998962581170,1656594998962581170,1656594998962581170,1,0
1656594999042808650,1656594999042927589,Timing,RTKLocalizationComponent::Proc,118939,0,0,0,0,0,1656594999042927589,1656594999042927589,1656594999042927589,1656594999042927589,1656594999042927589,1,0
1656594999122809281,1656594999122953950,Timing,RTKLocalizationComponent::Proc,144669,0,0,0,0,0,1656594999122953950,1656594999122953950,1656594999122953950,1656594999122953950,1656594999122953950,1,0
