ts_start,ts_end,type,component,execution_time,ts_cam,ts_lidar,ts_radar,ts_TL,ts_lane,lat_cam,lat_lidar,lat_radar,lat_TL,lat_lane,is_finish,info
1656594993928516118,1656594993940976261,Timing,TrafficLightsPerceptionComponent::OnReceiveImage,12460143,0,0,0,0,0,1656594993940976261,1656594993940976261,1656594993940976261,1656594993940976261,1656594993940976261,0,0
1656594993956321676,1656594993968777229,Timing,TrafficLightsPerceptionComponent::OnReceiveImage,12455553,0,0,0,0,0,1656594993968777229,1656594993968777229,1656594993968777229,1656594993968777229,1656594993968777229,0,0
1656594993995554620,1656594994007997049,Timing,TrafficLightsPerceptionComponent::OnReceiveImage,12442429,0,0,0,0,0,1656594994007997049,1656594994007997049,1656594994007997049,1656594994007997049,1656594994007997049,0,0
1656594994002151663,1656594994020440502,Timing,TrafficLightsPerceptionComponent::OnReceiveImage,18288839,0,0,0,0,0,1656594994020440502,1656594994020440502,1656594994020440502,1656594994020440502,1656594994020440502,0,0
1656594994056109296,1656594994056501699,Timing,TrafficLightsPerceptionComponent::OnReceiveImage,392403,0,0,0,0,0,1656594994056501699,1656594994056501699,1656594994056501699,1656594994056501699,1656594994056501699,0,0
1656594994058265905,1656594994076511407,Timing,TrafficLightsPerceptionComponent::OnReceiveImage,18245502,0,0,0,0,0,1656594994076511407,1656594994076511407,1656594994076511407,1656594994076511407,1656594994076511407,1,4
1656594994108557764,1656594994108603208,Timing,TrafficLightsPerceptionComponent::OnReceiveImage,45444,0,0,0,0,0,1656594994108603208,1656594994108603208,1656594994108603208,1656594994108603208,1656594994108603208,0,0
1656594994110488903,1656594994110521518,Timing,TrafficLightsPerceptionComponent::OnReceiveImage,32615,0,0,0,0,0,1656594994110521518,1656594994110521518,1656594994110521518,1656594994110521518,1656594994110521518,0,0
1656594994163972450,1656594994164097014,Timing,TrafficLightsPerceptionComponent::OnReceiveImage,124564,0,0,0,0,0,1656594994164097014,1656594994164097014,1656594994164097014,1656594994164097014,1656594994164097014,0,0
1656594994168872164,1656594994168928324,Timing,TrafficLightsPerceptionComponent::OnReceiveImage,56160,0,0,0,0,0,1656594994168928324,1656594994168928324,1656594994168928324,1656594994168928324,1656594994168928324,0,0
1656594994240232395,1656594994258255065,Timing,TrafficLightsPerceptionComponent::OnReceiveImage,18022670,0,0,0,0,0,1656594994258255065,1656594994258255065,1656594994258255065,1656594994258255065,1656594994258255065,1,4
1656594994245960197,1656594994258392438,Timing,TrafficLightsPerceptionComponent::OnReceiveImage,12432241,0,0,0,0,0,1656594994258392438,1656594994258392438,1656594994258392438,1656594994258392438,1656594994258392438,0,0
1656594994311144391,1656594994311178249,Timing,TrafficLightsPerceptionComponent::OnReceiveImage,33858,0,0,0,0,0,1656594994311178249,1656594994311178249,1656594994311178249,1656594994311178249,1656594994311178249,0,0
1656594994314846116,1656594994314883869,Timing,TrafficLightsPerceptionComponent::OnReceiveImage,37753,0,0,0,0,0,1656594994314883869,1656594994314883869,1656594994314883869,1656594994314883869,1656594994314883869,0,0
1656594994366543330,1656594994366907224,Timing,TrafficLightsPerceptionComponent::OnReceiveImage,363894,0,0,0,0,0,1656594994366907224,1656594994366907224,1656594994366907224,1656594994366907224,1656594994366907224,0,0
1656594994371638113,1656594994409211735,Timing,TrafficLightsPerceptionComponent::OnReceiveImage,37573622,0,0,0,0,0,1656594994409211735,1656594994409211735,1656594994409211735,1656594994409211735,1656594994409211735,1,4
1656594994428347620,1656594994428402791,Timing,TrafficLightsPerceptionComponent::OnReceiveImage,55171,0,0,0,0,0,1656594994428402791,1656594994428402791,1656594994428402791,1656594994428402791,1656594994428402791,0,0
1656594994430502557,1656594994430539458,Timing,TrafficLightsPerceptionComponent::OnReceiveImage,36901,0,0,0,0,0,1656594994430539458,1656594994430539458,1656594994430539458,1656594994430539458,1656594994430539458,0,0
1656594994506662038,1656594994542202513,Timing,TrafficLightsPerceptionComponent::OnReceiveImage,35540475,0,0,0,0,0,1656594994542202513,1656594994542202513,1656594994542202513,1656594994542202513,1656594994542202513,1,4
1656594994508755829,1656594994542353637,Timing,TrafficLightsPerceptionComponent::OnReceiveImage,33597808,0,0,0,0,0,1656594994542353637,1656594994542353637,1656594994542353637,1656594994542353637,1656594994542353637,0,0
1656594994573583228,1656594994573631415,Timing,TrafficLightsPerceptionComponent::OnReceiveImage,48187,0,0,0,0,0,1656594994573631415,1656594994573631415,1656594994573631415,1656594994573631415,1656594994573631415,0,0
1656594994577831149,1656594994577866208,Timing,TrafficLightsPerceptionComponent::OnReceiveImage,35059,0,0,0,0,0,1656594994577866208,1656594994577866208,1656594994577866208,1656594994577866208,1656594994577866208,0,0
