ts_start,ts_end,type,component,execution_time,ts_cam,ts_lidar,ts_radar,ts_TL,ts_lane,lat_cam,lat_lidar,lat_radar,lat_TL,lat_lane,is_finish,info
1656595308249045095,1656595308261590289,Timing,LaneDetectionComponent::OnReceiveImage,12545194,0,0,0,0,0,1656595308261590289,1656595308261590289,1656595308261590289,1656595308261590289,1656595308261590289,0,0
1656595308281956655,1656595308339067040,Timing,LaneDetectionComponent::OnReceiveImage,57110385,0,0,0,0,0,1656595308339067040,1656595308339067040,1656595308339067040,1656595308339067040,1656595308339067040,1,0
1656595308334157543,1656595308354479241,Timing,LaneDetectionComponent::OnReceiveImage,20321698,0,0,0,0,0,1656595308354479241,1656595308354479241,1656595308354479241,1656595308354479241,1656595308354479241,1,0
1656595308339098904,1656595308383559248,Timing,LaneDetectionComponent::OnReceiveImage,44460344,0,0,0,0,0,1656595308383559248,1656595308383559248,1656595308383559248,1656595308383559248,1656595308383559248,1,0
1656595308354554343,1656595308398092547,Timing,LaneDetectionComponent::OnReceiveImage,43538204,0,0,0,0,0,1656595308398092547,1656595308398092547,1656595308398092547,1656595308398092547,1656595308398092547,1,0
1656595308383591726,1656595308423540243,Timing,LaneDetectionComponent::OnReceiveImage,39948517,0,0,0,0,0,1656595308423540243,1656595308423540243,1656595308423540243,1656595308423540243,1656595308423540243,1,0
1656595308401216139,1656595308424319038,Timing,LaneDetectionComponent::OnReceiveImage,23102899,0,0,0,0,0,1656595308424319038,1656595308424319038,1656595308424319038,1656595308424319038,1656595308424319038,1,0
1656595308423565664,1656595308437294526,Timing,LaneDetectionComponent::OnReceiveImage,13728862,0,0,0,0,0,1656595308437294526,1656595308437294526,1656595308437294526,1656595308437294526,1656595308437294526,1,0
1656595308480969465,1656595308482384889,Timing,LaneDetectionComponent::OnReceiveImage,1415424,0,0,0,0,0,1656595308482384889,1656595308482384889,1656595308482384889,1656595308482384889,1656595308482384889,1,0
1656595308485464712,1656595308504479981,Timing,LaneDetectionComponent::OnReceiveImage,19015269,0,0,0,0,0,1656595308504479981,1656595308504479981,1656595308504479981,1656595308504479981,1656595308504479981,1,0
1656595308555918471,1656595308578297235,Timing,LaneDetectionComponent::OnReceiveImage,22378764,0,0,0,0,0,1656595308578297235,1656595308578297235,1656595308578297235,1656595308578297235,1656595308578297235,1,0
1656595308561966630,1656595308579051454,Timing,LaneDetectionComponent::OnReceiveImage,17084824,0,0,0,0,0,1656595308579051454,1656595308579051454,1656595308579051454,1656595308579051454,1656595308579051454,1,0
1656595308625446211,1656595308649312828,Timing,LaneDetectionComponent::OnReceiveImage,23866617,0,0,0,0,0,1656595308649312828,1656595308649312828,1656595308649312828,1656595308649312828,1656595308649312828,1,0
1656595308628529099,1656595308650104346,Timing,LaneDetectionComponent::OnReceiveImage,21575247,0,0,0,0,0,1656595308650104346,1656595308650104346,1656595308650104346,1656595308650104346,1656595308650104346,1,0
1656595308694627366,1656595308696741457,Timing,LaneDetectionComponent::OnReceiveImage,2114091,0,0,0,0,0,1656595308696741457,1656595308696741457,1656595308696741457,1656595308696741457,1656595308696741457,1,0
1656595308702026194,1656595308723332150,Timing,LaneDetectionComponent::OnReceiveImage,21305956,0,0,0,0,0,1656595308723332150,1656595308723332150,1656595308723332150,1656595308723332150,1656595308723332150,1,0
1656595308779460715,1656595308801996514,Timing,LaneDetectionComponent::OnReceiveImage,22535799,0,0,0,0,0,1656595308801996514,1656595308801996514,1656595308801996514,1656595308801996514,1656595308801996514,1,0
1656595308781971491,1656595308802850465,Timing,LaneDetectionComponent::OnReceiveImage,20878974,0,0,0,0,0,1656595308802850465,1656595308802850465,1656595308802850465,1656595308802850465,1656595308802850465,1,0
1656595308846007704,1656595308865335402,Timing,LaneDetectionComponent::OnReceiveImage,19327698,0,0,0,0,0,1656595308865335402,1656595308865335402,1656595308865335402,1656595308865335402,1656595308865335402,1,0
1656595308849307167,1656595308866095345,Timing,LaneDetectionComponent::OnReceiveImage,16788178,0,0,0,0,0,1656595308866095345,1656595308866095345,1656595308866095345,1656595308866095345,1656595308866095345,1,0
1656595308884707682,1656595308898294496,Timing,LaneDetectionComponent::OnReceiveImage,13586814,0,0,0,0,0,1656595308898294496,1656595308898294496,1656595308898294496,1656595308898294496,1656595308898294496,1,0
1656595308892702399,1656595308899058058,Timing,LaneDetectionComponent::OnReceiveImage,6355659,0,0,0,0,0,1656595308899058058,1656595308899058058,1656595308899058058,1656595308899058058,1656595308899058058,1,0
1656595308934227199,1656595308954233684,Timing,LaneDetectionComponent::OnReceiveImage,20006485,0,0,0,0,0,1656595308954233684,1656595308954233684,1656595308954233684,1656595308954233684,1656595308954233684,1,0
1656595308936390916,1656595308954972086,Timing,LaneDetectionComponent::OnReceiveImage,18581170,0,0,0,0,0,1656595308954972086,1656595308954972086,1656595308954972086,1656595308954972086,1656595308954972086,1,0
1656595309044699868,1656595309046568790,Timing,LaneDetectionComponent::OnReceiveImage,1868922,0,0,0,0,0,1656595309046568790,1656595309046568790,1656595309046568790,1656595309046568790,1656595309046568790,1,0
1656595309068737736,1656595309090763744,Timing,LaneDetectionComponent::OnReceiveImage,22026008,0,0,0,0,0,1656595309090763744,1656595309090763744,1656595309090763744,1656595309090763744,1656595309090763744,1,0
1656595309094315677,1656595309110761604,Timing,LaneDetectionComponent::OnReceiveImage,16445927,0,0,0,0,0,1656595309110761604,1656595309110761604,1656595309110761604,1656595309110761604,1656595309110761604,1,0
1656595309096960035,1656595309112005330,Timing,LaneDetectionComponent::OnReceiveImage,15045295,0,0,0,0,0,1656595309112005330,1656595309112005330,1656595309112005330,1656595309112005330,1656595309112005330,1,0
1656595309123928501,1656595309124912651,Timing,LaneDetectionComponent::OnReceiveImage,984150,0,0,0,0,0,1656595309124912651,1656595309124912651,1656595309124912651,1656595309124912651,1656595309124912651,1,0
1656595309126997558,1656595309148445050,Timing,LaneDetectionComponent::OnReceiveImage,21447492,0,0,0,0,0,1656595309148445050,1656595309148445050,1656595309148445050,1656595309148445050,1656595309148445050,1,0
1656595309231053376,1656595309232625798,Timing,LaneDetectionComponent::OnReceiveImage,1572422,0,0,0,0,0,1656595309232625798,1656595309232625798,1656595309232625798,1656595309232625798,1656595309232625798,1,0
1656595309244333600,1656595309265290051,Timing,LaneDetectionComponent::OnReceiveImage,20956451,0,0,0,0,0,1656595309265290051,1656595309265290051,1656595309265290051,1656595309265290051,1656595309265290051,1,0
1656595309296614868,1656595309297842543,Timing,LaneDetectionComponent::OnReceiveImage,1227675,0,0,0,0,0,1656595309297842543,1656595309297842543,1656595309297842543,1656595309297842543,1656595309297842543,1,0
1656595309300153098,1656595309317814191,Timing,LaneDetectionComponent::OnReceiveImage,17661093,0,0,0,0,0,1656595309317814191,1656595309317814191,1656595309317814191,1656595309317814191,1656595309317814191,1,0
1656595309320147861,1656595309320991190,Timing,LaneDetectionComponent::OnReceiveImage,843329,0,0,0,0,0,1656595309320991190,1656595309320991190,1656595309320991190,1656595309320991190,1656595309320991190,1,0
1656595309326560383,1656595309354029664,Timing,LaneDetectionComponent::OnReceiveImage,27469281,0,0,0,0,0,1656595309354029664,1656595309354029664,1656595309354029664,1656595309354029664,1656595309354029664,1,0
1656595309374932208,1656595309376589540,Timing,LaneDetectionComponent::OnReceiveImage,1657332,0,0,0,0,0,1656595309376589540,1656595309376589540,1656595309376589540,1656595309376589540,1656595309376589540,1,0
1656595309384565468,1656595309400867018,Timing,LaneDetectionComponent::OnReceiveImage,16301550,0,0,0,0,0,1656595309400867018,1656595309400867018,1656595309400867018,1656595309400867018,1656595309400867018,1,0
1656595309476678387,1656595309503751224,Timing,LaneDetectionComponent::OnReceiveImage,27072837,0,0,0,0,0,1656595309503751224,1656595309503751224,1656595309503751224,1656595309503751224,1656595309503751224,1,0
1656595309478834731,1656595309504519300,Timing,LaneDetectionComponent::OnReceiveImage,25684569,0,0,0,0,0,1656595309504519300,1656595309504519300,1656595309504519300,1656595309504519300,1656595309504519300,1,0
1656595309526865249,1656595309541498670,Timing,LaneDetectionComponent::OnReceiveImage,14633421,0,0,0,0,0,1656595309541498670,1656595309541498670,1656595309541498670,1656595309541498670,1656595309541498670,1,0
1656595309533361363,1656595309542205690,Timing,LaneDetectionComponent::OnReceiveImage,8844327,0,0,0,0,0,1656595309542205690,1656595309542205690,1656595309542205690,1656595309542205690,1656595309542205690,1,0
1656595309576065909,1656595309577651747,Timing,LaneDetectionComponent::OnReceiveImage,1585838,0,0,0,0,0,1656595309577651747,1656595309577651747,1656595309577651747,1656595309577651747,1656595309577651747,1,0
1656595309581089973,1656595309596045353,Timing,LaneDetectionComponent::OnReceiveImage,14955380,0,0,0,0,0,1656595309596045353,1656595309596045353,1656595309596045353,1656595309596045353,1656595309596045353,1,0
1656595309640656378,1656595309641907544,Timing,LaneDetectionComponent::OnReceiveImage,1251166,0,0,0,0,0,1656595309641907544,1656595309641907544,1656595309641907544,1656595309641907544,1656595309641907544,1,0
1656595309644441877,1656595309658703354,Timing,LaneDetectionComponent::OnReceiveImage,14261477,0,0,0,0,0,1656595309658703354,1656595309658703354,1656595309658703354,1656595309658703354,1656595309658703354,1,0
1656595309742249731,1656595309761196360,Timing,LaneDetectionComponent::OnReceiveImage,18946629,0,0,0,0,0,1656595309761196360,1656595309761196360,1656595309761196360,1656595309761196360,1656595309761196360,1,0
1656595309760967237,1656595309762290207,Timing,LaneDetectionComponent::OnReceiveImage,1322970,0,0,0,0,0,1656595309762290207,1656595309762290207,1656595309762290207,1656595309762290207,1656595309762290207,1,0
1656595309834776128,1656595309836430249,Timing,LaneDetectionComponent::OnReceiveImage,1654121,0,0,0,0,0,1656595309836430249,1656595309836430249,1656595309836430249,1656595309836430249,1656595309836430249,1,0
1656595309837194520,1656595309855122797,Timing,LaneDetectionComponent::OnReceiveImage,17928277,0,0,0,0,0,1656595309855122797,1656595309855122797,1656595309855122797,1656595309855122797,1656595309855122797,1,0
1656595309875271068,1656595309876540606,Timing,LaneDetectionComponent::OnReceiveImage,1269538,0,0,0,0,0,1656595309876540606,1656595309876540606,1656595309876540606,1656595309876540606,1656595309876540606,1,0
1656595309877662231,1656595309899501830,Timing,LaneDetectionComponent::OnReceiveImage,21839599,0,0,0,0,0,1656595309899501830,1656595309899501830,1656595309899501830,1656595309899501830,1656595309899501830,1,0
1656595309960240333,1656595309962091670,Timing,LaneDetectionComponent::OnReceiveImage,1851337,0,0,0,0,0,1656595309962091670,1656595309962091670,1656595309962091670,1656595309962091670,1656595309962091670,1,0
1656595309964089450,1656595309979721335,Timing,LaneDetectionComponent::OnReceiveImage,15631885,0,0,0,0,0,1656595309979721335,1656595309979721335,1656595309979721335,1656595309979721335,1656595309979721335,1,0
1656595310041632561,1656595310061489243,Timing,LaneDetectionComponent::OnReceiveImage,19856682,0,0,0,0,0,1656595310061489243,1656595310061489243,1656595310061489243,1656595310061489243,1656595310061489243,1,0
1656595310044186399,1656595310062240152,Timing,LaneDetectionComponent::OnReceiveImage,18053753,0,0,0,0,0,1656595310062240152,1656595310062240152,1656595310062240152,1656595310062240152,1656595310062240152,1,0
1656595310103149465,1656595310104734563,Timing,LaneDetectionComponent::OnReceiveImage,1585098,0,0,0,0,0,1656595310104734563,1656595310104734563,1656595310104734563,1656595310104734563,1656595310104734563,1,0
1656595310116068001,1656595310134708731,Timing,LaneDetectionComponent::OnReceiveImage,18640730,0,0,0,0,0,1656595310134708731,1656595310134708731,1656595310134708731,1656595310134708731,1656595310134708731,1,0
1656595310142414718,1656595310165185691,Timing,LaneDetectionComponent::OnReceiveImage,22770973,0,0,0,0,0,1656595310165185691,1656595310165185691,1656595310165185691,1656595310165185691,1656595310165185691,1,0
1656595310148180489,1656595310166007856,Timing,LaneDetectionComponent::OnReceiveImage,17827367,0,0,0,0,0,1656595310166007856,1656595310166007856,1656595310166007856,1656595310166007856,1656595310166007856,1,0
1656595310205652975,1656595310206981262,Timing,LaneDetectionComponent::OnReceiveImage,1328287,0,0,0,0,0,1656595310206981262,1656595310206981262,1656595310206981262,1656595310206981262,1656595310206981262,1,0
1656595310206533694,1656595310222065040,Timing,LaneDetectionComponent::OnReceiveImage,15531346,0,0,0,0,0,1656595310222065040,1656595310222065040,1656595310222065040,1656595310222065040,1656595310222065040,1,0
1656595310312335891,1656595310314556747,Timing,LaneDetectionComponent::OnReceiveImage,2220856,0,0,0,0,0,1656595310314556747,1656595310314556747,1656595310314556747,1656595310314556747,1656595310314556747,1,0
1656595310317152760,1656595310340812656,Timing,LaneDetectionComponent::OnReceiveImage,23659896,0,0,0,0,0,1656595310340812656,1656595310340812656,1656595310340812656,1656595310340812656,1656595310340812656,1,0
1656595310352790750,1656595310355106811,Timing,LaneDetectionComponent::OnReceiveImage,2316061,0,0,0,0,0,1656595310355106811,1656595310355106811,1656595310355106811,1656595310355106811,1656595310355106811,1,0
1656595310354032262,1656595310370374455,Timing,LaneDetectionComponent::OnReceiveImage,16342193,0,0,0,0,0,1656595310370374455,1656595310370374455,1656595310370374455,1656595310370374455,1656595310370374455,1,0
1656595310421999250,1656595310441468723,Timing,LaneDetectionComponent::OnReceiveImage,19469473,0,0,0,0,0,1656595310441468723,1656595310441468723,1656595310441468723,1656595310441468723,1656595310441468723,1,0
1656595310425361912,1656595310442193529,Timing,LaneDetectionComponent::OnReceiveImage,16831617,0,0,0,0,0,1656595310442193529,1656595310442193529,1656595310442193529,1656595310442193529,1656595310442193529,1,0
1656595310493759973,1656595310495851201,Timing,LaneDetectionComponent::OnReceiveImage,2091228,0,0,0,0,0,1656595310495851201,1656595310495851201,1656595310495851201,1656595310495851201,1656595310495851201,1,0
1656595310497331093,1656595310514695104,Timing,LaneDetectionComponent::OnReceiveImage,17364011,0,0,0,0,0,1656595310514695104,1656595310514695104,1656595310514695104,1656595310514695104,1656595310514695104,1,0
1656595310582083531,1656595310584803908,Timing,LaneDetectionComponent::OnReceiveImage,2720377,0,0,0,0,0,1656595310584803908,1656595310584803908,1656595310584803908,1656595310584803908,1656595310584803908,1,0
1656595310583591841,1656595310606137948,Timing,LaneDetectionComponent::OnReceiveImage,22546107,0,0,0,0,0,1656595310606137948,1656595310606137948,1656595310606137948,1656595310606137948,1656595310606137948,1,0
1656595310641799478,1656595310643638820,Timing,LaneDetectionComponent::OnReceiveImage,1839342,0,0,0,0,0,1656595310643638820,1656595310643638820,1656595310643638820,1656595310643638820,1656595310643638820,1,0
1656595310653559702,1656595310669903355,Timing,LaneDetectionComponent::OnReceiveImage,16343653,0,0,0,0,0,1656595310669903355,1656595310669903355,1656595310669903355,1656595310669903355,1656595310669903355,1,0
1656595310700070956,1656595310702496024,Timing,LaneDetectionComponent::OnReceiveImage,2425068,0,0,0,0,0,1656595310702496024,1656595310702496024,1656595310702496024,1656595310702496024,1656595310702496024,1,0
1656595310702506701,1656595310719883676,Timing,LaneDetectionComponent::OnReceiveImage,17376975,0,0,0,0,0,1656595310719883676,1656595310719883676,1656595310719883676,1656595310719883676,1656595310719883676,1,0
1656595310782468816,1656595310785334400,Timing,LaneDetectionComponent::OnReceiveImage,2865584,0,0,0,0,0,1656595310785334400,1656595310785334400,1656595310785334400,1656595310785334400,1656595310785334400,1,0
1656595310784118118,1656595310803868406,Timing,LaneDetectionComponent::OnReceiveImage,19750288,0,0,0,0,0,1656595310803868406,1656595310803868406,1656595310803868406,1656595310803868406,1656595310803868406,1,0
1656595310822363430,1656595310840316413,Timing,LaneDetectionComponent::OnReceiveImage,17952983,0,0,0,0,0,1656595310840316413,1656595310840316413,1656595310840316413,1656595310840316413,1656595310840316413,1,0
1656595310823532268,1656595310841352969,Timing,LaneDetectionComponent::OnReceiveImage,17820701,0,0,0,0,0,1656595310841352969,1656595310841352969,1656595310841352969,1656595310841352969,1656595310841352969,1,0
1656595310902754780,1656595310904479096,Timing,LaneDetectionComponent::OnReceiveImage,1724316,0,0,0,0,0,1656595310904479096,1656595310904479096,1656595310904479096,1656595310904479096,1656595310904479096,1,0
1656595310909487626,1656595310922285768,Timing,LaneDetectionComponent::OnReceiveImage,12798142,0,0,0,0,0,1656595310922285768,1656595310922285768,1656595310922285768,1656595310922285768,1656595310922285768,1,0
1656595310963991292,1656595310966787449,Timing,LaneDetectionComponent::OnReceiveImage,2796157,0,0,0,0,0,1656595310966787449,1656595310966787449,1656595310966787449,1656595310966787449,1656595310966787449,1,0
1656595310968303230,1656595310985663436,Timing,LaneDetectionComponent::OnReceiveImage,17360206,0,0,0,0,0,1656595310985663436,1656595310985663436,1656595310985663436,1656595310985663436,1656595310985663436,1,0
1656595311029962790,1656595311032080887,Timing,LaneDetectionComponent::OnReceiveImage,2118097,0,0,0,0,0,1656595311032080887,1656595311032080887,1656595311032080887,1656595311032080887,1656595311032080887,1,0
1656595311031480994,1656595311049671227,Timing,LaneDetectionComponent::OnReceiveImage,18190233,0,0,0,0,0,1656595311049671227,1656595311049671227,1656595311049671227,1656595311049671227,1656595311049671227,1,0
1656595311121652103,1656595311123955294,Timing,LaneDetectionComponent::OnReceiveImage,2303191,0,0,0,0,0,1656595311123955294,1656595311123955294,1656595311123955294,1656595311123955294,1656595311123955294,1,0
1656595311126193275,1656595311143169860,Timing,LaneDetectionComponent::OnReceiveImage,16976585,0,0,0,0,0,1656595311143169860,1656595311143169860,1656595311143169860,1656595311143169860,1656595311143169860,1,0
1656595311163557072,1656595311182143390,Timing,LaneDetectionComponent::OnReceiveImage,18586318,0,0,0,0,0,1656595311182143390,1656595311182143390,1656595311182143390,1656595311182143390,1656595311182143390,1,0
1656595311165877969,1656595311182945620,Timing,LaneDetectionComponent::OnReceiveImage,17067651,0,0,0,0,0,1656595311182945620,1656595311182945620,1656595311182945620,1656595311182945620,1656595311182945620,1,0
1656595311247064735,1656595311248930040,Timing,LaneDetectionComponent::OnReceiveImage,1865305,0,0,0,0,0,1656595311248930040,1656595311248930040,1656595311248930040,1656595311248930040,1656595311248930040,1,0
1656595311262884204,1656595311279914691,Timing,LaneDetectionComponent::OnReceiveImage,17030487,0,0,0,0,0,1656595311279914691,1656595311279914691,1656595311279914691,1656595311279914691,1656595311279914691,1,0
1656595311336769835,1656595311339415214,Timing,LaneDetectionComponent::OnReceiveImage,2645379,0,0,0,0,0,1656595311339415214,1656595311339415214,1656595311339415214,1656595311339415214,1656595311339415214,1,0
1656595311339389197,1656595311360887471,Timing,LaneDetectionComponent::OnReceiveImage,21498274,0,0,0,0,0,1656595311360887471,1656595311360887471,1656595311360887471,1656595311360887471,1656595311360887471,1,0
1656595311354334921,1656595311361854746,Timing,LaneDetectionComponent::OnReceiveImage,7519825,0,0,0,0,0,1656595311361854746,1656595311361854746,1656595311361854746,1656595311361854746,1656595311361854746,1,0
1656595311360913106,1656595311377845620,Timing,LaneDetectionComponent::OnReceiveImage,16932514,0,0,0,0,0,1656595311377845620,1656595311377845620,1656595311377845620,1656595311377845620,1656595311377845620,1,0
1656595311456745144,1656595311459443399,Timing,LaneDetectionComponent::OnReceiveImage,2698255,0,0,0,0,0,1656595311459443399,1656595311459443399,1656595311459443399,1656595311459443399,1656595311459443399,1,0
1656595311459443041,1656595311482933113,Timing,LaneDetectionComponent::OnReceiveImage,23490072,0,0,0,0,0,1656595311482933113,1656595311482933113,1656595311482933113,1656595311482933113,1656595311482933113,1,0
1656595311473192761,1656595311483779539,Timing,LaneDetectionComponent::OnReceiveImage,10586778,0,0,0,0,0,1656595311483779539,1656595311483779539,1656595311483779539,1656595311483779539,1656595311483779539,1,0
1656595311482962660,1656595311500313651,Timing,LaneDetectionComponent::OnReceiveImage,17350991,0,0,0,0,0,1656595311500313651,1656595311500313651,1656595311500313651,1656595311500313651,1656595311500313651,1,0
1656595311604593984,1656595311607110358,Timing,LaneDetectionComponent::OnReceiveImage,2516374,0,0,0,0,0,1656595311607110358,1656595311607110358,1656595311607110358,1656595311607110358,1656595311607110358,1,0
