,ts_start,ts_end,type,component,execution_time,ts_cam,ts_lidar,ts_radar,ts_TL,ts_lane,lat_cam,lat_lidar,lat_radar,lat_TL,lat_lane,is_finish,info
0,1656595510613713706,1656595510613770402,Timing,ControlComponent::Proc,56696,0,0,0,0,0,1656595510613770402,1656595510613770402,1656595510613770402,1656595510613770402,1656595510613770402,0,0
1,1656595510623545229,1656595510623612249,Timing,ControlComponent::Proc,67020,0,0,0,0,0,1656595510623612249,1656595510623612249,1656595510623612249,1656595510623612249,1656595510623612249,0,0
2,1656595510633564232,1656595510633657196,Timing,ControlComponent::Proc,92964,0,0,0,0,0,1656595510633657196,1656595510633657196,1656595510633657196,1656595510633657196,1656595510633657196,0,0
3,1656595510643548894,1656595510643620991,Timing,ControlComponent::Proc,72097,0,0,0,0,0,1656595510643620991,1656595510643620991,1656595510643620991,1656595510643620991,1656595510643620991,0,0
4,1656595510653556070,1656595510653631125,Timing,ControlComponent::Proc,75055,0,0,0,0,0,1656595510653631125,1656595510653631125,1656595510653631125,1656595510653631125,1656595510653631125,0,0
5,1656595510663531327,1656595510663597174,Timing,ControlComponent::Proc,65847,0,0,0,0,0,1656595510663597174,1656595510663597174,1656595510663597174,1656595510663597174,1656595510663597174,0,0
6,1656595510673561244,1656595510673702227,Timing,ControlComponent::Proc,140983,0,0,0,0,0,1656595510673702227,1656595510673702227,1656595510673702227,1656595510673702227,1656595510673702227,0,0
7,1656595510683576349,1656595510683668052,Timing,ControlComponent::Proc,91703,0,0,0,0,0,1656595510683668052,1656595510683668052,1656595510683668052,1656595510683668052,1656595510683668052,0,0
8,1656595510693518402,1656595510693596808,Timing,ControlComponent::Proc,78406,0,0,0,0,0,1656595510693596808,1656595510693596808,1656595510693596808,1656595510693596808,1656595510693596808,0,0
9,1656595510703560283,1656595510703631148,Timing,ControlComponent::Proc,70865,0,0,0,0,0,1656595510703631148,1656595510703631148,1656595510703631148,1656595510703631148,1656595510703631148,0,0
10,1656595510713544678,1656595510713609103,Timing,ControlComponent::Proc,64425,0,0,0,0,0,1656595510713609103,1656595510713609103,1656595510713609103,1656595510713609103,1656595510713609103,0,0
11,1656595510723504391,1656595510723557047,Timing,ControlComponent::Proc,52656,0,0,0,0,0,1656595510723557047,1656595510723557047,1656595510723557047,1656595510723557047,1656595510723557047,0,0
12,1656595510733550263,1656595510733613584,Timing,ControlComponent::Proc,63321,0,0,0,0,0,1656595510733613584,1656595510733613584,1656595510733613584,1656595510733613584,1656595510733613584,0,0
13,1656595510743548886,1656595510743620472,Timing,ControlComponent::Proc,71586,0,0,0,0,0,1656595510743620472,1656595510743620472,1656595510743620472,1656595510743620472,1656595510743620472,0,0
14,1656595510753541071,1656595510753602500,Timing,ControlComponent::Proc,61429,0,0,0,0,0,1656595510753602500,1656595510753602500,1656595510753602500,1656595510753602500,1656595510753602500,0,0
15,1656595510763545520,1656595510763610648,Timing,ControlComponent::Proc,65128,0,0,0,0,0,1656595510763610648,1656595510763610648,1656595510763610648,1656595510763610648,1656595510763610648,0,0
16,1656595510773547443,1656595510773618619,Timing,ControlComponent::Proc,71176,0,0,0,0,0,1656595510773618619,1656595510773618619,1656595510773618619,1656595510773618619,1656595510773618619,0,0
17,1656595510783572172,1656595510783631438,Timing,ControlComponent::Proc,59266,0,0,0,0,0,1656595510783631438,1656595510783631438,1656595510783631438,1656595510783631438,1656595510783631438,0,0
18,1656595510793556484,1656595510793616911,Timing,ControlComponent::Proc,60427,0,0,0,0,0,1656595510793616911,1656595510793616911,1656595510793616911,1656595510793616911,1656595510793616911,0,0
19,1656595510803542563,1656595510803616127,Timing,ControlComponent::Proc,73564,0,0,0,0,0,1656595510803616127,1656595510803616127,1656595510803616127,1656595510803616127,1656595510803616127,0,0
20,1656595510813543805,1656595510813600689,Timing,ControlComponent::Proc,56884,0,0,0,0,0,1656595510813600689,1656595510813600689,1656595510813600689,1656595510813600689,1656595510813600689,0,0
21,1656595510823508023,1656595510823571996,Timing,ControlComponent::Proc,63973,0,0,0,0,0,1656595510823571996,1656595510823571996,1656595510823571996,1656595510823571996,1656595510823571996,0,0
22,1656595510833543888,1656595510833600350,Timing,ControlComponent::Proc,56462,0,0,0,0,0,1656595510833600350,1656595510833600350,1656595510833600350,1656595510833600350,1656595510833600350,0,0
23,1656595510843543694,1656595510843600908,Timing,ControlComponent::Proc,57214,0,0,0,0,0,1656595510843600908,1656595510843600908,1656595510843600908,1656595510843600908,1656595510843600908,0,0
24,1656595510853551718,1656595510853608572,Timing,ControlComponent::Proc,56854,0,0,0,0,0,1656595510853608572,1656595510853608572,1656595510853608572,1656595510853608572,1656595510853608572,0,0
25,1656595510863553174,1656595510863636874,Timing,ControlComponent::Proc,83700,0,0,0,0,0,1656595510863636874,1656595510863636874,1656595510863636874,1656595510863636874,1656595510863636874,0,0
26,1656595510873553339,1656595510873669576,Timing,ControlComponent::Proc,116237,0,0,0,0,0,1656595510873669576,1656595510873669576,1656595510873669576,1656595510873669576,1656595510873669576,0,0
27,1656595510883555306,1656595510883648019,Timing,ControlComponent::Proc,92713,0,0,0,0,0,1656595510883648019,1656595510883648019,1656595510883648019,1656595510883648019,1656595510883648019,0,0
28,1656595510893540386,1656595510893632380,Timing,ControlComponent::Proc,91994,0,0,0,0,0,1656595510893632380,1656595510893632380,1656595510893632380,1656595510893632380,1656595510893632380,0,0
29,1656595510903521710,1656595510903580341,Timing,ControlComponent::Proc,58631,0,0,0,0,0,1656595510903580341,1656595510903580341,1656595510903580341,1656595510903580341,1656595510903580341,0,0
30,1656595510913500692,1656595510913557165,Timing,ControlComponent::Proc,56473,0,0,0,0,0,1656595510913557165,1656595510913557165,1656595510913557165,1656595510913557165,1656595510913557165,0,0
