,ts_start,ts_end,type,component,execution_time,ts_cam,ts_lidar,ts_radar,ts_TL,ts_lane,lat_cam,lat_lidar,lat_radar,lat_TL,lat_lane,is_finish,info
0,1656595522076797396,1656595522076828952,Timing,RTKLocalizationComponent::Proc,31556,0,0,0,0,0,1656595522076828952,1656595522076828952,1656595522076828952,1656595522076828952,1656595522076828952,0,0
1,1656595522156869996,1656595522157012831,Timing,RTKLocalizationComponent::Proc,142835,0,0,0,0,0,1656595522157012831,1656595522157012831,1656595522157012831,1656595522157012831,1656595522157012831,1,0
2,1656595522236462377,1656595522236518485,Timing,RTKLocalizationComponent::Proc,56108,0,0,0,0,0,1656595522236518485,1656595522236518485,1656595522236518485,1656595522236518485,1656595522236518485,1,0
3,1656595522316528612,1656595522316598589,Timing,RTKLocalizationComponent::Proc,69977,0,0,0,0,0,1656595522316598589,1656595522316598589,1656595522316598589,1656595522316598589,1656595522316598589,1,0
4,1656595522396558646,1656595522396616590,Timing,RTKLocalizationComponent::Proc,57944,0,0,0,0,0,1656595522396616590,1656595522396616590,1656595522396616590,1656595522396616590,1656595522396616590,1,0
5,1656595522476500639,1656595522476556589,Timing,RTKLocalizationComponent::Proc,55950,0,0,0,0,0,1656595522476556589,1656595522476556589,1656595522476556589,1656595522476556589,1656595522476556589,1,0
6,1656595522556496343,1656595522556551295,Timing,RTKLocalizationComponent::Proc,54952,0,0,0,0,0,1656595522556551295,1656595522556551295,1656595522556551295,1656595522556551295,1656595522556551295,1,0
7,1656595522638957592,1656595522639025986,Timing,RTKLocalizationComponent::Proc,68394,0,0,0,0,0,1656595522639025986,1656595522639025986,1656595522639025986,1656595522639025986,1656595522639025986,1,0
8,1656595522716516597,1656595522716573538,Timing,RTKLocalizationComponent::Proc,56941,0,0,0,0,0,1656595522716573538,1656595522716573538,1656595522716573538,1656595522716573538,1656595522716573538,1,0
9,1656595522796811409,1656595522796891889,Timing,RTKLocalizationComponent::Proc,80480,0,0,0,0,0,1656595522796891889,1656595522796891889,1656595522796891889,1656595522796891889,1656595522796891889,1,0
10,1656595522877034102,1656595522877106347,Timing,RTKLocalizationComponent::Proc,72245,0,0,0,0,0,1656595522877106347,1656595522877106347,1656595522877106347,1656595522877106347,1656595522877106347,1,0
11,1656595522956483805,1656595522956540284,Timing,RTKLocalizationComponent::Proc,56479,0,0,0,0,0,1656595522956540284,1656595522956540284,1656595522956540284,1656595522956540284,1656595522956540284,1,0
12,1656595523036642685,1656595523036694684,Timing,RTKLocalizationComponent::Proc,51999,0,0,0,0,0,1656595523036694684,1656595523036694684,1656595523036694684,1656595523036694684,1656595523036694684,1,0
13,1656595523116681612,1656595523116746669,Timing,RTKLocalizationComponent::Proc,65057,0,0,0,0,0,1656595523116746669,1656595523116746669,1656595523116746669,1656595523116746669,1656595523116746669,1,0
14,1656595523196541654,1656595523196628971,Timing,RTKLocalizationComponent::Proc,87317,0,0,0,0,0,1656595523196628971,1656595523196628971,1656595523196628971,1656595523196628971,1656595523196628971,1,0
15,1656595523276580898,1656595523276658705,Timing,RTKLocalizationComponent::Proc,77807,0,0,0,0,0,1656595523276658705,1656595523276658705,1656595523276658705,1656595523276658705,1656595523276658705,1,0
16,1656595523357202656,1656595523357269798,Timing,RTKLocalizationComponent::Proc,67142,0,0,0,0,0,1656595523357269798,1656595523357269798,1656595523357269798,1656595523357269798,1656595523357269798,1,0
17,1656595523436635483,1656595523436708614,Timing,RTKLocalizationComponent::Proc,73131,0,0,0,0,0,1656595523436708614,1656595523436708614,1656595523436708614,1656595523436708614,1656595523436708614,1,0
18,1656595523516635626,1656595523516722792,Timing,RTKLocalizationComponent::Proc,87166,0,0,0,0,0,1656595523516722792,1656595523516722792,1656595523516722792,1656595523516722792,1656595523516722792,1,0
19,1656595523596506402,1656595523596562586,Timing,RTKLocalizationComponent::Proc,56184,0,0,0,0,0,1656595523596562586,1656595523596562586,1656595523596562586,1656595523596562586,1656595523596562586,1,0
20,1656595523685244587,1656595523685308586,Timing,RTKLocalizationComponent::Proc,63999,0,0,0,0,0,1656595523685308586,1656595523685308586,1656595523685308586,1656595523685308586,1656595523685308586,1,0
21,1656595523759102111,1656595523759151515,Timing,RTKLocalizationComponent::Proc,49404,0,0,0,0,0,1656595523759151515,1656595523759151515,1656595523759151515,1656595523759151515,1656595523759151515,1,0
22,1656595523836641403,1656595523836692078,Timing,RTKLocalizationComponent::Proc,50675,0,0,0,0,0,1656595523836692078,1656595523836692078,1656595523836692078,1656595523836692078,1656595523836692078,1,0
23,1656595523916529372,1656595523916584269,Timing,RTKLocalizationComponent::Proc,54897,0,0,0,0,0,1656595523916584269,1656595523916584269,1656595523916584269,1656595523916584269,1656595523916584269,1,0
24,1656595523996601883,1656595523996665734,Timing,RTKLocalizationComponent::Proc,63851,0,0,0,0,0,1656595523996665734,1656595523996665734,1656595523996665734,1656595523996665734,1656595523996665734,1,0
25,1656595524076556591,1656595524076631266,Timing,RTKLocalizationComponent::Proc,74675,0,0,0,0,0,1656595524076631266,1656595524076631266,1656595524076631266,1656595524076631266,1656595524076631266,1,0
26,1656595524156575596,1656595524156634102,Timing,RTKLocalizationComponent::Proc,58506,0,0,0,0,0,1656595524156634102,1656595524156634102,1656595524156634102,1656595524156634102,1656595524156634102,1,0
27,1656595524250182992,1656595524250418939,Timing,RTKLocalizationComponent::Proc,235947,0,0,0,0,0,1656595524250418939,1656595524250418939,1656595524250418939,1656595524250418939,1656595524250418939,1,0
28,1656595524321385833,1656595524321504624,Timing,RTKLocalizationComponent::Proc,118791,0,0,0,0,0,1656595524321504624,1656595524321504624,1656595524321504624,1656595524321504624,1656595524321504624,1,0
29,1656595524401380416,1656595524401464175,Timing,RTKLocalizationComponent::Proc,83759,0,0,0,0,0,1656595524401464175,1656595524401464175,1656595524401464175,1656595524401464175,1656595524401464175,1,0
30,1656595524485959735,1656595524486067570,Timing,RTKLocalizationComponent::Proc,107835,0,0,0,0,0,1656595524486067570,1656595524486067570,1656595524486067570,1656595524486067570,1656595524486067570,1,0
31,1656595524561467097,1656595524561543742,Timing,RTKLocalizationComponent::Proc,76645,0,0,0,0,0,1656595524561543742,1656595524561543742,1656595524561543742,1656595524561543742,1656595524561543742,1,0
32,1656595524641633651,1656595524641715925,Timing,RTKLocalizationComponent::Proc,82274,0,0,0,0,0,1656595524641715925,1656595524641715925,1656595524641715925,1656595524641715925,1656595524641715925,1,0
33,1656595524721358378,1656595524721455639,Timing,RTKLocalizationComponent::Proc,97261,0,0,0,0,0,1656595524721455639,1656595524721455639,1656595524721455639,1656595524721455639,1656595524721455639,1,0
34,1656595524801258679,1656595524801358663,Timing,RTKLocalizationComponent::Proc,99984,0,0,0,0,0,1656595524801358663,1656595524801358663,1656595524801358663,1656595524801358663,1656595524801358663,1,0
35,1656595524881284340,1656595524881361169,Timing,RTKLocalizationComponent::Proc,76829,0,0,0,0,0,1656595524881361169,1656595524881361169,1656595524881361169,1656595524881361169,1656595524881361169,1,0
36,1656595524961597892,1656595524961715195,Timing,RTKLocalizationComponent::Proc,117303,0,0,0,0,0,1656595524961715195,1656595524961715195,1656595524961715195,1656595524961715195,1656595524961715195,1,0
37,1656595525041250574,1656595525041347348,Timing,RTKLocalizationComponent::Proc,96774,0,0,0,0,0,1656595525041347348,1656595525041347348,1656595525041347348,1656595525041347348,1656595525041347348,1,0
38,1656595525121294998,1656595525121374530,Timing,RTKLocalizationComponent::Proc,79532,0,0,0,0,0,1656595525121374530,1656595525121374530,1656595525121374530,1656595525121374530,1656595525121374530,1,0
39,1656595525202214472,1656595525202304074,Timing,RTKLocalizationComponent::Proc,89602,0,0,0,0,0,1656595525202304074,1656595525202304074,1656595525202304074,1656595525202304074,1656595525202304074,1,0
40,1656595525281305131,1656595525281435866,Timing,RTKLocalizationComponent::Proc,130735,0,0,0,0,0,1656595525281435866,1656595525281435866,1656595525281435866,1656595525281435866,1656595525281435866,1,0
41,1656595525361334238,1656595525361415726,Timing,RTKLocalizationComponent::Proc,81488,0,0,0,0,0,1656595525361415726,1656595525361415726,1656595525361415726,1656595525361415726,1656595525361415726,1,0
42,1656595525441394395,1656595525441472558,Timing,RTKLocalizationComponent::Proc,78163,0,0,0,0,0,1656595525441472558,1656595525441472558,1656595525441472558,1656595525441472558,1656595525441472558,1,0
43,1656595525521619475,1656595525521696689,Timing,RTKLocalizationComponent::Proc,77214,0,0,0,0,0,1656595525521696689,1656595525521696689,1656595525521696689,1656595525521696689,1656595525521696689,1,0
44,1656595525601254838,1656595525601335373,Timing,RTKLocalizationComponent::Proc,80535,0,0,0,0,0,1656595525601335373,1656595525601335373,1656595525601335373,1656595525601335373,1656595525601335373,1,0
45,1656595525681319526,1656595525681390110,Timing,RTKLocalizationComponent::Proc,70584,0,0,0,0,0,1656595525681390110,1656595525681390110,1656595525681390110,1656595525681390110,1656595525681390110,1,0
46,1656595525761557742,1656595525761644579,Timing,RTKLocalizationComponent::Proc,86837,0,0,0,0,0,1656595525761644579,1656595525761644579,1656595525761644579,1656595525761644579,1656595525761644579,1,0
47,1656595525841563855,1656595525841644753,Timing,RTKLocalizationComponent::Proc,80898,0,0,0,0,0,1656595525841644753,1656595525841644753,1656595525841644753,1656595525841644753,1656595525841644753,1,0
48,1656595525921704417,1656595525921824631,Timing,RTKLocalizationComponent::Proc,120214,0,0,0,0,0,1656595525921824631,1656595525921824631,1656595525921824631,1656595525921824631,1656595525921824631,1,0
49,1656595526001311490,1656595526001392365,Timing,RTKLocalizationComponent::Proc,80875,0,0,0,0,0,1656595526001392365,1656595526001392365,1656595526001392365,1656595526001392365,1656595526001392365,1,0
50,1656595526081285259,1656595526081363489,Timing,RTKLocalizationComponent::Proc,78230,0,0,0,0,0,1656595526081363489,1656595526081363489,1656595526081363489,1656595526081363489,1656595526081363489,1,0
51,1656595526163857476,1656595526163942574,Timing,RTKLocalizationComponent::Proc,85098,0,0,0,0,0,1656595526163942574,1656595526163942574,1656595526163942574,1656595526163942574,1656595526163942574,1,0
52,1656595526242191877,1656595526242267111,Timing,RTKLocalizationComponent::Proc,75234,0,0,0,0,0,1656595526242267111,1656595526242267111,1656595526242267111,1656595526242267111,1656595526242267111,1,0
53,1656595526322177153,1656595526322285575,Timing,RTKLocalizationComponent::Proc,108422,0,0,0,0,0,1656595526322285575,1656595526322285575,1656595526322285575,1656595526322285575,1656595526322285575,1,0
54,1656595526407062953,1656595526407150701,Timing,RTKLocalizationComponent::Proc,87748,0,0,0,0,0,1656595526407150701,1656595526407150701,1656595526407150701,1656595526407150701,1656595526407150701,1,0
55,1656595526482388437,1656595526482482464,Timing,RTKLocalizationComponent::Proc,94027,0,0,0,0,0,1656595526482482464,1656595526482482464,1656595526482482464,1656595526482482464,1656595526482482464,1,0
56,1656595526562224374,1656595526562310850,Timing,RTKLocalizationComponent::Proc,86476,0,0,0,0,0,1656595526562310850,1656595526562310850,1656595526562310850,1656595526562310850,1656595526562310850,1,0
57,1656595526642087461,1656595526642179969,Timing,RTKLocalizationComponent::Proc,92508,0,0,0,0,0,1656595526642179969,1656595526642179969,1656595526642179969,1656595526642179969,1656595526642179969,1,0
58,1656595526727113781,1656595526727195549,Timing,RTKLocalizationComponent::Proc,81768,0,0,0,0,0,1656595526727195549,1656595526727195549,1656595526727195549,1656595526727195549,1656595526727195549,1,0
59,1656595526805472229,1656595526805556684,Timing,RTKLocalizationComponent::Proc,84455,0,0,0,0,0,1656595526805556684,1656595526805556684,1656595526805556684,1656595526805556684,1656595526805556684,1,0
60,1656595526884174007,1656595526884290214,Timing,RTKLocalizationComponent::Proc,116207,0,0,0,0,0,1656595526884290214,1656595526884290214,1656595526884290214,1656595526884290214,1656595526884290214,1,0
61,1656595526964219070,1656595526964318776,Timing,RTKLocalizationComponent::Proc,99706,0,0,0,0,0,1656595526964318776,1656595526964318776,1656595526964318776,1656595526964318776,1656595526964318776,1,0
62,1656595527044361106,1656595527044445949,Timing,RTKLocalizationComponent::Proc,84843,0,0,0,0,0,1656595527044445949,1656595527044445949,1656595527044445949,1656595527044445949,1656595527044445949,1,0
63,1656595527124059961,1656595527124144996,Timing,RTKLocalizationComponent::Proc,85035,0,0,0,0,0,1656595527124144996,1656595527124144996,1656595527124144996,1656595527124144996,1656595527124144996,1,0
64,1656595527204097566,1656595527204192457,Timing,RTKLocalizationComponent::Proc,94891,0,0,0,0,0,1656595527204192457,1656595527204192457,1656595527204192457,1656595527204192457,1656595527204192457,1,0
65,1656595527284174196,1656595527284266208,Timing,RTKLocalizationComponent::Proc,92012,0,0,0,0,0,1656595527284266208,1656595527284266208,1656595527284266208,1656595527284266208,1656595527284266208,1,0
66,1656595527364385084,1656595527364490644,Timing,RTKLocalizationComponent::Proc,105560,0,0,0,0,0,1656595527364490644,1656595527364490644,1656595527364490644,1656595527364490644,1656595527364490644,1,0
67,1656595527444118112,1656595527444224853,Timing,RTKLocalizationComponent::Proc,106741,0,0,0,0,0,1656595527444224853,1656595527444224853,1656595527444224853,1656595527444224853,1656595527444224853,1,0
68,1656595527524022372,1656595527524118050,Timing,RTKLocalizationComponent::Proc,95678,0,0,0,0,0,1656595527524118050,1656595527524118050,1656595527524118050,1656595527524118050,1656595527524118050,1,0
69,1656595527604213254,1656595527604297354,Timing,RTKLocalizationComponent::Proc,84100,0,0,0,0,0,1656595527604297354,1656595527604297354,1656595527604297354,1656595527604297354,1656595527604297354,1,0
