ts_start,ts_end,type,component,execution_time,ts_cam,ts_lidar,ts_radar,ts_TL,ts_lane,lat_cam,lat_lidar,lat_radar,lat_TL,lat_lane,is_finish,info
1656595617519140559,1656595617521257468,Timing,PlanningComponent::Proc,2116909,1656595617454941760,1656595617497591171,1656595617447056343,1656595617392699972,0,66315708,23666297,74201125,128557496,1656595617521257468,1,0
1656595617618658495,1656595617618870489,Timing,PlanningComponent::Proc,211994,1656595617582471994,1656595617593274003,1656595617551845886,1656595617523313793,0,36398495,25596486,67024603,95556696,1656595617618870489,1,0
1656595617708959426,1656595617709139850,Timing,PlanningComponent::Proc,180424,1656595617637939259,1656595617682555556,1656595617627155611,1656595617523313793,0,71200591,26584294,81984239,185826057,1656595617709139850,1,0
1656595617813251434,1656595617813438527,Timing,PlanningComponent::Proc,187093,1656595617777205272,1656595617779719975,1656595617748707824,1656595617703251636,0,36233255,33718552,64730703,110186891,1656595617813438527,1,2
1656595617917524764,1656595617917767779,Timing,PlanningComponent::Proc,243015,1656595617866345529,1656595617893976104,1656595617889355043,1656595617849881063,0,51422250,23791675,28412736,67886716,1656595617917767779,1,2
1656595618035596701,1656595618035800021,Timing,PlanningComponent::Proc,203320,1656595617975834126,1656595617971485227,1656595617889355043,1656595617977429135,0,59965895,64314794,146444978,58370886,1656595618035800021,1,2
1656595620206813982,1656595620207048682,Timing,PlanningComponent::Proc,234700,1656595618061633315,1656595618095439497,1656595618090804118,1656595620055702389,0,2145415367,2111609185,2116244564,151346293,1656595620207048682,1,2
1656595620208376579,1656595620208531870,Timing,PlanningComponent::Proc,155291,1656595620131512967,1656595620168090785,1656595620165295359,1656595620055702389,0,77018903,40441085,43236511,152829481,1656595620208531870,1,3
1656595620322912465,1656595620323399780,Timing,PlanningComponent::Proc,487315,1656595620267332256,1656595620293959374,1656595620284710347,1656595620188858035,0,56067524,29440406,38689433,134541745,1656595620323399780,1,3
1656595620413189668,1656595620413358258,Timing,PlanningComponent::Proc,168590,1656595620326955838,1656595620377165271,1656595620367513306,1656595620326955263,0,86402420,36192987,45844952,86402995,1656595620413358258,1,3
1656595620544858701,1656595620545069953,Timing,PlanningComponent::Proc,211252,1656595620468968011,1656595620507017196,1656595620484347211,1656595620461542944,0,76101942,38052757,60722742,83527009,1656595620545069953,1,3
1656595620630025878,1656595620630222873,Timing,PlanningComponent::Proc,196995,1656595620584633817,1656595620584112537,1656595620565112846,1656595620461542944,0,45589056,46110336,65110027,168679929,1656595620630222873,1,2
1656595620756453201,1656595620756745548,Timing,PlanningComponent::Proc,292347,1656595620679982570,1656595620709413807,1656595620642433026,1656595620678217288,0,76762978,47331741,114312522,78528260,1656595620756745548,1,3
1656595620856776744,1656595620856949837,Timing,PlanningComponent::Proc,173093,1656595620793614149,1656595620815438124,1656595620758957379,1656595620678217288,0,63335688,41511713,97992458,178732549,1656595620856949837,1,3
1656595620958513408,1656595620958777714,Timing,PlanningComponent::Proc,264306,1656595620793614149,1656595620898303370,1656595620866562910,1656595620896849925,0,165163565,60474344,92214804,61927789,1656595620958777714,1,3
1656595621008584303,1656595621008811386,Timing,PlanningComponent::Proc,227083,1656595620935689773,1656595620966519743,1656595620946122586,1656595620896849925,0,73121613,42291643,62688800,111961461,1656595621008811386,1,4
1656595621143733835,1656595621143903950,Timing,PlanningComponent::Proc,170115,1656595621058019792,1656595621095341070,1656595621020578931,1656595621049985516,0,85884158,48562880,123325019,93918434,1656595621143903950,1,4
1656595621225906160,1656595621226190463,Timing,PlanningComponent::Proc,284303,1656595621135684065,1656595621156556677,1656595621138397619,1656595621049985516,0,90506398,69633786,87792844,176204947,1656595621226190463,1,4
1656595621318833420,1656595621318928554,Timing,PlanningComponent::Proc,95134,1656595621257695789,1656595621272117250,1656595621224097901,1656595621189442842,0,61232765,46811304,94830653,129485712,1656595621318928554,1,4
1656595621432702422,1656595621432909492,Timing,PlanningComponent::Proc,207070,1656595621257695789,1656595621368080240,1656595621336942843,1656595621368654057,0,175213703,64829252,95966649,64255435,1656595621432909492,1,4
1656595621567292091,1656595621567480009,Timing,PlanningComponent::Proc,187918,1656595621474728501,1656595621516230986,1656595621499883784,1656595621368654057,0,92751508,51249023,67596225,198825952,1656595621567480009,1,4
1656595621631146431,1656595621631365861,Timing,PlanningComponent::Proc,219430,1656595621592602340,1656595621581331746,1656595621499883784,1656595621543955300,0,38763521,50034115,131482077,87410561,1656595621631365861,1,4
