ts_start,ts_end,type,component,execution_time,ts_cam,ts_lidar,ts_radar,ts_TL,ts_lane,lat_cam,lat_lidar,lat_radar,lat_TL,lat_lane,is_finish,info
1656595617517290038,1656595617517418427,Timing,RecognitionComponent::Proc,128389,0,1656595617497591171,0,0,0,1656595617517418427,19827256,1656595617517418427,1656595617517418427,1656595617517418427,1,2
1656595617613718775,1656595617613915655,Timing,RecognitionComponent::Proc,196880,0,1656595617593274003,0,0,0,1656595617613915655,20641652,1656595617613915655,1656595617613915655,1656595617613915655,1,2
1656595617699902745,1656595617700427584,Timing,RecognitionComponent::Proc,524839,0,1656595617682555556,0,0,0,1656595617700427584,17872028,1656595617700427584,1656595617700427584,1656595617700427584,1,2
1656595617810038959,1656595617810245921,Timing,RecognitionComponent::Proc,206962,0,1656595617779719975,0,0,0,1656595617810245921,30525946,1656595617810245921,1656595617810245921,1656595617810245921,1,2
1656595617914523864,1656595617914809228,Timing,RecognitionComponent::Proc,285364,0,1656595617893976104,0,0,0,1656595617914809228,20833124,1656595617914809228,1656595617914809228,1656595617914809228,1,2
1656595618005532273,1656595618005778417,Timing,RecognitionComponent::Proc,246144,0,1656595617971485227,0,0,0,1656595618005778417,34293190,1656595618005778417,1656595618005778417,1656595618005778417,1,3
1656595618114410424,1656595618114644988,Timing,RecognitionComponent::Proc,234564,0,1656595618095439497,0,0,0,1656595618114644988,19205491,1656595618114644988,1656595618114644988,1656595618114644988,1,2
1656595618194259141,1656595618194483223,Timing,RecognitionComponent::Proc,224082,0,1656595618168963208,0,0,0,1656595618194483223,25520015,1656595618194483223,1656595618194483223,1656595618194483223,1,2
1656595618328817404,1656595618329120485,Timing,RecognitionComponent::Proc,303081,0,1656595618310720167,0,0,0,1656595618329120485,18400318,1656595618329120485,1656595618329120485,1656595618329120485,1,2
1656595618411732461,1656595618411963868,Timing,RecognitionComponent::Proc,231407,0,1656595618377320003,0,0,0,1656595618411963868,34643865,1656595618411963868,1656595618411963868,1656595618411963868,1,2
1656595618518466779,1656595618518791315,Timing,RecognitionComponent::Proc,324536,0,1656595618495152628,0,0,0,1656595618518791315,23638687,1656595618518791315,1656595618518791315,1656595618518791315,1,2
1656595618611965003,1656595618612190039,Timing,RecognitionComponent::Proc,225036,0,1656595618578567460,0,0,0,1656595618612190039,33622579,1656595618612190039,1656595618612190039,1656595618612190039,1,3
1656595618715945375,1656595618716198010,Timing,RecognitionComponent::Proc,252635,0,1656595618693378967,0,0,0,1656595618716198010,22819043,1656595618716198010,1656595618716198010,1656595618716198010,1,4
