ts_start,ts_end,type,component,execution_time,ts_cam,ts_lidar,ts_radar,lat_cam,lat_lidar,lat_radar,is_finish,info
1656495030379827287,1656495030379862476,Timing,FusionComponent::Proc,35189,0,0,0,1656495030379862476,1656495030379862476,1656495030379862476,0,
1656495030467872294,1656495030467907583,Timing,FusionComponent::Proc,35289,0,0,0,1656495030467907583,1656495030467907583,1656495030467907583,0,
1656495030504426829,1656495030504454199,Timing,FusionComponent::Proc,27370,0,0,0,1656495030504454199,1656495030504454199,1656495030504454199,0,
1656495030506398549,1656495030506428057,Timing,FusionComponent::Proc,29508,0,0,0,1656495030506428057,1656495030506428057,1656495030506428057,0,
1656495030530986133,1656495030531657134,Timing,FusionComponent::Proc,671001,1656495030459774102,1656495030498205263,1656495030491657819,71883032,33451871,39999315,0,
1656495030579496002,1656495030579532857,Timing,FusionComponent::Proc,36855,0,0,0,1656495030579532857,1656495030579532857,1656495030579532857,0,
1656495030622153021,1656495030622188878,Timing,FusionComponent::Proc,35857,0,0,0,1656495030622188878,1656495030622188878,1656495030622188878,0,
1656495030637888060,1656495030637928681,Timing,FusionComponent::Proc,40621,0,0,0,1656495030637928681,1656495030637928681,1656495030637928681,0,
1656495030651715160,1656495030651749261,Timing,FusionComponent::Proc,34101,0,0,0,1656495030651749261,1656495030651749261,1656495030651749261,0,
1656495030679655829,1656495030680243316,Timing,FusionComponent::Proc,587487,1656495030622163594,1656495030634640795,1656495030625128662,58079722,45602521,55114654,0,
1656495030689953353,1656495030689984332,Timing,FusionComponent::Proc,30979,0,0,0,1656495030689984332,1656495030689984332,1656495030689984332,0,
1656495030713187824,1656495030713215518,Timing,FusionComponent::Proc,27694,0,0,0,1656495030713215518,1656495030713215518,1656495030713215518,0,
1656495030733989944,1656495030734056454,Timing,FusionComponent::Proc,66510,0,0,0,1656495030734056454,1656495030734056454,1656495030734056454,0,
1656495030760079299,1656495030760106021,Timing,FusionComponent::Proc,26722,0,0,0,1656495030760106021,1656495030760106021,1656495030760106021,0,
1656495030764412752,1656495030764433398,Timing,FusionComponent::Proc,20646,0,0,0,1656495030764433398,1656495030764433398,1656495030764433398,0,
1656495030793082730,1656495030793127744,Timing,FusionComponent::Proc,45014,0,0,0,1656495030793127744,1656495030793127744,1656495030793127744,0,
1656495030799815690,1656495030800690275,Timing,FusionComponent::Proc,874585,1656495030737437215,1656495030766301022,1656495030763992641,63253060,34389253,36697634,0,
1656495030824276753,1656495030824305504,Timing,FusionComponent::Proc,28751,0,0,0,1656495030824305504,1656495030824305504,1656495030824305504,0,
1656495030851047573,1656495030851549385,Timing,FusionComponent::Proc,501812,1656495030803127866,1656495030830428040,1656495030763992641,48421519,21121345,87556744,0,
1656495030851585406,1656495030851594844,Timing,FusionComponent::Proc,9438,0,0,0,1656495030851594844,1656495030851594844,1656495030851594844,0,
1656495030886091427,1656495030886117606,Timing,FusionComponent::Proc,26179,0,0,0,1656495030886117606,1656495030886117606,1656495030886117606,0,
1656495030903218501,1656495030903239404,Timing,FusionComponent::Proc,20903,0,0,0,1656495030903239404,1656495030903239404,1656495030903239404,0,
1656495030908121933,1656495030908146156,Timing,FusionComponent::Proc,24223,0,0,0,1656495030908146156,1656495030908146156,1656495030908146156,0,
1656495030923466943,1656495030924002716,Timing,FusionComponent::Proc,535773,1656495030861582013,1656495030908542049,1656495030904755288,62420703,15460667,19247428,0,
1656495030966923643,1656495030966947117,Timing,FusionComponent::Proc,23474,0,0,0,1656495030966947117,1656495030966947117,1656495030966947117,0,
1656495030975737528,1656495030975758034,Timing,FusionComponent::Proc,20506,0,0,0,1656495030975758034,1656495030975758034,1656495030975758034,0,
1656495030988320207,1656495030988348796,Timing,FusionComponent::Proc,28589,0,0,0,1656495030988348796,1656495030988348796,1656495030988348796,0,
1656495031023903384,1656495031023947233,Timing,FusionComponent::Proc,43849,0,0,0,1656495031023947233,1656495031023947233,1656495031023947233,0,
1656495031039781395,1656495031039804526,Timing,FusionComponent::Proc,23131,0,0,0,1656495031039804526,1656495031039804526,1656495031039804526,0,
1656495031052714884,1656495031053448390,Timing,FusionComponent::Proc,733506,1656495031003909526,1656495031039202695,1656495030963190082,49538864,14245695,90258308,0,
1656495031093091693,1656495031093117430,Timing,FusionComponent::Proc,25737,0,0,0,1656495031093117430,1656495031093117430,1656495031093117430,0,
1656495031107334913,1656495031107361794,Timing,FusionComponent::Proc,26881,0,0,0,1656495031107361794,1656495031107361794,1656495031107361794,0,
1656495031111591150,1656495031111618091,Timing,FusionComponent::Proc,26941,0,0,0,1656495031111618091,1656495031111618091,1656495031111618091,0,
1656495031158906449,1656495031158933923,Timing,FusionComponent::Proc,27474,0,0,0,1656495031158933923,1656495031158933923,1656495031158933923,0,
1656495031180648599,1656495031180676749,Timing,FusionComponent::Proc,28150,0,0,0,1656495031180676749,1656495031180676749,1656495031180676749,0,
1656495031186535584,1656495031187056734,Timing,FusionComponent::Proc,521150,1656495031135252154,1656495031169479320,1656495031094708023,51804580,17577414,92348711,0,
