ts_start,ts_end,type,component,execution_time,ts_cam,ts_lidar,ts_radar,lat_cam,lat_lidar,lat_radar,is_finish,info
1656495030414950968,1656495030436119683,Timing,LaneDetectionComponent::OnReceiveImage,21168715,1656495030414949726,0,0,21169957,1656495030436119683,1656495030436119683,0,
1656495030455641893,1656495030489890267,Timing,LaneDetectionComponent::OnReceiveImage,34248374,1656495030455639671,0,0,34250596,1656495030489890267,1656495030489890267,0,
1656495030537193644,1656495030550246102,Timing,LaneDetectionComponent::OnReceiveImage,13052458,1656495030541269473,0,0,8976629,1656495030550246102,1656495030550246102,0,
1656495030541270962,1656495030580856911,Timing,LaneDetectionComponent::OnReceiveImage,39585949,1656495030541269473,0,0,39587438,1656495030580856911,1656495030580856911,0,
1656495030599140822,1656495030622890303,Timing,LaneDetectionComponent::OnReceiveImage,23749481,1656495030606746167,0,0,16144136,1656495030622890303,1656495030622890303,0,
1656495030606747574,1656495030623630601,Timing,LaneDetectionComponent::OnReceiveImage,16883027,1656495030606746167,0,0,16884434,1656495030623630601,1656495030623630601,0,
1656495030675137305,1656495030699449141,Timing,LaneDetectionComponent::OnReceiveImage,24311836,1656495030677810928,0,0,21638213,1656495030699449141,1656495030699449141,0,
1656495030677813959,1656495030700280652,Timing,LaneDetectionComponent::OnReceiveImage,22466693,1656495030677810928,0,0,22469724,1656495030700280652,1656495030700280652,0,
1656495030732740236,1656495030753887637,Timing,LaneDetectionComponent::OnReceiveImage,21147401,1656495030737407961,0,0,16479676,1656495030753887637,1656495030753887637,0,
1656495030737409935,1656495030754648033,Timing,LaneDetectionComponent::OnReceiveImage,17238098,1656495030737407961,0,0,17240072,1656495030754648033,1656495030754648033,0,
1656495030793251162,1656495030812235016,Timing,LaneDetectionComponent::OnReceiveImage,18983854,1656495030804759176,0,0,7475840,1656495030812235016,1656495030812235016,0,
1656495030804761437,1656495030813098912,Timing,LaneDetectionComponent::OnReceiveImage,8337475,1656495030804759176,0,0,8339736,1656495030813098912,1656495030813098912,0,
1656495030857477654,1656495030876718531,Timing,LaneDetectionComponent::OnReceiveImage,19240877,1656495030861583798,0,0,15134733,1656495030876718531,1656495030876718531,0,
1656495030861587516,1656495030877457241,Timing,LaneDetectionComponent::OnReceiveImage,15869725,1656495030861583798,0,0,15873443,1656495030877457241,1656495030877457241,0,
1656495030936430304,1656495030956205768,Timing,LaneDetectionComponent::OnReceiveImage,19775464,1656495030939415066,0,0,16790702,1656495030956205768,1656495030956205768,0,
1656495030939416510,1656495030956989500,Timing,LaneDetectionComponent::OnReceiveImage,17572990,1656495030939415066,0,0,17574434,1656495030956989500,1656495030956989500,0,
1656495030998353720,1656495031021456523,Timing,LaneDetectionComponent::OnReceiveImage,23102803,1656495031004629570,0,0,16826953,1656495031021456523,1656495031021456523,0,
1656495031004630984,1656495031022189460,Timing,LaneDetectionComponent::OnReceiveImage,17558476,1656495031004629570,0,0,17559890,1656495031022189460,1656495031022189460,0,
1656495031067994421,1656495031069596342,Timing,LaneDetectionComponent::OnReceiveImage,1601921,1656495031067992870,0,0,1603472,1656495031069596342,1656495031069596342,0,
1656495031070316323,1656495031091370604,Timing,LaneDetectionComponent::OnReceiveImage,21054281,1656495031070314934,0,0,21055670,1656495031091370604,1656495031091370604,0,
1656495031129970649,1656495031149886127,Timing,LaneDetectionComponent::OnReceiveImage,19915478,1656495031135280432,0,0,14605695,1656495031149886127,1656495031149886127,0,
1656495031135281492,1656495031150663375,Timing,LaneDetectionComponent::OnReceiveImage,15381883,1656495031135280432,0,0,15382943,1656495031150663375,1656495031150663375,0,
1656495031204138166,1656495031229810557,Timing,LaneDetectionComponent::OnReceiveImage,25672391,1656495031220974778,0,0,8835779,1656495031229810557,1656495031229810557,0,
1656495031220976983,1656495031230974246,Timing,LaneDetectionComponent::OnReceiveImage,9997263,1656495031220974778,0,0,9999468,1656495031230974246,1656495031230974246,0,
1656495031274224730,1656495031300847725,Timing,LaneDetectionComponent::OnReceiveImage,26622995,1656495031293802382,0,0,7045343,1656495031300847725,1656495031300847725,0,
1656495031293803832,1656495031301765512,Timing,LaneDetectionComponent::OnReceiveImage,7961680,1656495031293802382,0,0,7963130,1656495031301765512,1656495031301765512,0,
1656495031343370009,1656495031367105300,Timing,LaneDetectionComponent::OnReceiveImage,23735291,1656495031348057675,0,0,19047625,1656495031367105300,1656495031367105300,0,
1656495031348059194,1656495031367901704,Timing,LaneDetectionComponent::OnReceiveImage,19842510,1656495031348057675,0,0,19844029,1656495031367901704,1656495031367901704,0,
1656495031406216397,1656495031428737237,Timing,LaneDetectionComponent::OnReceiveImage,22520840,1656495031412665789,0,0,16071448,1656495031428737237,1656495031428737237,0,
1656495031412667470,1656495031429589961,Timing,LaneDetectionComponent::OnReceiveImage,16922491,1656495031412665789,0,0,16924172,1656495031429589961,1656495031429589961,0,
1656495031476439946,1656495031498161342,Timing,LaneDetectionComponent::OnReceiveImage,21721396,1656495031486142029,0,0,12019313,1656495031498161342,1656495031498161342,0,
1656495031486143218,1656495031499049019,Timing,LaneDetectionComponent::OnReceiveImage,12905801,1656495031486142029,0,0,12906990,1656495031499049019,1656495031499049019,0,
1656495031549895667,1656495031573711440,Timing,LaneDetectionComponent::OnReceiveImage,23815773,1656495031552617437,0,0,21094003,1656495031573711440,1656495031573711440,0,
1656495031552619105,1656495031574529325,Timing,LaneDetectionComponent::OnReceiveImage,21910220,1656495031552617437,0,0,21911888,1656495031574529325,1656495031574529325,0,
1656495031611230872,1656495031632070225,Timing,LaneDetectionComponent::OnReceiveImage,20839353,1656495031621873778,0,0,10196447,1656495031632070225,1656495031632070225,0,
1656495031621875083,1656495031632898752,Timing,LaneDetectionComponent::OnReceiveImage,11023669,1656495031621873778,0,0,11024974,1656495031632898752,1656495031632898752,0,
1656495031680020115,1656495031704436257,Timing,LaneDetectionComponent::OnReceiveImage,24416142,1656495031686746613,0,0,17689644,1656495031704436257,1656495031704436257,0,
1656495031686747752,1656495031705418267,Timing,LaneDetectionComponent::OnReceiveImage,18670515,1656495031686746613,0,0,18671654,1656495031705418267,1656495031705418267,0,
1656495031758690687,1656495031778106266,Timing,LaneDetectionComponent::OnReceiveImage,19415579,1656495031760517463,0,0,17588803,1656495031778106266,1656495031778106266,0,
1656495031760518683,1656495031779071886,Timing,LaneDetectionComponent::OnReceiveImage,18553203,1656495031760517463,0,0,18554423,1656495031779071886,1656495031779071886,0,
1656495031827502221,1656495031846663094,Timing,LaneDetectionComponent::OnReceiveImage,19160873,1656495031829637861,0,0,17025233,1656495031846663094,1656495031846663094,0,
1656495031829639399,1656495031847619141,Timing,LaneDetectionComponent::OnReceiveImage,17979742,1656495031829637861,0,0,17981280,1656495031847619141,1656495031847619141,0,
1656495031889731134,1656495031891048184,Timing,LaneDetectionComponent::OnReceiveImage,1317050,1656495031889729482,0,0,1318702,1656495031891048184,1656495031891048184,0,
1656495031923315096,1656495031942313619,Timing,LaneDetectionComponent::OnReceiveImage,18998523,1656495031923312884,0,0,19000735,1656495031942313619,1656495031942313619,0,
1656495031956533850,1656495031976445688,Timing,LaneDetectionComponent::OnReceiveImage,19911838,1656495031965700821,0,0,10744867,1656495031976445688,1656495031976445688,0,
1656495031965702464,1656495031977252048,Timing,LaneDetectionComponent::OnReceiveImage,11549584,1656495031965700821,0,0,11551227,1656495031977252048,1656495031977252048,0,
1656495032034858667,1656495032036408570,Timing,LaneDetectionComponent::OnReceiveImage,1549903,1656495032034856363,0,0,1552207,1656495032036408570,1656495032036408570,0,
1656495032038121661,1656495032054879747,Timing,LaneDetectionComponent::OnReceiveImage,16758086,1656495032038120446,0,0,16759301,1656495032054879747,1656495032054879747,0,
1656495032101488507,1656495032103049634,Timing,LaneDetectionComponent::OnReceiveImage,1561127,1656495032101486604,0,0,1563030,1656495032103049634,1656495032103049634,0,
1656495032103978501,1656495032120092744,Timing,LaneDetectionComponent::OnReceiveImage,16114243,1656495032103977252,0,0,16115492,1656495032120092744,1656495032120092744,0,
1656495032156703219,1656495032179052577,Timing,LaneDetectionComponent::OnReceiveImage,22349358,1656495032166417522,0,0,12635055,1656495032179052577,1656495032179052577,0,
1656495032166418904,1656495032179847341,Timing,LaneDetectionComponent::OnReceiveImage,13428437,1656495032166417522,0,0,13429819,1656495032179847341,1656495032179847341,0,
1656495032223574437,1656495032250067431,Timing,LaneDetectionComponent::OnReceiveImage,26492994,1656495032226802316,0,0,23265115,1656495032250067431,1656495032250067431,0,
1656495032226803682,1656495032250789905,Timing,LaneDetectionComponent::OnReceiveImage,23986223,1656495032226802316,0,0,23987589,1656495032250789905,1656495032250789905,0,
