,ts_start,ts_end,type,component,execution_time,ts_cam,ts_lidar,ts_radar,lat_cam,lat_lidar,lat_radar,is_finish,info
0,1656495030367350515,1656495030379788789,Timing,RadarDetectionComponent::Proc,12438274,0,0,1656495030367348713,1656495030379788789,1656495030379788789,12440076,0,
1,1656495030379827287,1656495030379862476,Timing,FusionComponent::Proc,35189,0,0,0,1656495030379862476,1656495030379862476,1656495030379862476,0,
2,1656495030373893120,1656495030386301152,Timing,DetectionComponent::Proc,12408032,0,0,0,1656495030386301152,1656495030386301152,1656495030386301152,0,
3,1656495030413278618,1656495030467833079,Timing,FusionCameraDetectionComponent::OnReceiveImage,54554461,1656495030459774102,0,0,8058977,1656495030467833079,1656495030467833079,0,
4,1656495030467872294,1656495030467907583,Timing,FusionComponent::Proc,35289,0,0,0,1656495030467907583,1656495030467907583,1656495030467907583,0,
5,1656495030491659461,1656495030504367634,Timing,RadarDetectionComponent::Proc,12708173,0,0,1656495030491657819,1656495030504367634,1656495030504367634,12709815,0,
6,1656495030504426829,1656495030504454199,Timing,FusionComponent::Proc,27370,0,0,0,1656495030504454199,1656495030504454199,1656495030504454199,0,
7,1656495030459775204,1656495030506362043,Timing,FusionCameraDetectionComponent::OnReceiveImage,46586839,1656495030459774102,0,0,46587941,1656495030506362043,1656495030506362043,0,
8,1656495030506398549,1656495030506428057,Timing,FusionComponent::Proc,29508,0,0,0,1656495030506428057,1656495030506428057,1656495030506428057,0,
9,1656495030498207103,1656495030530750349,Timing,DetectionComponent::Proc,32543246,0,1656495030498205263,0,1656495030530750349,32545086,1656495030530750349,0,
10,1656495030530823348,1656495030530973127,Timing,RecognitionComponent::Proc,149779,0,1656495030498205263,0,1656495030530973127,32767864,1656495030530973127,0,
11,1656495030530986133,1656495030531657134,Timing,FusionComponent::Proc,671001,1656495030459774102,1656495030498205263,1656495030491657819,71883032,33451871,39999315,0,
12,1656495030541503169,1656495030579444787,Timing,FusionCameraDetectionComponent::OnReceiveImage,37941618,1656495030545486485,0,0,33958302,1656495030579444787,1656495030579444787,0,
13,1656495030579496002,1656495030579532857,Timing,FusionComponent::Proc,36855,0,0,0,1656495030579532857,1656495030579532857,1656495030579532857,0,
14,1656495030545488169,1656495030622096920,Timing,FusionCameraDetectionComponent::OnReceiveImage,76608751,1656495030606747953,0,0,15348967,1656495030622096920,1656495030622096920,0,
15,1656495030622153021,1656495030622188878,Timing,FusionComponent::Proc,35857,0,0,0,1656495030622188878,1656495030622188878,1656495030622188878,0,
16,1656495030625129921,1656495030637841181,Timing,RadarDetectionComponent::Proc,12711260,0,0,1656495030625128662,1656495030637841181,1656495030637841181,12712519,0,
17,1656495030637888060,1656495030637928681,Timing,FusionComponent::Proc,40621,0,0,0,1656495030637928681,1656495030637928681,1656495030637928681,0,
18,1656495030606749233,1656495030651662811,Timing,FusionCameraDetectionComponent::OnReceiveImage,44913578,1656495030622163594,0,0,29499217,1656495030651662811,1656495030651662811,0,
19,1656495030651715160,1656495030651749261,Timing,FusionComponent::Proc,34101,0,0,0,1656495030651749261,1656495030651749261,1656495030651749261,0,
20,1656495030634642324,1656495030679359550,Timing,DetectionComponent::Proc,44717226,0,1656495030634640795,0,1656495030679359550,44718755,1656495030679359550,0,
21,1656495030679428234,1656495030679647195,Timing,RecognitionComponent::Proc,218961,0,1656495030634640795,0,1656495030679647195,45006400,1656495030679647195,0,
22,1656495030679655829,1656495030680243316,Timing,FusionComponent::Proc,587487,1656495030622163594,1656495030634640795,1656495030625128662,58079722,45602521,55114654,0,
23,1656495030622164709,1656495030689912098,Timing,FusionCameraDetectionComponent::OnReceiveImage,67747389,1656495030679548434,0,0,10363664,1656495030689912098,1656495030689912098,0,
24,1656495030689953353,1656495030689984332,Timing,FusionComponent::Proc,30979,0,0,0,1656495030689984332,1656495030689984332,1656495030689984332,0,
25,1656495030679549351,1656495030713126159,Timing,FusionCameraDetectionComponent::OnReceiveImage,33576808,1656495030689959281,0,0,23166878,1656495030713126159,1656495030713126159,0,
26,1656495030713187824,1656495030713215518,Timing,FusionComponent::Proc,27694,0,0,0,1656495030713215518,1656495030713215518,1656495030713215518,0,
27,1656495030689960059,1656495030733860093,Timing,FusionCameraDetectionComponent::OnReceiveImage,43900034,1656495030689959281,0,0,43900812,1656495030733860093,1656495030733860093,0,
28,1656495030733989944,1656495030734056454,Timing,FusionComponent::Proc,66510,0,0,0,1656495030734056454,1656495030734056454,1656495030734056454,0,
29,1656495030734001649,1656495030760037247,Timing,FusionCameraDetectionComponent::OnReceiveImage,26035598,1656495030737437215,0,0,22600032,1656495030760037247,1656495030760037247,0,
30,1656495030760079299,1656495030760106021,Timing,FusionComponent::Proc,26722,0,0,0,1656495030760106021,1656495030760106021,1656495030760106021,0,
31,1656495030763993913,1656495030764375718,Timing,RadarDetectionComponent::Proc,381805,0,0,1656495030763992641,1656495030764375718,1656495030764375718,383077,0,
32,1656495030764412752,1656495030764433398,Timing,FusionComponent::Proc,20646,0,0,0,1656495030764433398,1656495030764433398,1656495030764433398,0,
33,1656495030737442835,1656495030792969422,Timing,FusionCameraDetectionComponent::OnReceiveImage,55526587,1656495030737437215,0,0,55532207,1656495030792969422,1656495030792969422,0,
34,1656495030793082730,1656495030793127744,Timing,FusionComponent::Proc,45014,0,0,0,1656495030793127744,1656495030793127744,1656495030793127744,0,
35,1656495030766302266,1656495030799560633,Timing,DetectionComponent::Proc,33258367,0,1656495030766301022,0,1656495030799560633,33259611,1656495030799560633,0,
36,1656495030799628621,1656495030799805290,Timing,RecognitionComponent::Proc,176669,0,1656495030766301022,0,1656495030799805290,33504268,1656495030799805290,0,
37,1656495030799815690,1656495030800690275,Timing,FusionComponent::Proc,874585,1656495030737437215,1656495030766301022,1656495030763992641,63253060,34389253,36697634,0,
38,1656495030793232068,1656495030824241927,Timing,FusionCameraDetectionComponent::OnReceiveImage,31009859,1656495030803127866,0,0,21114061,1656495030824241927,1656495030824241927,0,
39,1656495030824276753,1656495030824305504,Timing,FusionComponent::Proc,28751,0,0,0,1656495030824305504,1656495030824305504,1656495030824305504,0,
40,1656495030830429731,1656495030850773874,Timing,DetectionComponent::Proc,20344143,0,1656495030830428040,0,1656495030850773874,20345834,1656495030850773874,0,
41,1656495030850845641,1656495030851038991,Timing,RecognitionComponent::Proc,193350,0,1656495030830428040,0,1656495030851038991,20610951,1656495030851038991,0,
42,1656495030803129484,1656495030851173352,Timing,FusionCameraDetectionComponent::OnReceiveImage,48043868,1656495030803127866,0,0,48045486,1656495030851173352,1656495030851173352,0,
43,1656495030851047573,1656495030851549385,Timing,FusionComponent::Proc,501812,1656495030803127866,1656495030830428040,1656495030763992641,48421519,21121345,87556744,0,
44,1656495030851585406,1656495030851594844,Timing,FusionComponent::Proc,9438,0,0,0,1656495030851594844,1656495030851594844,1656495030851594844,0,
45,1656495030857434311,1656495030886048886,Timing,FusionCameraDetectionComponent::OnReceiveImage,28614575,1656495030861582013,0,0,24466873,1656495030886048886,1656495030886048886,0,
46,1656495030886091427,1656495030886117606,Timing,FusionComponent::Proc,26179,0,0,0,1656495030886117606,1656495030886117606,1656495030886117606,0,
47,1656495030861583583,1656495030903173331,Timing,FusionCameraDetectionComponent::OnReceiveImage,41589748,1656495030861582013,0,0,41591318,1656495030903173331,1656495030903173331,0,
48,1656495030903218501,1656495030903239404,Timing,FusionComponent::Proc,20903,0,0,0,1656495030903239404,1656495030903239404,1656495030903239404,0,
49,1656495030904756286,1656495030908090479,Timing,RadarDetectionComponent::Proc,3334193,0,0,1656495030904755288,1656495030908090479,1656495030908090479,3335191,0,
50,1656495030908121933,1656495030908146156,Timing,FusionComponent::Proc,24223,0,0,0,1656495030908146156,1656495030908146156,1656495030908146156,0,
51,1656495030908542816,1656495030923129432,Timing,DetectionComponent::Proc,14586616,0,1656495030908542049,0,1656495030923129432,14587383,1656495030923129432,0,
52,1656495030923211090,1656495030923463078,Timing,RecognitionComponent::Proc,251988,0,1656495030908542049,0,1656495030923463078,14921029,1656495030923463078,0,
53,1656495030923466943,1656495030924002716,Timing,FusionComponent::Proc,535773,1656495030861582013,1656495030908542049,1656495030904755288,62420703,15460667,19247428,0,
54,1656495030936328490,1656495030966882071,Timing,FusionCameraDetectionComponent::OnReceiveImage,30553581,1656495030939418805,0,0,27463266,1656495030966882071,1656495030966882071,0,
55,1656495030966923643,1656495030966947117,Timing,FusionComponent::Proc,23474,0,0,0,1656495030966947117,1656495030966947117,1656495030966947117,0,
56,1656495030963191351,1656495030975700349,Timing,RadarDetectionComponent::Proc,12508998,0,0,1656495030963190082,1656495030975700349,1656495030975700349,12510267,0,
57,1656495030975737528,1656495030975758034,Timing,FusionComponent::Proc,20506,0,0,0,1656495030975758034,1656495030975758034,1656495030975758034,0,
58,1656495030939420205,1656495030988275891,Timing,FusionCameraDetectionComponent::OnReceiveImage,48855686,1656495030939418805,0,0,48857086,1656495030988275891,1656495030988275891,0,
59,1656495030988320207,1656495030988348796,Timing,FusionComponent::Proc,28589,0,0,0,1656495030988348796,1656495030988348796,1656495030988348796,0,
60,1656495030998636168,1656495031023848705,Timing,FusionCameraDetectionComponent::OnReceiveImage,25212537,1656495031003909526,0,0,19939179,1656495031023848705,1656495031023848705,0,
61,1656495031023903384,1656495031023947233,Timing,FusionComponent::Proc,43849,0,0,0,1656495031023947233,1656495031023947233,1656495031023947233,0,
62,1656495031003911058,1656495031039742773,Timing,FusionCameraDetectionComponent::OnReceiveImage,35831715,1656495031003909526,0,0,35833247,1656495031039742773,1656495031039742773,0,
63,1656495031039781395,1656495031039804526,Timing,FusionComponent::Proc,23131,0,0,0,1656495031039804526,1656495031039804526,1656495031039804526,0,
64,1656495031039204316,1656495031052394302,Timing,DetectionComponent::Proc,13189986,0,1656495031039202695,0,1656495031052394302,13191607,1656495031052394302,0,
65,1656495031052459843,1656495031052700562,Timing,RecognitionComponent::Proc,240719,0,1656495031039202695,0,1656495031052700562,13497867,1656495031052700562,0,
66,1656495031052714884,1656495031053448390,Timing,FusionComponent::Proc,733506,1656495031003909526,1656495031039202695,1656495030963190082,49538864,14245695,90258308,0,
67,1656495031067902955,1656495031093050897,Timing,FusionCameraDetectionComponent::OnReceiveImage,25147942,1656495031070323905,0,0,22726992,1656495031093050897,1656495031093050897,0,
68,1656495031093091693,1656495031093117430,Timing,FusionComponent::Proc,25737,0,0,0,1656495031093117430,1656495031093117430,1656495031093117430,0,
69,1656495031094709025,1656495031107282221,Timing,RadarDetectionComponent::Proc,12573196,0,0,1656495031094708023,1656495031107282221,1656495031107282221,12574198,0,
70,1656495031107334913,1656495031107361794,Timing,FusionComponent::Proc,26881,0,0,0,1656495031107361794,1656495031107361794,1656495031107361794,0,
71,1656495031070325561,1656495031111549817,Timing,FusionCameraDetectionComponent::OnReceiveImage,41224256,1656495031070323905,0,0,41225912,1656495031111549817,1656495031111549817,0,
72,1656495031111591150,1656495031111618091,Timing,FusionComponent::Proc,26941,0,0,0,1656495031111618091,1656495031111618091,1656495031111618091,0,
73,1656495031129974123,1656495031158865980,Timing,FusionCameraDetectionComponent::OnReceiveImage,28891857,1656495031135252154,0,0,23613826,1656495031158865980,1656495031158865980,0,
74,1656495031158906449,1656495031158933923,Timing,FusionComponent::Proc,27474,0,0,0,1656495031158933923,1656495031158933923,1656495031158933923,0,
75,1656495031135253900,1656495031180590706,Timing,FusionCameraDetectionComponent::OnReceiveImage,45336806,1656495031135252154,0,0,45338552,1656495031180590706,1656495031180590706,0,
76,1656495031180648599,1656495031180676749,Timing,FusionComponent::Proc,28150,0,0,0,1656495031180676749,1656495031180676749,1656495031180676749,0,
77,1656495031169480725,1656495031186198983,Timing,DetectionComponent::Proc,16718258,0,1656495031169479320,0,1656495031186198983,16719663,1656495031186198983,0,
78,1656495031186278675,1656495031186527718,Timing,RecognitionComponent::Proc,249043,0,1656495031169479320,0,1656495031186527718,17048398,1656495031186527718,0,
79,1656495031186535584,1656495031187056734,Timing,FusionComponent::Proc,521150,1656495031135252154,1656495031169479320,1656495031094708023,51804580,17577414,92348711,0,
80,1656495031203609734,1656495031231453793,Timing,FusionCameraDetectionComponent::OnReceiveImage,27844059,1656495031221415665,0,0,10038128,1656495031231453793,1656495031231453793,0,
81,1656495031231488885,1656495031231514975,Timing,FusionComponent::Proc,26090,0,0,0,1656495031231514975,1656495031231514975,1656495031231514975,0,
82,1656495031233452123,1656495031233735793,Timing,RadarDetectionComponent::Proc,283670,0,0,1656495031233451271,1656495031233735793,1656495031233735793,284522,0,
83,1656495031233768469,1656495031233791771,Timing,FusionComponent::Proc,23302,0,0,0,1656495031233791771,1656495031233791771,1656495031233791771,0,
84,1656495031221417928,1656495031264131329,Timing,FusionCameraDetectionComponent::OnReceiveImage,42713401,1656495031221415665,0,0,42715664,1656495031264131329,1656495031264131329,0,
85,1656495031264201640,1656495031264231217,Timing,FusionComponent::Proc,29577,0,0,0,1656495031264231217,1656495031264231217,1656495031264231217,0,
86,1656495031244950116,1656495031265997806,Timing,DetectionComponent::Proc,21047690,0,1656495031244948585,0,1656495031265997806,21049221,1656495031265997806,0,
87,1656495031266061040,1656495031266311036,Timing,RecognitionComponent::Proc,249996,0,1656495031244948585,0,1656495031266311036,21362451,1656495031266311036,0,
88,1656495031266319881,1656495031266992895,Timing,FusionComponent::Proc,673014,1656495031221415665,1656495031244948585,1656495031233451271,45577230,22044310,33541624,0,
89,1656495031274614000,1656495031301784131,Timing,FusionCameraDetectionComponent::OnReceiveImage,27170131,1656495031293785817,0,0,7998314,1656495031301784131,1656495031301784131,0,
90,1656495031301832029,1656495031301859927,Timing,FusionComponent::Proc,27898,0,0,0,1656495031301859927,1656495031301859927,1656495031301859927,0,
91,1656495031293788141,1656495031323373983,Timing,FusionCameraDetectionComponent::OnReceiveImage,29585842,1656495031293785817,0,0,29588166,1656495031323373983,1656495031323373983,0,
92,1656495031323422367,1656495031323453332,Timing,FusionComponent::Proc,30965,0,0,0,1656495031323453332,1656495031323453332,1656495031323453332,0,
