,ts_start,ts_end,type,component,execution_time,ts_cam,ts_lidar,ts_radar,lat_cam,lat_lidar,lat_radar,is_finish,info
0,1656495307098784276,1656495307098849966,Timing,ControlComponent::Proc,65690,0,0,0,1656495307098849966,1656495307098849966,1656495307098849966,0,
1,1656495307108525468,1656495307108591031,Timing,ControlComponent::Proc,65563,0,0,0,1656495307108591031,1656495307108591031,1656495307108591031,0,
2,1656495307118556737,1656495307118622619,Timing,ControlComponent::Proc,65882,0,0,0,1656495307118622619,1656495307118622619,1656495307118622619,0,
3,1656495307128547615,1656495307128607147,Timing,ControlComponent::Proc,59532,0,0,0,1656495307128607147,1656495307128607147,1656495307128607147,0,
4,1656495307138518435,1656495307138601302,Timing,ControlComponent::Proc,82867,0,0,0,1656495307138601302,1656495307138601302,1656495307138601302,0,
5,1656495307148554996,1656495307148674436,Timing,ControlComponent::Proc,119440,0,0,0,1656495307148674436,1656495307148674436,1656495307148674436,0,
6,1656495307158552441,1656495307158605256,Timing,ControlComponent::Proc,52815,0,0,0,1656495307158605256,1656495307158605256,1656495307158605256,0,
7,1656495307168552218,1656495307168610639,Timing,ControlComponent::Proc,58421,0,0,0,1656495307168610639,1656495307168610639,1656495307168610639,0,
8,1656495307178560072,1656495307178638029,Timing,ControlComponent::Proc,77957,0,0,0,1656495307178638029,1656495307178638029,1656495307178638029,0,
9,1656495307188549376,1656495307188608654,Timing,ControlComponent::Proc,59278,0,0,0,1656495307188608654,1656495307188608654,1656495307188608654,0,
10,1656495307198555166,1656495307198775994,Timing,ControlComponent::Proc,220828,0,0,0,1656495307198775994,1656495307198775994,1656495307198775994,0,
11,1656495307208549053,1656495307208610836,Timing,ControlComponent::Proc,61783,0,0,0,1656495307208610836,1656495307208610836,1656495307208610836,0,
12,1656495307218554660,1656495307218608371,Timing,ControlComponent::Proc,53711,0,0,0,1656495307218608371,1656495307218608371,1656495307218608371,0,
13,1656495307228550660,1656495307228627884,Timing,ControlComponent::Proc,77224,0,0,0,1656495307228627884,1656495307228627884,1656495307228627884,0,
14,1656495307238555559,1656495307238630242,Timing,ControlComponent::Proc,74683,0,0,0,1656495307238630242,1656495307238630242,1656495307238630242,0,
15,1656495307248568311,1656495307248630332,Timing,ControlComponent::Proc,62021,0,0,0,1656495307248630332,1656495307248630332,1656495307248630332,0,
