ts_start,ts_end,type,component,execution_time,ts_cam,ts_lidar,ts_radar,lat_cam,lat_lidar,lat_radar,is_finish,info
1656495382374762331,1656495382405316392,Timing,FusionCameraDetectionComponent::OnReceiveImage,30554061,1656495382379255837,0,0,26060555,1656495382405316392,1656495382405316392,0,
1656495382379257451,1656495382427815081,Timing,FusionCameraDetectionComponent::OnReceiveImage,48557630,1656495382379255837,0,0,48559244,1656495382427815081,1656495382427815081,0,
1656495382440989258,1656495382465998958,Timing,FusionCameraDetectionComponent::OnReceiveImage,25009700,1656495382445556698,0,0,20442260,1656495382465998958,1656495382465998958,0,
1656495382445557997,1656495382489575400,Timing,FusionCameraDetectionComponent::OnReceiveImage,44017403,1656495382445556698,0,0,44018702,1656495382489575400,1656495382489575400,0,
1656495382500026973,1656495382527770000,Timing,FusionCameraDetectionComponent::OnReceiveImage,27743027,1656495382514498593,0,0,13271407,1656495382527770000,1656495382527770000,0,
1656495382514504048,1656495382552865699,Timing,FusionCameraDetectionComponent::OnReceiveImage,38361651,1656495382552444142,0,0,421557,1656495382552865699,1656495382552865699,0,
1656495382552446536,1656495382579027128,Timing,FusionCameraDetectionComponent::OnReceiveImage,26580592,1656495382552898041,0,0,26129087,1656495382579027128,1656495382579027128,0,
1656495382552898467,1656495382596673410,Timing,FusionCameraDetectionComponent::OnReceiveImage,43774943,1656495382552898041,0,0,43775369,1656495382596673410,1656495382596673410,0,
1656495382638406986,1656495382666018323,Timing,FusionCameraDetectionComponent::OnReceiveImage,27611337,1656495382640726136,0,0,25292187,1656495382666018323,1656495382666018323,0,
1656495382640727835,1656495382691646541,Timing,FusionCameraDetectionComponent::OnReceiveImage,50918706,1656495382640726136,0,0,50920405,1656495382691646541,1656495382691646541,0,
1656495382703862261,1656495382732241959,Timing,FusionCameraDetectionComponent::OnReceiveImage,28379698,1656495382716692845,0,0,15549114,1656495382732241959,1656495382732241959,0,
1656495382716696080,1656495382755896446,Timing,FusionCameraDetectionComponent::OnReceiveImage,39200366,1656495382716692845,0,0,39203601,1656495382755896446,1656495382755896446,0,
1656495382767317393,1656495382792951189,Timing,FusionCameraDetectionComponent::OnReceiveImage,25633796,1656495382783155407,0,0,9795782,1656495382792951189,1656495382792951189,0,
1656495382783156346,1656495382814285964,Timing,FusionCameraDetectionComponent::OnReceiveImage,31129618,1656495382813863871,0,0,422093,1656495382814285964,1656495382814285964,0,
1656495382813868056,1656495382837971239,Timing,FusionCameraDetectionComponent::OnReceiveImage,24103183,1656495382814318710,0,0,23652529,1656495382837971239,1656495382837971239,0,
1656495382814319158,1656495382855035469,Timing,FusionCameraDetectionComponent::OnReceiveImage,40716311,1656495382814318710,0,0,40716759,1656495382855035469,1656495382855035469,0,
