ts_start,ts_end,type,component,execution_time,ts_cam,ts_lidar,ts_radar,lat_cam,lat_lidar,lat_radar,is_finish,info
1656495406380973516,1656495406381106816,Timing,RecognitionComponent::Proc,133300,0,1656495406360552582,0,1656495406381106816,20554234,1656495406381106816,0,
1656495406496327813,1656495406496834863,Timing,RecognitionComponent::Proc,507050,0,1656495406477828770,0,1656495406496834863,19006093,1656495406496834863,0,
1656495406596274492,1656495406596396325,Timing,RecognitionComponent::Proc,121833,0,1656495406574421624,0,1656495406596396325,21974701,1656495406596396325,0,
1656495406657451216,1656495406657602710,Timing,RecognitionComponent::Proc,151494,0,1656495406632168220,0,1656495406657602710,25434490,1656495406657602710,0,
1656495406775124479,1656495406775297260,Timing,RecognitionComponent::Proc,172781,0,1656495406755879352,0,1656495406775297260,19417908,1656495406775297260,0,
1656495406902411694,1656495406902706696,Timing,RecognitionComponent::Proc,295002,0,1656495406887268531,0,1656495406902706696,15438165,1656495406902706696,0,
1656495407013335947,1656495407013532364,Timing,RecognitionComponent::Proc,196417,0,1656495406997972505,0,1656495407013532364,15559859,1656495407013532364,0,
1656495407029682709,1656495407029901339,Timing,RecognitionComponent::Proc,218630,0,1656495407013336560,0,1656495407029901339,16564779,1656495407029901339,0,
1656495407203264737,1656495407203411221,Timing,RecognitionComponent::Proc,146484,0,1656495407185212813,0,1656495407203411221,18198408,1656495407203411221,0,
1656495407319779425,1656495407319989852,Timing,RecognitionComponent::Proc,210427,0,1656495407298788321,0,1656495407319989852,21201531,1656495407319989852,0,
1656495407396974979,1656495407397136825,Timing,RecognitionComponent::Proc,161846,0,1656495407381615842,0,1656495407397136825,15520983,1656495407397136825,0,
1656495407530954221,1656495407531150952,Timing,RecognitionComponent::Proc,196731,0,1656495407509566485,0,1656495407531150952,21584467,1656495407531150952,0,
1656495407591420461,1656495407591606740,Timing,RecognitionComponent::Proc,186279,0,1656495407576789960,0,1656495407591606740,14816780,1656495407591606740,0,
1656495407720353561,1656495407720522720,Timing,RecognitionComponent::Proc,169159,0,1656495407706387669,0,1656495407720522720,14135051,1656495407720522720,0,
1656495407786015822,1656495407786210078,Timing,RecognitionComponent::Proc,194256,0,1656495407770094307,0,1656495407786210078,16115771,1656495407786210078,0,
1656495407905272478,1656495407905438955,Timing,RecognitionComponent::Proc,166477,0,1656495407886709310,0,1656495407905438955,18729645,1656495407905438955,0,
1656495407963145780,1656495407963307538,Timing,RecognitionComponent::Proc,161758,0,1656495407941929243,0,1656495407963307538,21378295,1656495407963307538,0,
1656495408075817518,1656495408076205769,Timing,RecognitionComponent::Proc,388251,0,1656495408044061758,0,1656495408076205769,32144011,1656495408076205769,0,
1656495408179780003,1656495408179982242,Timing,RecognitionComponent::Proc,202239,0,1656495408159232766,0,1656495408179982242,20749476,1656495408179982242,0,
1656495408265633618,1656495408266024953,Timing,RecognitionComponent::Proc,391335,0,1656495408236540197,0,1656495408266024953,29484756,1656495408266024953,0,
1656495408349781091,1656495408350273664,Timing,RecognitionComponent::Proc,492573,0,1656495408334016159,0,1656495408350273664,16257505,1656495408350273664,0,
