ts_start,ts_end,type,component,execution_time,ts_cam,ts_lidar,ts_radar,lat_cam,lat_lidar,lat_radar,is_finish,info
1656498046603575926,1656498046615919241,Timing,DetectionComponent::Proc,12343315,0,0,0,1656498046615919241,1656498046615919241,1656498046615919241,0,
1656498046756553213,1656498046798670926,Timing,DetectionComponent::Proc,42117713,0,1656498046756551861,0,1656498046798670926,42119065,1656498046798670926,0,
1656498046882273874,1656498046920121633,Timing,DetectionComponent::Proc,37847759,0,1656498046882271682,0,1656498046920121633,37849951,1656498046920121633,0,
1656498046945346431,1656498046984515047,Timing,DetectionComponent::Proc,39168616,0,1656498046945345129,0,1656498046984515047,39169918,1656498046984515047,0,
1656498047012913547,1656498047039926521,Timing,DetectionComponent::Proc,27012974,0,1656498047012911189,0,1656498047039926521,27015332,1656498047039926521,0,
1656498047147782345,1656498047161965443,Timing,DetectionComponent::Proc,14183098,0,1656498047147780399,0,1656498047161965443,14185044,1656498047161965443,0,
1656498047216657120,1656498047235592287,Timing,DetectionComponent::Proc,18935167,0,1656498047216655282,0,1656498047235592287,18937005,1656498047235592287,0,
1656498047348113914,1656498047365843536,Timing,DetectionComponent::Proc,17729622,0,1656498047348112354,0,1656498047365843536,17731182,1656498047365843536,0,
1656498047424011036,1656498047442911520,Timing,DetectionComponent::Proc,18900484,0,1656498047424009479,0,1656498047442911520,18902041,1656498047442911520,0,
1656498047556934727,1656498047576803670,Timing,DetectionComponent::Proc,19868943,0,1656498047556932365,0,1656498047576803670,19871305,1656498047576803670,0,
1656498047622493816,1656498047640388913,Timing,DetectionComponent::Proc,17895097,0,1656498047622491908,0,1656498047640388913,17897005,1656498047640388913,0,
1656498047762393783,1656498047779456612,Timing,DetectionComponent::Proc,17062829,0,1656498047762392473,0,1656498047779456612,17064139,1656498047779456612,0,
1656498047830468651,1656498047849659565,Timing,DetectionComponent::Proc,19190914,0,1656498047830466939,0,1656498047849659565,19192626,1656498047849659565,0,
1656498047982224123,1656498047995734185,Timing,DetectionComponent::Proc,13510062,0,1656498047982223271,0,1656498047995734185,13510914,1656498047995734185,0,
1656498048051978165,1656498048068041654,Timing,DetectionComponent::Proc,16063489,0,1656498048051976684,0,1656498048068041654,16064970,1656498048068041654,0,
1656498048203479480,1656498048227932179,Timing,DetectionComponent::Proc,24452699,0,1656498048203478292,0,1656498048227932179,24453887,1656498048227932179,0,
1656498048265108667,1656498048282841358,Timing,DetectionComponent::Proc,17732691,0,1656498048265107299,0,1656498048282841358,17734059,1656498048282841358,0,
1656498048343623594,1656498048362371808,Timing,DetectionComponent::Proc,18748214,0,1656498048343621577,0,1656498048362371808,18750231,1656498048362371808,0,
1656498048518155810,1656498048535169190,Timing,DetectionComponent::Proc,17013380,0,1656498048518154310,0,1656498048535169190,17014880,1656498048535169190,0,
1656498048586202779,1656498048600031419,Timing,DetectionComponent::Proc,13828640,0,1656498048586200952,0,1656498048600031419,13830467,1656498048600031419,0,
1656498048672393024,1656498048685505856,Timing,DetectionComponent::Proc,13112832,0,1656498048672392111,0,1656498048685505856,13113745,1656498048685505856,0,
