,ts_start,ts_end,type,component,execution_time,ts_cam,ts_lidar,ts_radar,lat_cam,lat_lidar,lat_radar,is_finish,info
0,1656498046571636201,1656498046571680779,Timing,RTKLocalizationComponent::Proc,44578,0,0,0,1656498046571680779,1656498046571680779,1656498046571680779,0,
1,1656498046659338972,1656498046659533394,Timing,RTKLocalizationComponent::Proc,194422,0,0,0,1656498046659533394,1656498046659533394,1656498046659533394,0,
2,1656498046731455798,1656498046731534681,Timing,RTKLocalizationComponent::Proc,78883,0,0,0,1656498046731534681,1656498046731534681,1656498046731534681,0,
3,1656498046811436289,1656498046811493692,Timing,RTKLocalizationComponent::Proc,57403,0,0,0,1656498046811493692,1656498046811493692,1656498046811493692,0,
4,1656498046891640290,1656498046891697401,Timing,RTKLocalizationComponent::Proc,57111,0,0,0,1656498046891697401,1656498046891697401,1656498046891697401,0,
5,1656498046971500669,1656498046971572911,Timing,RTKLocalizationComponent::Proc,72242,0,0,0,1656498046971572911,1656498046971572911,1656498046971572911,0,
6,1656498047051500900,1656498047051561926,Timing,RTKLocalizationComponent::Proc,61026,0,0,0,1656498047051561926,1656498047051561926,1656498047051561926,0,
7,1656498047131405478,1656498047131480088,Timing,RTKLocalizationComponent::Proc,74610,0,0,0,1656498047131480088,1656498047131480088,1656498047131480088,0,
8,1656498047211425774,1656498047211489028,Timing,RTKLocalizationComponent::Proc,63254,0,0,0,1656498047211489028,1656498047211489028,1656498047211489028,0,
9,1656498047291533130,1656498047291591194,Timing,RTKLocalizationComponent::Proc,58064,0,0,0,1656498047291591194,1656498047291591194,1656498047291591194,0,
10,1656498047372304340,1656498047372387218,Timing,RTKLocalizationComponent::Proc,82878,0,0,0,1656498047372387218,1656498047372387218,1656498047372387218,0,
11,1656498047451816229,1656498047451920083,Timing,RTKLocalizationComponent::Proc,103854,0,0,0,1656498047451920083,1656498047451920083,1656498047451920083,0,
12,1656498047531415241,1656498047531468367,Timing,RTKLocalizationComponent::Proc,53126,0,0,0,1656498047531468367,1656498047531468367,1656498047531468367,0,
13,1656498047611378872,1656498047611442862,Timing,RTKLocalizationComponent::Proc,63990,0,0,0,1656498047611442862,1656498047611442862,1656498047611442862,0,
14,1656498047691528591,1656498047691586926,Timing,RTKLocalizationComponent::Proc,58335,0,0,0,1656498047691586926,1656498047691586926,1656498047691586926,0,
15,1656498047771973099,1656498047772024178,Timing,RTKLocalizationComponent::Proc,51079,0,0,0,1656498047772024178,1656498047772024178,1656498047772024178,0,
16,1656498047852220846,1656498047852305046,Timing,RTKLocalizationComponent::Proc,84200,0,0,0,1656498047852305046,1656498047852305046,1656498047852305046,0,
17,1656498047931502232,1656498047931589042,Timing,RTKLocalizationComponent::Proc,86810,0,0,0,1656498047931589042,1656498047931589042,1656498047931589042,0,
18,1656498048011636595,1656498048011757749,Timing,RTKLocalizationComponent::Proc,121154,0,0,0,1656498048011757749,1656498048011757749,1656498048011757749,0,
19,1656498048091465754,1656498048091591580,Timing,RTKLocalizationComponent::Proc,125826,0,0,0,1656498048091591580,1656498048091591580,1656498048091591580,0,
