ts_start,ts_end,type,component,execution_time,ts_cam,ts_lidar,ts_radar,lat_cam,lat_lidar,lat_radar,is_finish,info
1656498046800113655,1656498046800205485,Timing,PlanningComponent::Proc,91830,0,0,0,1656498046800205485,1656498046800205485,1656498046800205485,0,
1656498046921906244,1656498046922004610,Timing,PlanningComponent::Proc,98366,0,0,0,1656498046922004610,1656498046922004610,1656498046922004610,0,
1656498046989177020,1656498046989283347,Timing,PlanningComponent::Proc,106327,0,0,0,1656498046989283347,1656498046989283347,1656498046989283347,0,
1656498047042261635,1656498047042434291,Timing,PlanningComponent::Proc,172656,0,0,0,1656498047042434291,1656498047042434291,1656498047042434291,0,
1656498047164145599,1656498047164339742,Timing,PlanningComponent::Proc,194143,0,0,0,1656498047164339742,1656498047164339742,1656498047164339742,0,
1656498047238630614,1656498047238721829,Timing,PlanningComponent::Proc,91215,0,0,0,1656498047238721829,1656498047238721829,1656498047238721829,0,
1656498047368409459,1656498047368532465,Timing,PlanningComponent::Proc,123006,0,0,0,1656498047368532465,1656498047368532465,1656498047368532465,0,
1656498047445426633,1656498047445528323,Timing,PlanningComponent::Proc,101690,0,0,0,1656498047445528323,1656498047445528323,1656498047445528323,0,
1656498047578833581,1656498047579031776,Timing,PlanningComponent::Proc,198195,0,0,0,1656498047579031776,1656498047579031776,1656498047579031776,0,
1656498047642007780,1656498047642085824,Timing,PlanningComponent::Proc,78044,0,0,0,1656498047642085824,1656498047642085824,1656498047642085824,0,
1656498047781708068,1656498047781844757,Timing,PlanningComponent::Proc,136689,0,0,0,1656498047781844757,1656498047781844757,1656498047781844757,0,
1656498047852601462,1656498047852701535,Timing,PlanningComponent::Proc,100073,0,0,0,1656498047852701535,1656498047852701535,1656498047852701535,0,
1656498047997704620,1656498047997818766,Timing,PlanningComponent::Proc,114146,0,0,0,1656498047997818766,1656498047997818766,1656498047997818766,0,
