ts_start,ts_end,type,component,execution_time,ts_cam,ts_lidar,ts_radar,lat_cam,lat_lidar,lat_radar,is_finish,info
1656498046597702609,1656498046610163155,Timing,RadarDetectionComponent::Proc,12460546,0,0,1656498046597701264,1656498046610163155,1656498046610163155,12461891,0,
1656498046740114956,1656498046753032107,Timing,RadarDetectionComponent::Proc,12917151,0,0,1656498046740113378,1656498046753032107,1656498046753032107,12918729,0,
1656498046813759555,1656498046826346185,Timing,RadarDetectionComponent::Proc,12586630,0,0,1656498046813757955,1656498046826346185,1656498046826346185,12588230,0,
1656498046936519143,1656498046949110850,Timing,RadarDetectionComponent::Proc,12591707,0,0,1656498046936517563,1656498046949110850,1656498046949110850,12593287,0,
1656498047079145292,1656498047091769260,Timing,RadarDetectionComponent::Proc,12623968,0,0,1656498047079143785,1656498047091769260,1656498047091769260,12625475,0,
1656498047208786981,1656498047212208983,Timing,RadarDetectionComponent::Proc,3422002,0,0,1656498047208785901,1656498047212208983,1656498047212208983,3423082,0,
1656498047339626482,1656498047352166978,Timing,RadarDetectionComponent::Proc,12540496,0,0,1656498047339625439,1656498047352166978,1656498047352166978,12541539,0,
1656498047416964824,1656498047429672269,Timing,RadarDetectionComponent::Proc,12707445,0,0,1656498047416962962,1656498047429672269,1656498047429672269,12709307,0,
1656498047548413639,1656498047548637129,Timing,RadarDetectionComponent::Proc,223490,0,0,1656498047548412728,1656498047548637129,1656498047548637129,224401,0,
1656498047687714297,1656498047694127732,Timing,RadarDetectionComponent::Proc,6413435,0,0,1656498047687713135,1656498047694127732,1656498047694127732,6414597,0,
1656498047822029709,1656498047835470904,Timing,RadarDetectionComponent::Proc,13441195,0,0,1656498047822027553,1656498047835470904,1656498047835470904,13443351,0,
1656498047965342930,1656498047977857495,Timing,RadarDetectionComponent::Proc,12514565,0,0,1656498047965341093,1656498047977857495,1656498047977857495,12516402,0,
1656498048043135197,1656498048055687657,Timing,RadarDetectionComponent::Proc,12552460,0,0,1656498048043134371,1656498048055687657,1656498048055687657,12553286,0,
1656498048197731461,1656498048210320265,Timing,RadarDetectionComponent::Proc,12588804,0,0,1656498048197728987,1656498048210320265,1656498048210320265,12591278,0,
1656498048335215908,1656498048347720851,Timing,RadarDetectionComponent::Proc,12504943,0,0,1656498048335215112,1656498048347720851,1656498048347720851,12505739,0,
1656498048438048360,1656498048450569424,Timing,RadarDetectionComponent::Proc,12521064,0,0,1656498048438047406,1656498048450569424,1656498048450569424,12522018,0,
1656498048581156504,1656498048581425913,Timing,RadarDetectionComponent::Proc,269409,0,0,1656498048581155243,1656498048581425913,1656498048581425913,270670,0,
1656498048731890479,1656498048744400418,Timing,RadarDetectionComponent::Proc,12509939,0,0,1656498048731889299,1656498048744400418,1656498048744400418,12511119,0,
1656498048866624293,1656498048879216503,Timing,RadarDetectionComponent::Proc,12592210,0,0,1656498048866622002,1656498048879216503,1656498048879216503,12594501,0,
1656498048992390659,1656498049005125195,Timing,RadarDetectionComponent::Proc,12734536,0,0,1656498048992389491,1656498049005125195,1656498049005125195,12735704,0,
1656498049081691912,1656498049094454560,Timing,RadarDetectionComponent::Proc,12762648,0,0,1656498049081690811,1656498049094454560,1656498049094454560,12763749,0,
1656498049195052482,1656498049207592005,Timing,RadarDetectionComponent::Proc,12539523,0,0,1656498049195051394,1656498049207592005,1656498049207592005,12540611,0,
1656498049270339782,1656498049282868612,Timing,RadarDetectionComponent::Proc,12528830,0,0,1656498049270338766,1656498049282868612,1656498049282868612,12529846,0,
