,ts_start,ts_end,type,component,execution_time,ts_cam,ts_lidar,ts_radar,lat_cam,lat_lidar,lat_radar,is_finish,info
0,1656498046645122080,1656498046656714511,Timing,TrafficLightsPerceptionComponent::OnReceiveImage,11592431,0,0,0,1656498046656714511,1656498046656714511,1656498046656714511,0,
1,1656498046670513486,1656498046682893115,Timing,TrafficLightsPerceptionComponent::OnReceiveImage,12379629,0,0,0,1656498046682893115,1656498046682893115,1656498046682893115,0,
2,1656498046716582701,1656498046729004969,Timing,TrafficLightsPerceptionComponent::OnReceiveImage,12422268,0,0,0,1656498046729004969,1656498046729004969,1656498046729004969,0,
3,1656498046719639094,1656498046741320995,Timing,TrafficLightsPerceptionComponent::OnReceiveImage,21681901,0,0,0,1656498046741320995,1656498046741320995,1656498046741320995,0,
4,1656498046792844704,1656498046805321314,Timing,TrafficLightsPerceptionComponent::OnReceiveImage,12476610,0,0,0,1656498046805321314,1656498046805321314,1656498046805321314,0,
5,1656498046795774207,1656498046817687149,Timing,TrafficLightsPerceptionComponent::OnReceiveImage,21912942,0,0,0,1656498046817687149,1656498046817687149,1656498046817687149,0,
6,1656498046859774950,1656498046860029970,Timing,TrafficLightsPerceptionComponent::OnReceiveImage,255020,0,0,0,1656498046860029970,1656498046860029970,1656498046860029970,0,
7,1656498046862293738,1656498046910044392,Timing,TrafficLightsPerceptionComponent::OnReceiveImage,47750654,1656498046862292402,0,0,47751990,1656498046910044392,1656498046910044392,0,
8,1656498046917892076,1656498046917965476,Timing,TrafficLightsPerceptionComponent::OnReceiveImage,73400,0,0,0,1656498046917965476,1656498046917965476,1656498046917965476,0,
9,1656498046920594202,1656498046920642088,Timing,TrafficLightsPerceptionComponent::OnReceiveImage,47886,0,0,0,1656498046920642088,1656498046920642088,1656498046920642088,0,
10,1656498046980482153,1656498046980551360,Timing,TrafficLightsPerceptionComponent::OnReceiveImage,69207,0,0,0,1656498046980551360,1656498046980551360,1656498046980551360,0,
