timestamp,task,checkpoint,from_start,from_last
1662098652419874310,camera_fusion_front_6mm,start,0,0
1662098652421509856,camera_fusion_front_6mm,gpu_start,1635546,1635546
1662098652437490643,camera_fusion_front_12mm,start,0,0
1662098652451965339,camera_fusion_front_6mm,gpu_end,32091029,30455483
1662098652452001881,camera_fusion_front_6mm,end,32127571,36542
1662098652452956282,camera_fusion_front_12mm,gpu_start,15465639,15465639
1662098652475486040,camera_fusion_front_12mm,gpu_end,37995397,22529758
1662098652475509173,camera_fusion_front_12mm,end,38018530,23133
1662098652501547529,camera_fusion_front_6mm,start,0,0
1662098652502312375,camera_fusion_front_6mm,gpu_start,764846,764846
1662098652511371012,camera_fusion_front_12mm,start,0,0
1662098652527063370,camera_fusion_front_6mm,gpu_end,25515841,24750995
1662098652527086119,camera_fusion_front_6mm,end,25538590,22749
1662098652527726775,camera_fusion_front_12mm,gpu_start,16355763,16355763
1662098652548300040,camera_fusion_front_12mm,gpu_end,36929028,20573265
1662098652548321379,camera_fusion_front_12mm,end,36950367,21339
1662098652606147224,camera_fusion_front_6mm,start,0,0
1662098652607448419,camera_fusion_front_6mm,gpu_start,1301195,1301195
1662098652611118736,camera_fusion_front_12mm,start,0,0
1662098652633956964,camera_fusion_front_6mm,gpu_end,27809740,26508545
1662098652633983173,camera_fusion_front_6mm,end,27835949,26209
1662098652634670739,camera_fusion_front_12mm,gpu_start,23552003,23552003
1662098652656190757,camera_fusion_front_12mm,gpu_end,45072021,21520018
1662098652656218421,camera_fusion_front_12mm,end,45099685,27664
1662098652675688274,camera_fusion_front_6mm,start,0,0
1662098652676517142,camera_fusion_front_6mm,gpu_start,828868,828868
1662098652687395580,camera_fusion_front_12mm,start,0,0
1662098652706507223,camera_fusion_front_6mm,gpu_end,30818949,29990081
1662098652706531106,camera_fusion_front_6mm,end,30842832,23883
1662098652707194793,camera_fusion_front_12mm,gpu_start,19799213,19799213
1662098652728122798,camera_fusion_front_12mm,gpu_end,40727218,20928005
1662098652728146390,camera_fusion_front_12mm,end,40750810,23592
1662098652749894709,camera_fusion_front_6mm,start,0,0
1662098652750713704,camera_fusion_front_6mm,gpu_start,818995,818995
1662098652758141813,camera_fusion_front_12mm,start,0,0
1662098652779457764,camera_fusion_front_6mm,gpu_end,29563055,28744060
1662098652779485551,camera_fusion_front_6mm,end,29590842,27787
1662098652780194739,camera_fusion_front_12mm,gpu_start,22052926,22052926
1662098652801314992,camera_fusion_front_12mm,gpu_end,43173179,21120253
1662098652801339555,camera_fusion_front_12mm,end,43197742,24563
1662098652812102333,camera_fusion_front_6mm,start,0,0
1662098652812847140,camera_fusion_front_6mm,gpu_start,744807,744807
1662098652825091926,camera_fusion_front_12mm,start,0,0
1662098652841680951,camera_fusion_front_6mm,gpu_end,29578618,28833811
1662098652841702555,camera_fusion_front_6mm,end,29600222,21604
1662098652842313373,camera_fusion_front_12mm,gpu_start,17221447,17221447
1662098652860885917,camera_fusion_front_12mm,gpu_end,35793991,18572544
1662098652860907379,camera_fusion_front_12mm,end,35815453,21462
1662098652908817104,camera_fusion_front_6mm,start,0,0
1662098652910520285,camera_fusion_front_6mm,gpu_start,1703181,1703181
1662098652912173361,camera_fusion_front_12mm,start,0,0
1662098652937788230,camera_fusion_front_6mm,gpu_end,28971126,27267945
1662098652937815597,camera_fusion_front_6mm,end,28998493,27367
1662098652938551557,camera_fusion_front_12mm,gpu_start,26378196,26378196
1662098652955279718,camera_fusion_front_12mm,gpu_end,43106357,16728161
1662098652955302821,camera_fusion_front_12mm,end,43129460,23103
1662098652974767717,camera_fusion_front_6mm,start,0,0
1662098652975684235,camera_fusion_front_6mm,gpu_start,916518,916518
1662098652986693077,camera_fusion_front_12mm,start,0,0
1662098653004907611,camera_fusion_front_6mm,gpu_end,30139894,29223376
1662098653004932056,camera_fusion_front_6mm,end,30164339,24445
1662098653005579715,camera_fusion_front_12mm,gpu_start,18886638,18886638
1662098653021747743,camera_fusion_front_12mm,gpu_end,35054666,16168028
1662098653021783316,camera_fusion_front_12mm,end,35090239,35573
1662098653057718750,camera_fusion_front_6mm,start,0,0
1662098653059094857,camera_fusion_front_6mm,gpu_start,1376107,1376107
1662098653060606334,camera_fusion_front_12mm,start,0,0
1662098653082277542,camera_fusion_front_6mm,gpu_end,24558792,23182685
1662098653082298423,camera_fusion_front_6mm,end,24579673,20881
1662098653082979694,camera_fusion_front_12mm,gpu_start,22373360,22373360
1662098653099629656,camera_fusion_front_12mm,gpu_end,39023322,16649962
1662098653099659940,camera_fusion_front_12mm,end,39053606,30284
1662098653123517353,camera_fusion_front_6mm,start,0,0
1662098653124498050,camera_fusion_front_6mm,gpu_start,980697,980697
1662098653127878625,camera_fusion_front_12mm,start,0,0
1662098653148521884,camera_fusion_front_6mm,gpu_end,25004531,24023834
1662098653148544956,camera_fusion_front_6mm,end,25027603,23072
1662098653149210317,camera_fusion_front_12mm,gpu_start,21331692,21331692
1662098653171343293,camera_fusion_front_12mm,gpu_end,43464668,22132976
1662098653171372823,camera_fusion_front_12mm,end,43494198,29530
1662098653207888564,camera_fusion_front_6mm,start,0,0
1662098653209028467,camera_fusion_front_6mm,gpu_start,1139903,1139903
1662098653219409148,camera_fusion_front_12mm,start,0,0
1662098653231411588,camera_fusion_front_6mm,gpu_end,23523024,22383121
1662098653231432905,camera_fusion_front_6mm,end,23544341,21317
1662098653232218801,camera_fusion_front_12mm,gpu_start,12809653,12809653
1662098653249185185,camera_fusion_front_12mm,gpu_end,29776037,16966384
1662098653249210752,camera_fusion_front_12mm,end,29801604,25567
1662098653276102442,camera_fusion_front_6mm,start,0,0
1662098653276891235,camera_fusion_front_6mm,gpu_start,788793,788793
1662098653283050433,camera_fusion_front_12mm,start,0,0
1662098653300548316,camera_fusion_front_6mm,gpu_end,24445874,23657081
1662098653300571036,camera_fusion_front_6mm,end,24468594,22720
1662098653304070891,camera_fusion_front_12mm,gpu_start,21020458,21020458
1662098653324415429,camera_fusion_front_12mm,gpu_end,41364996,20344538
1662098653324436244,camera_fusion_front_12mm,end,41385811,20815
1662098653357691487,camera_fusion_front_6mm,start,0,0
1662098653358459327,camera_fusion_front_6mm,gpu_start,767840,767840
1662098653363483845,camera_fusion_front_12mm,start,0,0
1662098653382312487,camera_fusion_front_6mm,gpu_end,24621000,23853160
1662098653382332084,camera_fusion_front_6mm,end,24640597,19597
1662098653382923400,camera_fusion_front_12mm,gpu_start,19439555,19439555
1662098653400036830,camera_fusion_front_12mm,gpu_end,36552985,17113430
1662098653400059761,camera_fusion_front_12mm,end,36575916,22931
1662098653425243567,camera_fusion_front_6mm,start,0,0
1662098653426499707,camera_fusion_front_6mm,gpu_start,1256140,1256140
1662098653428951391,camera_fusion_front_12mm,start,0,0
1662098653448286021,camera_fusion_front_6mm,gpu_end,23042454,21786314
1662098653448308189,camera_fusion_front_6mm,end,23064622,22168
1662098653449043964,camera_fusion_front_12mm,gpu_start,20092573,20092573
1662098653470074168,camera_fusion_front_12mm,gpu_end,41122777,21030204
1662098653470100383,camera_fusion_front_12mm,end,41148992,26215
1662098653518780336,camera_fusion_front_6mm,start,0,0
1662098653519692620,camera_fusion_front_6mm,gpu_start,912284,912284
1662098653532137572,camera_fusion_front_12mm,start,0,0
1662098653544299102,camera_fusion_front_6mm,gpu_end,25518766,24606482
1662098653544322406,camera_fusion_front_6mm,end,25542070,23304
1662098653545038223,camera_fusion_front_12mm,gpu_start,12900651,12900651
1662098653562109181,camera_fusion_front_12mm,gpu_end,29971609,17070958
1662098653562131057,camera_fusion_front_12mm,end,29993485,21876
1662098653589866592,camera_fusion_front_6mm,start,0,0
1662098653590564356,camera_fusion_front_6mm,gpu_start,697764,697764
1662098653596315692,camera_fusion_front_12mm,start,0,0
1662098653615277510,camera_fusion_front_6mm,gpu_end,25410918,24713154
1662098653615298899,camera_fusion_front_6mm,end,25432307,21389
1662098653615964897,camera_fusion_front_12mm,gpu_start,19649205,19649205
1662098653638710983,camera_fusion_front_12mm,gpu_end,42395291,22746086
1662098653638735311,camera_fusion_front_12mm,end,42419619,24328
1662098653682947151,camera_fusion_front_6mm,start,0,0
1662098653684563472,camera_fusion_front_6mm,gpu_start,1616321,1616321
1662098653686544162,camera_fusion_front_12mm,start,0,0
1662098653706733039,camera_fusion_front_6mm,gpu_end,23785888,22169567
1662098653706758120,camera_fusion_front_6mm,end,23810969,25081
1662098653707577902,camera_fusion_front_12mm,gpu_start,21033740,21033740
1662098653725244941,camera_fusion_front_12mm,gpu_end,38700779,17667039
1662098653725266823,camera_fusion_front_12mm,end,38722661,21882
1662098653752413310,camera_fusion_front_6mm,start,0,0
1662098653753714965,camera_fusion_front_6mm,gpu_start,1301655,1301655
1662098653761989537,camera_fusion_front_12mm,start,0,0
1662098653776925255,camera_fusion_front_6mm,gpu_end,24511945,23210290
1662098653776950821,camera_fusion_front_6mm,end,24537511,25566
1662098653777603855,camera_fusion_front_12mm,gpu_start,15614318,15614318
1662098653794534825,camera_fusion_front_12mm,gpu_end,32545288,16930970
1662098653794554836,camera_fusion_front_12mm,end,32565299,20011
1662098653821432002,camera_fusion_front_6mm,start,0,0
1662098653822551395,camera_fusion_front_6mm,gpu_start,1119393,1119393
1662098653824426628,camera_fusion_front_12mm,start,0,0
1662098653847160992,camera_fusion_front_6mm,gpu_end,25728990,24609597
1662098653847182206,camera_fusion_front_6mm,end,25750204,21214
1662098653847848062,camera_fusion_front_12mm,gpu_start,23421434,23421434
1662098653864382533,camera_fusion_front_12mm,gpu_end,39955905,16534471
1662098653864406214,camera_fusion_front_12mm,end,39979586,23681
1662098653880935883,camera_fusion_front_6mm,start,0,0
1662098653881675450,camera_fusion_front_6mm,gpu_start,739567,739567
1662098653896888539,camera_fusion_front_12mm,start,0,0
1662098653906953509,camera_fusion_front_6mm,gpu_end,26017626,25278059
