timestamp,task,checkpoint,from_start,from_last
1662098632476054688,lane_front_6mm,start,0,0
1662098632476783873,lane_front_6mm,gpu_start,729185,729185
1662098632483214696,lane_front_12mm,start,0,0
1662098632504586972,lane_front_6mm,gpu_end,28532284,27803099
1662098632504617542,lane_front_6mm,end,28562854,30570
1662098632505411983,lane_front_12mm,gpu_start,22197287,22197287
1662098632505731749,lane_front_12mm,gpu_end,22517053,319766
1662098632505750317,lane_front_12mm,end,22535621,18568
1662098632562729928,lane_front_6mm,start,0,0
1662098632563554026,lane_front_6mm,gpu_start,824098,824098
1662098632566030468,lane_front_12mm,start,0,0
1662098632587581157,lane_front_6mm,gpu_end,24851229,24027131
1662098632587611051,lane_front_6mm,end,24881123,29894
1662098632588316690,lane_front_12mm,gpu_start,22286222,22286222
1662098632588611268,lane_front_12mm,gpu_end,22580800,294578
1662098632588626445,lane_front_12mm,end,22595977,15177
1662098632618825042,lane_front_6mm,start,0,0
1662098632619645475,lane_front_6mm,gpu_start,820433,820433
1662098632628125974,lane_front_12mm,start,0,0
1662098632642532780,lane_front_6mm,gpu_end,23707738,22887305
1662098632642562312,lane_front_6mm,end,23737270,29532
1662098632643232389,lane_front_12mm,gpu_start,15106415,15106415
1662098632643514950,lane_front_12mm,gpu_end,15388976,282561
1662098632643529425,lane_front_12mm,end,15403451,14475
1662098632687470526,lane_front_6mm,start,0,0
1662098632688713420,lane_front_6mm,gpu_start,1242894,1242894
1662098632691526594,lane_front_12mm,start,0,0
1662098632712411042,lane_front_6mm,gpu_end,24940516,23697622
1662098632712441824,lane_front_6mm,end,24971298,30782
1662098632713135350,lane_front_12mm,gpu_start,21608756,21608756
1662098632713329797,lane_front_12mm,gpu_end,21803203,194447
1662098632713344855,lane_front_12mm,end,21818261,15058
1662098632746891648,lane_front_6mm,start,0,0
1662098632748064229,lane_front_6mm,gpu_start,1172581,1172581
1662098632749262987,lane_front_12mm,start,0,0
1662098632771206316,lane_front_6mm,gpu_end,24314668,23142087
1662098632771242797,lane_front_6mm,end,24351149,36481
1662098632772328835,lane_front_12mm,gpu_start,23065848,23065848
1662098632772486144,lane_front_12mm,gpu_end,23223157,157309
1662098632772503604,lane_front_12mm,end,23240617,17460
1662098632829511190,lane_front_6mm,start,0,0
1662098632830316303,lane_front_6mm,gpu_start,805113,805113
1662098632834919510,lane_front_12mm,start,0,0
1662098632854392823,lane_front_6mm,gpu_end,24881633,24076520
1662098632854421460,lane_front_6mm,end,24910270,28637
1662098632855100455,lane_front_12mm,gpu_start,20180945,20180945
1662098632855322043,lane_front_12mm,gpu_end,20402533,221588
1662098632855343478,lane_front_12mm,end,20423968,21435
1662098632901296110,lane_front_6mm,start,0,0
1662098632903132283,lane_front_6mm,gpu_start,1836173,1836173
1662098632903698252,lane_front_12mm,start,0,0
1662098632927270969,lane_front_6mm,gpu_end,25974859,24138686
1662098632927299596,lane_front_6mm,end,26003486,28627
1662098632928015477,lane_front_12mm,gpu_start,24317225,24317225
1662098632928182080,lane_front_12mm,gpu_end,24483828,166603
1662098632928196608,lane_front_12mm,end,24498356,14528
1662098632958111232,lane_front_6mm,start,0,0
1662098632958838999,lane_front_6mm,gpu_start,727767,727767
1662098632966801130,lane_front_12mm,start,0,0
1662098632978770978,lane_front_6mm,gpu_end,20659746,19931979
1662098632978801492,lane_front_6mm,end,20690260,30514
1662098632979534474,lane_front_12mm,gpu_start,12733344,12733344
1662098632979727625,lane_front_12mm,gpu_end,12926495,193151
1662098632979746259,lane_front_12mm,end,12945129,18634
1662098633031623883,lane_front_6mm,start,0,0
1662098633032887168,lane_front_6mm,gpu_start,1263285,1263285
1662098633045966705,lane_front_12mm,start,0,0
1662098633054505176,lane_front_6mm,gpu_end,22881293,21618008
1662098633054537752,lane_front_6mm,end,22913869,32576
1662098633055212012,lane_front_12mm,gpu_start,9245307,9245307
1662098633055391967,lane_front_12mm,gpu_end,9425262,179955
1662098633055414165,lane_front_12mm,end,9447460,22198
1662098633102564953,lane_front_6mm,start,0,0
1662098633103382881,lane_front_6mm,gpu_start,817928,817928
1662098633109553208,lane_front_12mm,start,0,0
1662098633128152271,lane_front_6mm,gpu_end,25587318,24769390
1662098633128183844,lane_front_6mm,end,25618891,31573
