timestamp,task,checkpoint,from_start,from_last
1662098604609238509,trafficlight_front_6mm,start,0,0
1662098604610251730,trafficlight_front_6mm,gpu_start,1013221,1013221
1662098604610259666,trafficlight_front_6mm,gpu_end,1021157,7936
1662098604610285568,trafficlight_front_6mm,end,1047059,25902
1662098604619724837,trafficlight_front_12mm,start,0,0
1662098604698202522,trafficlight_front_6mm,start,0,0
1662098604706929491,trafficlight_front_12mm,start,0,0
1662098604772181176,trafficlight_front_6mm,start,0,0
1662098604774314494,trafficlight_front_6mm,gpu_start,2133318,2133318
1662098604774326560,trafficlight_front_6mm,gpu_end,2145384,12066
1662098604774348348,trafficlight_front_6mm,end,2167172,21788
1662098604777008659,trafficlight_front_12mm,start,0,0
1662098604835652126,trafficlight_front_6mm,start,0,0
1662098604842567253,trafficlight_front_12mm,start,0,0
1662098604910168734,trafficlight_front_6mm,start,0,0
1662098604923713830,trafficlight_front_12mm,start,0,0
1662098604924526663,trafficlight_front_12mm,gpu_start,812833,812833
1662098604924534768,trafficlight_front_12mm,gpu_end,820938,8105
1662098604924548018,trafficlight_front_12mm,end,834188,13250
1662098605001352202,trafficlight_front_6mm,start,0,0
1662098605008346312,trafficlight_front_12mm,start,0,0
1662098605093254058,trafficlight_front_12mm,start,0,0
1662098605094453826,trafficlight_front_12mm,gpu_start,1199768,1199768
1662098605094464993,trafficlight_front_12mm,gpu_end,1210935,11167
1662098605094484257,trafficlight_front_12mm,end,1230199,19264
1662098605094964058,trafficlight_front_6mm,start,0,0
1662098605154079210,trafficlight_front_6mm,start,0,0
1662098605158630442,trafficlight_front_12mm,start,0,0
1662098605224889358,trafficlight_front_6mm,start,0,0
1662098605233893826,trafficlight_front_12mm,start,0,0
1662098605234929180,trafficlight_front_12mm,gpu_start,1035354,1035354
1662098605234938106,trafficlight_front_12mm,gpu_end,1044280,8926
1662098605234956719,trafficlight_front_12mm,end,1062893,18613
1662098605291696868,trafficlight_front_6mm,start,0,0
1662098605304971305,trafficlight_front_12mm,start,0,0
1662098605380949248,trafficlight_front_6mm,start,0,0
1662098605392604760,trafficlight_front_12mm,start,0,0
1662098605393462295,trafficlight_front_12mm,gpu_start,857535,857535
1662098605393470833,trafficlight_front_12mm,gpu_end,866073,8538
1662098605393486360,trafficlight_front_12mm,end,881600,15527
1662098605455866088,trafficlight_front_6mm,start,0,0
1662098605465496530,trafficlight_front_12mm,start,0,0
1662098605537123770,trafficlight_front_6mm,start,0,0
1662098605541422488,trafficlight_front_12mm,start,0,0
1662098605542158038,trafficlight_front_12mm,gpu_start,735550,735550
1662098605542166155,trafficlight_front_12mm,gpu_end,743667,8117
1662098605542179963,trafficlight_front_12mm,end,757475,13808
1662098605605613446,trafficlight_front_6mm,start,0,0
1662098605613517596,trafficlight_front_12mm,start,0,0
1662098605692009738,trafficlight_front_6mm,start,0,0
1662098605696157805,trafficlight_front_12mm,start,0,0
1662098605696897671,trafficlight_front_12mm,gpu_start,739866,739866
1662098605696905861,trafficlight_front_12mm,gpu_end,748056,8190
1662098605696920066,trafficlight_front_12mm,end,762261,14205
1662098605755910181,trafficlight_front_6mm,start,0,0
1662098605764792805,trafficlight_front_12mm,start,0,0
1662098605828839224,trafficlight_front_6mm,start,0,0
1662098605834356114,trafficlight_front_12mm,start,0,0
1662098605835565959,trafficlight_front_12mm,gpu_start,1209845,1209845
1662098605835574023,trafficlight_front_12mm,gpu_end,1217909,8064
1662098605835587139,trafficlight_front_12mm,end,1231025,13116
1662098605897219103,trafficlight_front_6mm,start,0,0
1662098605905422747,trafficlight_front_12mm,start,0,0
1662098605995879958,trafficlight_front_6mm,start,0,0
1662098606000422180,trafficlight_front_12mm,start,0,0
1662098606001544291,trafficlight_front_12mm,gpu_start,1122111,1122111
1662098606001552339,trafficlight_front_12mm,gpu_end,1130159,8048
1662098606001564005,trafficlight_front_12mm,end,1141825,11666
1662098606065237667,trafficlight_front_6mm,start,0,0
1662098606069897482,trafficlight_front_12mm,start,0,0
1662098606136894622,trafficlight_front_6mm,start,0,0
1662098606139639924,trafficlight_front_12mm,start,0,0
1662098606140373825,trafficlight_front_12mm,gpu_start,733901,733901
1662098606140381756,trafficlight_front_12mm,gpu_end,741832,7931
1662098606140393692,trafficlight_front_12mm,end,753768,11936
1662098606205055647,trafficlight_front_6mm,start,0,0
1662098606211681767,trafficlight_front_12mm,start,0,0
1662098606283291730,trafficlight_front_6mm,start,0,0
1662098606291998844,trafficlight_front_12mm,start,0,0
1662098606292977115,trafficlight_front_12mm,gpu_start,978271,978271
1662098606292985836,trafficlight_front_12mm,gpu_end,986992,8721
1662098606292997876,trafficlight_front_12mm,end,999032,12040
1662098606354786938,trafficlight_front_6mm,start,0,0
1662098606366222822,trafficlight_front_12mm,start,0,0
1662098606434607252,trafficlight_front_6mm,start,0,0
1662098606438133642,trafficlight_front_12mm,start,0,0
1662098606438951750,trafficlight_front_12mm,gpu_start,818108,818108
1662098606438959682,trafficlight_front_12mm,gpu_end,826040,7932
1662098606438972004,trafficlight_front_12mm,end,838362,12322
1662098606508232864,trafficlight_front_6mm,start,0,0
1662098606512575099,trafficlight_front_12mm,start,0,0
1662098606600554980,trafficlight_front_6mm,start,0,0
1662098606608366619,trafficlight_front_12mm,start,0,0
1662098606609152584,trafficlight_front_12mm,gpu_start,785965,785965
1662098606609161853,trafficlight_front_12mm,gpu_end,795234,9269
1662098606609174539,trafficlight_front_12mm,end,807920,12686
1662098606690189139,trafficlight_front_6mm,start,0,0
1662098606693058334,trafficlight_front_12mm,start,0,0
1662098606773162304,trafficlight_front_6mm,start,0,0
1662098606775233646,trafficlight_front_12mm,start,0,0
1662098606776100948,trafficlight_front_12mm,gpu_start,867302,867302
1662098606776109153,trafficlight_front_12mm,gpu_end,875507,8205
1662098606776121084,trafficlight_front_12mm,end,887438,11931
1662098606831083435,trafficlight_front_6mm,start,0,0
1662098606840018669,trafficlight_front_12mm,start,0,0
1662098606900437605,trafficlight_front_6mm,start,0,0
1662098606909157622,trafficlight_front_12mm,start,0,0
1662098606910386913,trafficlight_front_12mm,gpu_start,1229291,1229291
1662098606910396079,trafficlight_front_12mm,gpu_end,1238457,9166
1662098606910408923,trafficlight_front_12mm,end,1251301,12844
1662098606994872383,trafficlight_front_6mm,start,0,0
1662098607001767209,trafficlight_front_12mm,start,0,0
1662098607068360850,trafficlight_front_6mm,start,0,0
1662098607072467465,trafficlight_front_12mm,start,0,0
1662098607073316794,trafficlight_front_12mm,gpu_start,849329,849329
1662098607073325119,trafficlight_front_12mm,gpu_end,857654,8325
1662098607073337928,trafficlight_front_12mm,end,870463,12809
1662098607132746063,trafficlight_front_6mm,start,0,0
1662098607136125430,trafficlight_front_12mm,start,0,0
1662098607193163067,trafficlight_front_6mm,start,0,0
1662098607199361861,trafficlight_front_12mm,start,0,0
1662098607200183551,trafficlight_front_12mm,gpu_start,821690,821690
1662098607200192768,trafficlight_front_12mm,gpu_end,830907,9217
1662098607200205861,trafficlight_front_12mm,end,844000,13093
1662098607264169292,trafficlight_front_6mm,start,0,0
1662098607267162007,trafficlight_front_12mm,start,0,0
1662098607332130429,trafficlight_front_6mm,start,0,0
1662098607334898191,trafficlight_front_12mm,start,0,0
1662098607335709469,trafficlight_front_12mm,gpu_start,811278,811278
1662098607335721249,trafficlight_front_12mm,gpu_end,823058,11780
1662098607335744339,trafficlight_front_12mm,end,846148,23090
1662098607405495246,trafficlight_front_12mm,start,0,0
1662098607407646806,trafficlight_front_6mm,start,0,0
1662098607488065828,trafficlight_front_6mm,start,0,0
1662098607507908781,trafficlight_front_12mm,start,0,0
1662098607508659832,trafficlight_front_12mm,gpu_start,751051,751051
1662098607508667360,trafficlight_front_12mm,gpu_end,758579,7528
1662098607508681474,trafficlight_front_12mm,end,772693,14114
1662098607585064828,trafficlight_front_6mm,start,0,0
1662098607587988814,trafficlight_front_12mm,start,0,0
1662098607655143727,trafficlight_front_6mm,start,0,0
1662098607660151926,trafficlight_front_12mm,start,0,0
1662098607661077781,trafficlight_front_12mm,gpu_start,925855,925855
1662098607661088198,trafficlight_front_12mm,gpu_end,936272,10417
1662098607661106300,trafficlight_front_12mm,end,954374,18102
1662098607725403358,trafficlight_front_6mm,start,0,0
1662098607730875538,trafficlight_front_12mm,start,0,0
1662098607820225794,trafficlight_front_6mm,start,0,0
1662098607825198969,trafficlight_front_12mm,start,0,0
1662098607826229945,trafficlight_front_12mm,gpu_start,1030976,1030976
1662098607826238132,trafficlight_front_12mm,gpu_end,1039163,8187
1662098607826250937,trafficlight_front_12mm,end,1051968,12805
1662098607899131828,trafficlight_front_6mm,start,0,0
1662098607906248390,trafficlight_front_12mm,start,0,0
1662098607972907562,trafficlight_front_6mm,start,0,0
1662098607974146510,trafficlight_front_12mm,start,0,0
1662098607975230776,trafficlight_front_12mm,gpu_start,1084266,1084266
1662098607975239757,trafficlight_front_12mm,gpu_end,1093247,8981
1662098607975252268,trafficlight_front_12mm,end,1105758,12511
1662098608042708782,trafficlight_front_6mm,start,0,0
1662098608047576578,trafficlight_front_12mm,start,0,0
1662098608106139872,trafficlight_front_6mm,start,0,0
1662098608112979811,trafficlight_front_12mm,start,0,0
1662098608113735750,trafficlight_front_12mm,gpu_start,755939,755939
1662098608113744354,trafficlight_front_12mm,gpu_end,764543,8604
1662098608113771091,trafficlight_front_12mm,end,791280,26737
1662098608207380162,trafficlight_front_12mm,start,0,0
1662098608209760489,trafficlight_front_6mm,start,0,0
1662098608273127421,trafficlight_front_12mm,start,0,0
1662098608274930262,trafficlight_front_12mm,gpu_start,1802841,1802841
1662098608274946050,trafficlight_front_12mm,gpu_end,1818629,15788
1662098608274965073,trafficlight_front_12mm,end,1837652,19023
1662098608275853749,trafficlight_front_6mm,start,0,0
1662098608320813854,trafficlight_front_6mm,start,0,0
1662098608324606402,trafficlight_front_12mm,start,0,0
1662098608378174646,trafficlight_front_12mm,start,0,0
1662098608378782101,trafficlight_front_6mm,start,0,0
1662098608509632470,trafficlight_front_6mm,start,0,0
1662098608519614873,trafficlight_front_12mm,start,0,0
1662098608520419938,trafficlight_front_12mm,gpu_start,805065,805065
1662098608520428827,trafficlight_front_12mm,gpu_end,813954,8889
1662098608520441401,trafficlight_front_12mm,end,826528,12574
1662098608604519731,trafficlight_front_6mm,start,0,0
1662098608609852649,trafficlight_front_12mm,start,0,0
1662098608677060452,trafficlight_front_6mm,start,0,0
1662098608680756140,trafficlight_front_12mm,start,0,0
1662098608681594326,trafficlight_front_12mm,gpu_start,838186,838186
1662098608681605063,trafficlight_front_12mm,gpu_end,848923,10737
1662098608681619488,trafficlight_front_12mm,end,863348,14425
1662098608741410549,trafficlight_front_6mm,start,0,0
1662098608745814207,trafficlight_front_12mm,start,0,0
1662098608811849790,trafficlight_front_6mm,start,0,0
1662098608820426788,trafficlight_front_12mm,start,0,0
1662098608821396965,trafficlight_front_12mm,gpu_start,970177,970177
1662098608821407824,trafficlight_front_12mm,gpu_end,981036,10859
1662098608821425420,trafficlight_front_12mm,end,998632,17596
1662098608885732748,trafficlight_front_6mm,start,0,0
1662098608897415677,trafficlight_front_12mm,start,0,0
1662098608965881711,trafficlight_front_6mm,start,0,0
1662098608966716067,trafficlight_front_12mm,start,0,0
1662098608968041077,trafficlight_front_12mm,gpu_start,1325010,1325010
1662098608968049815,trafficlight_front_12mm,gpu_end,1333748,8738
1662098608968061963,trafficlight_front_12mm,end,1345896,12148
1662098609019315171,trafficlight_front_12mm,start,0,0
1662098609021871119,trafficlight_front_6mm,start,0,0
1662098609079234060,trafficlight_front_6mm,start,0,0
1662098609085036703,trafficlight_front_12mm,start,0,0
1662098609149993275,trafficlight_front_6mm,start,0,0
1662098609151302555,trafficlight_front_12mm,start,0,0
1662098609152395736,trafficlight_front_12mm,gpu_start,1093181,1093181
1662098609152407656,trafficlight_front_12mm,gpu_end,1105101,11920
1662098609152426620,trafficlight_front_12mm,end,1124065,18964
1662098609291494731,trafficlight_front_6mm,start,0,0
1662098609295682312,trafficlight_front_12mm,start,0,0
1662098609296625969,trafficlight_front_12mm,gpu_start,943657,943657
1662098609296641682,trafficlight_front_12mm,gpu_end,959370,15713
1662098609296664125,trafficlight_front_12mm,end,981813,22443
1662098609361266798,trafficlight_front_6mm,start,0,0
1662098609365839563,trafficlight_front_12mm,start,0,0
1662098609439898612,trafficlight_front_6mm,start,0,0
1662098609446273142,trafficlight_front_12mm,start,0,0
1662098609447263737,trafficlight_front_12mm,gpu_start,990595,990595
1662098609447303453,trafficlight_front_12mm,gpu_end,1030311,39716
1662098609447317731,trafficlight_front_12mm,end,1044589,14278
1662098609521148308,trafficlight_front_6mm,start,0,0
1662098609525188788,trafficlight_front_12mm,start,0,0
1662098609583276488,trafficlight_front_6mm,start,0,0
1662098609586603181,trafficlight_front_12mm,start,0,0
1662098609587933028,trafficlight_front_12mm,gpu_start,1329847,1329847
1662098609587946688,trafficlight_front_12mm,gpu_end,1343507,13660
1662098609587964561,trafficlight_front_12mm,end,1361380,17873
1662098609643392482,trafficlight_front_6mm,start,0,0
1662098609651941387,trafficlight_front_12mm,start,0,0
1662098609712564499,trafficlight_front_6mm,start,0,0
1662098609721330240,trafficlight_front_12mm,start,0,0
1662098609722721929,trafficlight_front_12mm,gpu_start,1391689,1391689
1662098609722731709,trafficlight_front_12mm,gpu_end,1401469,9780
1662098609722750849,trafficlight_front_12mm,end,1420609,19140
1662098609813944879,trafficlight_front_6mm,start,0,0
1662098609817578372,trafficlight_front_12mm,start,0,0
1662098609876388822,trafficlight_front_6mm,start,0,0
1662098609882317881,trafficlight_front_12mm,start,0,0
1662098609883816270,trafficlight_front_12mm,gpu_start,1498389,1498389
1662098609883829980,trafficlight_front_12mm,gpu_end,1512099,13710
1662098609883851421,trafficlight_front_12mm,end,1533540,21441
1662098609947667251,trafficlight_front_6mm,start,0,0
1662098609953511645,trafficlight_front_12mm,start,0,0
1662098610020064989,trafficlight_front_12mm,start,0,0
1662098610022369946,trafficlight_front_12mm,gpu_start,2304957,2304957
1662098610022397671,trafficlight_front_12mm,gpu_end,2332682,27725
1662098610022440437,trafficlight_front_12mm,end,2375448,42766
